runner,config,model,prefix,rep,arm,ttft_s,store_wall_s,n_io,path_ok
v2,none,opt-2.7b,1024,0,A_warm,0.3621,0.0,0,True
v2,none,opt-2.7b,1024,1,A_warm,0.3551,0.0,0,True
v2,none,opt-2.7b,1024,2,A_warm,0.3594,0.0,0,True
v2,none,opt-2.7b,2032,0,A_warm,1.134,0.0,0,True
v2,none,opt-2.7b,2032,1,A_warm,1.1321,0.0,0,True
v2,none,opt-2.7b,2032,2,A_warm,1.1343,0.0,0,True
v2,none,opt-2.7b,1024,-1,conc8_A,0.12,3.3262,0,True
v2,tiering,opt-2.7b,1024,0,A_warm,0.3662,0.145,64,True
v2,tiering,opt-2.7b,1024,0,B_cpu_hit,0.0666,0,1,True
v2,tiering,opt-2.7b,1024,0,C_tiering_fs,0.3159,0,64,True
v2,tiering,opt-2.7b,1024,1,A_warm,0.3797,0.134,64,True
v2,tiering,opt-2.7b,1024,1,B_cpu_hit,0.0772,0,1,True
v2,tiering,opt-2.7b,1024,1,C_tiering_fs,0.2638,0,64,True
v2,tiering,opt-2.7b,1024,2,A_warm,0.3795,0.135,64,True
v2,tiering,opt-2.7b,1024,2,B_cpu_hit,0.0664,0,1,True
v2,tiering,opt-2.7b,1024,2,C_tiering_fs,0.2438,0,64,True
v2,tiering,opt-2.7b,2032,0,A_warm,1.164,0.275,127,True
v2,tiering,opt-2.7b,2032,0,B_cpu_hit,0.1103,0,1,True
v2,tiering,opt-2.7b,2032,0,C_tiering_fs,0.4485,0,127,True
v2,tiering,opt-2.7b,2032,1,A_warm,1.1629,0.264,127,True
v2,tiering,opt-2.7b,2032,1,B_cpu_hit,0.1099,0,1,True
v2,tiering,opt-2.7b,2032,1,C_tiering_fs,0.4861,0,127,True
v2,tiering,opt-2.7b,2032,2,A_warm,1.1699,0.258,127,True
v2,tiering,opt-2.7b,2032,2,B_cpu_hit,0.1102,0,1,True
v2,tiering,opt-2.7b,2032,2,C_tiering_fs,0.4244,0,127,True
v2,tiering,opt-2.7b,1024,-1,conc8_C,1.431,2.8287,512,True
v2,expfs-cufile,opt-2.7b,1024,0,A_warm,0.3684,0.161,64,True
v2,expfs-cufile,opt-2.7b,1024,0,D_gds,0.324,0,64,True
v2,expfs-cufile,opt-2.7b,1024,1,A_warm,0.3579,0.135,64,True
v2,expfs-cufile,opt-2.7b,1024,1,D_gds,0.2896,0,64,True
v2,expfs-cufile,opt-2.7b,1024,2,A_warm,0.3581,0.135,64,True
v2,expfs-cufile,opt-2.7b,1024,2,D_gds,0.2844,0,64,True
v2,expfs-cufile,opt-2.7b,2032,0,A_warm,1.1486,0.261,127,True
v2,expfs-cufile,opt-2.7b,2032,0,D_gds,0.4554,0,127,True
v2,expfs-cufile,opt-2.7b,2032,1,A_warm,1.1548,0.265,127,True
v2,expfs-cufile,opt-2.7b,2032,1,D_gds,0.5079,0,127,True
v2,expfs-cufile,opt-2.7b,2032,2,A_warm,1.155,0.263,127,True
v2,expfs-cufile,opt-2.7b,2032,2,D_gds,0.4938,0,127,True
v2,expfs-cufile,opt-2.7b,1024,-1,conc8_D,1.9655,2.7577,512,True
v2,expfs-posix,opt-2.7b,1024,0,A_warm,0.3714,0.328,64,True
v2,expfs-posix,opt-2.7b,1024,0,E_posix,0.7333,0,64,True
v2,expfs-posix,opt-2.7b,1024,1,A_warm,0.365,0.173,64,True
v2,expfs-posix,opt-2.7b,1024,1,E_posix,0.5503,0,64,True
v2,expfs-posix,opt-2.7b,1024,2,A_warm,0.3649,0.169,64,True
v2,expfs-posix,opt-2.7b,1024,2,E_posix,0.7797,0,64,True
v2,expfs-posix,opt-2.7b,2032,0,A_warm,1.1545,0.361,127,True
v2,expfs-posix,opt-2.7b,2032,0,E_posix,1.0479,0,127,True
v2,expfs-posix,opt-2.7b,2032,1,A_warm,1.1766,0.351,127,True
v2,expfs-posix,opt-2.7b,2032,1,E_posix,0.9042,0,127,True
v2,expfs-posix,opt-2.7b,2032,2,A_warm,1.16,0.332,127,True
v2,expfs-posix,opt-2.7b,2032,2,E_posix,0.8091,0,127,True
v2,expfs-posix,opt-2.7b,1024,-1,conc8_E,1.6368,2.7575,512,True
v1,none,opt-2.7b,1024,0,A_warm,0.4211,0.0,0,True
v1,none,opt-2.7b,1024,1,A_warm,0.3598,0.0,0,True
v1,none,opt-2.7b,1024,2,A_warm,0.3638,0.0,0,True
v1,none,opt-2.7b,2032,0,A_warm,1.1529,0.0,0,True
v1,none,opt-2.7b,2032,1,A_warm,1.1521,0.0,0,True
v1,none,opt-2.7b,2032,2,A_warm,1.1516,0.0,0,True
v1,none,opt-2.7b,1024,-1,conc8_A,0.1194,2.754,0,True
v1,tiering,opt-2.7b,1024,0,A_warm,0.419,0.146,64,True
v1,tiering,opt-2.7b,1024,0,B_cpu_hit,0.0634,0,1,True
v1,tiering,opt-2.7b,1024,0,C_tiering_fs,0.486,0,64,True
v1,tiering,opt-2.7b,1024,1,A_warm,0.3662,0.132,64,True
v1,tiering,opt-2.7b,1024,1,B_cpu_hit,0.0622,0,1,True
v1,tiering,opt-2.7b,1024,1,C_tiering_fs,0.8852,0,64,True
v1,tiering,opt-2.7b,1024,2,A_warm,0.367,0.145,64,True
v1,tiering,opt-2.7b,1024,2,B_cpu_hit,0.061,0,1,True
v1,tiering,opt-2.7b,1024,2,C_tiering_fs,0.8767,0,64,True
v1,tiering,opt-2.7b,2032,0,A_warm,1.2148,0.273,127,True
v1,tiering,opt-2.7b,2032,0,B_cpu_hit,0.1028,0,1,True
v1,tiering,opt-2.7b,2032,0,C_tiering_fs,1.8754,0,127,True
v1,tiering,opt-2.7b,2032,1,A_warm,1.1878,0.273,127,True
v1,tiering,opt-2.7b,2032,1,B_cpu_hit,0.1026,0,1,True
v1,tiering,opt-2.7b,2032,1,C_tiering_fs,1.7651,0,127,True
v1,tiering,opt-2.7b,2032,2,A_warm,1.1607,0.273,127,True
v1,tiering,opt-2.7b,2032,2,B_cpu_hit,0.1034,0,1,True
v1,tiering,opt-2.7b,2032,2,C_tiering_fs,0.8648,0,127,True
v1,tiering,opt-2.7b,1024,-1,conc8_C,1.2588,2.8486,512,True
v1,expfs-cufile,opt-2.7b,1024,0,A_warm,0.4168,0.152,64,True
v1,expfs-cufile,opt-2.7b,1024,0,D_gds,0.2473,0,64,True
v1,expfs-cufile,opt-2.7b,1024,1,A_warm,0.3599,0.133,64,True
v1,expfs-cufile,opt-2.7b,1024,1,D_gds,0.5327,0,64,True
v1,expfs-cufile,opt-2.7b,1024,2,A_warm,0.3613,0.135,64,True
v1,expfs-cufile,opt-2.7b,1024,2,D_gds,1.0231,0,64,True
v1,expfs-cufile,opt-2.7b,2032,0,A_warm,1.1498,0.277,127,True
v1,expfs-cufile,opt-2.7b,2032,0,D_gds,0.929,0,127,True
v1,expfs-cufile,opt-2.7b,2032,1,A_warm,1.1571,0.279,127,True
v1,expfs-cufile,opt-2.7b,2032,1,D_gds,0.2541,0,127,True
v1,expfs-cufile,opt-2.7b,2032,2,A_warm,1.1529,0.265,127,True
v1,expfs-cufile,opt-2.7b,2032,2,D_gds,0.8671,0,127,True
v1,expfs-cufile,opt-2.7b,1024,-1,conc8_D,3.0116,2.772,512,True
v1,expfs-posix,opt-2.7b,1024,0,A_warm,0.4176,0.241,64,True
v1,expfs-posix,opt-2.7b,1024,0,E_posix,0.1904,0,64,True
v1,expfs-posix,opt-2.7b,1024,1,A_warm,0.3589,0.137,64,True
v1,expfs-posix,opt-2.7b,1024,1,E_posix,1.1075,0,64,True
v1,expfs-posix,opt-2.7b,1024,2,A_warm,0.3593,0.15,64,True
v1,expfs-posix,opt-2.7b,1024,2,E_posix,0.1943,0,64,True
v1,expfs-posix,opt-2.7b,2032,0,A_warm,1.1494,0.277,127,True
v1,expfs-posix,opt-2.7b,2032,0,E_posix,0.3482,0,127,True
v1,expfs-posix,opt-2.7b,2032,1,A_warm,1.1506,0.267,127,True
v1,expfs-posix,opt-2.7b,2032,1,E_posix,0.3209,0,127,True
v1,expfs-posix,opt-2.7b,2032,2,A_warm,1.1524,0.272,127,True
v1,expfs-posix,opt-2.7b,2032,2,E_posix,0.318,0,127,True
v1,expfs-posix,opt-2.7b,1024,-1,conc8_E,2.1144,2.7655,512,True
