tag,runner,design,block,i,chat_id,turn,prompt_tokens,ttft_s,cpu_s,matched_tokens,cached_tokens,ssd_read_ios,ssd_read_bytes,store_ios,store_bytes
v2-C-b64,v2,C,64,0,0,1,1008,0.3554,0.3607,0,0,0,0,0,0
v2-C-b64,v2,C,64,1,1,1,2032,1.2042,0.0706,0,16,0,0,15,314572800
v2-C-b64,v2,C,64,2,2,1,2032,1.1418,0.1284,0,16,0,0,22,461373440
v2-C-b64,v2,C,64,3,3,1,2032,1.1615,0.1375,0,112,0,0,40,838860800
v2-C-b64,v2,C,64,4,4,1,2032,1.1544,0.0931,0,0,0,0,29,608174080
v2-C-b64,v2,C,64,5,5,1,368,0.0763,0.0821,0,112,0,0,3,62914560
v2-C-b64,v2,C,64,6,6,1,160,0.0513,0.047,0,16,0,0,1,20971520
v2-C-b64,v2,C,64,7,7,1,1792,0.905,0.0638,0,16,0,0,3,62914560
v2-C-b64,v2,C,64,8,8,1,2032,1.1504,0.15,0,112,0,0,35,734003200
v2-C-b64,v2,C,64,9,9,1,1872,0.9952,0.1424,0,112,0,0,47,985661440
v2-C-b64,v2,C,64,10,10,1,2032,1.1511,0.1036,0,16,0,0,25,524288000
v2-C-b64,v2,C,64,11,11,1,1056,0.3967,0.0922,0,112,0,0,8,167772160
v2-C-b64,v2,C,64,12,12,1,2032,1.1034,0.0937,0,288,0,0,21,440401920
v2-C-b64,v2,C,64,13,13,1,48,0.0617,0.0622,0,16,0,0,1,20971520
v2-C-b64,v2,C,64,14,14,1,48,0.0277,0.0237,0,0,0,0,1,20971520
v2-C-b64,v2,C,64,15,15,1,176,0.0425,0.0317,0,0,0,0,8,167772160
v2-C-b64,v2,C,64,16,16,1,2032,0.1133,0.0866,0,2016,0,0,1,20971520
v2-C-b64,v2,C,64,17,17,1,208,0.0677,0.0562,0,16,0,0,5,104857600
v2-C-b64,v2,C,64,18,18,1,2032,1.1545,0.1227,0,112,0,0,4,83886080
v2-C-b64,v2,C,64,19,19,1,288,0.0852,0.0535,0,16,0,0,0,0
v2-C-b64,v2,C,64,20,20,1,448,0.1161,0.0527,0,112,0,0,0,0
v2-C-b64,v2,C,64,21,21,1,1184,1.025,0.642,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,22,22,1,2032,1.1336,0.1325,0,112,0,0,34,713031680
v2-C-b64,v2,C,64,23,23,1,2032,1.1504,0.0746,0,16,0,0,1,20971520
v2-C-b64,v2,C,64,24,24,1,2032,1.155,0.1088,0,112,0,0,21,440401920
v2-C-b64,v2,C,64,25,25,1,48,0.0437,0.0417,0,16,0,0,0,0
v2-C-b64,v2,C,64,26,26,1,2032,0.1234,0.076,1696,1984,0,0,0,0
v2-C-b64,v2,C,64,27,27,1,1920,1.0387,0.0757,0,16,0,0,9,188743680
v2-C-b64,v2,C,64,28,28,1,960,0.3499,0.0722,0,112,0,0,0,0
v2-C-b64,v2,C,64,29,29,1,2032,1.1429,0.0718,0,112,0,0,1,20971520
v2-C-b64,v2,C,64,30,30,1,2032,0.0768,0.0976,0,2016,0,0,31,650117120
v2-C-b64,v2,C,64,31,31,1,928,0.3126,0.0556,0,112,0,0,3,62914560
v2-C-b64,v2,C,64,32,32,1,2032,1.1578,0.0843,0,16,0,0,0,0
v2-C-b64,v2,C,64,33,33,1,64,0.0459,0.0448,0,0,0,0,0,0
v2-C-b64,v2,C,64,34,34,1,2032,1.1291,0.0728,0,112,0,0,26,545259520
v2-C-b64,v2,C,64,35,35,1,2032,7.848,6.993,0,0,0,0,79,1656750080
v2-C-b64,v2,C,64,36,36,1,1616,0.7793,0.0691,0,16,0,0,0,0
v2-C-b64,v2,C,64,37,37,1,2032,3.6231,3.6721,1696,1984,3,62914560,42,880803840
v2-C-b64,v2,C,64,38,38,1,496,0.1489,0.0515,0,16,0,0,0,0
v2-C-b64,v2,C,64,39,39,1,48,0.0395,0.0396,0,16,0,0,0,0
v2-C-b64,v2,C,64,40,40,2,2032,10.6464,10.628,1712,1728,27,566231040,103,2160066560
v2-C-b64,v2,C,64,41,41,1,2032,1.1521,0.0772,0,0,0,0,15,314572800
v2-C-b64,v2,C,64,42,42,1,816,0.2559,0.0543,0,112,0,0,1,20971520
v2-C-b64,v2,C,64,43,43,1,2032,1.153,0.074,0,16,0,0,12,251658240
v2-C-b64,v2,C,64,44,44,1,2032,7.8455,8.0418,1696,1984,27,566231040,87,1824522240
v2-C-b64,v2,C,64,45,45,1,2032,1.1579,0.0749,0,112,0,0,1,20971520
v2-C-b64,v2,C,64,46,46,1,128,0.0523,0.051,0,0,0,0,4,83886080
v2-C-b64,v2,C,64,47,47,1,896,0.2901,0.0397,0,112,0,0,1,20971520
v2-C-b64,v2,C,64,48,48,1,1760,4.9906,4.2844,0,112,0,0,40,838860800
v2-C-b64,v2,C,64,49,49,1,2032,0.0702,0.0798,0,2016,0,0,26,545259520
v2-C-b64,v2,C,64,50,50,1,2032,1.1501,0.0644,0,16,0,0,4,83886080
v2-C-b64,v2,C,64,51,51,1,2032,0.0645,0.0489,0,2016,0,0,0,0
v2-C-b64,v2,C,64,52,52,1,2032,1.1535,0.104,0,80,0,0,27,566231040
v2-C-b64,v2,C,64,53,53,1,240,0.0823,0.0677,0,112,0,0,0,0
v2-C-b64,v2,C,64,54,54,1,2032,0.0615,0.0414,0,2016,0,0,1,20971520
v2-C-b64,v2,C,64,55,55,1,2032,1.1574,0.0805,0,16,0,0,33,692060160
v2-C-b64,v2,C,64,56,56,1,336,0.1028,0.0698,0,112,0,0,1,20971520
v2-C-b64,v2,C,64,57,57,1,2032,8.0464,7.1159,0,32,0,0,63,1321205760
v2-C-b64,v2,C,64,58,58,1,160,0.0634,0.0849,0,0,0,0,31,650117120
v2-C-b64,v2,C,64,59,59,1,2032,0.0636,0.047,0,2016,0,0,2,41943040
v2-C-b64,v2,C,64,60,60,1,1152,0.4458,0.0666,0,0,0,0,0,0
v2-C-b64,v2,C,64,61,61,1,624,0.1728,0.0516,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,62,62,1,2032,1.1466,0.0778,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,63,63,1,2032,1.1602,0.1114,0,112,0,0,22,461373440
v2-C-b64,v2,C,64,64,64,1,2032,1.1626,0.0778,0,16,0,0,3,62914560
v2-C-b64,v2,C,64,65,65,1,2032,6.7108,5.7834,0,16,0,0,81,1698693120
v2-C-b64,v2,C,64,66,66,1,2032,1.1628,0.0966,0,112,0,0,11,230686720
v2-C-b64,v2,C,64,67,67,1,1488,0.7109,0.0715,0,32,0,0,3,62914560
v2-C-b64,v2,C,64,68,68,1,2032,7.0978,7.2493,1696,1984,8,167772160,64,1342177280
v2-C-b64,v2,C,64,69,69,1,2032,1.1563,0.0708,0,80,0,0,6,125829120
v2-C-b64,v2,C,64,70,70,1,2032,1.164,0.1002,0,16,0,0,34,713031680
v2-C-b64,v2,C,64,71,71,1,2032,1.5794,0.5469,0,112,0,0,9,188743680
v2-C-b64,v2,C,64,72,72,1,2032,4.8554,3.9887,576,576,9,188743680,44,922746880
v2-C-b64,v2,C,64,73,73,1,2032,6.5788,5.6469,112,128,2,41943040,33,692060160
v2-C-b64,v2,C,64,74,74,1,2032,1.0394,0.0841,0,592,0,0,29,608174080
v2-C-b64,v2,C,64,75,75,1,48,0.0579,0.0952,0,16,0,0,3,62914560
v2-C-b64,v2,C,64,76,76,1,48,0.0421,0.0467,0,16,0,0,1,20971520
v2-C-b64,v2,C,64,77,77,1,1920,1.0233,0.0499,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,78,78,1,2032,1.1539,0.0721,0,16,0,0,2,41943040
v2-C-b64,v2,C,64,79,79,1,1088,0.4207,0.0961,0,112,0,0,19,398458880
v2-C-b64,v2,C,64,80,80,1,2032,0.1005,0.0554,640,1984,0,0,0,0
v2-C-b64,v2,C,64,81,81,1,64,0.0472,0.0475,0,0,0,0,0,0
v2-C-b64,v2,C,64,82,82,1,2032,5.5218,4.607,448,448,7,146800640,51,1069547520
v2-C-b64,v2,C,64,83,83,1,2032,1.134,0.0673,0,112,0,0,1,20971520
v2-C-b64,v2,C,64,84,84,1,2032,1.2062,0.0924,0,16,0,0,18,377487360
v2-C-b64,v2,C,64,85,85,1,560,0.1355,0.0428,0,112,0,0,0,0
v2-C-b64,v2,C,64,86,86,1,2032,1.0602,0.0704,0,592,0,0,10,209715200
v2-C-b64,v2,C,64,87,87,1,48,0.0347,0.0347,0,16,0,0,0,0
v2-C-b64,v2,C,64,88,88,1,2032,1.203,0.1546,0,16,0,0,20,419430400
v2-C-b64,v2,C,64,89,89,1,2032,5.3959,4.43,0,112,1,20971520,51,1069547520
v2-C-b64,v2,C,64,90,90,1,2032,1.0283,0.0886,0,592,0,0,16,335544320
v2-C-b64,v2,C,64,91,91,1,1600,6.7393,6.4052,288,768,5,104857600,70,1468006400
v2-C-b64,v2,C,64,92,92,1,2032,1.1456,0.0747,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,93,93,1,1104,0.4281,0.0728,0,112,0,0,0,0
v2-C-b64,v2,C,64,94,94,2,2032,0.0908,0.0474,256,1984,0,0,0,0
v2-C-b64,v2,C,64,95,95,1,2032,4.758,4.8816,1984,1984,28,587202560,55,1153433600
v2-C-b64,v2,C,64,96,96,1,2032,1.1421,0.0712,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,97,97,1,2032,0.0654,0.0498,0,2016,0,0,0,0
v2-C-b64,v2,C,64,98,98,1,1152,4.0734,3.7899,0,112,0,0,46,964689920
v2-C-b64,v2,C,64,99,99,1,1696,0.8329,0.0663,0,112,0,0,3,62914560
v2-C-b64,v2,C,64,100,100,1,1808,0.9267,0.0859,0,16,0,0,14,293601280
v2-C-b64,v2,C,64,101,101,3,2032,0.0649,0.0469,0,2016,0,0,0,0
v2-C-b64,v2,C,64,102,102,1,528,0.1344,0.0491,0,112,0,0,0,0
v2-C-b64,v2,C,64,103,103,1,2032,5.4761,4.4625,0,16,0,0,49,1027604480
v2-C-b64,v2,C,64,104,104,2,1184,3.2541,3.1768,784,896,13,272629760,43,901775360
v2-C-b64,v2,C,64,105,105,1,2032,1.1387,0.0655,0,112,0,0,2,41943040
v2-C-b64,v2,C,64,106,106,1,2032,1.2089,0.0828,0,0,0,0,9,188743680
v2-C-b64,v2,C,64,107,107,1,2032,4.773,4.8728,1696,1984,27,566231040,51,1069547520
v2-C-b64,v2,C,64,108,108,1,2032,1.1625,0.0705,0,16,0,0,7,146800640
v2-C-b64,v2,C,64,109,109,1,2032,1.1625,0.0979,0,112,0,0,9,188743680
v2-C-b64,v2,C,64,110,110,1,2032,7.946,7.0005,0,16,0,0,62,1300234240
v2-C-b64,v2,C,64,111,111,1,944,0.3592,0.0816,0,16,0,0,22,461373440
v2-C-b64,v2,C,64,112,112,1,2032,2.5846,1.555,0,16,0,0,23,482344960
v2-C-b64,v2,C,64,113,113,2,2032,6.3891,6.4984,1872,1984,30,629145600,31,650117120
v2-C-b64,v2,C,64,114,114,1,1680,0.8344,0.0639,0,112,0,0,0,0
v2-C-b64,v2,C,64,115,115,1,2032,1.2152,0.0779,0,16,0,0,17,356515840
v2-C-b64,v2,C,64,116,116,1,2032,1.149,0.101,0,80,0,0,12,251658240
v2-C-b64,v2,C,64,117,117,1,624,0.1945,0.0554,0,16,0,0,0,0
v2-C-b64,v2,C,64,118,118,1,2032,1.1536,0.072,0,112,0,0,0,0
v2-C-b64,v2,C,64,119,119,1,2032,4.4107,3.4549,0,112,1,20971520,63,1321205760
v2-C-b64,v2,C,64,120,120,1,2032,1.1468,0.07,0,112,0,0,0,0
v2-C-b64,v2,C,64,121,121,1,768,0.2708,0.0696,0,112,0,0,0,0
v2-C-b64,v2,C,64,122,122,1,1968,1.0823,0.0861,0,112,0,0,21,440401920
v2-C-b64,v2,C,64,123,123,1,2032,8.6872,7.8759,576,576,9,188743680,81,1698693120
v2-C-b64,v2,C,64,124,124,1,2032,1.67,0.628,0,112,0,0,15,314572800
v2-C-b64,v2,C,64,125,125,1,2032,2.751,1.7083,0,112,1,20971520,16,335544320
v2-C-b64,v2,C,64,126,126,1,2032,6.6699,6.8242,1984,1984,31,650117120,73,1530920960
v2-C-b64,v2,C,64,127,127,1,2032,2.8064,1.7517,0,16,0,0,0,0
v2-C-b64,v2,C,64,128,128,1,48,0.0713,0.0756,0,16,0,0,31,650117120
v2-C-b64,v2,C,64,129,129,1,2032,1.1508,0.0836,0,16,0,0,0,0
v2-C-b64,v2,C,64,130,130,1,80,0.074,0.0689,0,16,0,0,4,83886080
v2-C-b64,v2,C,64,131,131,1,2032,4.576,3.6557,224,512,4,83886080,28,587202560
v2-C-b64,v2,C,64,132,132,1,944,0.3403,0.0707,0,16,0,0,20,419430400
v2-C-b64,v2,C,64,133,133,1,2032,1.1632,0.0754,0,32,0,0,2,41943040
v2-C-b64,v2,C,64,134,134,1,2032,1.1715,0.0865,0,112,0,0,0,0
v2-C-b64,v2,C,64,135,135,1,2032,1.1621,0.0957,0,16,0,0,32,671088640
