k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.1282,0,0,2,0
1,63,repeated,0,1.0505,0,0,4,16
2,45,one_shot,0,1.0781,0,0,1,16
3,55,repeated,0,1.1358,0,0,5,16
4,31,repeated,0,1.0556,0,0,1,16
5,0,far_reuse,0,1.1061,0,0,5,16
6,39,far_reuse,0,1.0551,0,0,1,16
7,29,one_shot,0,1.1064,0,0,5,16
8,4,near_reuse,0,1.0786,0,0,1,16
9,43,repeated,0,1.1083,0,0,5,16
10,42,one_shot,0,1.0942,0,0,1,16
11,30,repeated,0,1.0998,0,0,5,16
12,52,far_reuse,0,1.1012,0,0,1,16
13,55,repeated,1,1.0821,0,0,5,272
14,62,far_reuse,0,1.0623,0,0,1,16
15,15,near_reuse,0,1.1149,0,0,5,16
16,33,far_reuse,0,1.0863,0,0,1,16
17,4,near_reuse,1,0.08,0,0,2,1920
18,48,near_reuse,0,1.0843,0,0,4,16
19,22,repeated,0,1.1568,0,0,0,16
20,21,one_shot,0,1.0648,0,0,6,16
21,60,one_shot,0,1.0623,0,0,0,16
22,6,one_shot,0,1.0858,0,0,6,16
23,19,near_reuse,0,1.085,0,0,0,16
24,15,near_reuse,1,0.0797,0,0,2,1936
25,3,one_shot,0,1.0825,0,0,4,16
26,63,repeated,1,1.1586,0,0,0,16
27,8,near_reuse,0,1.1291,0,0,6,16
28,31,repeated,1,3.4024,304,5,0,320
29,48,near_reuse,1,1.0826,0,0,6,16
30,34,repeated,0,1.0816,0,0,0,16
31,24,far_reuse,0,1.0987,0,0,6,16
32,35,far_reuse,0,1.0624,0,0,0,16
33,14,near_reuse,0,1.1307,0,0,6,16
34,9,repeated,0,1.0832,0,0,0,16
35,43,repeated,1,1.0994,0,0,6,16
36,22,repeated,1,3.4491,368,6,0,384
37,30,repeated,1,1.1126,0,0,6,16
38,19,near_reuse,1,1.1498,368,6,0,384
39,2,near_reuse,0,1.0971,0,0,6,16
40,26,near_reuse,0,1.0838,0,0,0,16
41,8,near_reuse,1,1.085,0,0,6,16
42,5,repeated,0,1.061,0,0,0,16
43,25,repeated,0,1.0636,0,0,6,16
44,53,far_reuse,0,1.0633,0,0,0,16
45,27,one_shot,0,1.1127,0,0,6,16
46,14,near_reuse,1,1.1141,0,0,0,16
47,58,repeated,0,1.102,0,0,6,16
48,31,repeated,2,2.7705,688,11,4,704
49,23,repeated,0,1.0905,0,0,4,16
50,2,near_reuse,1,1.1213,0,0,2,16
51,38,far_reuse,0,1.1078,0,0,4,16
52,26,near_reuse,1,1.8412,368,6,2,384
53,20,repeated,0,1.0886,0,0,6,16
54,28,far_reuse,0,1.117,0,0,0,16
55,41,repeated,0,1.1178,0,0,6,16
56,11,one_shot,0,1.0661,0,0,0,16
57,16,one_shot,0,1.1034,0,0,6,16
58,34,repeated,1,2.4816,368,6,0,384
59,30,repeated,2,1.1176,0,0,6,16
60,10,near_reuse,0,1.1003,0,0,0,16
61,59,near_reuse,0,1.0894,0,0,6,16
62,0,far_reuse,1,1.1185,0,0,0,16
63,13,far_reuse,0,1.1317,0,0,6,16
64,39,far_reuse,1,2.6988,304,5,0,320
65,50,one_shot,0,1.1628,0,0,6,16
66,20,repeated,1,1.0658,0,0,0,16
67,49,far_reuse,0,1.0683,0,0,6,16
68,54,near_reuse,0,1.0903,0,0,0,16
69,46,near_reuse,0,1.0685,0,0,6,16
70,5,repeated,1,1.5421,368,6,0,384
71,40,near_reuse,0,1.0797,0,0,6,32
72,25,repeated,1,1.066,0,0,0,16
73,10,near_reuse,1,1.2426,368,6,6,384
74,17,repeated,0,1.0881,0,0,2,16
75,52,far_reuse,1,1.3487,304,5,4,320
76,59,near_reuse,1,1.087,0,0,4,16
77,18,far_reuse,0,1.0672,0,0,2,16
78,62,far_reuse,1,1.2311,304,5,4,320
79,7,far_reuse,0,1.0677,0,0,4,16
80,41,repeated,1,1.1333,0,0,2,16
81,51,near_reuse,0,1.0902,0,0,4,16
82,34,repeated,2,1.7935,752,12,2,768
83,22,repeated,2,2.1387,752,12,6,768
84,33,far_reuse,1,1.1631,304,5,2,320
85,36,near_reuse,0,1.1477,0,0,6,16
86,9,repeated,1,1.3068,368,6,0,384
87,54,near_reuse,1,2.8875,368,6,6,384
88,12,one_shot,0,1.0833,0,0,3,32
89,46,near_reuse,1,1.0944,0,0,3,16
90,56,one_shot,0,1.1518,0,0,3,16
91,40,near_reuse,1,1.0836,0,0,3,32
92,57,one_shot,0,1.1204,0,0,3,16
93,9,repeated,2,0.0675,0,0,2,1920
94,1,far_reuse,0,1.1049,0,0,4,16
95,58,repeated,1,1.2255,240,4,0,256
96,44,repeated,0,1.1055,0,0,6,16
97,32,far_reuse,0,1.0915,0,0,0,16
98,51,near_reuse,1,1.2215,112,2,6,128
99,47,near_reuse,0,1.0702,0,0,1,16
100,23,repeated,1,3.8284,112,2,5,128
101,63,repeated,2,1.8067,432,7,3,448
102,36,near_reuse,1,1.1334,0,0,6,16
103,61,one_shot,0,1.0924,0,0,0,16
104,32,far_reuse,1,0.07,0,0,2,1920
105,24,far_reuse,1,1.1197,0,0,4,16
106,44,repeated,2,0.0792,0,0,0,1936
107,35,far_reuse,1,1.3262,368,6,6,384
108,1,far_reuse,1,1.1053,0,0,2,16
109,25,repeated,2,1.4482,368,6,4,384
110,5,repeated,2,1.3483,752,12,5,768
111,55,repeated,2,1.4475,112,2,3,128
112,7,far_reuse,1,2.0318,112,2,5,128
113,47,near_reuse,1,1.9795,304,5,3,320
114,58,repeated,2,1.8785,624,10,6,640
115,43,repeated,2,1.105,0,0,2,16
116,18,far_reuse,1,1.9325,240,4,4,256
117,17,repeated,2,2.0345,240,4,4,256
118,17,repeated,1,0.1102,0,0,2,1920
119,53,far_reuse,1,2.1214,368,6,2,384
120,44,repeated,1,5.5376,368,6,6,384
121,23,repeated,2,1.2653,304,5,3,320
122,20,repeated,2,2.6173,368,6,5,384
123,49,far_reuse,1,1.1566,0,0,4,16
124,13,far_reuse,1,1.1428,0,0,2,16
125,38,far_reuse,1,1.3904,112,2,4,128
126,41,repeated,2,1.7699,240,4,4,256
127,28,far_reuse,1,1.6905,368,6,5,384
