k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.1066,0,0,0,0
1,63,repeated,0,1.0405,0,0,0,16
2,45,one_shot,0,1.0699,0,0,0,16
3,55,repeated,0,1.1264,0,0,0,16
4,31,repeated,0,1.0536,0,0,0,16
5,0,far_reuse,0,1.1029,0,0,0,16
6,39,far_reuse,0,1.0534,0,0,0,16
7,29,one_shot,0,1.1032,0,0,0,16
8,4,near_reuse,0,1.0778,0,0,0,16
9,43,repeated,0,1.1036,0,0,0,16
10,42,one_shot,0,1.0914,0,0,0,16
11,30,repeated,0,1.0911,0,0,0,16
12,52,far_reuse,0,1.0909,0,0,0,16
13,55,repeated,1,1.0745,0,0,0,272
14,62,far_reuse,0,1.0643,0,0,12,16
15,15,near_reuse,0,1.1049,0,0,2,16
16,33,far_reuse,0,1.078,0,0,0,16
17,4,near_reuse,1,0.0785,0,0,0,1920
18,48,near_reuse,0,1.0836,0,0,13,16
19,22,repeated,0,1.15,0,0,1,16
20,21,one_shot,0,1.062,0,0,0,16
21,60,one_shot,0,1.0617,0,0,0,16
22,6,one_shot,0,1.0824,0,0,0,16
23,19,near_reuse,0,1.0845,0,0,0,16
24,15,near_reuse,1,0.0795,0,0,0,1936
25,3,one_shot,0,1.0892,0,0,14,16
26,63,repeated,1,1.1559,0,0,0,16
27,8,near_reuse,0,1.1353,0,0,14,16
28,31,repeated,1,1.0618,0,0,0,16
29,48,near_reuse,1,1.0899,0,0,12,16
30,34,repeated,0,1.0826,0,0,2,16
31,24,far_reuse,0,1.0986,0,0,0,16
32,35,far_reuse,0,1.0628,0,0,0,16
33,14,near_reuse,0,1.1267,0,0,0,16
34,9,repeated,0,1.0846,0,0,0,16
35,43,repeated,1,1.0966,0,0,0,16
36,22,repeated,1,1.1638,0,0,14,16
37,30,repeated,1,1.1128,0,0,0,16
38,19,near_reuse,1,1.0909,0,0,13,16
39,2,near_reuse,0,1.0982,0,0,1,16
40,26,near_reuse,0,1.0858,0,0,0,16
41,8,near_reuse,1,1.0841,0,0,0,16
42,5,repeated,0,1.0686,0,0,14,16
43,25,repeated,0,1.0631,0,0,0,16
44,53,far_reuse,0,1.0624,0,0,0,16
45,27,one_shot,0,1.1134,0,0,0,16
46,14,near_reuse,1,1.1142,0,0,0,16
47,58,repeated,0,1.1074,0,0,14,16
48,31,repeated,2,3.6981,752,12,0,768
49,23,repeated,0,1.0829,0,0,13,16
50,2,near_reuse,1,1.1116,0,0,1,16
51,38,far_reuse,0,1.1045,0,0,13,16
52,26,near_reuse,1,1.0853,0,0,0,16
53,20,repeated,0,1.0901,0,0,12,16
54,28,far_reuse,0,1.1139,0,0,0,16
55,41,repeated,0,1.1128,0,0,0,16
56,11,one_shot,0,1.0627,0,0,0,16
57,16,one_shot,0,1.0993,0,0,0,16
58,34,repeated,1,1.0841,0,0,0,16
59,30,repeated,2,1.34,880,14,14,896
60,10,near_reuse,0,1.0925,0,0,3,16
61,59,near_reuse,0,1.0839,0,0,0,16
62,0,far_reuse,1,1.1125,0,0,0,16
63,13,far_reuse,0,1.1345,0,0,13,16
64,39,far_reuse,1,1.0639,0,0,1,16
65,50,one_shot,0,1.1637,0,0,12,16
66,20,repeated,1,1.0628,0,0,0,16
67,49,far_reuse,0,1.0715,0,0,13,16
68,54,near_reuse,0,1.0863,0,0,1,16
69,46,near_reuse,0,1.0629,0,0,0,16
70,5,repeated,1,1.0834,0,0,0,16
71,40,near_reuse,0,1.0862,0,0,13,32
72,25,repeated,1,1.0636,0,0,1,16
73,10,near_reuse,1,1.1003,0,0,11,16
74,17,repeated,0,1.0837,0,0,3,16
75,52,far_reuse,1,1.0986,0,0,0,16
76,59,near_reuse,1,1.0924,0,0,13,16
77,18,far_reuse,0,1.0645,0,0,1,16
78,62,far_reuse,1,1.0627,0,0,0,16
79,7,far_reuse,0,1.0707,0,0,13,16
80,41,repeated,1,1.1285,0,0,1,16
81,51,near_reuse,0,1.0906,0,0,12,16
82,34,repeated,2,0.9172,880,14,0,896
83,22,repeated,2,1.154,0,0,12,16
84,33,far_reuse,1,1.0817,0,0,2,16
85,36,near_reuse,0,1.1423,0,0,12,16
86,9,repeated,1,1.0818,0,0,0,16
87,54,near_reuse,1,1.0943,0,0,14,16
88,12,one_shot,0,1.0834,0,0,0,32
89,46,near_reuse,1,1.0902,0,0,0,16
90,56,one_shot,0,1.1575,0,0,13,16
91,40,near_reuse,1,1.0849,0,0,1,32
92,57,one_shot,0,1.1237,0,0,11,16
93,9,repeated,2,0.0675,0,0,0,1920
94,1,far_reuse,0,1.1058,0,0,12,16
95,58,repeated,1,1.1214,0,0,2,16
96,44,repeated,0,1.1075,0,0,12,16
97,32,far_reuse,0,1.0911,0,0,0,16
98,51,near_reuse,1,1.0911,0,0,0,16
99,47,near_reuse,0,1.0785,0,0,13,16
100,23,repeated,1,1.0913,0,0,1,16
101,63,repeated,2,1.4312,880,14,11,896
102,36,near_reuse,1,1.1299,0,0,9,16
103,61,one_shot,0,1.0868,0,0,5,16
104,32,far_reuse,1,0.0648,0,0,0,1920
105,24,far_reuse,1,1.1252,0,0,14,16
106,44,repeated,2,0.079,0,0,0,1936
107,35,far_reuse,1,1.1659,0,0,12,16
108,1,far_reuse,1,1.1023,0,0,3,16
109,25,repeated,2,1.698,688,11,14,704
110,5,repeated,2,1.7351,880,14,4,896
111,55,repeated,2,1.2486,880,14,12,896
112,7,far_reuse,1,1.1599,0,0,6,16
113,47,near_reuse,1,1.0907,0,0,8,16
114,58,repeated,2,1.8937,752,12,6,768
115,43,repeated,2,1.4433,880,14,12,896
116,18,far_reuse,1,1.0846,0,0,5,16
117,17,repeated,2,1.0708,0,0,9,16
118,17,repeated,1,0.0998,0,0,3,1920
119,53,far_reuse,1,1.0615,0,0,2,16
120,44,repeated,1,1.6567,752,12,10,768
121,23,repeated,2,2.17,688,11,8,704
122,20,repeated,2,1.8603,880,14,9,896
123,49,far_reuse,1,1.1599,0,0,9,16
124,13,far_reuse,1,1.1457,0,0,5,16
125,38,far_reuse,1,1.103,0,0,9,16
126,41,repeated,2,2.7747,752,12,10,768
127,28,far_reuse,1,1.15,0,0,8,16
