k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.0785,0,0,0,0
1,63,repeated,0,1.0911,0,0,0,16
2,45,one_shot,0,1.095,0,0,0,16
3,55,repeated,0,1.1495,0,0,0,16
4,31,repeated,0,1.0614,0,0,0,16
5,0,far_reuse,0,1.1179,0,0,0,16
6,39,far_reuse,0,1.0616,0,0,0,16
7,29,one_shot,0,1.1208,0,0,0,16
8,4,near_reuse,0,1.0998,0,0,0,16
9,43,repeated,0,1.1171,0,0,0,16
10,42,one_shot,0,1.112,0,0,0,16
11,30,repeated,0,1.1009,0,0,0,16
12,52,far_reuse,0,1.115,0,0,0,16
13,55,repeated,1,0.185,1648,0,0,1920
14,62,far_reuse,0,2.423,0,0,0,16
15,15,near_reuse,0,1.1283,0,0,0,16
16,33,far_reuse,0,1.0918,0,0,0,16
17,4,near_reuse,1,0.1135,0,0,0,1920
18,48,near_reuse,0,1.0926,0,0,0,16
19,22,repeated,0,1.1661,0,0,0,16
20,21,one_shot,0,1.0632,0,0,0,16
21,60,one_shot,0,1.0769,0,0,0,16
22,6,one_shot,0,1.1124,0,0,0,16
23,19,near_reuse,0,5.6346,0,0,0,16
24,15,near_reuse,1,0.0833,0,0,0,1936
25,3,one_shot,0,1.1119,0,0,0,16
26,63,repeated,1,5.0096,1904,0,0,1920
27,8,near_reuse,0,1.133,0,0,0,16
28,31,repeated,1,4.6791,1904,0,0,1920
29,48,near_reuse,1,0.1296,1904,0,0,1920
30,34,repeated,0,1.0952,0,0,0,16
31,24,far_reuse,0,6.756,0,0,0,16
32,35,far_reuse,0,1.182,0,0,0,16
33,14,near_reuse,0,1.1474,0,0,0,16
34,9,repeated,0,1.1016,0,0,0,16
35,43,repeated,1,5.051,1920,0,0,1936
36,22,repeated,1,3.6458,1904,0,0,1920
37,30,repeated,1,4.4736,1920,0,0,1936
38,19,near_reuse,1,0.1287,1904,0,0,1920
39,2,near_reuse,0,1.1145,0,0,0,16
40,26,near_reuse,0,1.4776,0,0,0,16
41,8,near_reuse,1,0.1375,1904,0,0,1920
42,5,repeated,0,1.0653,0,0,0,16
43,25,repeated,0,1.0728,0,0,0,16
44,53,far_reuse,0,1.115,0,0,0,16
45,27,one_shot,0,1.1195,0,0,0,16
46,14,near_reuse,1,0.1652,1904,0,0,1920
47,58,repeated,0,1.1117,0,0,0,16
48,31,repeated,2,5.0377,1904,0,0,1920
49,23,repeated,0,1.6506,0,0,0,16
50,2,near_reuse,1,0.1399,1920,0,0,1936
51,38,far_reuse,0,7.2825,0,0,0,16
52,26,near_reuse,1,0.1384,1904,0,0,1920
53,20,repeated,0,1.0956,0,0,0,16
54,28,far_reuse,0,1.1339,0,0,0,16
55,41,repeated,0,3.6699,0,0,0,16
56,11,one_shot,0,1.075,0,0,0,16
57,16,one_shot,0,1.1236,0,0,0,16
58,34,repeated,1,4.882,1904,0,0,1920
59,30,repeated,2,5.1747,1920,0,0,1936
60,10,near_reuse,0,1.1103,0,0,0,16
61,59,near_reuse,0,1.6315,0,0,0,16
62,0,far_reuse,1,4.7163,1904,0,0,1920
63,13,far_reuse,0,1.1416,0,0,0,16
