k,doc,category,occ,ttft_s,matched,ssd_read_ios,write_ios,cached
0,37,one_shot,0,1.0736,0,0,0,0
1,63,repeated,0,1.04,0,0,0,16
2,45,one_shot,0,1.0708,0,0,0,16
3,55,repeated,0,1.1273,0,0,0,16
4,31,repeated,0,1.0454,0,0,0,16
5,0,far_reuse,0,1.1067,0,0,0,16
6,39,far_reuse,0,1.0557,0,0,0,16
7,29,one_shot,0,1.1098,0,0,0,16
8,4,near_reuse,0,1.0796,0,0,0,16
9,43,repeated,0,1.1105,0,0,0,16
10,42,one_shot,0,1.0965,0,0,0,16
11,30,repeated,0,1.0971,0,0,0,16
12,52,far_reuse,0,1.0957,0,0,0,16
13,55,repeated,1,1.0812,0,0,2,272
14,62,far_reuse,0,1.0652,0,0,12,16
15,15,near_reuse,0,1.1108,0,0,0,16
16,33,far_reuse,0,1.0811,0,0,0,16
17,4,near_reuse,1,0.08,0,0,0,1920
18,48,near_reuse,0,1.0891,0,0,14,16
19,22,repeated,0,1.1507,0,0,0,16
20,21,one_shot,0,1.0554,0,0,0,16
21,60,one_shot,0,1.0579,0,0,0,16
22,6,one_shot,0,1.0872,0,0,0,16
23,19,near_reuse,0,1.0863,0,0,0,16
24,15,near_reuse,1,0.0924,0,0,2,1936
25,3,one_shot,0,1.0908,0,0,10,16
26,63,repeated,1,1.1664,0,0,4,16
27,8,near_reuse,0,1.1417,0,0,12,16
28,31,repeated,1,1.0701,0,0,2,16
29,48,near_reuse,1,1.0967,0,0,12,16
30,34,repeated,0,1.0879,0,0,0,16
31,24,far_reuse,0,1.1032,0,0,0,16
32,35,far_reuse,0,1.0638,0,0,0,16
33,14,near_reuse,0,1.1326,0,0,0,16
34,9,repeated,0,1.0878,0,0,0,16
35,43,repeated,1,1.1026,0,0,0,16
36,22,repeated,1,1.1667,0,0,13,16
37,30,repeated,1,1.1185,0,0,1,16
38,19,near_reuse,1,1.0899,0,0,11,16
39,2,near_reuse,0,1.1042,0,0,3,16
40,26,near_reuse,0,1.0876,0,0,0,16
41,8,near_reuse,1,1.0883,0,0,0,16
42,5,repeated,0,1.0697,0,0,13,16
43,25,repeated,0,1.0645,0,0,1,16
44,53,far_reuse,0,1.0634,0,0,0,16
45,27,one_shot,0,1.1177,0,0,0,16
46,14,near_reuse,1,1.1236,0,0,2,16
47,58,repeated,0,1.1157,0,0,11,16
48,31,repeated,2,1.379,880,14,3,896
49,23,repeated,0,1.0803,0,0,9,16
50,2,near_reuse,1,1.1263,0,0,5,16
51,38,far_reuse,0,1.1029,0,0,11,16
52,26,near_reuse,1,1.0926,0,0,3,16
53,20,repeated,0,1.0921,0,0,12,16
54,28,far_reuse,0,1.1131,0,0,0,16
55,41,repeated,0,1.112,0,0,0,16
56,11,one_shot,0,1.0602,0,0,0,16
57,16,one_shot,0,1.1005,0,0,0,16
58,34,repeated,1,1.0842,0,0,0,16
59,30,repeated,2,1.2127,688,11,14,704
60,10,near_reuse,0,1.0977,0,0,11,16
61,59,near_reuse,0,1.083,0,0,3,16
62,0,far_reuse,1,1.1257,0,0,2,16
63,13,far_reuse,0,1.1353,0,0,12,16
64,39,far_reuse,1,1.0697,0,0,2,16
65,50,one_shot,0,1.1655,0,0,11,16
66,20,repeated,1,1.0705,0,0,3,16
67,49,far_reuse,0,1.0721,0,0,12,16
68,54,near_reuse,0,1.0883,0,0,0,16
69,46,near_reuse,0,1.0636,0,0,0,16
70,5,repeated,1,1.1028,0,0,2,16
71,40,near_reuse,0,1.0824,0,0,9,32
72,25,repeated,1,1.0642,0,0,3,16
73,10,near_reuse,1,1.1047,0,0,10,16
74,17,repeated,0,1.0887,0,0,4,16
75,52,far_reuse,1,1.1047,0,0,0,16
76,59,near_reuse,1,1.0973,0,0,12,16
77,18,far_reuse,0,1.0638,0,0,2,16
78,62,far_reuse,1,1.0714,0,0,2,16
79,7,far_reuse,0,1.072,0,0,10,16
80,41,repeated,1,1.1328,0,0,2,16
81,51,near_reuse,0,1.0935,0,0,10,16
82,34,repeated,2,1.1532,880,14,2,896
83,22,repeated,2,1.1525,0,0,9,16
84,33,far_reuse,1,1.0963,0,0,5,16
85,36,near_reuse,0,1.1483,0,0,11,16
86,9,repeated,1,1.0959,0,0,2,16
87,54,near_reuse,1,1.0897,0,0,12,16
88,12,one_shot,0,1.0735,0,0,1,32
89,46,near_reuse,1,1.0838,0,0,0,16
90,56,one_shot,0,1.1488,0,0,12,16
91,40,near_reuse,1,1.0747,0,0,2,32
92,57,one_shot,0,1.1141,0,0,10,16
93,9,repeated,2,0.0803,0,0,2,1920
94,1,far_reuse,0,1.0955,0,0,9,16
95,58,repeated,1,1.1134,0,0,3,16
96,44,repeated,0,1.1033,0,0,11,16
97,32,far_reuse,0,1.0851,0,0,0,16
98,51,near_reuse,1,1.0907,0,0,2,16
99,47,near_reuse,0,1.0715,0,0,10,16
100,23,repeated,1,1.088,0,0,4,16
101,63,repeated,2,2.3104,880,14,14,896
102,36,near_reuse,1,1.1227,0,0,9,16
103,61,one_shot,0,1.0848,0,0,3,16
104,32,far_reuse,1,0.0665,0,0,0,1920
105,24,far_reuse,1,1.1221,0,0,14,16
106,44,repeated,2,0.0908,0,0,2,1936
107,35,far_reuse,1,1.1616,0,0,12,16
108,1,far_reuse,1,1.0981,0,0,1,16
109,25,repeated,2,2.1529,624,10,14,640
110,5,repeated,2,1.9293,880,14,14,896
111,55,repeated,2,2.3019,880,14,16,896
112,7,far_reuse,1,1.152,0,0,9,16
113,47,near_reuse,1,1.0967,0,0,5,16
114,58,repeated,2,1.9735,688,11,12,704
115,43,repeated,2,1.817,880,14,14,896
116,18,far_reuse,1,1.0829,0,0,11,16
117,17,repeated,2,1.071,0,0,5,16
118,17,repeated,1,0.1145,0,0,1,1920
119,53,far_reuse,1,1.0578,0,0,11,16
120,44,repeated,1,1.2109,880,14,4,896
121,23,repeated,2,1.7896,880,14,12,896
122,20,repeated,2,1.7997,880,14,16,896
123,49,far_reuse,1,1.1511,0,0,9,16
124,13,far_reuse,1,1.1476,0,0,5,16
125,38,far_reuse,1,1.1083,0,0,12,16
126,41,repeated,2,1.1686,624,10,0,640
127,28,far_reuse,1,1.1444,0,0,12,16
