i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.355,0,0,0,0,0
1,1.1566,0,0,0,32,167772160
2,1.1491,0,0,0,44,230686720
3,1.136,0,0,0,144,754974720
4,1.2145,0,0,0,107,560988160
5,0.0816,0,0,0,20,104857600
6,0.0536,0,0,0,1,5242880
7,0.9167,0,0,0,43,225443840
8,1.1375,0,0,0,171,896532480
9,0.9842,0,0,0,158,828375040
10,1.1585,0,0,0,97,508559360
11,0.3856,0,0,0,119,623902720
12,1.1024,0,0,0,67,351272960
13,0.0622,0,0,0,7,36700160
14,0.875,0,0,0,61,319815680
15,0.1186,0,0,0,8,41943040
16,0.1006,16,0,0,3,15728640
17,0.0597,0,0,0,0,0
18,1.1274,0,0,0,70,367001600
19,0.0741,0,0,0,5,26214400
20,0.1051,0,0,0,4,20971520
21,0.4487,0,0,0,28,146800640
22,1.1339,0,0,0,60,314572800
23,1.1501,0,0,0,65,340787200
24,1.1484,0,0,0,66,346030080
25,0.0461,0,0,0,1,5242880
26,0.0876,1744,0,0,4,20971520
27,1.0318,0,0,0,37,193986560
28,0.3367,0,0,0,28,146800640
29,1.1408,0,0,0,56,293601280
30,0.0483,16,0,0,1,5242880
31,0.3016,0,0,0,18,94371840
32,1.1658,0,0,0,50,262144000
33,0.0483,32,0,0,3,15728640
34,1.7836,0,0,0,74,387973120
35,1.1639,0,0,0,47,246415360
36,0.7857,0,0,0,33,173015040
37,1.9933,1744,43,225443840,69,361758720
38,0.6997,0,0,0,30,157286400
39,0.0474,0,0,0,2,10485760
40,4.8909,1760,110,576716800,152,796917760
41,1.1561,0,0,0,36,188743680
42,3.777,0,0,0,128,671088640
43,1.2082,0,0,0,50,262144000
44,4.168,1744,109,571473920,134,702545920
45,1.1457,0,0,0,34,178257920
46,5.2781,32,2,10485760,177,927989760
47,0.3249,0,0,0,7,36700160
48,0.9239,0,0,0,37,193986560
49,0.0457,16,0,0,0,0
50,1.1485,0,0,0,33,173015040
51,1.089,16,1,5242880,36,188743680
52,1.1464,0,0,0,44,230686720
53,0.0514,0,0,0,0,0
54,0.0473,16,0,0,0,0
55,5.1898,0,0,0,197,1032847360
56,0.082,0,0,0,3,15728640
57,1.1526,0,0,0,37,193986560
58,0.0531,0,0,0,0,0
59,0.0515,16,0,0,0,0
60,0.4298,0,0,0,19,99614720
61,0.1782,0,0,0,7,36700160
62,1.1452,0,0,0,35,183500800
63,1.1969,0,0,0,31,162529280
64,1.155,0,0,0,47,246415360
65,5.1151,0,0,0,185,969932800
66,1.1652,0,0,0,40,209715200
67,0.6741,0,0,0,24,125829120
68,5.615,1744,109,571473920,180,943718400
69,1.1744,16,0,0,44,230686720
70,1.8444,0,0,0,65,340787200
71,1.1457,0,0,0,42,220200960
72,3.991,592,37,193986560,125,655360000
73,6.5879,144,9,47185920,228,1195376640
74,1.0299,0,0,0,42,220200960
75,0.0522,0,0,0,1,5242880
76,0.0254,0,0,0,1,5242880
77,1.0293,0,0,0,41,214958080
78,1.1624,0,0,0,42,220200960
79,0.3975,0,0,0,10,52428800
80,4.2892,688,43,225443840,135,707788800
81,1.1239,32,2,10485760,45,235929600
82,2.439,480,30,157286400,79,414187520
83,1.1442,0,0,0,41,214958080
84,1.1808,0,0,0,35,183500800
85,1.4892,0,0,0,46,241172480
86,1.0691,0,0,0,46,241172480
87,0.0473,0,0,0,4,20971520
88,1.1452,0,0,0,42,220200960
89,1.8141,16,1,5242880,70,367001600
90,1.0347,0,0,0,37,193986560
91,2.1391,304,19,99614720,69,361758720
92,1.1426,0,0,0,41,214958080
93,0.4222,0,0,0,19,99614720
94,0.0525,304,0,0,2,10485760
95,4.9455,0,84,440401920,160,838860800
96,1.1386,0,18,94371840,47,246415360
97,1.0288,16,1,5242880,39,204472320
98,0.4285,0,0,0,12,62914560
99,0.8362,0,0,0,32,167772160
100,0.9378,0,0,0,16,83886080
101,0.0508,16,0,0,0,0
102,0.1277,0,0,0,31,162529280
103,1.161,0,0,0,38,199229440
104,6.2921,800,50,262144000,225,1179648000
105,1.1395,0,0,0,42,220200960
106,1.1687,0,0,0,33,173015040
107,3.0992,1744,109,571473920,107,560988160
108,3.3755,0,0,0,114,597688320
109,1.1443,0,0,0,50,262144000
110,1.1706,0,0,0,44,230686720
111,0.3343,0,0,0,12,62914560
112,1.1626,0,0,0,40,209715200
113,5.5927,1920,120,629145600,197,1032847360
114,0.8264,0,0,0,23,120586240
115,1.1798,0,0,0,50,262144000
116,1.9261,16,1,5242880,65,340787200
117,0.1999,0,0,0,5,26214400
118,1.143,0,0,0,29,152043520
119,2.1615,16,1,5242880,90,471859200
120,4.0176,0,0,0,161,844103680
121,0.2418,0,0,0,11,57671680
122,1.086,0,0,0,35,183500800
123,3.385,592,37,193986560,119,623902720
124,5.8066,0,0,0,217,1137704960
125,1.8817,16,1,5242880,70,367001600
126,5.7446,2032,127,665845760,197,1032847360
127,1.8196,16,1,5242880,56,293601280
128,0.0486,0,0,0,23,120586240
129,2.1995,0,0,0,73,382730240
130,0.0594,0,0,0,2,10485760
131,2.1146,256,16,83886080,75,393216000
