i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.355,0,0,0,0,0
1,1.1364,0,0,0,0,0
2,1.14,0,0,0,0,0
3,1.1276,0,0,0,0,0
4,1.1512,0,0,0,1,20971520
5,0.0718,0,0,0,0,0
6,0.0478,0,0,0,0,0
7,0.9071,0,0,0,0,0
8,1.1387,0,0,0,0,0
9,0.9761,0,0,0,0,0
10,1.154,0,0,0,0,0
11,0.3721,0,0,0,0,0
12,1.1013,0,0,0,0,0
13,0.0439,0,0,0,2,41943040
14,0.0464,0,0,0,0,0
15,0.0419,0,0,0,0,0
16,0.1083,0,0,0,2,41943040
17,0.0501,0,0,0,0,0
18,1.1309,0,0,0,4,83886080
19,0.0699,0,0,0,0,0
20,0.0985,0,0,0,0,0
21,0.4379,0,0,0,0,0
22,1.1339,0,0,0,0,0
23,1.1461,0,0,0,0,0
24,1.1331,0,0,0,0,0
25,0.0395,0,0,0,0,0
26,1.1027,0,0,0,2,41943040
27,1.0335,0,0,0,10,209715200
28,0.3207,0,0,0,2,41943040
29,1.1406,0,0,0,0,0
30,0.0643,0,0,0,0,0
31,0.3055,0,0,0,5,104857600
32,1.1526,0,0,0,1,20971520
33,0.0418,0,0,0,0,0
34,1.1355,0,0,0,0,0
35,1.1537,0,0,0,0,0
36,0.7712,0,0,0,0,0
37,1.104,0,0,0,0,0
38,0.119,0,0,0,2,41943040
39,0.0402,0,0,0,0,0
40,1.1505,0,0,0,4,83886080
41,1.1552,0,0,0,8,167772160
42,0.2536,0,0,0,0,0
43,1.1556,0,0,0,0,0
44,1.1595,1248,20,408944640,0,0
45,1.1355,0,0,0,6,125829120
46,0.0443,0,0,0,0,0
47,0.2899,0,0,0,0,0
48,0.877,0,0,0,0,0
49,0.0646,0,0,0,0,0
50,1.1468,0,0,0,1,20971520
51,0.0647,0,0,0,0,0
52,1.1472,0,0,0,6,125829120
53,0.0492,0,0,0,0,0
54,0.0582,0,0,0,0,0
55,1.1489,0,0,0,0,0
56,0.0652,0,0,0,0,0
57,1.1509,0,0,0,0,0
58,0.0474,0,0,0,0,0
59,0.0593,0,0,0,0,0
60,0.4316,0,0,0,0,0
61,0.1601,0,0,0,0,0
62,1.1476,0,0,0,0,0
63,1.1463,0,0,0,0,0
64,1.1599,0,0,0,0,0
65,1.1602,0,0,0,0,0
66,1.1459,0,0,0,0,0
67,0.6696,0,0,0,0,0
68,1.0387,736,12,241172480,0,0
69,1.1598,0,0,0,6,125829120
70,1.1596,0,0,0,0,0
71,1.1462,0,0,0,0,0
72,1.1615,0,0,0,2,41943040
73,2.1227,112,2,36700160,7,146800640
74,1.0295,0,0,0,0,0
75,0.0427,0,0,0,0,0
76,0.0282,0,0,0,0,0
77,1.0363,0,0,0,0,0
78,1.1601,0,0,0,0,0
79,0.3926,0,0,0,0,0
80,0.7007,64,1,20971520,0,0
81,0.0426,0,0,0,2,41943040
82,1.1564,0,0,0,4,83886080
83,1.1468,0,0,0,5,104857600
84,1.1587,0,0,0,2,41943040
85,0.1307,0,0,0,0,0
86,1.0305,0,0,0,0,0
87,0.0431,0,0,0,0,0
88,1.1558,0,0,0,0,0
89,1.1482,0,0,0,0,0
90,1.0312,0,0,0,1,20971520
91,0.6625,0,0,0,0,0
92,1.1483,0,0,0,5,104857600
93,0.4015,0,0,0,0,0
94,0.3344,0,0,0,0,0
95,1.5325,1792,28,587202560,6,125829120
96,1.143,0,0,0,3,62914560
97,0.0643,0,0,0,0,0
98,0.4242,0,0,0,0,0
99,0.83,0,0,0,0,0
100,0.9294,0,0,0,0,0
101,0.0645,0,0,0,0,0
102,0.1205,0,0,0,2,41943040
103,1.1573,0,0,0,4,83886080
104,0.4428,0,0,0,0,0
105,1.1443,0,0,0,13,272629760
106,1.1565,0,0,0,0,0
107,0.4649,1696,27,555745280,0,0
108,1.1543,0,0,0,0,0
109,1.1413,0,0,0,0,0
110,1.1673,0,0,0,0,0
111,0.3284,0,0,0,0,0
112,1.1686,0,0,0,0,0
113,1.1576,0,0,0,0,0
114,0.8305,0,0,0,10,209715200
115,1.1686,0,0,0,4,83886080
116,1.1694,0,0,0,0,0
117,0.1804,0,0,0,0,0
118,1.1559,0,0,0,0,0
119,1.1547,0,0,0,0,0
120,1.1545,0,0,0,0,0
121,0.239,0,0,0,0,0
122,1.0933,0,0,0,0,0
123,1.3837,576,9,188743680,0,0
124,1.1542,0,0,0,0,0
125,1.1552,0,0,0,0,0
126,0.7459,1984,31,650117120,1,20971520
127,1.1683,0,0,0,0,0
128,0.0422,0,0,0,0,0
129,1.1649,0,0,0,0,0
130,0.0433,0,0,0,0,0
131,1.1685,224,4,73400320,0,0
132,0.3276,0,0,0,0,0
133,1.1663,0,0,0,0,0
134,1.1549,0,0,0,0,0
135,1.1676,0,0,0,0,0
136,0.1565,0,0,0,0,0
137,0.0993,0,0,0,0,0
138,0.0443,0,0,0,0,0
139,1.1645,0,0,0,0,0
140,1.1687,0,0,0,0,0
141,1.1555,0,0,0,0,0
142,0.7551,0,0,0,0,0
143,0.2388,0,0,0,0,0
144,0.9624,0,0,0,0,0
145,1.1543,0,0,0,0,0
146,0.9912,0,0,0,0,0
147,1.1558,0,0,0,0,0
148,0.0436,0,0,0,1,20971520
149,0.0268,0,0,0,0,0
