i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3961,0,0,0,0,0
1,1.1545,0,0,0,0,0
2,1.1575,0,0,0,0,0
3,1.1468,0,0,0,0,0
4,1.16,0,0,0,0,0
5,0.0708,0,0,0,0,0
6,0.0477,0,0,0,0,0
7,0.9194,0,0,0,0,0
8,1.1452,0,0,0,0,0
9,0.9812,0,0,0,0,0
10,1.1585,0,0,0,0,0
11,0.3741,0,0,0,0,0
12,1.1095,0,0,0,0,0
13,0.0451,0,0,0,1,83886080
14,0.0294,0,0,0,0,0
15,0.0415,0,0,0,0,0
16,0.1209,0,0,0,0,0
17,0.052,0,0,0,1,83886080
18,1.1385,0,0,0,4,335544320
19,0.0696,0,0,0,0,0
20,0.0982,0,0,0,0,0
21,0.4409,0,0,0,2,167772160
22,1.1421,0,0,0,0,0
23,1.1558,0,0,0,0,0
24,1.141,0,0,0,0,0
25,0.042,0,0,0,0,0
26,1.1014,0,0,0,0,0
27,1.0429,0,0,0,4,335544320
28,0.3185,0,0,0,1,83886080
29,1.1422,0,0,0,1,83886080
30,0.0649,0,0,0,0,0
31,0.3038,0,0,0,0,0
32,1.1584,0,0,0,0,0
33,0.0415,0,0,0,0,0
34,1.1432,0,0,0,0,0
35,1.1604,0,0,0,0,0
36,0.7744,0,0,0,0,0
37,0.614,1504,6,492830720,0,0
38,0.1175,0,0,0,0,0
39,0.0403,0,0,0,0,0
40,1.1511,0,0,0,0,0
41,1.1556,0,0,0,4,335544320
42,0.2543,0,0,0,1,83886080
43,1.1557,0,0,0,1,83886080
44,1.3247,1504,6,492830720,0,0
45,1.1405,0,0,0,0,0
46,0.0418,0,0,0,0,0
47,0.2881,0,0,0,0,0
48,0.8814,0,0,0,0,0
49,0.0627,0,0,0,0,0
50,1.1545,0,0,0,0,0
51,0.0638,0,0,0,0,0
52,1.1522,0,0,0,0,0
53,0.0473,0,0,0,0,0
54,0.0577,0,0,0,0,0
55,1.1533,0,0,0,0,0
56,0.0637,0,0,0,0,0
57,1.1617,0,0,0,0,0
58,0.0467,0,0,0,0,0
59,0.058,0,0,0,0,0
60,0.4324,0,0,0,0,0
61,0.1604,0,0,0,0,0
62,1.1549,0,0,0,0,0
63,1.1555,0,0,0,0,0
64,1.1681,0,0,0,0,0
65,1.1664,0,0,0,0,0
66,1.1554,0,0,0,0,0
67,0.674,0,0,0,0,0
68,0.6099,1504,6,492830720,0,0
69,1.161,0,0,0,0,0
70,1.162,0,0,0,0,0
71,1.1493,0,0,0,0,0
72,1.1653,0,0,0,0,0
73,1.1648,0,0,0,2,167772160
74,1.0355,0,0,0,0,0
75,0.0416,0,0,0,0,0
76,0.0258,0,0,0,0,0
77,1.0404,0,0,0,0,0
78,1.1635,0,0,0,0,0
79,0.3926,0,0,0,0,0
80,0.3497,448,2,146800640,0,0
81,0.0398,0,0,0,0,0
82,1.1607,0,0,0,0,0
83,1.1502,0,0,0,1,83886080
84,1.163,0,0,0,0,0
85,0.1312,0,0,0,0,0
86,1.0333,0,0,0,0,0
87,0.0414,0,0,0,0,0
88,1.1609,0,0,0,0,0
89,1.15,0,0,0,0,0
90,1.0337,0,0,0,0,0
91,0.6644,0,0,0,0,0
92,1.1508,0,0,0,2,167772160
93,0.4013,0,0,0,0,0
94,0.3343,0,0,0,0,0
95,0.7181,1792,7,587202560,6,503316480
96,1.1487,0,0,0,0,0
97,0.0633,0,0,0,0,0
98,0.4251,0,0,0,0,0
99,0.8339,0,0,0,0,0
100,0.9329,0,0,0,0,0
101,0.064,0,0,0,0,0
102,0.1205,0,0,0,0,0
103,1.1619,0,0,0,0,0
104,0.4443,0,0,0,0,0
105,1.1498,0,0,0,3,251658240
106,1.1624,0,0,0,0,0
107,0.5719,1504,6,492830720,0,0
108,1.1617,0,0,0,0,0
109,1.1481,0,0,0,0,0
110,1.1609,0,0,0,0,0
111,0.3263,0,0,0,0,0
112,1.1658,0,0,0,0,0
113,1.1541,0,0,0,0,0
114,0.8484,0,0,0,4,335544320
115,1.1669,0,0,0,3,251658240
116,1.1647,0,0,0,0,0
117,0.1781,0,0,0,0,0
118,1.1538,0,0,0,0,0
119,1.1535,0,0,0,0,0
120,1.1538,0,0,0,0,0
121,0.2382,0,0,0,0,0
122,1.0935,0,0,0,0,0
123,1.1377,512,2,167772160,0,0
124,1.1542,0,0,0,0,0
125,1.1544,0,0,0,0,0
126,0.707,1792,7,587202560,0,0
127,1.1631,0,0,0,0,0
128,0.0385,0,0,0,0,0
129,1.1595,0,0,0,0,0
130,0.0386,0,0,0,0,0
131,1.1097,0,0,0,0,0
132,0.3286,0,0,0,0,0
133,1.1638,0,0,0,0,0
134,1.1512,0,0,0,0,0
135,1.1654,0,0,0,0,0
136,0.1553,0,0,0,0,0
137,0.0982,0,0,0,0,0
138,0.0398,0,0,0,0,0
139,1.1607,0,0,0,0,0
140,1.1656,0,0,0,0,0
141,1.1512,0,0,0,0,0
142,0.7547,0,0,0,0,0
143,0.2378,0,0,0,0,0
144,0.9585,0,0,0,0,0
145,1.1499,0,0,0,0,0
146,0.988,0,0,0,0,0
147,1.1518,0,0,0,0,0
148,0.0404,0,0,0,0,0
149,0.0257,0,0,0,0,0
150,1.1475,0,0,0,0,0
151,0.091,0,0,0,0,0
152,1.1619,0,0,0,0,0
153,0.2424,0,0,0,0,0
154,1.1507,0,0,0,0,0
155,1.1499,0,0,0,0,0
156,1.1641,0,0,0,0,0
157,0.7599,1792,7,587202560,0,0
158,0.0632,0,0,0,0,0
159,0.2113,0,0,0,0,0
160,1.152,0,0,0,0,0
161,0.0638,0,0,0,0,0
162,1.1497,0,0,0,0,0
163,0.4201,1504,6,492830720,0,0
164,1.1487,0,0,0,0,0
165,1.1512,0,0,0,0,0
166,0.0857,0,0,0,0,0
167,0.0408,0,0,0,0,0
168,1.1441,0,0,0,0,0
169,0.0476,0,0,0,0,0
170,1.1467,0,0,0,0,0
171,1.0485,0,0,0,0,0
172,0.0512,0,0,0,2,167772160
173,1.1495,0,0,0,3,251658240
174,0.5738,0,0,0,0,0
175,0.1172,0,0,0,0,0
176,0.2729,0,0,0,0,0
177,1.1501,0,0,0,0,0
178,1.1638,0,0,0,0,0
179,1.1495,0,0,0,0,0
180,0.5699,1792,7,587202560,0,0
181,0.6551,1504,6,492830720,0,0
182,1.1336,1680,7,550502400,0,0
183,1.1459,0,0,0,0,0
184,1.1499,0,0,0,0,0
185,0.5962,1504,6,492830720,0,0
186,1.1499,0,0,0,0,0
187,0.0638,0,0,0,0,0
188,1.1486,0,0,0,0,0
189,1.1625,0,0,0,0,0
190,0.8378,1248,5,408944640,0,0
191,0.064,0,0,0,0,0
192,1.1502,0,0,0,0,0
193,0.0398,0,0,0,0,0
194,1.1591,0,0,0,0,0
195,1.1647,0,0,0,0,0
196,1.1495,0,0,0,0,0
197,1.1632,0,0,0,0,0
198,1.1485,0,0,0,0,0
199,1.1578,512,2,167772160,0,0
200,0.4746,1792,7,587202560,0,0
201,1.1612,0,0,0,0,0
202,1.1496,0,0,0,0,0
203,1.1631,0,0,0,0,0
204,1.1507,0,0,0,0,0
205,0.4978,1792,7,587202560,0,0
206,1.1637,0,0,0,0,0
207,1.1721,0,0,0,6,503316480
208,0.8029,0,0,0,1,83886080
209,1.1641,0,0,0,0,0
210,1.1632,0,0,0,0,0
211,1.1653,0,0,0,0,0
212,1.2789,1504,6,492830720,0,0
213,0.0502,0,0,0,0,0
214,0.4397,1792,7,587202560,0,0
215,0.3735,0,0,0,0,0
216,1.0662,0,0,0,3,251658240
217,1.149,0,0,0,0,0
218,1.165,0,0,0,0,0
219,0.2581,0,0,0,1,83886080
220,1.1511,0,0,0,0,0
221,0.0637,0,0,0,2,167772160
222,1.149,0,0,0,5,419430400
223,0.1413,0,0,0,0,0
224,0.7399,0,0,0,0,0
225,1.1642,0,0,0,0,0
226,0.894,1680,7,550502400,0,0
227,0.4212,1504,6,492830720,0,0
228,1.0913,0,0,0,0,0
229,0.1727,0,0,0,0,0
230,1.1067,0,0,0,0,0
231,0.0438,0,0,0,0,0
232,1.16,0,0,0,0,0
233,1.1515,0,0,0,0,0
234,0.4744,1504,6,492830720,0,0
