i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3618,0,0,0,2,41943040
1,1.1483,0,0,0,4,83886080
2,1.1497,0,0,0,1,20971520
3,1.1358,0,0,0,5,104857600
4,1.1496,0,0,0,1,20971520
5,0.0714,0,0,0,2,41943040
6,0.0476,0,0,0,0,0
7,0.9084,0,0,0,4,83886080
8,1.1401,0,0,0,1,20971520
9,0.9781,0,0,0,5,104857600
10,1.153,0,0,0,1,20971520
11,0.3757,0,0,0,5,104857600
12,1.1107,0,0,0,1,20971520
13,0.0431,0,0,0,2,41943040
14,0.0291,0,0,0,0,0
15,0.042,0,0,0,0,0
16,0.1206,0,0,0,3,62914560
17,0.0494,0,0,0,0,0
18,1.1406,0,0,0,4,83886080
19,0.0702,0,0,0,0,0
20,0.0999,0,0,0,2,41943040
21,0.4421,0,0,0,4,83886080
22,1.1427,0,0,0,2,41943040
23,1.1533,0,0,0,4,83886080
24,1.1421,0,0,0,2,41943040
25,0.0463,0,0,0,2,41943040
26,1.1025,0,0,0,2,41943040
27,1.0415,0,0,0,2,41943040
28,0.3206,0,0,0,4,83886080
29,1.1427,0,0,0,2,41943040
30,0.0654,0,0,0,2,41943040
31,0.3051,0,0,0,4,83886080
32,1.1544,0,0,0,0,0
33,0.0447,0,0,0,2,41943040
34,1.1436,0,0,0,4,83886080
35,1.1545,0,0,0,0,0
36,0.7722,0,0,0,6,125829120
37,1.1572,288,5,94371840,0,0
38,0.1187,0,0,0,2,41943040
39,0.0457,0,0,0,1,20971520
40,1.1529,0,0,0,3,62914560
41,1.1571,0,0,0,2,41943040
42,0.2556,0,0,0,4,83886080
43,1.1593,0,0,0,2,41943040
44,1.3898,288,5,94371840,3,62914560
45,1.1479,0,0,0,6,125829120
46,0.0436,0,0,0,2,41943040
47,0.2898,0,0,0,0,0
48,0.887,0,0,0,4,83886080
49,0.0643,0,0,0,2,41943040
50,1.1608,0,0,0,4,83886080
51,0.0639,0,0,0,0,0
52,1.1613,0,0,0,6,125829120
53,0.0489,0,0,0,0,0
54,0.0586,0,0,0,2,41943040
55,1.161,0,0,0,4,83886080
56,0.0663,0,0,0,0,0
57,1.1682,0,0,0,4,83886080
58,0.0478,0,0,0,2,41943040
59,0.0589,0,0,0,0,0
60,0.4343,0,0,0,4,83886080
61,0.1601,0,0,0,0,0
62,1.1572,0,0,0,6,125829120
63,1.155,0,0,0,0,0
