i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3617,0,0,0,0,0
1,1.1791,0,0,0,32,167772160
2,1.1713,0,0,0,55,288358400
3,1.1576,0,0,0,50,262144000
4,1.1691,0,0,0,62,325058560
5,0.251,0,0,0,32,167772160
6,0.066,0,0,0,6,31457280
7,0.934,0,0,0,347,1819279360
8,1.2167,0,0,0,31,162529280
9,0.9896,0,0,0,70,367001600
10,1.1923,0,0,0,238,1247805440
11,0.4007,0,0,0,31,162529280
12,1.1672,0,0,0,78,408944640
13,0.0622,0,0,0,1,5242880
14,3.3307,0,0,0,181,948961280
15,0.0464,0,0,0,4,20971520
16,0.1049,16,0,0,4,20971520
17,0.0572,0,0,0,2,10485760
18,2.1635,0,0,0,21,110100480
19,0.0777,0,0,0,0,0
20,0.112,0,0,0,38,199229440
21,0.4503,0,0,0,7,36700160
22,1.1584,0,0,0,59,309329920
23,1.1684,0,0,0,58,304087040
24,1.1587,0,0,0,44,230686720
25,0.0452,0,0,0,0,0
26,0.0872,1744,0,0,2,10485760
27,1.0508,0,0,0,56,293601280
28,0.3354,0,0,0,15,78643200
29,1.1551,0,0,0,44,230686720
30,0.0499,16,0,0,4,20971520
31,0.3033,0,0,0,17,89128960
32,1.1713,0,0,0,45,235929600
33,0.0484,32,0,0,0,0
34,1.1492,0,0,0,57,298844160
35,5.1897,0,0,0,213,1116733440
36,5.086,0,0,0,195,1022361600
37,2.5417,1744,41,214958080,98,513802240
38,0.1378,0,0,0,2,10485760
39,0.0413,0,0,0,3,15728640
40,5.0455,1760,110,576716800,172,901775360
41,1.1694,0,0,0,43,225443840
42,0.9447,0,0,0,24,125829120
43,1.1693,0,0,0,50,262144000
44,4.3804,1744,109,571473920,145,760217600
45,1.1673,0,0,0,43,225443840
46,1.3236,32,2,10485760,50,262144000
47,0.293,0,0,0,12,62914560
48,0.9022,0,0,0,36,188743680
49,0.0518,16,0,0,1,5242880
50,2.3557,0,0,0,79,414187520
51,0.0544,16,0,0,3,15728640
52,1.1651,0,0,0,43,225443840
53,0.0621,0,0,0,1,5242880
54,0.0466,16,0,0,3,15728640
55,1.1623,0,0,0,46,241172480
56,0.0849,0,0,0,3,15728640
57,1.1715,0,0,0,46,241172480
58,0.0682,0,0,0,0,0
59,0.0471,16,0,0,0,0
60,0.429,0,0,0,0,0
61,0.181,0,0,0,34,178257920
