i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.6762,0,0,0,15,314572800
1,2.407,0,0,0,16,335544320
2,2.8219,0,0,0,31,650117120
3,2.3619,0,0,0,31,650117120
4,1.1801,0,0,0,14,293601280
5,0.7238,0,0,0,21,440401920
6,0.0473,0,0,0,10,209715200
7,1.0746,0,0,0,22,461373440
8,2.6796,0,0,0,28,587202560
9,2.6823,0,0,0,30,629145600
10,1.1917,0,0,0,16,335544320
11,1.4571,0,0,0,42,880803840
12,1.1353,0,0,0,16,335544320
13,0.149,0,0,0,1,20971520
14,0.0301,0,0,0,0,0
15,0.0421,0,0,0,1,20971520
16,2.5904,0,0,0,11,230686720
17,0.0533,0,0,0,3,62914560
18,1.3818,0,0,0,16,335544320
19,0.1656,0,0,0,1,20971520
20,3.0245,0,0,0,23,482344960
21,0.941,0,0,0,16,335544320
22,2.6963,0,0,0,17,356515840
23,1.208,0,0,0,5,104857600
24,5.8157,0,0,0,56,1174405120
25,0.1508,0,0,0,1,20971520
26,3.3924,1696,27,555745280,13,272629760
27,1.0503,0,0,0,16,335544320
28,3.0789,0,0,0,28,587202560
29,2.4375,0,0,0,16,335544320
30,0.1487,0,0,0,2,41943040
31,2.9294,0,0,0,25,524288000
32,1.1835,0,0,0,16,335544320
33,0.0595,0,0,0,0,0
34,4.2172,0,0,0,32,671088640
35,1.1924,0,0,0,4,83886080
36,0.776,0,0,0,16,335544320
37,6.0847,1696,27,555745280,50,1048576000
38,0.1318,0,0,0,7,146800640
39,0.6137,0,0,0,0,0
40,0.7133,1712,27,560988160,4,83886080
41,1.1601,0,0,0,16,335544320
42,0.2812,0,0,0,3,62914560
43,1.1529,0,0,0,11,230686720
44,5.1198,1696,27,555745280,43,901775360
45,1.1686,0,0,0,16,335544320
46,0.1654,0,0,0,2,41943040
47,2.7956,0,0,0,27,566231040
48,2.0496,0,0,0,15,314572800
49,0.167,0,0,0,2,41943040
50,1.1563,0,0,0,4,83886080
51,0.0633,0,0,0,9,188743680
52,5.0541,0,0,0,43,901775360
53,2.9669,0,0,0,16,335544320
54,0.0716,0,0,0,0,0
55,1.1794,0,0,0,16,335544320
56,3.0097,0,0,0,19,398458880
57,1.1929,0,0,0,16,335544320
58,0.1464,0,0,0,1,20971520
59,0.061,0,0,0,1,20971520
60,0.4305,0,0,0,2,41943040
61,2.4778,0,0,0,33,692060160
62,3.0009,0,0,0,22,461373440
63,3.9339,0,0,0,30,629145600
64,1.193,0,0,0,7,146800640
65,5.495,0,0,0,54,1132462080
66,3.9872,0,0,0,31,650117120
67,0.6977,0,0,0,4,83886080
68,4.9518,1696,27,555745280,33,692060160
69,1.162,0,0,0,16,335544320
70,1.1941,0,0,0,4,83886080
71,5.0915,0,0,0,57,1195376640
72,3.8077,576,9,188743680,30,629145600
73,3.5389,112,2,36700160,22,461373440
74,1.0752,0,0,0,8,167772160
75,0.036,0,0,0,0,0
76,0.0379,0,0,0,0,0
77,1.0368,0,0,0,16,335544320
78,1.1964,0,0,0,9,188743680
79,6.997,0,0,0,78,1635778560
80,2.0784,640,10,209715200,0,0
81,0.0383,0,0,0,1,20971520
82,1.4317,448,7,146800640,16,335544320
83,1.1894,0,0,0,9,188743680
84,1.1696,0,0,0,16,335544320
85,4.6293,0,0,0,51,1069547520
86,1.0412,0,0,0,16,335544320
87,0.0639,0,0,0,0,0
88,1.162,0,0,0,15,314572800
89,4.2453,0,0,0,38,796917760
90,1.0594,0,0,0,7,146800640
91,3.8943,288,5,94371840,41,859832320
92,1.1677,0,0,0,16,335544320
93,2.7319,0,0,0,30,629145600
94,0.8558,256,4,83886080,0,0
95,1.4579,1984,31,650117120,0,0
96,1.162,0,0,0,16,335544320
97,0.1605,0,0,0,1,20971520
98,2.809,0,0,0,29,608174080
99,2.4256,0,0,0,17,356515840
100,0.9768,0,0,0,5,104857600
101,0.0646,0,0,0,0,0
102,3.4081,0,0,0,39,817889280
103,1.2007,0,0,0,16,335544320
104,3.0379,784,13,256901120,19,398458880
105,1.1569,0,0,0,16,335544320
106,1.2084,0,0,0,12,251658240
107,4.099,1696,27,555745280,33,692060160
108,1.1677,0,0,0,16,335544320
109,3.8919,0,0,0,31,650117120
110,1.2017,0,0,0,10,209715200
111,4.0186,0,0,0,49,1027604480
112,2.1905,0,0,0,16,335544320
113,3.3159,1872,30,613416960,15,314572800
114,0.8287,0,0,0,16,335544320
115,1.2055,0,0,0,9,188743680
116,3.9973,0,0,0,47,985661440
117,0.2092,0,0,0,2,41943040
118,4.2586,0,0,0,37,775946240
119,3.6043,0,0,0,30,629145600
120,1.1913,0,0,0,6,125829120
121,3.6529,0,0,0,48,1006632960
122,2.0334,0,0,0,16,335544320
123,3.8188,576,9,188743680,29,608174080
124,1.1931,0,0,0,8,167772160
125,4.682,0,0,0,44,922746880
126,3.6295,1984,31,650117120,13,272629760
127,1.1675,0,0,0,16,335544320
128,2.8239,0,0,0,15,314572800
129,1.191,0,0,0,16,335544320
130,2.7205,0,0,0,16,335544320
131,1.2323,224,4,73400320,16,335544320
132,0.3564,0,0,0,3,62914560
133,4.4237,0,0,0,34,713031680
134,3.003,0,0,0,31,650117120
135,1.193,0,0,0,14,293601280
136,4.1687,0,0,0,39,817889280
137,0.1078,0,0,0,6,125829120
138,1.084,0,0,0,0,0
139,1.1593,0,0,0,16,335544320
140,1.2071,0,0,0,8,167772160
141,3.7367,0,0,0,40,838860800
142,0.77,0,0,0,3,62914560
143,5.6417,0,0,0,60,1258291200
144,1.8831,0,0,0,16,335544320
145,3.702,0,0,0,27,566231040
146,3.7935,0,0,0,30,629145600
147,3.6929,0,0,0,28,587202560
148,0.1496,0,0,0,2,41943040
149,2.4348,0,0,0,12,251658240
