i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3565,0,0,0,0,0
1,1.2492,0,0,0,17,356515840
2,3.5695,0,0,0,31,650117120
3,3.4645,0,0,0,31,650117120
4,1.1367,0,0,0,12,251658240
5,0.9513,0,0,0,12,251658240
6,0.05,0,0,0,1,20971520
7,1.2013,0,0,0,42,880803840
8,2.4133,0,0,0,28,587202560
9,2.3616,0,0,0,30,629145600
10,1.1379,0,0,0,16,335544320
11,1.1547,0,0,0,43,901775360
12,1.0846,0,0,0,12,251658240
13,0.0403,0,0,0,2,41943040
14,0.0273,0,0,0,0,0
15,0.0411,0,0,0,0,0
16,2.0291,0,0,0,24,503316480
17,0.0533,0,0,0,0,0
18,1.3407,0,0,0,9,188743680
19,0.0689,0,0,0,0,0
20,2.6878,0,0,0,29,608174080
21,0.8407,0,0,0,9,188743680
22,2.3513,0,0,0,18,377487360
23,1.1437,0,0,0,11,230686720
24,5.4345,0,0,0,50,1048576000
25,0.0406,0,0,0,0,0
26,3.5423,1696,27,555745280,28,587202560
27,1.0378,0,0,0,0,0
28,2.8291,0,0,0,28,587202560
29,2.2297,0,0,0,18,377487360
30,0.064,0,0,0,0,0
31,2.7666,0,0,0,27,566231040
32,1.1437,0,0,0,10,209715200
33,0.0414,0,0,0,0,0
34,4.3084,0,0,0,38,796917760
35,1.1451,0,0,0,10,209715200
36,0.7672,0,0,0,7,146800640
37,3.5303,1696,27,555745280,32,671088640
38,3.091,0,0,0,31,650117120
39,0.6109,0,0,0,7,146800640
40,1.1711,1712,27,560988160,6,125829120
41,1.1462,0,0,0,4,83886080
42,0.2526,0,0,0,2,41943040
43,1.1465,0,0,0,11,230686720
44,7.0749,1696,27,555745280,58,1216348160
45,1.1471,0,0,0,1,20971520
46,0.0438,0,0,0,1,20971520
47,2.8276,0,0,0,26,545259520
48,2.2363,0,0,0,18,377487360
49,0.0638,0,0,0,1,20971520
50,1.1421,0,0,0,10,209715200
51,0.0645,0,0,0,1,20971520
52,5.7441,0,0,0,46,964689920
53,2.7178,0,0,0,24,503316480
54,0.0683,0,0,0,1,20971520
55,1.1613,0,0,0,5,104857600
56,2.7849,0,0,0,28,587202560
57,1.1678,0,0,0,9,188743680
58,0.045,0,0,0,0,0
59,0.0577,0,0,0,0,0
60,0.4276,0,0,0,5,104857600
61,2.3764,0,0,0,21,440401920
62,3.9191,0,0,0,33,692060160
63,3.6974,0,0,0,30,629145600
64,1.1526,0,0,0,12,251658240
65,5.1287,0,0,0,47,985661440
66,3.5922,0,0,0,32,671088640
67,0.665,0,0,0,7,146800640
68,4.6767,1696,27,555745280,42,880803840
69,1.1589,0,0,0,4,83886080
70,1.1513,0,0,0,10,209715200
71,6.0909,0,0,0,51,1069547520
72,4.3109,576,9,188743680,28,587202560
73,3.2971,112,2,36700160,24,503316480
74,1.0224,0,0,0,9,188743680
75,0.0393,0,0,0,0,0
76,0.03,0,0,0,1,20971520
77,1.0289,0,0,0,9,188743680
78,1.1544,0,0,0,12,251658240
79,7.6406,0,0,0,77,1614807040
80,1.8549,640,10,209715200,17,356515840
81,0.0373,0,0,0,0,0
82,1.3375,448,7,146800640,1,20971520
83,1.1393,0,0,0,13,272629760
84,1.1531,0,0,0,14,293601280
85,5.4182,0,0,0,54,1132462080
86,1.022,0,0,0,9,188743680
87,0.0389,0,0,0,1,20971520
88,1.1476,0,0,0,11,230686720
89,5.1475,0,0,0,44,922746880
90,1.0228,0,0,0,10,209715200
91,1.8186,288,5,94371840,16,335544320
92,1.1386,0,0,0,12,251658240
93,5.5085,0,0,0,53,1111490560
94,2.0491,256,4,83886080,17,356515840
