i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3572,0,0,0,0,0
1,1.1646,0,0,0,32,167772160
2,1.1631,0,0,0,60,314572800
3,1.1452,0,0,0,129,676331520
4,1.1525,0,0,0,100,524288000
5,0.079,0,0,0,7,36700160
6,0.0578,0,0,0,2,10485760
7,1.1209,0,0,0,257,1347420160
8,1.1965,0,0,0,23,120586240
9,0.9755,0,0,0,48,251658240
10,1.1628,0,0,0,183,959447040
11,0.3844,0,0,0,84,440401920
12,1.0964,0,0,0,110,576716800
13,0.0631,0,0,0,2,10485760
14,0.0502,0,0,0,3,15728640
15,0.0429,0,0,0,3,15728640
16,0.0909,16,0,0,2,10485760
17,1.8974,0,0,0,91,477102080
18,1.6517,0,0,0,62,325058560
19,0.0871,0,0,0,0,0
20,0.1227,0,0,0,4,20971520
21,0.4391,0,0,0,27,141557760
22,3.1046,0,0,0,136,713031680
23,1.1659,0,0,0,52,272629760
24,1.1454,0,0,0,35,183500800
25,0.0588,0,0,0,7,36700160
26,0.0878,1744,0,0,7,36700160
27,1.0284,0,0,0,39,204472320
28,0.3218,0,0,0,21,110100480
29,1.1253,0,0,0,44,230686720
30,0.0475,16,0,0,2,10485760
31,0.299,0,0,0,14,73400320
32,1.155,0,0,0,40,209715200
33,0.0479,32,0,0,1,5242880
34,1.1251,0,0,0,53,277872640
35,1.1806,0,0,0,46,241172480
36,0.7744,0,0,0,28,146800640
37,2.2505,1744,43,225443840,84,440401920
38,0.129,0,0,0,2,10485760
39,0.0611,0,0,0,2,10485760
40,4.4064,1760,110,576716800,149,781189120
41,2.1742,0,0,0,76,398458880
42,0.2769,0,0,0,13,68157440
43,1.1577,0,0,0,39,204472320
44,4.9276,1744,109,571473920,167,875560960
45,1.2089,0,0,0,33,173015040
46,0.8154,32,2,10485760,37,193986560
47,0.2874,0,0,0,3,15728640
48,0.8782,0,0,0,32,167772160
49,0.0515,16,0,0,1,5242880
50,1.152,0,0,0,40,209715200
51,0.9773,16,1,5242880,33,173015040
52,1.1491,0,0,0,45,235929600
53,0.0619,0,0,0,4,20971520
54,0.047,16,0,0,4,20971520
55,1.1437,0,0,0,47,246415360
56,0.0862,0,0,0,3,15728640
57,1.151,0,0,0,38,199229440
58,0.051,0,0,0,2,10485760
59,0.0474,16,0,0,0,0
60,0.4222,0,0,0,18,94371840
61,0.1712,0,0,0,5,26214400
62,1.1399,0,0,0,38,199229440
63,2.5781,0,0,0,93,487587840
64,1.1726,0,0,0,47,246415360
65,1.1645,0,0,0,48,251658240
66,1.1799,0,0,0,47,246415360
67,0.7057,0,0,0,11,57671680
68,3.015,0,44,230686720,114,597688320
69,1.1727,16,0,0,49,256901120
70,1.1685,0,0,0,44,230686720
71,5.9021,0,0,0,210,1101004800
72,3.1719,592,37,193986560,117,613416960
73,2.254,144,9,47185920,79,414187520
74,6.9361,0,0,0,263,1378877440
75,0.0487,0,0,0,1,5242880
76,0.026,0,0,0,1,5242880
77,1.0325,0,0,0,38,199229440
78,1.1721,0,0,0,44,230686720
79,0.4087,0,0,0,11,57671680
80,1.7612,688,43,225443840,56,293601280
81,0.781,32,2,10485760,33,173015040
82,3.1476,480,30,157286400,106,555745280
83,2.0666,0,0,0,84,440401920
84,1.1754,0,0,0,38,199229440
85,0.1393,0,0,0,4,20971520
86,1.0801,0,0,0,42,220200960
87,0.0444,0,0,0,0,0
88,1.1621,0,0,0,48,251658240
89,1.9488,16,1,5242880,71,372244480
90,4.9531,0,0,0,173,907018240
91,2.0635,304,19,99614720,76,398458880
92,1.1503,0,0,0,50,262144000
93,0.4189,0,0,0,16,83886080
94,0.0531,304,0,0,1,5242880
95,4.6726,2032,127,665845760,152,796917760
96,1.1411,0,0,0,25,131072000
97,0.0493,16,0,0,0,0
98,5.9767,0,0,0,251,1315962880
99,0.8421,0,0,0,28,146800640
100,0.9368,0,0,0,34,178257920
101,0.0494,16,0,0,2,10485760
102,0.1179,0,0,0,1,5242880
103,1.165,0,0,0,46,241172480
104,2.3384,800,50,262144000,73,382730240
105,1.145,0,0,0,42,220200960
106,1.1782,0,0,0,49,256901120
107,3.5046,1744,109,571473920,114,597688320
108,1.1838,0,0,0,39,204472320
109,1.1734,0,0,0,51,267386880
110,1.1635,0,0,0,46,241172480
111,0.7182,0,0,0,52,272629760
112,1.1705,0,0,0,48,251658240
113,5.1998,1920,120,629145600,166,870318080
114,0.8406,0,0,0,34,178257920
115,1.182,0,0,0,39,204472320
116,2.0366,16,1,5242880,58,304087040
117,0.1965,0,0,0,32,167772160
118,5.6427,0,0,0,204,1069547520
119,5.328,16,1,5242880,181,948961280
120,1.1545,0,0,0,34,178257920
121,0.2522,0,0,0,23,120586240
122,1.1061,0,0,0,38,199229440
123,5.2648,592,37,193986560,167,875560960
124,1.163,0,0,0,52,272629760
125,1.9793,16,1,5242880,82,429916160
126,4.6121,2032,127,665845760,156,817889280
127,1.8714,16,1,5242880,69,361758720
128,0.0481,0,0,0,1,5242880
129,1.1655,0,0,0,50,262144000
130,0.0533,0,0,0,2,10485760
131,2.546,256,16,83886080,99,519045120
132,0.3523,0,0,0,11,57671680
133,1.1755,0,0,0,51,267386880
134,1.1639,0,0,0,43,225443840
135,1.1771,0,0,0,43,225443840
136,0.1669,0,0,0,0,0
137,0.1058,0,0,0,0,0
138,0.053,0,0,0,0,0
139,1.1619,0,0,0,64,335544320
140,4.8997,0,0,0,187,980418560
141,5.5218,0,0,0,214,1121976320
142,0.7856,0,0,0,28,146800640
143,0.2571,0,0,0,10,52428800
144,0.9679,0,0,0,41,214958080
145,1.1611,0,0,0,53,277872640
146,0.9899,0,0,0,17,89128960
147,1.4043,16,1,5242880,71,372244480
148,0.054,0,0,0,1,5242880
149,0.0259,0,0,0,0,0
