i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3629,0,0,0,2,41943040
1,2.0431,0,0,0,13,272629760
2,2.3947,0,0,0,31,650117120
3,3.0027,0,0,0,31,650117120
4,1.1589,0,0,0,6,125829120
5,1.4975,0,0,0,20,419430400
6,0.0491,0,0,0,1,20971520
7,1.4464,0,0,0,40,838860800
8,1.341,0,0,0,28,587202560
9,2.754,0,0,0,30,629145600
10,1.1555,0,0,0,1,20971520
11,5.5384,0,0,0,57,1195376640
12,1.112,0,0,0,1,20971520
13,0.0495,0,0,0,2,41943040
14,0.0383,0,0,0,0,0
15,0.0423,0,0,0,0,0
16,3.6429,0,0,0,36,754974720
17,0.053,0,0,0,0,0
18,1.5099,0,0,0,9,188743680
19,0.071,0,0,0,2,41943040
20,3.2575,0,0,0,28,587202560
21,1.0703,0,0,0,10,209715200
22,2.5941,0,0,0,17,356515840
23,1.1633,0,0,0,0,0
24,7.2871,0,0,0,61,1279262720
25,0.0613,0,0,0,2,41943040
26,3.9993,1696,27,555745280,28,587202560
27,1.0592,0,0,0,0,0
28,3.0014,0,0,0,29,608174080
29,2.4849,0,0,0,15,314572800
30,0.0662,0,0,0,2,41943040
31,3.0756,0,0,0,26,545259520
32,1.1591,0,0,0,2,41943040
33,0.059,0,0,0,2,41943040
34,5.591,0,0,0,42,880803840
35,1.1619,0,0,0,2,41943040
36,0.775,0,0,0,4,83886080
37,2.0573,1696,27,555745280,16,335544320
38,6.9225,0,0,0,62,1300234240
39,0.6187,0,0,0,6,125829120
40,1.2596,1712,27,560988160,4,83886080
41,1.1581,0,0,0,4,83886080
42,0.2548,0,0,0,2,41943040
43,1.1576,0,0,0,5,104857600
44,4.886,1696,27,555745280,41,859832320
45,3.6063,0,0,0,25,524288000
46,0.0507,0,0,0,2,41943040
47,3.2007,0,0,0,25,524288000
48,2.4129,0,0,0,18,377487360
49,0.0653,0,0,0,2,41943040
50,1.1597,0,0,0,4,83886080
51,0.0648,0,0,0,2,41943040
52,6.4272,0,0,0,49,1027604480
53,2.8403,0,0,0,26,545259520
54,0.0655,0,0,0,0,0
55,1.174,0,0,0,4,83886080
56,3.1889,0,0,0,29,608174080
57,1.1808,0,0,0,4,83886080
58,0.0532,0,0,0,2,41943040
59,0.0636,0,0,0,0,0
60,0.4291,0,0,0,4,83886080
61,3.1963,0,0,0,26,545259520
62,4.3658,0,0,0,31,650117120
63,3.8766,0,0,0,30,629145600
64,1.1595,0,0,0,2,41943040
65,7.0336,0,0,0,59,1237319680
66,4.2413,0,0,0,31,650117120
67,0.6689,0,0,0,0,0
68,3.3915,1696,27,555745280,27,566231040
69,3.6445,0,0,0,26,545259520
70,1.1589,0,0,0,1,20971520
71,7.2913,0,0,0,60,1258291200
72,3.529,576,9,188743680,25,524288000
73,3.2946,112,2,36700160,24,503316480
74,1.042,0,0,0,6,125829120
75,0.0503,0,0,0,2,41943040
76,0.0272,0,0,0,0,0
77,1.0359,0,0,0,4,83886080
78,1.1594,0,0,0,1,20971520
79,11.3212,0,0,0,100,2097152000
80,2.1459,640,10,209715200,17,356515840
81,0.0397,0,0,0,1,20971520
82,1.3937,448,7,146800640,0,0
83,1.1449,0,0,0,6,125829120
84,1.1608,0,0,0,1,20971520
85,8.6232,0,0,0,74,1551892480
86,1.0441,0,0,0,4,83886080
87,0.0439,0,0,0,2,41943040
88,1.1561,0,0,0,4,83886080
89,6.7109,0,0,0,54,1132462080
90,1.0294,0,0,0,0,0
91,1.2182,288,5,94371840,11,230686720
92,1.1435,0,0,0,1,20971520
93,9.4153,0,0,0,81,1698693120
94,2.3771,256,4,83886080,17,356515840
95,0.7919,1984,31,650117120,0,0
96,1.1499,0,0,0,0,0
97,0.0646,0,0,0,2,41943040
98,3.2779,0,0,0,27,566231040
99,2.3555,0,0,0,18,377487360
100,0.9305,0,0,0,0,0
101,0.0626,0,0,0,2,41943040
102,6.0267,0,0,0,48,1006632960
103,1.16,0,0,0,3,62914560
104,5.0527,784,13,256901120,38,796917760
105,1.1459,0,0,0,4,83886080
106,1.1613,0,0,0,2,41943040
107,2.7802,1696,27,555745280,22,461373440
108,1.1687,0,0,0,3,62914560
109,8.1473,0,0,0,65,1363148800
110,1.1609,0,0,0,0,0
111,6.8653,0,0,0,58,1216348160
112,2.6119,0,0,0,17,356515840
113,4.1436,1872,30,613416960,31,650117120
114,0.8224,0,0,0,0,0
115,1.1591,0,0,0,6,125829120
116,6.2244,0,0,0,50,1048576000
117,0.1796,0,0,0,0,0
118,5.2529,0,0,0,39,817889280
119,3.9165,0,0,0,30,629145600
120,1.1472,0,0,0,0,0
121,5.6685,0,0,0,57,1195376640
122,2.1431,0,0,0,13,272629760
123,3.4772,576,9,188743680,25,524288000
124,1.162,0,0,0,6,125829120
125,6.4603,0,0,0,50,1048576000
126,3.9536,1984,31,650117120,29,608174080
127,1.1704,0,0,0,0,0
128,3.0458,0,0,0,27,566231040
129,1.1672,0,0,0,4,83886080
130,2.8827,0,0,0,27,566231040
