i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3696,0,0,0,2,41943040
1,1.1643,0,0,0,12,251658240
2,1.1588,0,0,0,4,83886080
3,1.1441,0,0,0,10,209715200
4,1.1589,0,0,0,4,83886080
5,0.0725,0,0,0,2,41943040
6,0.0455,0,0,0,0,0
7,0.9167,0,0,0,12,251658240
8,1.1445,0,0,0,2,41943040
9,0.9815,0,0,0,11,230686720
10,1.1579,0,0,0,3,62914560
11,0.3764,0,0,0,5,104857600
12,1.1067,0,0,0,9,188743680
13,0.038,0,0,0,2,41943040
14,0.028,0,0,0,1,20971520
15,0.0413,0,0,0,0,0
16,0.1151,0,0,0,4,83886080
17,0.048,0,0,0,4,83886080
18,1.1397,0,0,0,11,230686720
19,0.0703,0,0,0,2,41943040
20,0.1,0,0,0,0,0
21,0.4431,0,0,0,7,146800640
22,1.1425,0,0,0,7,146800640
23,1.1721,0,0,0,6,125829120
24,1.1419,0,0,0,12,251658240
25,0.041,0,0,0,0,0
26,1.1506,352,6,115343360,2,41943040
27,1.0385,0,0,0,10,209715200
28,0.3337,0,0,0,4,83886080
29,1.1511,0,0,0,12,251658240
30,0.0646,0,0,0,0,0
31,0.3069,0,0,0,5,104857600
32,1.1625,0,0,0,9,188743680
33,0.0392,0,0,0,2,41943040
34,1.1429,0,0,0,3,62914560
35,1.1602,0,0,0,9,188743680
36,0.7751,0,0,0,5,104857600
37,1.4782,1056,17,346030080,9,188743680
38,0.1183,0,0,0,3,62914560
39,0.0434,0,0,0,0,0
40,1.833,112,2,36700160,11,230686720
41,1.16,0,0,0,14,293601280
42,0.2547,0,0,0,0,0
43,1.1584,0,0,0,11,230686720
44,1.1158,1696,27,555745280,3,62914560
45,1.1522,0,0,0,2,41943040
46,0.0357,0,0,0,0,0
47,0.2926,0,0,0,4,83886080
48,0.8845,0,0,0,9,188743680
49,0.0647,0,0,0,2,41943040
50,1.1706,0,0,0,4,83886080
51,0.0592,0,0,0,0,0
52,1.1574,0,0,0,12,251658240
53,0.0489,0,0,0,1,20971520
54,0.0586,0,0,0,2,41943040
55,1.1674,0,0,0,2,41943040
56,0.0713,0,0,0,0,0
57,1.1604,0,0,0,12,251658240
58,0.05,0,0,0,2,41943040
59,0.0632,0,0,0,0,0
60,0.4405,0,0,0,4,83886080
61,0.1577,0,0,0,2,41943040
62,1.1464,0,0,0,10,209715200
63,1.1506,0,0,0,2,41943040
64,1.1627,0,0,0,12,251658240
65,1.1744,0,0,0,4,83886080
66,1.1544,0,0,0,12,251658240
67,0.6787,0,0,0,6,125829120
68,1.4328,1696,27,555745280,12,251658240
69,1.1569,0,0,0,0,0
70,1.1575,0,0,0,13,272629760
71,1.1579,0,0,0,3,62914560
72,1.1557,0,0,0,10,209715200
73,1.3612,112,2,36700160,4,83886080
74,1.025,0,0,0,9,188743680
75,0.0418,0,0,0,2,41943040
76,0.0267,0,0,0,0,0
77,1.0344,0,0,0,4,83886080
78,1.1578,0,0,0,8,167772160
79,0.3913,0,0,0,6,125829120
80,0.781,640,10,209715200,8,167772160
81,0.0419,0,0,0,1,20971520
82,1.3601,320,5,104857600,2,41943040
83,1.1381,0,0,0,10,209715200
84,1.1557,0,0,0,2,41943040
85,0.1339,0,0,0,3,62914560
86,1.0255,0,0,0,11,230686720
87,0.0416,0,0,0,2,41943040
88,1.1522,0,0,0,2,41943040
89,1.1556,0,0,0,12,251658240
90,1.04,0,0,0,2,41943040
91,0.6597,0,0,0,9,188743680
92,1.1413,0,0,0,3,62914560
93,0.3999,0,0,0,9,188743680
94,0.3345,0,0,0,7,146800640
95,0.9415,1984,31,650117120,10,209715200
96,1.152,0,0,0,2,41943040
97,0.0593,0,0,0,0,0
98,0.4236,0,0,0,7,146800640
99,0.83,0,0,0,5,104857600
100,0.9294,0,0,0,8,167772160
101,0.0643,0,0,0,4,83886080
102,0.1206,0,0,0,2,41943040
103,1.1701,0,0,0,9,188743680
104,1.5594,400,7,131072000,12,251658240
105,1.1425,0,0,0,10,209715200
106,1.1645,0,0,0,6,125829120
107,1.6702,1696,27,555745280,12,251658240
108,1.1574,0,0,0,0,0
109,1.1461,0,0,0,14,293601280
110,1.1592,0,0,0,2,41943040
111,0.3331,0,0,0,3,62914560
112,1.1582,0,0,0,9,188743680
113,1.572,80,2,26214400,4,83886080
114,0.8168,0,0,0,12,251658240
115,1.1569,0,0,0,2,41943040
116,1.1566,0,0,0,11,230686720
117,0.1797,0,0,0,4,83886080
118,1.1439,0,0,0,8,167772160
119,1.1509,0,0,0,6,125829120
120,1.1484,0,0,0,11,230686720
121,0.2381,0,0,0,1,20971520
122,1.0855,0,0,0,11,230686720
123,1.6764,576,9,188743680,5,104857600
124,1.1437,0,0,0,11,230686720
125,1.1431,0,0,0,1,20971520
126,1.7752,1984,31,650117120,11,230686720
127,1.1911,0,0,0,2,41943040
128,0.0383,0,0,0,0,0
129,1.1568,0,0,0,12,251658240
130,0.0455,0,0,0,2,41943040
131,1.339,224,4,73400320,1,20971520
132,0.3247,0,0,0,4,83886080
133,1.1587,0,0,0,10,209715200
134,1.1465,0,0,0,4,83886080
135,1.1575,0,0,0,9,188743680
136,0.1592,0,0,0,5,104857600
137,0.0977,0,0,0,4,83886080
138,0.0468,0,0,0,1,20971520
139,1.1666,0,0,0,9,188743680
140,1.1709,0,0,0,4,83886080
141,1.1572,0,0,0,10,209715200
142,0.7559,0,0,0,4,83886080
143,0.2444,0,0,0,4,83886080
144,0.9629,0,0,0,10,209715200
145,1.157,0,0,0,4,83886080
146,0.9983,0,0,0,10,209715200
147,1.1621,0,0,0,6,125829120
148,0.03,0,0,0,0,0
149,0.0243,0,0,0,0,0
