i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.5007,0,0,0,0,0
1,1.1758,0,0,0,0,0
2,1.2025,0,0,0,0,0
3,1.1913,0,0,0,0,0
4,1.1806,0,0,0,0,0
5,0.2301,0,0,0,0,0
6,0.2315,0,0,0,0,0
7,0.9637,0,0,0,0,0
8,1.199,0,0,0,0,0
9,1.0258,0,0,0,0,0
10,1.1695,0,0,0,0,0
11,0.4281,0,0,0,0,0
12,1.1231,0,0,0,0,0
13,0.24,0,0,0,0,0
14,0.2055,0,0,0,0,0
15,0.217,0,0,0,0,0
16,0.5957,0,0,0,0,0
17,0.2263,0,0,0,0,0
18,1.1705,0,0,0,0,0
19,0.2203,0,0,0,0,0
20,0.2147,0,0,0,0,0
21,0.4816,0,0,0,0,0
22,1.1618,0,0,0,0,0
23,1.1995,0,0,0,0,0
24,1.1919,0,0,0,0,0
25,0.2467,0,0,0,0,0
26,2.2281,1696,27,555745280,0,0
27,1.0676,0,0,0,0,0
28,0.3758,0,0,0,0,0
29,1.1593,0,0,0,0,0
30,0.2509,0,0,0,0,0
31,0.3402,0,0,0,0,0
32,1.1772,0,0,0,0,0
33,0.2367,0,0,0,0,0
34,1.1821,0,0,0,0,0
35,1.2175,0,0,0,0,0
36,0.8362,0,0,0,0,0
37,1.2909,1696,27,555745280,0,0
38,0.2347,0,0,0,0,0
39,0.2205,0,0,0,0,0
40,1.414,1712,27,560988160,0,0
41,1.1826,0,0,0,0,0
42,0.3011,0,0,0,0,0
43,1.1889,0,0,0,0,0
44,2.8109,1696,27,555745280,0,0
45,1.1847,0,0,0,0,0
46,0.2401,0,0,0,0,0
47,0.3551,0,0,0,0,0
48,0.9059,0,0,0,0,0
49,0.2493,0,0,0,0,0
50,1.2004,0,0,0,0,0
51,0.2468,0,0,0,0,0
52,1.2056,0,0,0,0,0
53,0.2223,0,0,0,0,0
54,0.2432,0,0,0,0,0
55,1.2016,0,0,0,0,0
56,0.2337,0,0,0,0,0
57,1.2387,0,0,0,0,0
58,0.2245,0,0,0,0,0
59,0.2413,0,0,0,0,0
60,0.4759,0,0,0,0,0
61,0.2206,0,0,0,0,0
62,1.1542,0,0,0,0,0
63,1.2061,0,0,0,0,0
64,1.2056,0,0,0,0,0
65,1.2164,0,0,0,0,0
66,1.2013,0,0,0,0,0
67,0.7432,0,0,0,0,0
68,2.3844,1696,27,555745280,0,0
69,1.1843,0,0,0,0,0
70,1.2004,0,0,0,0,0
71,1.1907,0,0,0,0,0
72,2.3581,576,9,188743680,0,0
73,3.5398,112,2,36700160,0,0
74,1.0833,0,0,0,0,0
75,0.2282,0,0,0,0,0
76,0.2143,0,0,0,0,0
77,1.0728,0,0,0,0,0
78,1.2265,0,0,0,0,0
79,0.4649,0,0,0,0,0
80,1.3361,640,10,209715200,0,0
81,0.222,0,0,0,0,0
82,2.2698,448,7,146800640,0,0
83,1.1852,0,0,0,0,0
84,1.2127,0,0,0,0,0
85,0.2361,0,0,0,0,0
86,1.0473,0,0,0,0,0
87,0.2343,0,0,0,0,0
88,1.2229,0,0,0,0,0
89,1.1981,0,0,0,0,0
90,1.0872,0,0,0,0,0
91,1.216,288,5,94371840,0,0
92,1.1769,0,0,0,0,0
93,0.4544,0,0,0,0,0
94,1.8436,256,4,83886080,0,0
95,2.6548,1984,31,650117120,0,0
96,1.187,0,0,0,0,0
97,0.2303,0,0,0,0,0
98,0.4704,0,0,0,0,0
99,0.8602,0,0,0,0,0
100,0.9858,0,0,0,0,0
101,0.2689,0,0,0,0,0
102,0.241,0,0,0,0,0
103,1.2226,0,0,0,0,0
104,1.3101,784,13,256901120,0,0
105,1.1624,0,0,0,0,0
106,1.2378,0,0,0,0,0
107,2.0381,1696,27,555745280,0,0
108,1.2274,0,0,0,0,0
109,1.2182,0,0,0,0,0
110,1.2234,0,0,0,0,0
111,0.3921,0,0,0,0,0
112,1.1989,0,0,0,0,0
113,1.95,1872,30,613416960,0,0
114,0.8568,0,0,0,0,0
115,1.208,0,0,0,0,0
116,1.2104,0,0,0,0,0
117,0.2285,0,0,0,0,0
118,1.1642,0,0,0,0,0
119,1.1989,0,0,0,0,0
120,1.2178,0,0,0,0,0
121,0.2789,0,0,0,0,0
122,1.1024,0,0,0,0,0
123,2.1154,576,9,188743680,0,0
124,1.2065,0,0,0,0,0
125,1.2029,0,0,0,0,0
126,2.4111,1984,31,650117120,0,0
127,1.2003,0,0,0,0,0
128,0.2291,0,0,0,0,0
129,1.2214,0,0,0,0,0
130,0.2318,0,0,0,0,0
131,2.0734,224,4,73400320,0,0
132,0.3823,0,0,0,0,0
133,1.1837,0,0,0,0,0
134,1.2071,0,0,0,0,0
135,1.2235,0,0,0,0,0
136,0.2333,0,0,0,0,0
137,0.2329,0,0,0,0,0
138,0.2169,0,0,0,0,0
139,1.183,0,0,0,0,0
140,1.2297,0,0,0,0,0
141,1.1929,0,0,0,0,0
142,0.788,0,0,0,0,0
143,0.281,0,0,0,0,0
144,0.9755,0,0,0,0,0
145,1.2052,0,0,0,0,0
146,1.0334,0,0,0,0,0
147,1.1956,0,0,0,0,0
148,0.2177,0,0,0,0,0
149,0.2049,0,0,0,0,0
