i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3745,0,0,0,8,167772160
1,2.2975,0,0,0,23,482344960
2,3.5207,0,0,0,31,650117120
3,3.4877,0,0,0,31,650117120
4,1.3049,0,0,0,9,188743680
5,1.0617,0,0,0,40,838860800
6,0.2178,0,0,0,2,41943040
7,0.9486,0,0,0,16,335544320
8,3.5222,0,0,0,28,587202560
9,2.6283,0,0,0,30,629145600
10,1.2607,0,0,0,8,167772160
11,1.5325,0,0,0,50,1048576000
12,1.146,0,0,0,16,335544320
13,0.0911,0,0,0,0,0
14,0.0391,0,0,0,0,0
15,0.0978,0,0,0,0,0
16,2.575,0,0,0,13,272629760
17,0.0642,0,0,0,3,62914560
18,1.3561,0,0,0,16,335544320
19,1.054,0,0,0,1,20971520
20,2.0355,0,0,0,23,482344960
21,0.982,0,0,0,16,335544320
22,2.6722,0,0,0,17,356515840
23,1.2004,0,0,0,6,125829120
24,5.3253,0,0,0,55,1153433600
25,0.3178,0,0,0,0,0
26,3.5368,1696,27,555745280,14,293601280
27,1.0866,0,0,0,16,335544320
28,3.2276,0,0,0,28,587202560
29,2.4788,0,0,0,16,335544320
30,0.06,0,0,0,0,0
31,3.0586,0,0,0,27,566231040
32,1.5183,0,0,0,16,335544320
33,0.0498,0,0,0,0,0
34,3.846,0,0,0,32,671088640
35,1.5273,0,0,0,11,230686720
36,2.9048,0,0,0,35,734003200
37,3.9087,1696,27,555745280,24,503316480
38,0.2343,0,0,0,7,146800640
39,0.7327,0,0,0,0,0
40,1.136,1712,27,560988160,4,83886080
41,1.166,0,0,0,16,335544320
42,2.2235,0,0,0,17,356515840
43,1.506,0,0,0,25,524288000
44,4.2212,1696,27,555745280,15,314572800
45,1.1611,0,0,0,16,335544320
46,0.0362,0,0,0,0,0
47,3.0261,0,0,0,29,608174080
48,1.9714,0,0,0,16,335544320
49,0.1176,0,0,0,0,0
50,1.4268,0,0,0,11,230686720
51,1.2063,0,0,0,11,230686720
52,3.717,0,0,0,35,734003200
53,2.8944,0,0,0,16,335544320
54,0.1469,0,0,0,0,0
55,1.1848,0,0,0,16,335544320
56,2.8122,0,0,0,18,377487360
57,1.2307,0,0,0,16,335544320
58,0.0994,0,0,0,0,0
59,0.0602,0,0,0,0,0
60,0.4653,0,0,0,1,20971520
61,4.1962,0,0,0,37,775946240
62,1.9199,0,0,0,20,419430400
63,4.0051,0,0,0,29,608174080
64,1.3995,0,0,0,9,188743680
65,5.3985,0,0,0,53,1111490560
66,4.1626,0,0,0,31,650117120
67,0.8127,0,0,0,0,0
68,4.9851,1696,27,555745280,37,775946240
69,1.1662,0,0,0,16,335544320
70,1.2644,0,0,0,4,83886080
71,5.773,0,0,0,57,1195376640
72,4.5097,576,9,188743680,30,629145600
73,3.4966,112,2,36700160,22,461373440
74,1.0792,0,0,0,3,62914560
75,0.8253,0,0,0,14,293601280
