i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.4193,0,0,0,15,314572800
1,2.9297,0,0,0,16,335544320
2,3.1292,0,0,0,31,650117120
3,3.9624,0,0,0,31,650117120
4,1.1831,0,0,0,4,83886080
5,1.2781,0,0,0,39,817889280
6,0.0602,0,0,0,5,104857600
7,1.0145,0,0,0,19,398458880
8,3.5249,0,0,0,28,587202560
9,3.3319,0,0,0,30,629145600
10,1.1869,0,0,0,16,335544320
11,3.0594,0,0,0,42,880803840
12,1.1358,0,0,0,16,335544320
13,0.1652,0,0,0,2,41943040
14,0.0319,0,0,0,1,20971520
15,0.0412,0,0,0,0,0
16,2.5632,0,0,0,10,209715200
17,0.0529,0,0,0,3,62914560
18,1.4225,0,0,0,16,335544320
19,0.153,0,0,0,1,20971520
20,3.6517,0,0,0,23,482344960
21,1.0428,0,0,0,16,335544320
22,3.0833,0,0,0,17,356515840
23,1.2062,0,0,0,5,104857600
24,6.6924,0,0,0,56,1174405120
25,0.1544,0,0,0,1,20971520
26,4.2324,1696,27,555745280,13,272629760
27,1.0669,0,0,0,16,335544320
28,3.908,0,0,0,28,587202560
29,2.8341,0,0,0,16,335544320
30,0.1477,0,0,0,1,20971520
31,3.8163,0,0,0,26,545259520
32,1.1816,0,0,0,7,146800640
33,0.0419,0,0,0,0,0
34,5.218,0,0,0,41,859832320
35,1.192,0,0,0,6,125829120
36,0.774,0,0,0,8,167772160
37,9.0393,1696,27,555745280,56,1174405120
38,0.1308,0,0,0,7,146800640
39,0.8781,0,0,0,0,0
40,0.7147,1712,27,560988160,4,83886080
41,1.16,0,0,0,16,335544320
42,0.282,0,0,0,2,41943040
43,1.157,0,0,0,2,41943040
44,7.3032,1696,27,555745280,53,1111490560
45,1.168,0,0,0,16,335544320
46,0.1487,0,0,0,1,20971520
47,3.6083,0,0,0,28,587202560
48,2.4086,0,0,0,16,335544320
49,0.156,0,0,0,1,20971520
50,1.1541,0,0,0,3,62914560
51,0.0603,0,0,0,0,0
52,6.1397,0,0,0,53,1111490560
53,3.5149,0,0,0,16,335544320
54,0.0705,0,0,0,0,0
55,1.1603,0,0,0,16,335544320
56,3.6038,0,0,0,19,398458880
57,1.2027,0,0,0,16,335544320
58,0.1421,0,0,0,1,20971520
59,0.0594,0,0,0,0,0
60,0.4304,0,0,0,3,62914560
61,3.4683,0,0,0,31,650117120
62,3.9276,0,0,0,24,503316480
63,4.8162,0,0,0,30,629145600
64,1.1892,0,0,0,3,62914560
65,7.1232,0,0,0,58,1216348160
66,4.9299,0,0,0,31,650117120
67,0.6966,0,0,0,3,62914560
68,5.535,1696,27,555745280,34,713031680
69,1.177,0,0,0,16,335544320
70,1.19,0,0,0,5,104857600
