i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3583,0,0,0,0,0
1,1.192,0,0,0,0,0
2,1.1947,0,0,0,0,0
3,1.171,0,0,0,0,0
4,1.2009,0,0,0,0,0
5,0.0713,0,0,0,0,0
6,0.0449,0,0,0,0,0
7,0.9175,0,0,0,0,0
8,1.1835,0,0,0,0,0
9,1.0072,0,0,0,0,0
10,1.1671,0,0,0,0,0
11,0.3951,0,0,0,0,0
12,1.1114,0,0,0,0,0
13,0.0514,0,0,0,0,0
14,0.0293,0,0,0,0,0
15,0.0446,0,0,0,0,0
16,0.1395,0,0,0,0,0
17,0.0511,0,0,0,0,0
18,1.1475,0,0,0,0,0
19,0.0708,0,0,0,0,0
20,0.0994,0,0,0,0,0
21,0.4432,0,0,0,0,0
22,1.1452,0,0,0,0,0
23,1.1884,0,0,0,0,0
24,1.1821,0,0,0,0,0
25,0.0469,0,0,0,0,0
26,0.8496,1696,27,555745280,0,0
27,1.0555,0,0,0,0,0
28,0.3433,0,0,0,0,0
29,1.1486,0,0,0,0,0
30,0.0724,0,0,0,0,0
31,0.3237,0,0,0,0,0
32,1.1637,0,0,0,0,0
33,0.0447,0,0,0,0,0
34,1.1615,0,0,0,0,0
35,1.1868,0,0,0,0,0
36,0.7957,0,0,0,0,0
37,0.5045,1696,27,555745280,0,0
38,0.1182,0,0,0,0,0
39,0.0451,0,0,0,0,0
40,0.85,1712,27,560988160,0,0
41,1.1612,0,0,0,0,0
42,0.2809,0,0,0,0,0
43,1.1658,0,0,0,0,0
44,1.1542,1696,27,555745280,0,0
45,1.1668,0,0,0,0,0
46,0.0568,0,0,0,0,0
47,0.3082,0,0,0,0,0
48,0.8862,0,0,0,0,0
49,0.0737,0,0,0,0,0
50,1.1781,0,0,0,0,0
51,0.0743,0,0,0,0,0
52,1.1843,0,0,0,0,0
53,0.0545,0,0,0,0,0
54,0.0709,0,0,0,0,0
55,1.1835,0,0,0,0,0
56,0.0742,0,0,0,0,0
57,1.1838,0,0,0,0,0
58,0.0523,0,0,0,0,0
59,0.0722,0,0,0,0,0
60,0.4397,0,0,0,0,0
61,0.1621,0,0,0,0,0
62,1.1501,0,0,0,0,0
63,1.1758,0,0,0,0,0
64,1.1955,0,0,0,0,0
65,1.1823,0,0,0,0,0
66,1.1708,0,0,0,0,0
67,0.7029,0,0,0,0,0
68,0.6612,1696,27,555745280,0,0
69,1.1832,0,0,0,0,0
70,1.2036,0,0,0,0,0
71,1.178,0,0,0,0,0
72,1.3492,576,9,188743680,0,0
73,1.3154,112,2,36700160,0,0
74,1.0672,0,0,0,0,0
75,0.0457,0,0,0,0,0
76,0.0264,0,0,0,0,0
77,1.0538,0,0,0,0,0
78,1.1838,0,0,0,0,0
79,0.4075,0,0,0,0,0
80,0.4434,640,10,209715200,0,0
81,0.0313,0,0,0,0,0
82,1.3768,448,7,146800640,0,0
83,1.1658,0,0,0,0,0
84,1.1823,0,0,0,0,0
85,0.1499,0,0,0,0,0
86,1.0318,0,0,0,0,0
87,0.0467,0,0,0,0,0
88,1.1835,0,0,0,0,0
89,1.1742,0,0,0,0,0
90,1.0656,0,0,0,0,0
91,0.7299,288,5,94371840,0,0
92,1.1491,0,0,0,0,0
93,0.4174,0,0,0,0,0
94,0.304,256,4,83886080,0,0
95,0.8961,1984,31,650117120,0,0
96,1.1649,0,0,0,0,0
97,0.0732,0,0,0,0,0
98,0.4466,0,0,0,0,0
99,0.834,0,0,0,0,0
100,0.9559,0,0,0,0,0
101,0.0738,0,0,0,0,0
102,0.1361,0,0,0,0,0
103,1.1656,0,0,0,0,0
104,0.668,784,13,256901120,0,0
105,1.1488,0,0,0,0,0
106,1.1826,0,0,0,0,0
107,0.5954,1696,27,555745280,0,0
108,1.1746,0,0,0,0,0
109,1.1763,0,0,0,0,0
110,1.1789,0,0,0,0,0
111,0.3465,0,0,0,0,0
112,1.165,0,0,0,0,0
113,0.7952,1872,30,613416960,0,0
114,0.8262,0,0,0,0,0
115,1.1977,0,0,0,0,0
116,1.1791,0,0,0,0,0
117,0.2,0,0,0,0,0
118,1.1497,0,0,0,0,0
119,1.1723,0,0,0,0,0
120,1.1804,0,0,0,0,0
121,0.2587,0,0,0,0,0
122,1.0878,0,0,0,0,0
123,1.5778,576,9,188743680,0,0
124,1.1646,0,0,0,0,0
125,1.1679,0,0,0,0,0
126,0.8524,1984,31,650117120,0,0
127,1.1828,0,0,0,0,0
128,0.0556,0,0,0,0,0
129,1.1762,0,0,0,0,0
130,0.0605,0,0,0,0,0
131,1.206,224,4,73400320,0,0
132,0.3499,0,0,0,0,0
133,1.164,0,0,0,0,0
134,1.1649,0,0,0,0,0
135,1.1873,0,0,0,0,0
136,0.1574,0,0,0,0,0
137,0.1009,0,0,0,0,0
138,0.0583,0,0,0,0,0
139,1.1658,0,0,0,0,0
140,1.1993,0,0,0,0,0
141,1.182,0,0,0,0,0
142,0.7719,0,0,0,0,0
143,0.2554,0,0,0,0,0
144,0.9551,0,0,0,0,0
145,1.176,0,0,0,0,0
146,1.0223,0,0,0,0,0
147,1.1645,0,0,0,0,0
148,0.0447,0,0,0,0,0
149,0.0419,0,0,0,0,0
