i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.6668,0,0,0,15,314572800
1,2.4827,0,0,0,16,335544320
2,3.5968,0,0,0,31,650117120
3,3.457,0,0,0,31,650117120
4,1.1909,0,0,0,4,83886080
5,1.2169,0,0,0,33,692060160
6,0.0435,0,0,0,6,125829120
7,1.0754,0,0,0,24,503316480
8,2.483,0,0,0,28,587202560
9,3.2548,0,0,0,30,629145600
10,1.1956,0,0,0,18,377487360
11,2.8371,0,0,0,40,838860800
12,1.1334,0,0,0,6,125829120
13,0.0258,0,0,0,0,0
14,0.0278,0,0,0,0,0
15,0.4134,0,0,0,11,230686720
16,3.2573,0,0,0,12,251658240
17,0.0524,0,0,0,3,62914560
18,1.4636,0,0,0,16,335544320
19,0.1702,0,0,0,1,20971520
20,3.8459,0,0,0,23,482344960
21,1.0746,0,0,0,16,335544320
22,3.0232,0,0,0,17,356515840
23,1.2066,0,0,0,5,104857600
24,7.2131,0,0,0,56,1174405120
25,0.1557,0,0,0,1,20971520
26,4.015,1696,27,555745280,13,272629760
27,1.0573,0,0,0,16,335544320
28,3.915,0,0,0,28,587202560
29,2.6167,0,0,0,16,335544320
30,0.1513,0,0,0,1,20971520
31,3.5253,0,0,0,26,545259520
32,1.1842,0,0,0,7,146800640
33,0.0426,0,0,0,0,0
34,4.6783,0,0,0,41,859832320
35,1.1939,0,0,0,4,83886080
36,0.7734,0,0,0,12,251658240
37,8.2754,1696,27,555745280,54,1132462080
38,0.1301,0,0,0,7,146800640
39,0.7978,0,0,0,0,0
40,0.7128,1712,27,560988160,4,83886080
41,1.162,0,0,0,16,335544320
42,0.2816,0,0,0,2,41943040
43,1.1573,0,0,0,3,62914560
44,7.6487,1696,27,555745280,52,1090519040
45,1.1544,0,0,0,16,335544320
46,0.1479,0,0,0,1,20971520
47,3.417,0,0,0,28,587202560
48,2.0408,0,0,0,16,335544320
49,0.157,0,0,0,1,20971520
50,1.159,0,0,0,4,83886080
51,0.0648,0,0,0,0,0
52,5.7426,0,0,0,52,1090519040
53,2.3321,0,0,0,16,335544320
54,0.0761,0,0,0,0,0
55,1.1629,0,0,0,16,335544320
56,3.1343,0,0,0,19,398458880
57,1.1845,0,0,0,16,335544320
58,0.1422,0,0,0,1,20971520
59,0.0626,0,0,0,0,0
60,0.4318,0,0,0,3,62914560
61,3.1709,0,0,0,29,608174080
62,3.6309,0,0,0,26,545259520
63,4.552,0,0,0,30,629145600
64,1.1921,0,0,0,4,83886080
65,5.9478,0,0,0,57,1195376640
66,4.4575,0,0,0,31,650117120
67,0.6979,0,0,0,3,62914560
68,5.4795,1696,27,555745280,34,713031680
69,1.1765,0,0,0,16,335544320
70,1.1931,0,0,0,4,83886080
71,6.3804,0,0,0,57,1195376640
72,5.0021,576,9,188743680,30,629145600
73,3.6817,112,2,36700160,22,461373440
74,1.0744,0,0,0,7,146800640
75,0.0385,0,0,0,0,0
76,0.0277,0,0,0,0,0
77,1.0367,0,0,0,16,335544320
78,1.1968,0,0,0,10,209715200
79,7.8733,0,0,0,78,1635778560
80,2.2406,640,10,209715200,0,0
81,0.0403,0,0,0,1,20971520
82,1.5351,448,7,146800640,16,335544320
83,1.1916,0,0,0,6,125829120
84,1.7242,0,0,0,19,398458880
85,5.7237,0,0,0,51,1069547520
86,1.0546,0,0,0,16,335544320
87,0.0564,0,0,0,0,0
88,1.1596,0,0,0,4,83886080
89,5.1787,0,0,0,49,1027604480
90,1.0616,0,0,0,4,83886080
91,4.9054,288,5,94371840,44,922746880
92,1.1683,0,0,0,12,251658240
93,3.4569,0,0,0,34,713031680
94,1.8296,256,4,83886080,0,0
95,0.8379,1984,31,650117120,0,0
96,1.1531,0,0,0,16,335544320
97,0.1687,0,0,0,1,20971520
98,3.4118,0,0,0,29,608174080
99,2.539,0,0,0,17,356515840
100,0.9794,0,0,0,4,83886080
101,0.0592,0,0,0,1,20971520
102,4.2528,0,0,0,39,817889280
103,1.1939,0,0,0,16,335544320
104,3.775,784,13,256901120,19,398458880
105,1.1579,0,0,0,16,335544320
106,1.2089,0,0,0,7,146800640
107,4.8684,1696,27,555745280,38,796917760
108,1.1798,0,0,0,16,335544320
109,4.1501,0,0,0,31,650117120
110,1.1997,0,0,0,10,209715200
111,4.8637,0,0,0,49,1027604480
112,2.4576,0,0,0,16,335544320
113,3.5922,1872,30,613416960,15,314572800
114,0.8338,0,0,0,16,335544320
115,1.2064,0,0,0,8,167772160
116,5.4623,0,0,0,48,1006632960
117,0.2103,0,0,0,2,41943040
118,4.4602,0,0,0,37,775946240
119,3.9027,0,0,0,30,629145600
120,1.1916,0,0,0,7,146800640
121,4.7691,0,0,0,47,985661440
122,2.1553,0,0,0,16,335544320
123,4.6575,576,9,188743680,29,608174080
124,1.1916,0,0,0,7,146800640
125,5.3469,0,0,0,45,943718400
126,4.0641,1984,31,650117120,13,272629760
127,1.1821,0,0,0,16,335544320
128,2.4368,0,0,0,15,314572800
129,1.1767,0,0,0,15,314572800
130,3.1027,0,0,0,17,356515840
131,1.319,224,4,73400320,16,335544320
132,0.3562,0,0,0,3,62914560
133,4.4381,0,0,0,34,713031680
134,3.9681,0,0,0,31,650117120
135,1.1911,0,0,0,6,125829120
136,4.8086,0,0,0,47,985661440
137,0.109,0,0,0,6,125829120
138,1.2971,0,0,0,0,0
139,1.1617,0,0,0,16,335544320
140,1.2201,0,0,0,7,146800640
141,3.5292,0,0,0,38,796917760
142,0.7468,0,0,0,0,0
143,6.0838,0,0,0,66,1384120320
144,2.0178,0,0,0,16,335544320
145,3.9172,0,0,0,27,566231040
146,4.3701,0,0,0,29,608174080
147,4.0996,0,0,0,28,587202560
148,0.146,0,0,0,2,41943040
149,3.0252,0,0,0,13,272629760
