i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.3591,0,0,0,6,125829120
1,2.4636,0,0,0,25,524288000
2,3.3606,0,0,0,31,650117120
3,3.1111,0,0,0,31,650117120
4,1.1566,0,0,0,0,0
5,0.9153,0,0,0,31,650117120
6,0.0419,0,0,0,0,0
7,1.1049,0,0,0,36,754974720
8,3.2253,0,0,0,28,587202560
9,1.9747,0,0,0,30,629145600
10,1.1634,0,0,0,0,0
11,1.2764,0,0,0,58,1216348160
12,1.1047,0,0,0,16,335544320
13,0.0265,0,0,0,0,0
14,0.037,0,0,0,0,0
15,0.0427,0,0,0,0,0
16,2.9287,0,0,0,13,272629760
17,0.0537,0,0,0,3,62914560
18,1.3899,0,0,0,16,335544320
19,0.0664,0,0,0,0,0
20,3.6781,0,0,0,24,503316480
21,1.016,0,0,0,16,335544320
22,2.9183,0,0,0,17,356515840
23,1.1618,0,0,0,1,20971520
24,6.5755,0,0,0,60,1258291200
25,0.0257,0,0,0,0,0
26,3.9691,1696,27,555745280,14,293601280
27,1.0676,0,0,0,16,335544320
28,3.6429,0,0,0,28,587202560
29,2.3332,0,0,0,16,335544320
30,0.0593,0,0,0,0,0
31,3.4463,0,0,0,27,566231040
32,1.1623,0,0,0,3,62914560
33,0.0396,0,0,0,0,0
34,4.9189,0,0,0,45,943718400
35,1.1637,0,0,0,0,0
36,0.777,0,0,0,14,293601280
37,6.3882,1696,27,555745280,56,1174405120
38,0.4087,0,0,0,7,146800640
39,0.6992,0,0,0,0,0
40,0.546,1712,27,560988160,4,83886080
41,1.1552,0,0,0,16,335544320
42,0.2505,0,0,0,0,0
43,1.1619,0,0,0,0,0
44,6.7713,1696,27,555745280,57,1195376640
45,1.1553,0,0,0,16,335544320
46,0.0353,0,0,0,0,0
47,3.4263,0,0,0,29,608174080
48,2.1581,0,0,0,16,335544320
49,0.0583,0,0,0,0,0
50,1.1598,0,0,0,1,20971520
51,0.0644,0,0,0,0,0
52,6.1567,0,0,0,56,1174405120
53,3.3192,0,0,0,15,314572800
54,0.0661,0,0,0,1,20971520
55,1.1733,0,0,0,16,335544320
56,3.4102,0,0,0,19,398458880
57,1.1799,0,0,0,16,335544320
58,0.0415,0,0,0,0,0
59,0.0622,0,0,0,0,0
60,0.4286,0,0,0,1,20971520
61,3.4842,0,0,0,33,692060160
62,3.5363,0,0,0,25,524288000
63,4.5697,0,0,0,30,629145600
64,1.1618,0,0,0,0,0
65,6.8814,0,0,0,61,1279262720
66,4.5844,0,0,0,31,650117120
67,0.6674,0,0,0,0,0
68,5.4533,1696,27,555745280,37,775946240
69,1.1753,0,0,0,16,335544320
70,1.1612,0,0,0,0,0
71,6.4509,0,0,0,61,1279262720
72,4.4334,576,9,188743680,30,629145600
73,3.4801,112,2,36700160,22,461373440
74,1.0286,0,0,0,3,62914560
75,0.0641,0,0,0,0,0
76,0.0505,0,0,0,0,0
77,1.0373,0,0,0,15,314572800
78,1.1683,0,0,0,14,293601280
79,7.6692,0,0,0,79,1656750080
80,2.1021,640,10,209715200,0,0
81,0.0364,0,0,0,1,20971520
82,1.3778,448,7,146800640,16,335544320
83,1.1444,0,0,0,3,62914560
84,1.1672,0,0,0,13,272629760
85,6.2338,0,0,0,60,1258291200
86,1.0311,0,0,0,16,335544320
87,0.0252,0,0,0,0,0
88,1.1595,0,0,0,0,0
89,5.7343,0,0,0,53,1111490560
90,1.0274,0,0,0,0,0
91,1.7139,288,5,94371840,19,398458880
92,1.1496,0,0,0,11,230686720
93,6.6062,0,0,0,64,1342177280
94,1.9835,256,4,83886080,0,0
95,0.5963,1984,31,650117120,0,0
96,1.1689,0,0,0,16,335544320
97,0.0587,0,0,0,0,0
98,3.6626,0,0,0,30,629145600
99,2.6833,0,0,0,17,356515840
100,0.9306,0,0,0,1,20971520
101,0.0674,0,0,0,0,0
102,4.7583,0,0,0,43,901775360
103,1.1747,0,0,0,16,335544320
104,3.7782,784,13,256901120,19,398458880
105,1.1417,0,0,0,16,335544320
106,1.1627,0,0,0,2,41943040
107,4.2505,1696,27,555745280,35,734003200
108,1.1875,0,0,0,17,356515840
109,4.8578,0,0,0,38,796917760
110,1.1628,0,0,0,7,146800640
111,5.4997,0,0,0,52,1090519040
112,2.5102,0,0,0,16,335544320
113,3.7498,1872,30,613416960,15,314572800
114,0.8259,0,0,0,16,335544320
115,1.1603,0,0,0,3,62914560
116,6.3539,0,0,0,53,1111490560
117,0.1789,0,0,0,0,0
118,4.9732,0,0,0,39,817889280
119,4.3432,0,0,0,30,629145600
120,1.1456,0,0,0,1,20971520
121,5.6327,0,0,0,53,1111490560
122,2.2447,0,0,0,16,335544320
123,4.6192,576,9,188743680,29,608174080
124,1.144,0,0,0,2,41943040
125,5.6124,0,0,0,50,1048576000
126,3.5954,1984,31,650117120,13,272629760
127,1.1735,0,0,0,16,335544320
128,3.4579,0,0,0,15,314572800
129,1.1689,0,0,0,16,335544320
130,3.4051,0,0,0,16,335544320
131,1.2107,224,4,73400320,16,335544320
132,0.322,0,0,0,0,0
133,4.5417,0,0,0,37,775946240
134,4.2234,0,0,0,31,650117120
135,1.1619,0,0,0,0,0
136,5.6947,0,0,0,53,1111490560
137,0.0942,0,0,0,6,125829120
138,1.3156,0,0,0,0,0
139,1.1554,0,0,0,16,335544320
140,1.16,0,0,0,4,83886080
141,3.9008,0,0,0,35,734003200
142,0.7535,0,0,0,6,125829120
143,6.1319,0,0,0,66,1384120320
144,1.7643,0,0,0,16,335544320
145,3.6393,0,0,0,27,566231040
146,3.9915,0,0,0,30,629145600
147,3.9489,0,0,0,28,587202560
148,0.0292,0,0,0,0,0
149,3.1096,0,0,0,14,293601280
