i,ttft_s,matched,read_ios,read_b,write_ios,write_b
0,0.4011,0,0,0,0,0
1,1.183,0,0,0,22,115343360
2,1.1821,0,0,0,53,277872640
3,1.157,0,0,0,51,267386880
4,1.1702,0,0,0,181,948961280
5,0.0855,0,0,0,47,246415360
6,0.0551,0,0,0,26,136314880
7,0.9752,0,0,0,193,1011875840
8,1.1531,0,0,0,28,146800640
9,0.9916,0,0,0,54,283115520
10,1.1666,0,0,0,160,838860800
11,0.3928,0,0,0,111,581959680
12,1.1205,0,0,0,74,387973120
13,0.0627,0,0,0,5,26214400
14,0.0307,0,0,0,4,20971520
15,0.0507,0,0,0,1,5242880
16,0.1029,16,0,0,7,36700160
17,0.0516,0,0,0,1,5242880
18,1.1458,0,0,0,75,393216000
19,0.0749,0,0,0,9,47185920
20,0.0987,0,0,0,8,41943040
21,0.4445,0,0,0,31,162529280
22,1.1477,0,0,0,77,403701760
23,1.1673,0,0,0,83,435159040
24,1.1484,0,0,0,81,424673280
25,0.043,0,0,0,4,20971520
26,0.0831,1744,0,0,5,26214400
27,1.5307,0,0,0,107,560988160
28,0.3211,0,0,0,26,136314880
29,1.2069,0,0,0,86,450887680
30,0.048,16,0,0,1,5242880
31,0.3065,0,0,0,9,47185920
32,1.1627,0,0,0,95,498073600
33,0.0459,32,0,0,2,10485760
34,1.1464,0,0,0,70,367001600
35,1.1648,0,0,0,73,382730240
36,0.7827,0,0,0,44,230686720
37,1.3122,1744,32,167772160,64,335544320
38,0.1152,0,0,0,9,47185920
39,0.0384,0,0,0,1,5242880
40,2.6196,1760,110,576716800,128,671088640
41,1.1655,0,0,0,64,335544320
42,0.7954,0,0,0,31,162529280
43,1.164,0,0,0,61,319815680
44,3.009,1744,109,571473920,134,702545920
45,1.1599,0,0,0,56,293601280
46,0.9626,32,2,10485760,39,204472320
47,0.2903,0,0,0,17,89128960
48,0.8908,0,0,0,39,204472320
49,0.0459,16,0,0,3,15728640
50,1.163,0,0,0,58,304087040
51,0.6406,16,1,5242880,30,157286400
52,1.1616,0,0,0,55,288358400
53,3.145,0,0,0,152,796917760
54,0.0485,16,0,0,3,15728640
55,1.2397,0,0,0,39,204472320
56,0.0657,0,0,0,0,0
57,1.1693,0,0,0,69,361758720
58,0.0471,0,0,0,0,0
