wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789755924445173659,120891532,80,0,1216,0
1789755925456365275,120835304,272,0,1216,0
1789755926467292321,120789900,304,0,1216,0
1789755927478964769,120785300,332,0,1216,0
1789755928493805225,120758252,48,0,1216,0
1789755929504957118,120230536,100,0,1216,0
1789755930516509427,120742708,252,0,1216,0
1789755931528853891,120741328,276,0,1216,0
1789755932544360066,120738132,288,0,1216,0
1789755933559190414,120653976,52,0,1216,0
1789755934570510747,120495472,96,0,1216,0
1789755935581761085,120418216,248,0,1216,0
1789755936593099674,120329268,264,0,1212,0
1789755937604288725,120213008,304,0,11456,0
1789755938614824211,120009492,48,0,81100,0
1789755939626380413,120020016,116,0,81104,0
1789755940638865693,120015900,264,0,81092,0
1789755941651003867,119953804,280,0,81092,0
1789755942661979122,119936008,312,0,81092,0
1789755943672344216,119933364,52,0,81092,0
1789755944682746473,119812300,88,0,81092,0
1789755945693860221,119167288,208,0,678332,0
1789755946705825194,114433064,240,0,5400928,0
1789755947754659628,111236032,256,0,8469700,0
1789755949008351929,111208356,56,0,8469700,0
1789755950020410124,111207696,236,0,8469700,0
1789755951033047808,110975224,268,0,8469700,0
1789755952044338332,110973028,292,0,8469700,0
1789755953054972368,110971172,312,0,8469700,0
1789755954065399546,110970212,28,0,8469700,0
1789755955075961257,110971256,188,0,8469700,0
1789755956086325152,110968368,220,0,8469700,0
1789755957096510184,110967756,240,0,8469700,0
1789755958106926858,110965812,264,0,8469700,0
1789755959117705580,110967160,16,0,8469700,0
1789755960128175672,110965752,188,0,8469700,0
1789755961138395674,110963804,216,0,8469700,0
1789755962148399025,110962572,236,0,8469700,0
1789755963158633468,110963192,256,0,8469700,0
1789755964169071310,110964284,280,0,8469700,0
1789755965179328251,110966452,160,0,8469700,0
1789755966189995047,110964272,184,0,8469700,0
1789755967200489655,110964300,340,0,8469700,0
1789755968210650498,110961816,356,0,8469700,0
1789755969221279935,110961336,0,0,8469700,0
1789755970232463612,110957684,380,0,8469700,0
1789755971243298867,110956028,400,0,8469700,0
1789755972253836484,110952640,424,0,8469700,0
1789755973264816473,110952848,444,0,8469700,0
1789755974275909336,110954264,472,0,8469700,0
1789755975286171026,110952616,72,0,8469700,0
1789755976296312399,110954212,268,0,8469700,0
1789755977306286047,110952540,288,0,8469700,0
1789755978316079568,110952452,308,0,8469700,0
1789755979326148976,110950300,340,0,8469700,0
1789755980336067126,110951172,48,0,8469700,0
1789755981346126838,110952404,184,0,8469700,0
1789755982356287798,110949728,208,0,8469700,0
1789755983366300530,110949808,232,0,8469700,0
1789755984376121160,110951360,264,0,8469700,0
1789755985385680870,110951392,36,0,8469700,0
1789755986395407857,110949560,184,0,8469700,0
1789755987405492412,110947640,216,0,8469700,0
1789755988416877681,110945320,244,0,8469700,0
1789755989428821680,110947512,268,0,8469700,0
1789755990439029577,110949988,3980,0,8469700,0
1789755991449082568,110951664,3752,0,8469700,0
1789755992459212330,110956736,3768,0,8469700,0
1789755993469243222,110959540,3804,0,8469700,0
1789755994479310308,110960204,3824,0,8469700,0
1789755995489206591,110958984,20,0,8469700,0
1789755996499095929,110957880,184,0,8469700,0
1789755997508795268,110958828,196,0,8469700,0
1789755998518695891,110955812,228,0,8469700,0
1789755999528603256,110957480,248,0,8469700,0
1789756000538406694,110957984,8,0,8469700,0
1789756001548035601,110957356,88,0,8469700,0
1789756002557692256,110957308,128,0,8469700,0
1789756003567573882,110957804,240,0,8469700,0
1789756004577528777,110956440,280,0,8469700,0
1789756005587749841,110957384,0,0,8469700,0
1789756006597488003,110958840,88,0,8469700,0
1789756007607770556,110956748,112,0,8469700,0
1789756008618174676,110955448,136,0,8469700,0
1789756009628311246,110954052,152,0,8469700,0
1789756010638052911,110956524,736,0,8469700,0
1789756011647833850,110959644,48,0,8469700,0
1789756012658250406,110959596,108,0,8469700,0
1789756013668356521,110958288,136,0,8469700,0
1789756014678397835,110962308,164,0,8469700,0
1789756015688423886,110961460,704,0,8469700,0
1789756016698948502,110959304,48,0,8469700,0
1789756017710754301,110957540,96,0,8469700,0
1789756018721362448,110958676,132,0,8469700,0
1789756019731576315,110959924,156,0,8469700,0
1789756020741525218,110961072,1188,0,8469700,0
1789756021751436330,110959048,44,0,8469700,0
1789756022761360023,110957760,84,0,8469700,0
1789756023771442297,110958248,128,0,8469700,0
1789756024781213512,110957428,152,0,8469700,0
1789756025791872394,110958172,172,0,8469700,0
1789756026803679559,110957740,8,140,8469700,0
1789756027813891789,110957976,76,0,8469700,0
1789756028824007727,110958356,108,0,8469700,0
1789756029834117311,110958176,120,0,8469700,0
1789756030844080690,110957096,1948,0,8469700,0
1789756031854203404,110958676,1976,0,8469700,0
1789756032864189418,110959844,492,0,8469700,0
1789756033874456655,110959412,108,0,8469700,0
1789756034884558577,110958364,116,0,8469700,0
1789756035894525764,110958304,244,0,8469700,0
1789756036904552928,110961912,248,0,8469700,0
1789756037914105434,110962476,56,0,8469700,0
1789756038924274918,110962212,124,0,8469700,0
1789756039934204308,110962704,144,0,8469700,0
1789756040944220246,110961352,268,0,8469700,0
1789756041954441462,110962564,292,0,8469700,0
1789756042964234208,110961740,76,0,8469700,0
1789756043974050693,110961268,116,0,8469700,0
1789756044983705807,110961464,144,0,8469700,0
1789756045993622545,110960416,164,0,8469700,0
1789756047003621439,110960696,616,0,8469700,0
1789756048013281144,110957952,32,0,8469700,0
1789756049023381563,110954792,52,0,8469700,0
1789756050033689305,110955600,112,0,8469700,0
1789756051043703941,110957064,820,0,8469700,0
1789756052053865597,110953948,840,0,8469700,0
1789756053064847235,110953556,16,0,8469700,0
1789756054075481794,110956272,92,0,8469700,0
1789756055085577569,110956072,108,0,8469700,0
1789756056095501301,110955724,1380,0,8469700,0
1789756057105479831,110955452,1400,0,8469700,0
1789756058115695158,110953856,16,0,8469700,0
1789756059125697098,110953392,88,0,8469700,0
1789756060135763436,110953852,112,0,8469700,0
1789756061146061330,110953256,216,0,8469700,0
1789756062157436481,110954792,244,0,8469700,0
1789756063171765219,110952808,8,124,8469700,0
1789756064186346094,110952244,84,0,8469700,0
1789756065200746485,110950468,244,0,8469700,0
1789756066211031535,110949764,2416,0,8469700,0
1789756067221868649,110949660,2476,0,8469700,0
1789756068233481133,110948528,2508,0,8469700,0
1789756069246976382,110945948,72,0,8469700,0
1789756070259860373,110947160,132,0,8469700,0
1789756071271555994,111720868,392,0,7851796,0
1789756073108591122,119534252,432,0,81092,0
