#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260919    03:30:45       0      8     63      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:46       0      8     63      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:47       0      8     62      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:48       0      8     62      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:49       0      8     62      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:50       0      8     61      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:51       0      8     61      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      5 
 20260919    03:30:52       0      8     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0     11 
 20260919    03:30:53       0      7     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:54       0      9     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:55       0      8     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:57       0      8     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:58       0      8     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260919    03:30:59       0     46     60      -      2      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260919    03:31:00       0     48     60      -      1      1      0      0      0      0   6500   1620      0      0   3924      7      0      -      -      0      4      0 
