wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789755704482537672,120884748,288,0,1216,0
1789755705493458726,120830672,308,0,1216,0
1789755706504692513,120777620,328,0,1216,0
1789755707516157676,120771844,64,0,1216,0
1789755708530227201,120736168,116,0,1216,0
1789755709541150918,120244720,224,0,1216,0
1789755710552568918,120740976,236,0,1216,0
1789755711564973606,120733684,400,0,1216,0
1789755712580111276,120730508,68,0,1216,0
1789755713593981076,120648684,120,0,1216,0
1789755714605680925,120457272,260,0,1216,0
1789755715617018863,120382268,284,0,1216,0
1789755716628580409,120316484,304,0,1216,0
1789755717639679906,120174200,380,0,11296,0
1789755718650245028,119987136,116,0,81088,0
1789755719661268917,119998912,256,4,81104,0
1789755720673048056,119925008,288,0,81092,0
1789755721684244494,119907720,316,0,81092,0
1789755722694910891,119907556,48,0,81092,0
1789755723705288942,119914404,100,0,81092,0
1789755724715746531,119795372,292,0,81092,0
1789755725726496488,119744152,332,0,81092,0
1789755726738673053,119741716,360,0,81092,0
1789755727753698668,119518000,408,0,81092,0
1789755728764471708,119510788,116,0,81092,0
1789755729774963498,119509580,248,0,81092,0
1789755730785292551,119510128,280,0,81092,0
1789755731795626030,119509652,296,0,81092,0
1789755732805609074,119508256,344,0,81092,0
1789755733815970221,119505604,96,0,81092,0
1789755734826435611,119505432,224,0,81092,0
1789755735836378528,119502720,232,0,81092,0
1789755736846291187,119500000,264,0,81092,0
1789755737856615114,119499304,20,104,81092,0
1789755738866906811,119497948,68,0,81092,0
1789755739877325689,119495780,176,0,81092,0
1789755740887633382,119495704,204,0,81092,0
1789755741897894242,119496032,228,0,81092,0
1789755742908145392,119497492,0,0,81092,0
1789755743918401937,119497384,88,0,81092,0
1789755744928211214,119498992,196,0,81092,0
1789755745938198976,119497084,236,0,81092,0
1789755746948839911,119497624,244,0,81092,0
1789755747959444413,119514788,280,0,81092,0
1789755748969907196,119514584,80,4,81092,0
1789755749982339189,119514636,208,0,81092,0
1789755750992494047,119514428,216,0,81092,0
1789755752002551328,119513776,256,0,81092,0
1789755753013396499,119514352,268,0,81092,0
1789755754024293680,119513652,176,0,81092,0
