timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/19 03:21:43.510, 0 %, 0 %, 15 MiB, 16384 MiB, 7.59 W, 52
2026/09/19 03:21:44.538, 0 %, 0 %, 15 MiB, 16384 MiB, 7.66 W, 52
2026/09/19 03:21:45.547, 0 %, 0 %, 15 MiB, 16384 MiB, 9.41 W, 52
2026/09/19 03:21:46.553, 0 %, 0 %, 15 MiB, 16384 MiB, 9.24 W, 52
2026/09/19 03:21:47.558, 0 %, 0 %, 15 MiB, 16384 MiB, 9.40 W, 52
2026/09/19 03:21:48.564, 0 %, 0 %, 15 MiB, 16384 MiB, 7.49 W, 52
2026/09/19 03:21:49.569, 0 %, 0 %, 15 MiB, 16384 MiB, 7.81 W, 52
2026/09/19 03:21:50.575, 0 %, 0 %, 15 MiB, 16384 MiB, 7.90 W, 52
2026/09/19 03:21:51.581, 0 %, 0 %, 15 MiB, 16384 MiB, 7.85 W, 52
2026/09/19 03:21:52.587, 1 %, 0 %, 15 MiB, 16384 MiB, 7.56 W, 51
2026/09/19 03:21:53.593, 0 %, 0 %, 15 MiB, 16384 MiB, 7.55 W, 51
2026/09/19 03:21:54.598, 0 %, 0 %, 15 MiB, 16384 MiB, 7.67 W, 51
2026/09/19 03:21:55.604, 0 %, 0 %, 15 MiB, 16384 MiB, 7.55 W, 51
2026/09/19 03:21:56.610, 0 %, 0 %, 18 MiB, 16384 MiB, 7.62 W, 51
2026/09/19 03:21:57.616, 0 %, 0 %, 134 MiB, 16384 MiB, 44.43 W, 53
2026/09/19 03:21:58.618, 0 %, 0 %, 5760 MiB, 16384 MiB, 44.59 W, 53
2026/09/19 03:21:59.622, 45 %, 2 %, 5760 MiB, 16384 MiB, 53.33 W, 54
2026/09/19 03:22:00.625, 33 %, 3 %, 7790 MiB, 16384 MiB, 98.74 W, 56
2026/09/19 03:22:01.627, 29 %, 20 %, 6858 MiB, 16384 MiB, 217.30 W, 59
2026/09/19 03:22:02.630, 100 %, 58 %, 6858 MiB, 16384 MiB, 222.00 W, 61
2026/09/19 03:22:03.634, 100 %, 57 %, 6858 MiB, 16384 MiB, 229.26 W, 62
2026/09/19 03:22:04.636, 0 %, 0 %, 6870 MiB, 16384 MiB, 58.31 W, 57
2026/09/19 03:22:05.639, 61 %, 48 %, 8876 MiB, 16384 MiB, 83.10 W, 57
2026/09/19 03:22:06.641, 0 %, 0 %, 8876 MiB, 16384 MiB, 57.22 W, 57
2026/09/19 03:22:07.643, 0 %, 0 %, 8876 MiB, 16384 MiB, 45.84 W, 56
2026/09/19 03:22:08.647, 100 %, 0 %, 9548 MiB, 16384 MiB, 117.65 W, 59
2026/09/19 03:22:09.649, 100 %, 0 %, 9548 MiB, 16384 MiB, 118.00 W, 59
2026/09/19 03:22:10.652, 100 %, 1 %, 9548 MiB, 16384 MiB, 117.10 W, 60
2026/09/19 03:22:11.655, 100 %, 22 %, 9548 MiB, 16384 MiB, 111.46 W, 60
2026/09/19 03:22:12.657, 100 %, 22 %, 9548 MiB, 16384 MiB, 205.17 W, 61
2026/09/19 03:22:13.659, 100 %, 1 %, 9548 MiB, 16384 MiB, 125.64 W, 64
2026/09/19 03:22:14.662, 100 %, 1 %, 9548 MiB, 16384 MiB, 120.73 W, 61
2026/09/19 03:22:15.664, 100 %, 1 %, 9548 MiB, 16384 MiB, 119.44 W, 62
2026/09/19 03:22:16.667, 100 %, 0 %, 9548 MiB, 16384 MiB, 117.90 W, 62
2026/09/19 03:22:17.669, 100 %, 22 %, 9548 MiB, 16384 MiB, 112.69 W, 62
2026/09/19 03:22:18.671, 100 %, 22 %, 9548 MiB, 16384 MiB, 205.25 W, 63
2026/09/19 03:22:19.674, 100 %, 0 %, 9548 MiB, 16384 MiB, 121.61 W, 65
2026/09/19 03:22:20.678, 100 %, 0 %, 9548 MiB, 16384 MiB, 120.82 W, 63
2026/09/19 03:22:21.680, 100 %, 0 %, 9548 MiB, 16384 MiB, 119.49 W, 64
2026/09/19 03:22:22.682, 100 %, 6 %, 9548 MiB, 16384 MiB, 115.75 W, 64
2026/09/19 03:22:23.684, 100 %, 22 %, 9548 MiB, 16384 MiB, 139.20 W, 65
2026/09/19 03:22:24.687, 100 %, 18 %, 9548 MiB, 16384 MiB, 185.92 W, 66
2026/09/19 03:22:25.690, 100 %, 0 %, 9548 MiB, 16384 MiB, 122.83 W, 65
2026/09/19 03:22:26.692, 100 %, 0 %, 9548 MiB, 16384 MiB, 121.37 W, 65
2026/09/19 03:22:27.694, 100 %, 0 %, 9548 MiB, 16384 MiB, 120.08 W, 66
2026/09/19 03:22:28.697, 100 %, 22 %, 9548 MiB, 16384 MiB, 115.27 W, 66
2026/09/19 03:22:29.699, 100 %, 22 %, 9548 MiB, 16384 MiB, 202.74 W, 67
2026/09/19 03:22:30.702, 100 %, 1 %, 9548 MiB, 16384 MiB, 133.30 W, 69
2026/09/19 03:22:31.706, 100 %, 0 %, 9548 MiB, 16384 MiB, 123.59 W, 67
2026/09/19 03:22:32.708, 100 %, 0 %, 9548 MiB, 16384 MiB, 121.92 W, 67
2026/09/19 03:22:33.710, 100 %, 4 %, 9548 MiB, 16384 MiB, 119.40 W, 67
2026/09/19 03:22:34.712, 100 %, 22 %, 9548 MiB, 16384 MiB, 125.89 W, 68
2026/09/19 03:22:35.714, 100 %, 0 %, 9548 MiB, 16384 MiB, 124.82 W, 70
2026/09/19 03:22:36.718, 100 %, 0 %, 9548 MiB, 16384 MiB, 123.44 W, 68
2026/09/19 03:22:37.720, 100 %, 18 %, 9548 MiB, 16384 MiB, 122.56 W, 68
2026/09/19 03:22:38.722, 100 %, 22 %, 9548 MiB, 16384 MiB, 117.63 W, 68
2026/09/19 03:22:39.725, 100 %, 6 %, 9548 MiB, 16384 MiB, 170.91 W, 68
2026/09/19 03:22:40.727, 100 %, 0 %, 9548 MiB, 16384 MiB, 152.35 W, 70
2026/09/19 03:22:41.730, 100 %, 0 %, 9548 MiB, 16384 MiB, 123.72 W, 69
2026/09/19 03:22:42.732, 100 %, 4 %, 9548 MiB, 16384 MiB, 121.76 W, 69
2026/09/19 03:22:43.735, 97 %, 36 %, 9548 MiB, 16384 MiB, 139.35 W, 70
2026/09/19 03:22:44.739, 100 %, 5 %, 9550 MiB, 16384 MiB, 122.37 W, 69
2026/09/19 03:22:45.741, 100 %, 23 %, 9550 MiB, 16384 MiB, 118.87 W, 70
2026/09/19 03:22:46.743, 100 %, 15 %, 9550 MiB, 16384 MiB, 143.33 W, 70
2026/09/19 03:22:47.746, 100 %, 0 %, 9550 MiB, 16384 MiB, 182.05 W, 71
2026/09/19 03:22:48.749, 100 %, 0 %, 9550 MiB, 16384 MiB, 124.50 W, 70
2026/09/19 03:22:49.753, 100 %, 2 %, 9550 MiB, 16384 MiB, 124.27 W, 70
2026/09/19 03:22:50.755, 100 %, 22 %, 9550 MiB, 16384 MiB, 120.85 W, 70
2026/09/19 03:22:51.757, 100 %, 20 %, 9550 MiB, 16384 MiB, 120.89 W, 71
2026/09/19 03:22:52.759, 100 %, 0 %, 9550 MiB, 16384 MiB, 198.50 W, 71
2026/09/19 03:22:53.763, 100 %, 0 %, 9550 MiB, 16384 MiB, 125.42 W, 71
2026/09/19 03:22:54.765, 100 %, 0 %, 9550 MiB, 16384 MiB, 123.82 W, 71
2026/09/19 03:22:55.768, 100 %, 23 %, 9550 MiB, 16384 MiB, 123.31 W, 71
2026/09/19 03:22:56.770, 100 %, 23 %, 9550 MiB, 16384 MiB, 116.48 W, 71
2026/09/19 03:22:57.772, 100 %, 1 %, 9550 MiB, 16384 MiB, 210.59 W, 72
2026/09/19 03:22:58.776, 100 %, 0 %, 9550 MiB, 16384 MiB, 125.86 W, 71
2026/09/19 03:22:59.778, 100 %, 1 %, 9550 MiB, 16384 MiB, 125.15 W, 72
2026/09/19 03:23:00.781, 100 %, 20 %, 9550 MiB, 16384 MiB, 123.32 W, 72
2026/09/19 03:23:01.783, 100 %, 25 %, 9550 MiB, 16384 MiB, 118.99 W, 72
2026/09/19 03:23:02.785, 100 %, 0 %, 9550 MiB, 16384 MiB, 210.16 W, 73
2026/09/19 03:23:03.788, 100 %, 0 %, 9550 MiB, 16384 MiB, 126.48 W, 72
2026/09/19 03:23:04.790, 100 %, 1 %, 9550 MiB, 16384 MiB, 126.18 W, 72
2026/09/19 03:23:05.793, 100 %, 18 %, 9550 MiB, 16384 MiB, 125.70 W, 72
2026/09/19 03:23:06.795, 100 %, 22 %, 9550 MiB, 16384 MiB, 182.05 W, 72
2026/09/19 03:23:07.797, 100 %, 2 %, 9550 MiB, 16384 MiB, 137.35 W, 73
2026/09/19 03:23:08.800, 100 %, 0 %, 9550 MiB, 16384 MiB, 125.65 W, 72
2026/09/19 03:23:09.802, 100 %, 0 %, 9550 MiB, 16384 MiB, 124.69 W, 73
2026/09/19 03:23:10.804, 100 %, 15 %, 9550 MiB, 16384 MiB, 120.67 W, 73
2026/09/19 03:23:11.806, 100 %, 23 %, 9550 MiB, 16384 MiB, 170.45 W, 73
2026/09/19 03:23:12.808, 100 %, 4 %, 9550 MiB, 16384 MiB, 154.28 W, 74
2026/09/19 03:23:13.811, 100 %, 1 %, 9550 MiB, 16384 MiB, 126.44 W, 73
2026/09/19 03:23:14.813, 100 %, 2 %, 9550 MiB, 16384 MiB, 125.07 W, 73
2026/09/19 03:23:15.816, 100 %, 10 %, 9550 MiB, 16384 MiB, 121.03 W, 73
2026/09/19 03:23:16.819, 100 %, 22 %, 9550 MiB, 16384 MiB, 147.04 W, 73
2026/09/19 03:23:17.821, 100 %, 8 %, 9550 MiB, 16384 MiB, 173.06 W, 74
2026/09/19 03:23:18.824, 100 %, 0 %, 9550 MiB, 16384 MiB, 126.66 W, 73
