wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789756086107348246,120900976,240,0,1216,0
1789756087118134518,120844328,260,0,1216,0
1789756088128855900,120796892,280,0,1216,0
1789756089140458653,120792256,4,0,1216,0
1789756090154868062,120756260,236,0,1216,0
1789756091166049212,120239828,332,0,1216,0
1789756092177434710,120750776,356,0,1216,0
1789756093189726090,120746224,400,0,1216,0
1789756094205736951,120742248,440,0,1216,0
1789756095220521173,120654352,88,0,1216,0
1789756096232102270,120495372,304,0,1216,0
1789756097243579844,120429916,324,0,1216,0
1789756098255551674,120327316,364,0,1216,0
1789756099266849360,120210328,0,0,11424,0
1789756100278030190,120000468,84,0,81100,0
1789756101289424961,120012608,244,4,81104,0
1789756102301474717,120014412,276,0,81092,0
1789756103312836081,119950888,284,0,81092,0
1789756104323713879,119932924,320,0,81092,0
1789756105333636822,119931480,52,0,81092,0
1789756106343512202,119809092,204,0,81092,0
1789756107353604552,119055168,220,0,787700,0
1789756108364712560,114290152,264,0,5540820,0
1789756109412102466,111234200,280,0,8469456,0
1789756110673561514,111205976,224,0,8469700,0
1789756111685607583,111181120,272,0,8469700,0
1789756112699107531,110977072,280,0,8469700,0
1789756113710052345,110973252,328,0,8469700,0
1789756114720023114,110971860,348,0,8469700,0
1789756115730037054,110971924,188,0,8469700,0
1789756116739881317,110969516,220,0,8469700,0
1789756117749906928,110968600,244,0,8469700,0
1789756118759889846,110969228,272,0,8469700,0
1789756119769974388,110969292,280,0,8469700,0
1789756120780326946,110967336,76,0,8469700,0
1789756121790157147,110965376,176,0,8469700,0
1789756122800237952,110964164,204,0,8469700,0
1789756123810247740,110963532,228,0,8469700,0
1789756124820218931,110963344,252,0,8469700,0
1789756125830164556,110959904,116,0,8469700,0
1789756126839994129,110959000,180,0,8469700,0
1789756127849924893,110959088,196,0,8469700,0
1789756128859839854,110957956,224,0,8469700,0
1789756129869867483,110958932,252,0,8469700,0
1789756130880058491,110963556,448,0,8469700,0
1789756131890129865,110956640,224,0,8469700,0
1789756132900529614,110955852,252,0,8469700,0
1789756133910466171,110957244,284,0,8469700,0
1789756134920707945,110957424,312,0,8469700,0
1789756135930705420,110957312,212,0,8469700,0
1789756136940995990,110957496,252,0,8469700,0
1789756137951018691,110955156,272,0,8469700,0
1789756138961286145,110956804,292,0,8469700,0
1789756139971214075,110957408,316,0,8469700,0
1789756140981111585,110956484,140,0,8469700,0
1789756141991071784,110955520,188,0,8469700,0
1789756143000859987,110954876,216,0,8469700,0
1789756144010752793,110955524,240,0,8469700,0
1789756145020483115,110954580,252,0,8469700,0
1789756146030366627,110955020,148,0,8469700,0
1789756147040397192,110956120,196,0,8469700,0
1789756148050409663,110955016,216,0,8469700,0
1789756149060882386,110953412,248,0,8469700,0
1789756150072112173,110953372,276,0,8469700,0
1789756151082124476,110956320,1072,0,8469700,0
1789756152091699207,110957072,1124,0,8469700,0
1789756153101723290,110954700,1156,0,8469700,0
1789756154111836334,110959180,1180,0,8469700,0
1789756155121736242,110962700,1212,0,8469700,0
1789756156131774749,110961604,164,0,8469700,0
1789756157141897987,110961068,236,0,8469700,0
1789756158151792139,110958504,264,0,8469700,0
1789756159161819382,110960140,276,0,8469700,0
1789756160171784372,110959024,308,0,8469700,0
1789756161181600141,110959436,108,0,8469700,0
1789756162191924503,110959652,304,0,8469700,0
1789756163202245366,110957556,348,0,8469700,0
1789756164212455420,110960044,380,0,8469700,0
1789756165222450209,110960388,404,0,8469700,0
1789756166232481221,110958568,24,0,8469700,0
1789756167242838278,110959332,84,0,8469700,0
1789756168253941632,110958192,116,0,8469700,0
1789756169264079440,110956720,144,0,8469700,0
1789756170274410819,110955036,160,0,8469700,0
1789756171284562232,110954864,432,0,8469700,0
1789756172294878501,110956660,76,0,8469700,0
1789756173305219808,110957068,104,0,8469700,0
1789756174315110217,110956748,128,0,8469700,0
1789756175325199003,110955796,152,0,8469700,0
1789756176335232927,110954272,520,0,8469700,0
1789756177345389877,110955008,40,0,8469700,0
1789756178355725602,110953584,96,0,8469700,0
1789756179365520480,110956052,124,0,8469700,0
1789756180375352968,110956904,140,0,8469700,0
1789756181385528566,110957552,380,0,8469700,0
1789756182395936968,110956772,40,0,8469700,0
1789756183405740559,110955332,92,0,8469700,0
1789756184415767850,110956792,120,0,8469700,0
1789756185425968033,110954268,140,0,8469700,0
1789756186436340819,110950056,640,0,8469700,0
1789756187446491327,110951980,152,504,8469700,0
1789756188456546454,110952724,108,0,8469700,0
1789756189466200385,110951876,120,0,8469700,0
1789756190476106191,110951940,156,0,8469700,0
1789756191485978800,110953056,304,4,8469700,0
1789756192495979828,110951880,0,128,8469700,0
1789756193505868583,110951356,88,0,8469700,0
1789756194515898009,110951268,224,0,8469700,0
1789756195525769476,110951180,244,0,8469700,0
1789756196535579849,110952692,260,0,8469700,0
1789756197546011585,110951872,16,68,8469700,0
1789756198556090294,110950024,84,0,8469700,0
1789756199566314641,110950468,128,0,8469700,0
1789756200576070167,110951392,160,0,8469700,0
1789756201585626195,110956040,268,0,8469700,0
1789756202595944580,110957664,284,0,8469700,0
1789756203606516692,110955760,52,0,8469700,0
1789756204616801672,110955360,104,0,8469700,0
1789756205626813409,110955580,128,0,8469700,0
1789756206637176207,110954692,168,0,8469700,0
1789756207647086736,110951148,396,0,8469700,0
1789756208657654099,110949340,440,0,8469700,0
1789756209667948866,110949300,108,0,8469700,0
1789756210677954326,110949408,120,0,8469700,0
1789756211688077373,110952336,560,0,8469700,0
1789756212697924185,110953328,584,0,8469700,0
1789756213708133980,110952116,124,0,8469700,0
1789756214718044431,110953480,92,0,8469700,0
1789756215727842237,110952852,128,0,8469700,0
1789756216737298301,110951804,532,0,8469700,0
1789756217747324826,110951236,556,0,8469700,0
1789756218757294279,110951208,12,504,8469700,0
1789756219767271648,110951300,80,0,8469700,0
1789756220777423287,110952976,104,0,8469700,0
1789756221787682842,110950780,220,0,8469700,0
1789756222798977008,110951648,252,0,8469700,0
1789756223814042694,110951552,284,0,8469700,0
1789756224828865940,110951804,72,0,8469700,0
1789756225843234758,110950372,128,0,8469700,0
1789756226854242486,110951328,780,0,8469700,0
1789756227865137643,110949788,820,0,8469700,0
1789756228876745431,110948896,0,104,8469700,0
1789756229891123392,110950460,76,0,8469700,0
1789756230906534592,110952220,128,0,8469700,0
1789756231918683426,111090380,372,0,8469700,0
1789756233715542994,119531488,408,0,81092,0
