#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    16:40:32       0     17     58      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      7 
 20260921    16:40:33       0     17     58      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    16:40:34       0     17     58      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    16:40:35       0     17     58      -      0      0      0      0      0      0    405    210      0      0      1      2      0      -      -      0      0      0 
 20260921    16:40:36       0     17     58      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:37       0     17     58      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:38       0     17     58      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:39       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:40       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:41       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:42       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:43       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:45       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:46       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:47       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:48       0     17     57      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:49       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:50       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:51       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:52       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:53       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:54       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:55       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:56       0     17     56      -      0      0      0      0      0      0    405    210      0      0      4      3      0      -      -      0      0      0 
 20260921    16:40:57       0     17     56      -      0      0      0      0      0      0    405    210      0      0    169      5      0      -      -      0      0      0 
 20260921    16:40:58       0     29     57      -      3      0      0      0      0      0   6501   1560      0      0    281      5      0      -      -      0      0      0 
 20260921    16:40:59       0     39     57      -      0      0      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0      0      0 
 20260921    16:41:00       0     39     57      -     21      1      0      0      0      0   6501   1560      0      0   5803      5      0      -      -      0   2710    252 
 20260921    16:41:01       0     40     57      -     19      2      0      0      0      0   6501   1560      0      0   6731      5      0      -      -      0   2419    232 
 20260921    16:41:02       0     40     57      -      7      1      0      0      0      0   6501   1560      0      0   7751      5      0      -      -      0     10      4 
 20260921    16:41:03       0     44     57      -     13      1      0      0      0      0   6501   1560      4      0   6901      5      0      -      -      0     32     10 
 20260921    16:41:04       0     91     62      -    100     65      0      0      0      0   6501   1395    100      0   6901      5      0      -      -      0     20     10 
 20260921    16:41:06       0    138     63      -    100     61      0      0      0      0   6501   1350    100      0   6901      5      0      -      -      0      3     14 
 20260921    16:41:07       0     74     61      -      0      0      0      0      0      0   6501   1920      1      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:08       0     58     61      -      0      0      0      0      0      0   6501   1920      0      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:09       0     52     60      -      0      0      0      0      0      0   6501   1560      0      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:10       0     45     60      -      0      0      0      0      0      0   6501   1560      0      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:11       0     39     60      -      0      0      0      0      0      0   6501   1560      0      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:12       0     39     60      -      0      0      0      0      0      0   6501   1560      0      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:13       0     39     60      -      0      0      0      0      0      0   6501   1560      0      0   6917      5      0      -      -      0      0      0 
 20260921    16:41:14       0     40     60      -     18     19      0      0      0      0   6501   1560      7      0   8923   2383      0      -      -      0      0      0 
 20260921    16:41:15       0     49     60      -      0      0      0      0      0      0   6501   1560      0      0   8923   2383      0      -      -      0      0      0 
 20260921    16:41:16       0     39     60      -      0      0      0      0      0      0   6501   1560      0      0   8923   2383      0      -      -      0      0      0 
 20260921    16:41:17       0     39     60      -      0      0      0      0      0      0   6501   1560      0      0   8923   2383      0      -      -      0      0      0 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    16:41:18       0     39     62      -     21     21      0      0      0      0   6501   1275     18      0   9595   2383      0      -      -      0     32      9 
 20260921    16:41:19       0    116     65      -    100     48      0      0      0      0   6501   1335    100      0   9595   2383      0      -      -      0     33      8 
 20260921    16:41:20       0    138     66      -    100     59      0      0      0      0   6501   1395    100      0   9595   2383      0      -      -      0     34     12 
 20260921    16:41:21       0    139     67      -    100     53      0      0      0      0   6501   1260    100      0   9595   2383      0      -      -      0     33      8 
 20260921    16:41:22       0    138     68      -    100     60      0      0      0      0   6501   1380    100      0   9595   2383      0      -      -      0     21      7 
 20260921    16:41:23       0    138     69      -    100     52      0      0      0      0   6501   1275     77      0   9595   2383      0      -      -      0     36      7 
 20260921    16:41:24       0    134     69      -    100     53      0      0      0      0   6501   1305    100      0   9595   2383      0      -      -      0     32     13 
 20260921    16:41:25       0    137     70      -    100     50      0      0      0      0   6501   1320    100      0   9595   2383      0      -      -      0     19     13 
 20260921    16:41:26       0    138     72      -    100     59      0      0      0      0   6501   1350    100      0   9595   2383      0      -      -      0     22      8 
 20260921    16:41:28       0    139     72      -    100     59      0      0      0      0   6501   1350    100      0   9595   2383      0      -      -      0     31      8 
 20260921    16:41:29       0    139     73      -    100     58      0      0      0      0   6501   1335    100      0   9595   2383      0      -      -      0   1303   6805 
 20260921    16:41:30       0    137     74      -    100     51      0      0      0      0   6501   1305     87      0   9595   2383      0      -      -      0     34      8 
