wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789976615217019767,0.0,0.2,0.22,2.29,0
1789976616229538237,0.2,0.0,0.38,0.00,0
1789976617238769278,0.0,0.0,0.50,0.00,0
1789976618253273384,0.1,0.2,1.15,0.18,0
1789976619269609446,0.1,0.0,0.25,1.00,0
1789976620285401148,0.1,0.0,0.17,0.00,0
1789976621299222435,0.0,0.2,2.50,0.02,0
1789976622313354744,0.1,0.0,1.20,0.00,0
1789976623329646576,0.0,0.2,0.43,1.33,0
1789976624345221168,0.0,0.0,4.00,0.00,0
1789976625361824315,0.0,0.0,1.89,0.14,0
1789976626377811779,0.0,0.7,2.67,0.09,0
1789976627392046988,0.0,0.0,0.18,14.00,0
1789976628406107849,0.1,0.2,0.20,0.25,0
1789976629419977524,0.0,0.0,1.78,0.00,0
1789976630433836352,0.0,0.0,1.78,0.86,0
1789976631447478927,0.0,0.2,9.33,0.11,0
1789976632461040553,0.0,0.0,2.50,14.00,0
1789976633474838261,0.0,0.1,3.75,1.00,0
1789976634488232729,0.0,0.0,0.25,0.00,0
1789976635501532347,0.0,0.0,5.38,0.17,0
1789976636514944452,0.0,0.0,7.50,0.00,0
1789976637528477833,0.0,0.2,2.29,0.43,0
1789976638542355238,0.0,0.1,3.75,0.10,0
1789976639556512264,0.0,0.0,1.89,0.00,0
1789976640570382509,0.0,0.0,0.38,1.00,9
1789976641584812307,0.0,0.1,7.50,13.89,0
1789976642600140611,0.0,0.1,2.29,1.00,0
1789976643613980688,0.0,0.2,0.38,0.10,0
1789976644627860130,0.0,0.0,3.75,0.00,0
1789976645640554122,0.0,0.0,7.00,0.00,1
1789976646653931068,0.0,0.1,2.75,0.10,0
1789976647667348124,0.0,0.1,0.60,1.00,0
1789976648680356103,0.0,0.1,2.33,1.07,0
1789976649693476821,0.0,0.0,0.70,0.00,0
1789976650706539485,0.1,489.4,1.00,1.88,0
1789976651720466644,0.0,0.2,1.10,0.09,0
1789976652733844582,0.0,0.6,0.60,0.60,0
1789976653747142374,0.1,86.8,0.80,1.17,0
1789976654760511316,0.0,126.3,0.14,0.62,0
1789976655773940080,0.0,30.9,0.09,0.74,3
1789976656787670582,0.1,143.0,0.21,0.49,0
1789976657801212703,0.0,0.5,0.08,0.75,0
1789976658814705712,0.1,40.6,1.00,0.83,0
1789976659826943100,0.0,221.1,0.17,1.17,0
1789976660841455558,0.0,39.5,0.10,1.48,0
1789976661854960828,0.1,260.4,1.13,1.73,0
1789976662868973455,0.0,0.8,0.25,0.92,0
1789976663882201189,0.0,0.0,0.90,0.00,0
1789976664895849869,0.1,94.9,0.35,1.22,0
1789976665909184089,0.2,142.1,0.11,0.69,0
1789976666923075877,0.0,23.7,0.00,0.50,0
1789976667936469917,0.2,246.3,0.73,1.44,0
1789976668949813321,0.0,0.0,0.67,0.00,0
1789976669963318654,0.1,0.3,0.68,0.15,0
1789976670976641031,0.0,71.0,0.45,1.85,0
1789976671990267225,0.2,157.9,0.39,1.38,0
1789976673002600393,0.0,16.5,0.33,1.00,0
1789976674016029331,0.0,221.0,1.08,1.74,0
1789976675029483018,0.0,0.2,1.43,0.21,0
1789976676042962683,0.0,0.0,1.86,0.00,0
1789976677056326437,0.0,47.3,0.67,0.58,0
1789976678070002130,0.0,167.3,0.42,0.55,0
1789976679083495726,0.0,31.6,0.12,0.56,0
1789976680097298610,0.0,307.8,1.09,0.89,0
1789976681110594544,0.0,0.2,0.60,0.23,0
1789976682123802690,0.0,0.0,2.67,0.00,0
1789976683136763406,0.0,16.4,0.09,1.60,0
1789976684150181796,0.0,86.8,0.44,1.40,0
1789976685163793968,0.0,47.4,0.17,1.60,0
1789976686177478573,0.0,236.8,0.33,2.58,0
1789976687190554428,0.0,0.6,0.14,0.14,0
1789976688203843385,0.0,1.6,1.40,0.38,0
1789976689216228525,0.0,23.7,0.20,1.46,0
1789976690228257557,0.1,134.2,0.17,0.85,0
1789976691242178337,0.0,94.7,0.12,0.55,0
1789976692255643211,0.0,31.6,1.40,2.62,0
1789976693269042065,0.1,254.3,0.06,0.59,0
1789976694282339500,0.0,0.0,1.00,0.00,0
1789976695295347987,0.0,0.0,1.00,0.00,0
