timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/21 16:43:34.233, 0 %, 0 %, 1 MiB, 16376 MiB, 23.63 W, 72
2026/09/21 16:43:35.253, 0 %, 0 %, 1 MiB, 16376 MiB, 23.63 W, 72
2026/09/21 16:43:36.253, 0 %, 0 %, 1 MiB, 16376 MiB, 23.47 W, 71
2026/09/21 16:43:37.254, 0 %, 0 %, 1 MiB, 16376 MiB, 23.33 W, 71
2026/09/21 16:43:38.254, 0 %, 0 %, 1 MiB, 16376 MiB, 23.22 W, 71
2026/09/21 16:43:39.254, 0 %, 0 %, 1 MiB, 16376 MiB, 23.08 W, 70
2026/09/21 16:43:40.255, 0 %, 0 %, 1 MiB, 16376 MiB, 22.98 W, 70
2026/09/21 16:43:41.255, 0 %, 0 %, 1 MiB, 16376 MiB, 22.91 W, 69
2026/09/21 16:43:42.256, 0 %, 0 %, 1 MiB, 16376 MiB, 22.80 W, 69
2026/09/21 16:43:43.256, 0 %, 0 %, 1 MiB, 16376 MiB, 22.69 W, 68
2026/09/21 16:43:44.256, 0 %, 0 %, 1 MiB, 16376 MiB, 22.53 W, 68
2026/09/21 16:43:45.256, 0 %, 0 %, 1 MiB, 16376 MiB, 22.38 W, 68
2026/09/21 16:43:46.257, 0 %, 0 %, 1 MiB, 16376 MiB, 22.22 W, 67
2026/09/21 16:43:47.257, 0 %, 0 %, 1 MiB, 16376 MiB, 22.09 W, 67
2026/09/21 16:43:48.258, 0 %, 0 %, 1 MiB, 16376 MiB, 21.93 W, 67
2026/09/21 16:43:49.258, 0 %, 0 %, 4 MiB, 16376 MiB, 21.78 W, 67
2026/09/21 16:43:50.258, 0 %, 0 %, 169 MiB, 16376 MiB, 25.26 W, 67
2026/09/21 16:43:51.259, 0 %, 0 %, 5803 MiB, 16376 MiB, 44.65 W, 67
2026/09/21 16:43:52.259, 0 %, 0 %, 5803 MiB, 16376 MiB, 44.74 W, 67
2026/09/21 16:43:53.259, 53 %, 2 %, 7751 MiB, 16376 MiB, 53.11 W, 68
2026/09/21 16:43:54.260, 30 %, 2 %, 6901 MiB, 16376 MiB, 71.79 W, 69
2026/09/21 16:43:55.260, 75 %, 48 %, 6901 MiB, 16376 MiB, 104.57 W, 71
2026/09/21 16:43:56.260, 100 %, 57 %, 6901 MiB, 16376 MiB, 138.47 W, 73
2026/09/21 16:43:57.260, 100 %, 59 %, 6917 MiB, 16376 MiB, 118.28 W, 71
2026/09/21 16:43:58.261, 0 %, 0 %, 9271 MiB, 16376 MiB, 67.39 W, 71
2026/09/21 16:43:59.261, 0 %, 0 %, 9271 MiB, 16376 MiB, 57.90 W, 70
2026/09/21 16:44:00.262, 0 %, 0 %, 9287 MiB, 16376 MiB, 46.62 W, 70
2026/09/21 16:44:01.263, 0 %, 0 %, 9287 MiB, 16376 MiB, 51.64 W, 70
2026/09/21 16:44:02.263, 0 %, 0 %, 9287 MiB, 16376 MiB, 55.44 W, 69
2026/09/21 16:44:03.264, 0 %, 0 %, 9287 MiB, 16376 MiB, 46.46 W, 69
2026/09/21 16:44:04.264, 0 %, 0 %, 9287 MiB, 16376 MiB, 46.32 W, 69
2026/09/21 16:44:05.264, 0 %, 0 %, 9287 MiB, 16376 MiB, 82.63 W, 72
2026/09/21 16:44:06.265, 100 %, 53 %, 9287 MiB, 16376 MiB, 139.24 W, 74
2026/09/21 16:44:07.265, 100 %, 53 %, 9289 MiB, 16376 MiB, 139.32 W, 75
2026/09/21 16:44:08.265, 100 %, 57 %, 9289 MiB, 16376 MiB, 137.23 W, 75
2026/09/21 16:44:09.266, 100 %, 56 %, 9289 MiB, 16376 MiB, 138.63 W, 76
2026/09/21 16:44:10.266, 100 %, 55 %, 9291 MiB, 16376 MiB, 134.14 W, 77
2026/09/21 16:44:11.266, 100 %, 52 %, 9291 MiB, 16376 MiB, 130.45 W, 78
2026/09/21 16:44:12.267, 100 %, 53 %, 9291 MiB, 16376 MiB, 137.61 W, 78
2026/09/21 16:44:13.267, 100 %, 55 %, 9291 MiB, 16376 MiB, 137.90 W, 79
2026/09/21 16:44:14.267, 100 %, 56 %, 9291 MiB, 16376 MiB, 138.41 W, 80
2026/09/21 16:44:15.267, 100 %, 52 %, 9291 MiB, 16376 MiB, 139.23 W, 80
2026/09/21 16:44:16.268, 100 %, 57 %, 9291 MiB, 16376 MiB, 136.02 W, 80
2026/09/21 16:44:17.268, 100 %, 49 %, 9291 MiB, 16376 MiB, 137.63 W, 81
2026/09/21 16:44:18.268, 100 %, 54 %, 9291 MiB, 16376 MiB, 138.24 W, 82
