wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789955316502641603,0.0,0.2,0.00,9.00,0
1789955317513690603,0.0,0.0,0.00,0.00,0
1789955318524602104,0.0,0.0,0.00,0.00,0
1789955319536821452,0.0,0.5,0.00,1.54,0
1789955320551764037,0.0,0.0,0.00,0.00,0
1789955321567182048,0.0,0.1,0.00,8.50,0
1789955322579554545,0.0,0.0,0.00,0.00,0
1789955323590599504,0.0,0.0,0.00,0.00,0
1789955324602911431,0.0,0.3,0.00,3.35,0
1789955325619181709,0.0,0.0,0.00,0.00,0
1789955326635760510,0.0,0.1,0.00,9.00,0
1789955327648061718,0.0,0.0,0.00,0.00,0
1789955328659176812,0.0,0.2,0.00,5.33,0
1789955329670685924,0.0,0.0,0.00,0.00,0
1789955330682443240,0.0,0.4,0.00,2.30,0
1789955331693120824,0.0,0.0,0.00,0.00,0
1789955332703519670,0.0,0.0,0.00,14.00,0
1789955333714164832,0.0,0.2,0.00,8.50,0
1789955334724646643,0.0,0.0,0.00,0.00,0
1789955335734675263,0.0,0.3,0.00,2.53,0
1789955336744722158,0.0,0.2,0.00,5.67,0
1789955337754674664,0.0,0.0,0.00,0.00,0
1789955338764830010,0.0,0.0,0.00,0.00,0
1789955339775210825,0.0,0.0,0.00,0.00,0
1789955340785439746,0.0,0.8,0.00,1.20,0
1789955341796650608,0.0,0.0,0.00,0.00,0
1789955342806953263,0.0,0.0,0.00,0.00,0
1789955343817671550,0.0,0.0,0.00,0.00,0
1789955344827731127,0.0,0.2,0.00,5.67,0
1789955345837860451,0.0,0.3,0.00,2.28,0
1789955346848004903,0.0,0.0,0.00,0.00,0
1789955347857854252,0.0,0.0,0.00,0.00,0
1789955348868135361,0.0,0.0,0.00,0.00,0
1789955349877866046,0.0,0.2,0.00,8.50,0
1789955350888188336,0.0,0.3,0.00,0.94,0
1789955351898375207,0.0,0.0,0.00,0.00,0
1789955352908417751,0.0,0.0,0.00,0.00,0
1789955353918471472,0.0,0.0,0.00,0.00,0
1789955354928083774,0.0,0.2,0.00,14.00,1
1789955355940734299,0.0,0.3,0.00,5.43,0
1789955356951058530,0.0,0.1,0.00,5.67,0
1789955357961096846,0.0,0.0,0.00,0.00,0
1789955358971398389,0.0,0.0,0.00,0.00,0
1789955359982519986,0.0,0.0,0.00,0.00,0
1789955360993846321,0.0,0.5,0.00,0.66,0
1789955362003954033,0.0,0.0,0.00,0.00,0
1789955363014010393,0.0,0.0,0.00,0.00,0
1789955364024332741,0.0,0.0,0.00,0.00,0
1789955365034060486,0.0,0.0,0.00,0.00,0
1789955366044095397,0.0,0.6,0.00,0.46,0
1789955367054116095,0.0,0.1,0.00,5.67,0
1789955368064222892,0.0,0.0,0.00,0.00,0
1789955369074092656,0.0,0.0,0.00,0.00,0
1789955370084411157,0.0,0.0,0.00,0.00,0
1789955371094740156,0.0,0.5,0.00,0.52,1
1789955372106028446,0.0,0.0,0.00,3.00,0
1789955373116789503,0.0,0.0,0.00,0.00,0
1789955374126570796,0.0,0.0,0.00,0.00,0
1789955375137196623,0.0,0.0,0.00,0.00,0
1789955376147914578,0.0,0.4,0.00,5.56,0
1789955377158101225,0.0,0.1,0.00,5.67,0
1789955378168477064,0.0,0.0,0.00,0.00,0
1789955379181294935,0.0,0.0,0.00,0.00,1
1789955380191679791,0.0,0.1,0.00,5.67,0
1789955381201760799,0.0,0.4,0.00,4.17,0
1789955382212570763,0.0,0.0,0.00,0.00,0
1789955383222997280,0.0,0.0,0.00,0.00,0
1789955384233437624,0.0,0.1,0.00,9.00,1
1789955385248662213,0.0,0.0,0.00,2.00,0
1789955386259411888,0.0,0.0,0.00,0.00,0
1789955387270080238,0.0,0.2,0.00,3.53,0
1789955388280548851,0.0,0.0,0.00,0.00,0
1789955389290891711,0.0,0.1,0.00,6.67,0
1789955390301786239,0.0,0.0,0.00,0.00,0
1789955391312059855,0.0,0.0,0.00,0.00,0
1789955392322298701,0.0,0.4,0.00,1.71,0
1789955393332700321,0.0,0.1,0.00,4.00,0
1789955394342995909,0.0,0.0,0.00,5.33,0
1789955395353454773,0.0,0.1,0.00,3.50,0
1789955396365101144,0.0,0.0,14.00,0.00,0
