#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    10:59:05       0      8     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:07       0      9     60      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      5      6 
 20260921    10:59:08       0      9     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:09       0      9     59      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:10       0      7     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:11       0      9     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:12       0      9     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:13       0      8     58      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:14       0      9     57      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:15       0      9     57      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:16       0      8     57      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:17       0     11     56      -      1      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:18       0      9     56      -      0      0      0      0      0      0    405    300      0      0     15      5      0      -      -      0      0      0 
 20260921    10:59:19       0     23     57      -      0      0      0      0      0      0   6500   1620      0      0    134      7      0      -      -      0      0      0 
 20260921    10:59:20       0     46     57      -      1      0      0      0      0      0   6500   1620      0      0    238      7      0      -      -      0      0      0 
 20260921    10:59:22       0     46     58      -      0      0      0      0      0      0   6500   1620      0      0   5760      7      0      -      -      0      0      0 
 20260921    10:59:23       0     61     58      -     42      3      0      0      0      0   6500   1905      0      0   6768      7      0      -      -      0   5404    558 
 20260921    10:59:24       0     58     59      -      0      0      0      0      0      0   6500   1905      0      0   6878      7      0      -      -      0      2      0 
 20260921    10:59:25       0    219     64      -    100     56      0      0      0      0   6500   1860      0      0   6858      7      0      -      -      0     30     24 
 20260921    10:59:26       0    225     66      -    100     55      0      0      0      0   6500   1845      0      0   6858      7      0      -      -      0     18      9 
 20260921    10:59:27       0     61     61      -     14      7      0      0      0      0   6500   1905      0      0   6870      7      0      -      -      0      0      0 
 20260921    10:59:28       0     61     61      -      0      0      0      0      0      0   6500   1905      0      0   6870      7      0      -      -      0      0      0 
 20260921    10:59:29       0     47     60      -      0      0      0      0      0      0   6500   1620      0      0   9224      7      0      -      -      0      0      0 
 20260921    10:59:30       0     47     59      -      0      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:31       0    152     61      -     39     26      0      0      0      0   6500   1710      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:32       0     49     59      -      0      0      0      0      0      0   6500   1710      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:33       0     47     59      -      0      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:34       0     46     59      -      0      0      0      0      0      0   6500   1620      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:35       0    119     62      -    100      4      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:36       0    117     62      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:37       0    112     63      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      1      0 
 20260921    10:59:38       0    116     63      -    100     19      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:39       0    138     63      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:40       0    115     64      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:42       0    161     64      -    100     22      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:43       0    125     64      -    100      4      0      0      0      0   6500   1905      0      0   9240      7      0      -      -      0      4      0 
 20260921    10:59:44       0    204     65      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      1      0 
 20260921    10:59:45       0    149     65      -    100     22      0      0      0      0   6500   1890      0      0   9240      7      0      -      -      0      1      4 
 20260921    10:59:46       0    227     66      -    100      8      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:47       0    200     66      -    100      0      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      0 
 20260921    10:59:48       0    175     66      -    100     22      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      1 
 20260921    10:59:49       0    200     66      -    100      5      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      1 
 20260921    10:59:50       0    212     67      -    100      0      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      1 
 20260921    10:59:51       0    160     67      -    100     21      0      0      0      0   6500   1875      0      0   9240      7      0      -      -      0      0      1 
#Date        Time         gpu    pwr  gtemp  mtemp     sm    mem    enc    dec    jpg    ofa   mclk   pclk  pviol  tviol     fb   bar1   ccpm  sbecc  dbecc    pci  rxpci  txpci 
#YYYYMMDD    HH:MM:SS     Idx      W      C      C      %      %      %      %      %      %    MHz    MHz      %   bool     MB     MB     MB   errs   errs   errs   MB/s   MB/s 
 20260921    10:59:52       0    151     69      -    100      0      0      0      0      0   6500   1830      0      0   9244      7      0      -      -      0    656   5618 
 20260921    10:59:53       0    122     69      -    100      0      0      0      0      0   6500   1815      0      0   9244     11      0      -      -      0    187     25 
 20260921    10:59:54       0    123     69      -    100     10      0      0      0      0   6500   1800      0      0   9244     11      0      -      -      0    185     25 
 20260921    10:59:55       0    150     69      -    100      0      0      0      0      0   6500   1785      0      0   9244     11      0      -      -      0    188     25 
 20260921    10:59:56       0    123     70      -    100      0      0      0      0      0   6500   1815      0      0   9244     11      0      -      -      0    192     25 
 20260921    10:59:58       0    124     70      -    100     12      0      0      0      0   6500   1800      0      0   9244     11      0      -      -      0    195     25 
