timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/16 15:07:50.157, 0 %, 0 %, 15 MiB, 16384 MiB, 10.07 W, 56
2026/09/16 15:07:51.184, 0 %, 0 %, 15 MiB, 16384 MiB, 7.52 W, 55
2026/09/16 15:07:52.190, 0 %, 0 %, 15 MiB, 16384 MiB, 7.57 W, 55
2026/09/16 15:07:53.196, 0 %, 0 %, 15 MiB, 16384 MiB, 8.15 W, 55
2026/09/16 15:07:54.202, 0 %, 0 %, 15 MiB, 16384 MiB, 7.91 W, 55
2026/09/16 15:07:55.209, 0 %, 0 %, 15 MiB, 16384 MiB, 8.06 W, 54
2026/09/16 15:07:56.215, 0 %, 0 %, 15 MiB, 16384 MiB, 8.06 W, 54
2026/09/16 15:07:57.221, 0 %, 0 %, 15 MiB, 16384 MiB, 7.90 W, 54
2026/09/16 15:07:58.227, 0 %, 0 %, 15 MiB, 16384 MiB, 7.79 W, 54
2026/09/16 15:07:59.233, 0 %, 0 %, 15 MiB, 16384 MiB, 7.70 W, 54
2026/09/16 15:08:00.239, 0 %, 0 %, 15 MiB, 16384 MiB, 7.61 W, 53
2026/09/16 15:08:01.245, 0 %, 0 %, 15 MiB, 16384 MiB, 7.51 W, 53
2026/09/16 15:08:02.251, 2 %, 0 %, 134 MiB, 16384 MiB, 45.10 W, 55
2026/09/16 15:08:03.254, 3 %, 0 %, 206 MiB, 16384 MiB, 48.53 W, 55
2026/09/16 15:08:04.256, 26 %, 1 %, 998 MiB, 16384 MiB, 46.19 W, 55
2026/09/16 15:08:05.259, 0 %, 0 %, 1000 MiB, 16384 MiB, 46.75 W, 55
2026/09/16 15:08:06.261, 26 %, 1 %, 1000 MiB, 16384 MiB, 46.02 W, 55
2026/09/16 15:08:07.263, 0 %, 0 %, 1000 MiB, 16384 MiB, 45.73 W, 55
2026/09/16 15:08:08.265, 68 %, 3 %, 1000 MiB, 16384 MiB, 59.82 W, 56
2026/09/16 15:08:09.268, 2 %, 0 %, 824 MiB, 16384 MiB, 57.48 W, 56
2026/09/16 15:08:10.270, 0 %, 0 %, 964 MiB, 16384 MiB, 57.37 W, 56
2026/09/16 15:08:11.272, 0 %, 0 %, 964 MiB, 16384 MiB, 45.04 W, 55
2026/09/16 15:08:12.275, 0 %, 0 %, 964 MiB, 16384 MiB, 45.05 W, 55
2026/09/16 15:08:13.277, 100 %, 40 %, 1680 MiB, 16384 MiB, 179.69 W, 60
2026/09/16 15:08:14.280, 23 %, 15 %, 1680 MiB, 16384 MiB, 134.82 W, 58
2026/09/16 15:08:15.282, 0 %, 0 %, 1682 MiB, 16384 MiB, 47.48 W, 56
2026/09/16 15:08:16.285, 0 %, 1 %, 1842 MiB, 16384 MiB, 46.12 W, 56
2026/09/16 15:08:17.287, 26 %, 3 %, 1848 MiB, 16384 MiB, 61.17 W, 57
2026/09/16 15:08:18.290, 1 %, 2 %, 2148 MiB, 16384 MiB, 84.85 W, 58
2026/09/16 15:08:19.293, 48 %, 1 %, 2492 MiB, 16384 MiB, 143.68 W, 58
2026/09/16 15:08:20.297, 100 %, 13 %, 2492 MiB, 16384 MiB, 143.84 W, 60
2026/09/16 15:08:21.299, 100 %, 13 %, 2492 MiB, 16384 MiB, 110.69 W, 62
2026/09/16 15:08:22.301, 72 %, 7 %, 2492 MiB, 16384 MiB, 122.92 W, 60
2026/09/16 15:08:23.304, 66 %, 6 %, 2492 MiB, 16384 MiB, 144.57 W, 60
2026/09/16 15:08:24.306, 71 %, 11 %, 2492 MiB, 16384 MiB, 85.65 W, 60
2026/09/16 15:08:25.308, 100 %, 7 %, 2496 MiB, 16384 MiB, 111.81 W, 61
2026/09/16 15:08:26.311, 26 %, 3 %, 2496 MiB, 16384 MiB, 76.55 W, 59
2026/09/16 15:08:27.313, 64 %, 6 %, 2496 MiB, 16384 MiB, 65.15 W, 59
2026/09/16 15:08:28.316, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.67 W, 59
2026/09/16 15:08:29.319, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.20 W, 59
2026/09/16 15:08:30.321, 45 %, 5 %, 2496 MiB, 16384 MiB, 66.00 W, 59
2026/09/16 15:08:31.324, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.56 W, 59
2026/09/16 15:08:32.326, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.62 W, 59
2026/09/16 15:08:33.328, 76 %, 7 %, 2496 MiB, 16384 MiB, 65.27 W, 59
2026/09/16 15:08:34.331, 1 %, 2 %, 2496 MiB, 16384 MiB, 59.87 W, 59
2026/09/16 15:08:35.334, 1 %, 2 %, 2496 MiB, 16384 MiB, 59.79 W, 59
2026/09/16 15:08:36.338, 76 %, 7 %, 2496 MiB, 16384 MiB, 66.03 W, 59
2026/09/16 15:08:37.341, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.66 W, 59
2026/09/16 15:08:38.345, 100 %, 10 %, 2496 MiB, 16384 MiB, 147.27 W, 61
2026/09/16 15:08:39.349, 57 %, 6 %, 2496 MiB, 16384 MiB, 116.73 W, 61
2026/09/16 15:08:40.353, 53 %, 4 %, 2496 MiB, 16384 MiB, 107.15 W, 61
2026/09/16 15:08:41.356, 58 %, 6 %, 2496 MiB, 16384 MiB, 119.01 W, 63
2026/09/16 15:08:42.360, 100 %, 9 %, 2496 MiB, 16384 MiB, 134.08 W, 62
2026/09/16 15:08:43.363, 65 %, 4 %, 2496 MiB, 16384 MiB, 100.60 W, 62
2026/09/16 15:08:44.366, 44 %, 4 %, 2496 MiB, 16384 MiB, 101.17 W, 61
2026/09/16 15:08:45.368, 67 %, 6 %, 2496 MiB, 16384 MiB, 122.24 W, 62
2026/09/16 15:08:46.371, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.69 W, 61
2026/09/16 15:08:47.373, 100 %, 7 %, 2496 MiB, 16384 MiB, 66.10 W, 61
2026/09/16 15:08:48.375, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.50 W, 60
2026/09/16 15:08:49.378, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.76 W, 60
2026/09/16 15:08:50.380, 100 %, 7 %, 2496 MiB, 16384 MiB, 66.02 W, 60
2026/09/16 15:08:51.383, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.54 W, 60
2026/09/16 15:08:52.385, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.01 W, 60
2026/09/16 15:08:53.388, 100 %, 7 %, 2496 MiB, 16384 MiB, 66.14 W, 60
2026/09/16 15:08:54.390, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.02 W, 60
2026/09/16 15:08:55.393, 1 %, 1 %, 2496 MiB, 16384 MiB, 59.76 W, 60
2026/09/16 15:08:56.396, 87 %, 12 %, 2496 MiB, 16384 MiB, 127.78 W, 62
2026/09/16 15:08:57.400, 23 %, 5 %, 2496 MiB, 16384 MiB, 79.98 W, 61
2026/09/16 15:08:58.403, 64 %, 7 %, 2496 MiB, 16384 MiB, 144.60 W, 62
2026/09/16 15:08:59.408, 100 %, 9 %, 2496 MiB, 16384 MiB, 139.15 W, 64
2026/09/16 15:09:00.410, 65 %, 4 %, 2496 MiB, 16384 MiB, 109.86 W, 62
2026/09/16 15:09:01.418, 58 %, 5 %, 2496 MiB, 16384 MiB, 113.79 W, 63
2026/09/16 15:09:02.420, 52 %, 8 %, 2496 MiB, 16384 MiB, 136.65 W, 63
2026/09/16 15:09:03.424, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.26 W, 62
2026/09/16 15:09:04.428, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.86 W, 62
2026/09/16 15:09:05.432, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.47 W, 61
2026/09/16 15:09:06.436, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.65 W, 62
2026/09/16 15:09:07.439, 1 %, 2 %, 2496 MiB, 16384 MiB, 61.08 W, 61
2026/09/16 15:09:08.443, 15 %, 2 %, 2496 MiB, 16384 MiB, 60.32 W, 61
2026/09/16 15:09:09.447, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.15 W, 61
2026/09/16 15:09:10.450, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.28 W, 61
2026/09/16 15:09:11.453, 75 %, 6 %, 2496 MiB, 16384 MiB, 63.61 W, 61
2026/09/16 15:09:12.457, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.47 W, 61
2026/09/16 15:09:13.460, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.90 W, 61
2026/09/16 15:09:14.464, 100 %, 11 %, 2496 MiB, 16384 MiB, 136.93 W, 64
2026/09/16 15:09:15.467, 27 %, 5 %, 2496 MiB, 16384 MiB, 93.62 W, 62
2026/09/16 15:09:16.471, 34 %, 6 %, 2496 MiB, 16384 MiB, 95.30 W, 65
2026/09/16 15:09:17.474, 100 %, 8 %, 2496 MiB, 16384 MiB, 137.81 W, 64
2026/09/16 15:09:18.478, 46 %, 7 %, 2496 MiB, 16384 MiB, 115.23 W, 64
2026/09/16 15:09:19.481, 68 %, 6 %, 2496 MiB, 16384 MiB, 120.32 W, 64
2026/09/16 15:09:20.483, 49 %, 7 %, 2496 MiB, 16384 MiB, 120.72 W, 64
2026/09/16 15:09:21.486, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.87 W, 63
2026/09/16 15:09:22.488, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.49 W, 63
2026/09/16 15:09:23.491, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.05 W, 62
2026/09/16 15:09:24.493, 24 %, 3 %, 2496 MiB, 16384 MiB, 61.35 W, 62
2026/09/16 15:09:25.495, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.74 W, 62
2026/09/16 15:09:26.498, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.90 W, 62
2026/09/16 15:09:27.500, 53 %, 4 %, 2496 MiB, 16384 MiB, 61.31 W, 62
2026/09/16 15:09:28.503, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.76 W, 62
2026/09/16 15:09:29.505, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.54 W, 62
2026/09/16 15:09:30.508, 69 %, 6 %, 2496 MiB, 16384 MiB, 63.39 W, 62
2026/09/16 15:09:31.510, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.63 W, 62
2026/09/16 15:09:32.513, 100 %, 9 %, 2496 MiB, 16384 MiB, 131.41 W, 64
2026/09/16 15:09:33.515, 38 %, 5 %, 2496 MiB, 16384 MiB, 104.28 W, 64
2026/09/16 15:09:34.518, 44 %, 6 %, 2496 MiB, 16384 MiB, 104.80 W, 65
2026/09/16 15:09:35.520, 65 %, 7 %, 2496 MiB, 16384 MiB, 132.36 W, 65
2026/09/16 15:09:36.523, 37 %, 6 %, 2496 MiB, 16384 MiB, 105.19 W, 64
2026/09/16 15:09:37.527, 34 %, 5 %, 2496 MiB, 16384 MiB, 97.17 W, 64
2026/09/16 15:09:38.530, 31 %, 3 %, 2496 MiB, 16384 MiB, 61.37 W, 63
2026/09/16 15:09:39.536, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.30 W, 63
2026/09/16 15:09:40.542, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.32 W, 63
2026/09/16 15:09:41.547, 85 %, 7 %, 2496 MiB, 16384 MiB, 68.02 W, 63
2026/09/16 15:09:42.551, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.18 W, 63
2026/09/16 15:09:43.557, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.64 W, 63
2026/09/16 15:09:44.559, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.58 W, 63
2026/09/16 15:09:45.562, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.65 W, 63
2026/09/16 15:09:46.566, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.81 W, 63
2026/09/16 15:09:47.570, 1 %, 1 %, 2496 MiB, 16384 MiB, 60.67 W, 62
2026/09/16 15:09:48.573, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.05 W, 62
2026/09/16 15:09:49.577, 100 %, 9 %, 2496 MiB, 16384 MiB, 150.15 W, 66
2026/09/16 15:09:50.581, 94 %, 12 %, 2496 MiB, 16384 MiB, 123.92 W, 64
2026/09/16 15:09:51.585, 55 %, 7 %, 2496 MiB, 16384 MiB, 117.81 W, 65
2026/09/16 15:09:52.588, 42 %, 5 %, 2496 MiB, 16384 MiB, 77.93 W, 64
2026/09/16 15:09:53.592, 14 %, 2 %, 2496 MiB, 16384 MiB, 61.24 W, 63
2026/09/16 15:09:54.595, 1 %, 1 %, 2496 MiB, 16384 MiB, 61.16 W, 63
