wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789539368535946667,0.0,2.1,0.00,0.44,0
1789539369565351308,0.0,0.1,0.00,8.50,0
1789539370590310427,0.0,0.0,0.00,0.00,0
1789539371618038685,0.0,0.0,0.00,0.00,0
1789539372648361720,0.0,0.0,0.00,0.00,0
1789539373676418770,0.0,0.5,0.00,1.24,0
1789539374706757282,0.0,0.1,0.00,8.00,0
1789539375734916957,0.0,0.0,0.00,0.00,0
1789539376762973179,0.0,0.0,0.00,0.00,0
1789539377788989436,0.0,0.0,0.00,0.00,0
1789539378805532373,0.0,0.5,0.00,1.14,0
1789539379834471692,0.0,0.1,0.00,8.50,0
1789539380863132826,0.0,0.0,0.00,0.00,0
1789539381891860192,0.0,0.0,0.00,14.00,0
1789539382921385564,0.0,0.0,0.00,0.00,0
1789539383938454011,0.0,223.0,0.00,0.89,0
1789539384967639303,0.0,0.5,0.00,4.00,0
1789539385995223965,0.0,161.7,0.00,40.31,0
1789539387026442684,0.0,930.1,0.00,14.26,10
1789539388054444507,0.0,1296.6,0.00,2.52,0
1789539389083056301,286.0,328.1,12.91,2.57,0
1789539390111106358,2067.5,0.0,13.84,0.00,34
1789539391141731815,502.4,0.0,13.58,0.00,0
1789539392169360113,0.0,0.0,0.00,0.00,0
1789539393197978322,1250.5,0.0,17.53,0.00,22
1789539394228682193,1462.5,0.1,16.81,22.50,0
1789539395256221986,0.0,0.0,0.00,0.00,0
1789539396283212624,0.0,0.0,0.00,0.00,0
1789539397310418927,317.6,0.0,17.13,0.00,65
1789539398334552392,828.0,0.0,18.75,0.00,0
1789539399362307829,768.8,0.1,16.77,1.50,38
1789539400390119706,804.4,0.0,17.61,0.00,0
1789539401418422253,571.0,275.3,17.10,0.92,0
1789539402449449896,1657.9,0.0,16.49,0.00,20
1789539403480580485,1390.0,28.4,17.81,1.83,44
1789539404511262500,1803.5,1.6,18.02,8.40,0
1789539405539205794,1954.8,0.0,17.66,0.00,22
1789539406570219500,1679.8,0.0,17.28,0.00,30
1789539407600196103,1790.6,0.0,16.93,0.00,0
