wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789539368535946667,125156644,152,0,1272,0
1789539369565351308,125101004,316,0,1272,0
1789539370590310427,125045620,436,0,1272,0
1789539371618038685,125038976,520,0,1272,0
1789539372648361720,125014468,560,0,1272,0
1789539373676418770,125004948,584,0,1272,0
1789539374706757282,124854888,260,0,1272,0
1789539375734916957,124694440,392,0,1272,0
1789539376762973179,124615116,408,0,1272,0
1789539377788989436,124152824,480,0,1272,0
1789539378805532373,123836728,64,0,11512,0
1789539379834471692,124199964,396,0,48376,0
1789539380863132826,121676744,432,0,48388,0
1789539381891860192,121686428,488,4,48392,0
1789539382921385564,121727184,1100188,0,48380,0
1789539383938454011,121734520,2626564,0,48380,0
1789539384967639303,121733196,2860764,0,48380,0
1789539385995223965,121728988,2692200,672,48380,0
1789539387026442684,121727884,1716760,14760,48380,0
1789539388054444507,121725604,346576,400,48380,0
1789539389083056301,121443496,1256,0,48380,0
1789539390111106358,121441772,1304,0,48380,0
1789539391141731815,121391796,1384,0,48380,0
1789539392169360113,119256140,1420,0,2145196,0
1789539393197978322,119223656,1500,0,2145532,0
1789539394228682193,119198472,1552,0,2145532,0
1789539395256221986,119152184,1644,0,2145532,0
1789539396283212624,119148700,1728,0,2145532,0
1789539397310418927,119146716,1824,0,2145532,0
1789539398334552392,119145980,1864,0,2145532,0
1789539399362307829,119145756,1916,0,2145532,0
1789539400390119706,119144788,1940,0,2145532,0
1789539401418422253,119140056,2032,0,2145532,0
1789539402449449896,119138308,2084,0,2145532,0
1789539403480580485,119068288,2116,0,2145532,0
1789539404511262500,119066380,3652,0,2145532,0
1789539405539205794,119064200,3700,0,2145532,0
1789539406570219500,119060972,3784,0,2145532,0
1789539407600196103,119058500,3804,0,2145532,0
1789539408627953610,119056260,3852,0,2145532,0
1789539409658973519,119058344,3916,0,2145532,0
1789539410689546302,119055084,3936,0,2145532,0
1789539411717790680,119055372,4056,0,2145532,0
1789539412749362069,119006484,4076,0,2145532,0
1789539413780337712,119003560,4116,0,2145532,0
1789539414807432973,119004572,304,324,2145532,0
1789539415834150352,119001160,512,0,2145532,0
1789539416864203131,118999920,556,0,2145532,0
1789539417893485397,118998448,708,0,2145532,0
1789539418921068352,118996300,1668,0,2145532,0
1789539419949384659,118994180,1356,0,2145532,0
1789539420978877879,118990720,1432,0,2145532,0
1789539422007340795,118992340,1528,0,2145532,0
1789539423037440516,118990900,1620,0,2145532,0
1789539424065603654,118987524,2500,0,2145532,0
1789539425096910195,118986084,12,0,2145532,0
1789539426127250869,118986160,264,0,2145532,0
1789539427158235013,118986012,292,0,2145532,0
1789539428188857541,118985520,344,0,2145532,0
1789539429219568126,118983540,472,0,2145532,0
1789539430250935680,118982312,152,0,2145532,0
1789539431281674182,118981648,260,0,2145532,0
1789539432311103512,118979472,324,0,2145532,0
1789539433342164434,118980568,368,0,2145532,0
1789539434373698529,118979036,496,0,2145532,0
1789539435404461912,118979828,180,0,2145532,0
1789539436431656688,118980924,288,0,2145532,0
1789539437459444947,118982440,352,0,2145532,0
1789539438487868550,118984284,400,0,2145532,0
1789539439516533906,118981848,972,0,2145532,0
1789539440547164373,118979896,496,0,2145532,0
1789539441577987736,118977440,204,0,2145532,0
1789539442606555098,118976788,280,0,2145532,0
1789539443637256761,118975332,1492,0,2145532,0
1789539444667448443,118974596,1600,0,2145532,0
1789539445696156175,118974368,408,64,2145532,0
1789539446727811285,118977668,208,0,2145532,0
1789539447758491885,118977864,232,0,2145532,0
1789539448787170387,118978684,452,0,2145532,0
1789539449818630187,118977992,472,0,2145532,0
1789539450848628506,118979268,496,0,2145532,0
1789539451875711476,118981152,192,0,2145532,0
1789539452904390010,118979280,220,0,2145532,0
1789539453934058902,118977592,892,0,2145532,0
1789539454960117927,118977148,928,0,2145532,0
1789539455989348479,118977204,4,0,2145532,0
1789539457017323436,118979800,184,0,2145532,0
1789539458045886943,118980100,304,0,2145532,0
1789539459076679951,118980476,1388,0,2145532,0
1789539460105522540,118981052,1408,0,2145532,0
1789539461134319073,118979180,448,0,2145532,0
1789539462165289451,118978944,484,0,2145532,0
1789539463196126760,118978864,268,0,2145532,0
1789539464226721431,118977396,372,0,2145532,0
1789539465256319868,118975400,480,0,2145532,0
1789539466286136872,118978196,0,0,2145532,0
1789539467315946542,118978804,208,0,2145532,0
1789539468345387590,118978628,268,0,2145532,0
1789539469372565102,118977684,432,0,2145532,0
1789539470400090481,118976732,492,0,2145532,0
1789539471429167387,118976016,532,0,2145532,0
1789539472457050039,118979612,188,0,2145532,0
1789539473484635435,118977908,248,0,2145532,0
1789539474515589441,118975700,1036,0,2145532,0
1789539475546147463,118977004,1076,0,2145532,0
1789539476576704065,118977408,1096,0,2145532,0
1789539477607363662,118977468,144,0,2145532,0
1789539478637478574,118975656,932,0,2145532,0
1789539479666301912,118979280,980,0,2145532,0
1789539480697683077,118976192,1052,0,2145532,0
1789539481728216964,118976296,1108,0,2145532,0
1789539482756987863,118974360,188,0,2145532,0
1789539483787759708,118972000,404,0,2145532,0
1789539484818734861,118973580,448,0,2145532,0
1789539485847672087,118972876,540,0,2145532,0
1789539486878238059,118973424,560,0,2145532,0
1789539487905735022,118971948,84,0,2145532,0
1789539488935589799,118974292,296,0,2145532,0
1789539489964238097,118972140,368,0,2145532,0
1789539490992072673,118971772,472,0,2145532,0
1789539492023195303,118970332,512,0,2145532,0
1789539493054484569,118971408,32,0,2145532,0
1789539494085649542,118971180,944,0,2145532,0
1789539495117360278,118972096,1004,0,2145532,0
1789539496148743213,118972972,1096,0,2145532,0
1789539497179025439,118971000,1184,0,2145532,0
1789539498210677299,118970152,144,0,2145532,0
1789539499242692899,118970540,332,0,2145532,0
1789539500273047726,118973704,388,0,2145532,0
1789539501303102569,118976584,460,0,2145532,0
