wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789539623997632371,125165508,276,0,1272,0
1789539625025652828,125112960,348,0,1272,0
1789539626060792361,125051016,432,0,1272,0
1789539627088896298,125037228,488,0,1272,0
1789539628119543890,125036000,184,0,1272,0
1789539629148654392,125005788,276,0,1272,0
1789539630179475192,124877552,412,0,1272,0
1789539631209639528,124722096,436,0,1272,0
1789539632238049478,124648572,504,0,1272,0
1789539633265180330,124211268,220,0,1276,0
1789539634290002932,123894468,288,0,11512,0
1789539635317537220,124384696,448,0,48376,0
1789539636345874156,121671612,456,0,48388,0
1789539637374836522,121687136,560,0,48376,0
1789539638405678243,121685380,156,0,48380,0
1789539639441534139,121728624,706552,0,48380,0
1789539640497226400,121732804,2860060,0,48380,0
1789539641526546836,121734616,2860788,0,48380,0
1789539642555420759,121735392,2754396,0,48380,0
1789539643586868126,121731164,2453824,39208,48380,0
1789539644618741051,121730396,1789356,0,48380,0
1789539645648566240,121729124,385816,14064,48380,0
1789539646678684172,121441908,1416,0,48380,0
1789539647707040252,121440224,1484,0,48380,0
1789539648737944288,121392408,1500,0,48380,0
1789539649765610599,119463212,1552,0,1937876,0
1789539650794234782,119225740,1616,0,2145532,0
1789539651825196891,119202312,1732,0,2145532,0
1789539652853224953,119157768,1748,0,2145532,0
1789539653880993240,119154920,1828,0,2145532,0
1789539654907961592,119152652,1840,0,2145532,0
1789539655935517728,119150692,1908,0,2145532,0
1789539656962880528,119148436,1996,0,2145532,0
1789539657990047330,119142208,2068,0,2145532,0
1789539659018077850,119141712,2120,0,2145532,0
1789539660048606645,119141016,2136,0,2145532,0
1789539661079439260,119071540,3580,0,2145532,0
1789539662110698410,119069272,3612,0,2145532,0
1789539663141829682,119069072,3656,0,2145532,0
1789539664171477538,119068128,3732,0,2145532,0
1789539665202575997,119067416,3752,0,2145532,0
1789539666232895316,119066160,3796,0,2145532,0
1789539667260659140,119065204,3820,0,2145532,0
1789539668291534412,119065324,3868,0,2145532,0
1789539669322648180,119017728,2500,0,2145532,0
1789539670351292934,119015472,2616,0,2145532,0
1789539671381747306,119012748,2676,0,2145532,0
1789539672409329714,119010520,2732,0,2145532,0
1789539673436891735,119007108,2792,0,2145532,0
1789539674462017126,119005656,528,0,2145532,0
1789539675488926729,119005220,604,0,2145532,0
1789539676516037227,119003252,1424,0,2145532,0
1789539677544344628,119001276,1448,0,2145532,0
1789539678573690325,119002168,1496,0,2145532,0
1789539679603687837,119000728,1584,0,2145532,0
1789539680635249742,119000784,1628,0,2145532,0
1789539681666224283,118999592,2380,0,2145532,0
1789539682694389440,118999404,2456,0,2145532,0
1789539683725303548,118997252,2484,0,2145532,0
1789539684756463304,118998112,708,188,2145532,0
1789539685785576928,118997916,316,0,2145532,0
1789539686816641995,118997800,440,0,2145532,0
1789539687846910350,118998712,484,0,2145532,0
1789539688876440543,118999508,556,0,2145532,0
1789539689907675708,118998044,736,0,2145532,0
1789539690938599002,118996364,244,0,2145532,0
1789539691967572729,118997072,376,0,2145532,0
1789539692994704496,118997232,420,0,2145532,0
1789539694022629324,118995392,488,0,2145532,0
1789539695051220221,118993676,172,0,2145532,0
1789539696080468475,118995508,276,0,2145532,0
1789539697111195686,118993676,1412,0,2145532,0
1789539698142641966,118993504,1480,0,2145532,0
1789539699174341425,118992076,1512,0,2145532,0
1789539700203622314,118993684,132,0,2145532,0
1789539701234793253,118993016,776,0,2145532,0
1789539702265503173,118994320,892,0,2145532,0
1789539703296534523,118995896,992,0,2145532,0
1789539704324553002,118994988,1004,0,2145532,0
1789539705355439377,118995528,132,0,2145532,0
1789539706385896634,118997580,340,0,2145532,0
1789539707413997818,118997616,376,0,2145532,0
1789539708443793192,118996952,428,0,2145532,0
1789539709471628151,118997484,516,0,2145532,0
1789539710499152811,118996284,164,0,2145532,0
1789539711527677943,118996900,940,0,2145532,0
1789539712556665909,118996472,992,0,2145532,0
1789539713585213888,118994564,1044,0,2145532,0
1789539714616162279,118993672,1076,0,2145532,0
1789539715647445948,118994060,140,0,2145532,0
1789539716677804248,118994020,1448,0,2145532,0
1789539717705025484,118991288,1452,0,2145532,0
1789539718733492253,118992396,1540,0,2145532,0
1789539719762569806,118991444,1556,0,2145532,0
1789539720791728260,118992504,220,0,2145532,0
1789539721823247281,118989120,804,0,2145532,0
1789539722854575839,118987652,1100,0,2145532,0
1789539723886063974,118986940,1120,0,2145532,0
1789539724917648558,118988224,1168,0,2145532,0
1789539725946349910,118987084,224,0,2145532,0
1789539726976720811,118985660,424,0,2145532,0
1789539728005080552,118984696,452,0,2145532,0
1789539729035904796,118984016,492,0,2145532,0
1789539730065966176,118982524,568,0,2145532,0
1789539731092923796,118989164,296,0,2145532,0
1789539732119156531,118989540,368,0,2145532,0
1789539733150099562,118992436,448,0,2145532,0
1789539734180346201,118992240,472,0,2145532,0
1789539735207711302,118993312,4,0,2145532,0
1789539736237198622,118995096,280,0,2145532,0
1789539737266616524,118991420,372,0,2145532,0
1789539738296915131,118991940,460,0,2145532,0
1789539739325532965,118990236,508,0,2145532,0
1789539740355723334,118990336,48,0,2145532,0
1789539741386192028,118990952,872,0,2145532,0
1789539742413862264,118992076,912,0,2145532,0
1789539743444388903,118991696,1032,0,2145532,0
1789539744471761090,118992524,1092,0,2145532,0
1789539745499823080,118990420,0,88,2145532,0
1789539746528027462,118995100,200,0,2145532,0
1789539747557072609,118995960,308,0,2145532,0
1789539748587247768,118994496,392,0,2145532,0
1789539749615816076,118994004,444,0,2145532,0
1789539750646171573,118992552,0,0,2145532,0
1789539751676152709,118994116,836,0,2145532,0
1789539752704449290,118995200,996,0,2145532,0
1789539753734359821,118996568,1120,0,2145532,0
1789539754764521602,118996320,1140,0,2145532,0
1789539755793634497,118995568,164,0,2145532,0
1789539756824395959,118995136,332,0,2145532,0
1789539757855332490,118995012,384,0,2145532,0
1789539758883851014,118995072,472,0,2145532,0
1789539759914157539,118993852,484,0,2145532,0
1789539760943610043,118992456,4,0,2145532,0
1789539761972153697,118993288,292,0,2145532,0
1789539763003275891,118993084,352,0,2145532,0
1789539764033032990,118993556,420,0,2145532,0
1789539765062017815,118992376,460,0,2145532,0
1789539766093273469,118988164,132,0,2145532,0
1789539767123656413,118988512,292,0,2145532,0
1789539768152119619,118987600,356,0,2145532,0
1789539769183541832,118988936,428,0,2145532,0
1789539770214030298,118989756,496,0,2145532,0
1789539771242941034,118989268,4,0,2145532,0
1789539772274319655,118990320,268,0,2145532,0
1789539773305267561,118992208,304,0,2145532,0
1789539774332467072,118991996,388,0,2145532,0
1789539775359441674,118990560,424,0,2145532,0
1789539776387700707,118991728,0,88,2145532,0
1789539777416215035,118992072,256,0,2145532,0
1789539778444660289,118991160,292,0,2145532,0
1789539779475522773,118989728,352,0,2145532,0
1789539780507109045,118990528,392,0,2145532,0
1789539781535116504,118989328,0,412,2145532,0
1789539782566117935,118991684,200,0,2145532,0
1789539783596694894,118991316,272,0,2145532,0
1789539784625193385,118991176,304,0,2145532,0
1789539785656263007,118994524,364,0,2145532,0
1789539786687196075,118993124,8,0,2145532,0
1789539787716404327,118995420,168,0,2145532,0
1789539788747022930,118993716,216,0,2145532,0
1789539789777615357,118992656,332,0,2145532,0
1789539790806584566,118994048,388,0,2145532,0
1789539791837202558,118993632,0,0,2145532,0
1789539792864830979,118995720,52,0,2145532,0
1789539793893537886,118994892,220,0,2145532,0
1789539794921825817,118997944,308,0,2145532,0
1789539795950388194,118998496,396,0,2145532,0
1789539796981977516,118999360,132,0,2145532,0
1789539798012867129,119001516,244,0,2145532,0
1789539799041180021,119001400,280,0,2145532,0
1789539800071429412,119000712,388,0,2145532,0
1789539801102207983,119000256,468,0,2145532,0
1789539802130359169,118998540,140,0,2145532,0
1789539803161797192,119001668,288,0,2145532,0
1789539804192607666,118999232,316,0,2145532,0
1789539805220861782,118998580,388,0,2145532,0
1789539806252268003,119002180,544,0,2145532,0
1789539807282661670,119002244,164,0,2145532,0
1789539808308995356,119001080,232,0,2145532,0
1789539809340134129,119001664,324,0,2145532,0
1789539810366988663,119000204,400,0,2145532,0
1789539811397568618,118998760,484,0,2145532,0
1789539812427455906,119000076,128,0,2145532,0
1789539813457561039,118997584,244,0,2145532,0
1789539814485685660,118997488,332,0,2145532,0
1789539815517454844,118997000,360,0,2145532,0
1789539816548629551,118996032,484,0,2145532,0
1789539817576975753,118994620,136,0,2145532,0
1789539818607826268,118993428,244,0,2145532,0
1789539819638889861,118992260,344,0,2145532,0
1789539820666919931,118992552,372,0,2145532,0
1789539821698430715,118992752,500,0,2145532,0
1789539822729732110,118993852,76,0,2145532,0
1789539823758248113,118992636,204,0,2145532,0
1789539824789154309,118995232,272,0,2145532,0
1789539825820374971,118994260,308,0,2145532,0
1789539826847513006,118994320,440,0,2145532,0
1789539827874965930,118993644,160,0,2145532,0
1789539828904494637,118993448,184,0,2145532,0
1789539829933809831,118994276,224,0,2145532,0
1789539830964673342,118994336,300,0,2145532,0
1789539831995512342,118993964,412,0,2145532,0
1789539833024556093,118992536,136,0,2145532,0
1789539834055124779,118992872,216,0,2145532,0
1789539835084931932,118993144,272,0,2145532,0
1789539836114118701,118995184,312,0,2145532,0
1789539837145124213,118994532,428,0,2145532,0
1789539838175884689,118994352,464,0,2145532,0
1789539839207181652,118992960,240,0,2145532,0
1789539840238619584,118992316,256,0,2145532,0
1789539841270729726,118992712,312,0,2145532,0
1789539842302168425,118991232,420,0,2145532,0
1789539843332747714,118990772,0,0,2145532,0
1789539844361330750,118989084,260,0,2145532,0
1789539845392075267,118988428,296,0,2145532,0
1789539846421003746,118993280,384,0,2145532,0
1789539847452550260,118991876,400,0,2145532,0
1789539848482675724,118991444,0,0,2145532,0
1789539849510982159,118990504,272,0,2145532,0
1789539850542569430,118990784,380,0,2145532,0
1789539851573297554,118991836,464,0,2145532,0
1789539852601770894,118991916,484,0,2145532,0
1789539853633283641,118989748,552,0,2145532,0
1789539854663713529,118992160,220,0,2145532,0
1789539855692363460,118992444,392,0,2145532,0
1789539856724022979,118992492,472,0,2145532,0
1789539857754902157,118991764,500,0,2145532,0
1789539858784903057,118990308,548,0,2145532,0
1789539859815509446,118989640,40,0,2145532,0
1789539860844584819,118991192,336,0,2145532,0
1789539862838807770,121157940,452,0,48380,0
