wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789540133950827316,0.0,0.4,0.00,1.33,0
1789540134978202659,0.0,0.0,0.00,0.00,0
1789540136007871249,0.0,0.0,0.00,0.00,0
1789540137035449812,0.0,0.1,0.00,9.00,0
1789540138066064034,0.0,0.0,0.00,0.00,0
1789540139094485108,0.0,0.5,0.00,1.25,0
1789540140125216058,0.0,0.0,0.00,0.00,0
1789540141153810079,0.0,0.1,0.00,8.00,0
1789540142181001390,0.0,0.0,0.00,0.00,0
1789540143237262021,0.0,0.0,0.00,0.00,8
1789540144294387327,0.0,0.4,0.00,1.30,0
1789540145323016595,0.0,0.3,0.00,6.31,0
1789540146350632688,0.0,0.0,0.00,0.00,0
1789540147379030852,0.0,0.0,0.00,0.00,0
1789540148408506079,0.0,61.5,0.00,0.86,2
1789540149432963729,0.0,114.7,0.00,0.81,0
1789540150456989250,0.0,0.5,0.00,4.00,0
1789540151485770786,0.0,101.1,0.00,35.39,1
1789540152516934612,0.0,251.8,0.00,63.29,69
1789540153547891081,0.0,521.3,0.00,39.60,1
1789540154577382172,0.0,1841.4,0.00,38.89,0
1789540155605389244,641.6,0.0,16.61,0.11,30
1789540156635637816,2069.2,0.0,13.72,0.00,0
1789540157666047332,142.9,0.0,13.89,0.00,0
1789540158694297331,720.6,0.0,16.04,0.00,85
1789540159725111616,1992.9,0.1,14.38,2.00,0
1789540160752981334,0.0,0.0,0.00,0.00,0
1789540161780266562,0.0,0.0,0.00,0.00,0
1789540162807135516,286.3,0.0,19.41,0.00,0
1789540163834441474,715.2,0.0,18.32,0.00,0
1789540164862171204,858.4,0.0,16.35,1.50,0
1789540165889755414,858.8,0.0,14.85,0.00,0
1789540166917235188,529.8,0.0,20.84,0.00,20
1789540167948261283,1642.8,0.0,16.19,0.00,63
1789540168979378803,1478.7,0.0,16.56,0.00,16
1789540170009436405,1771.5,0.0,17.15,1.00,0
1789540171038406930,2052.0,0.0,17.49,0.00,43
1789540172069637683,1689.9,0.0,16.97,0.00,57
1789540173100274321,1747.6,0.0,16.18,0.00,37
1789540174128461623,2158.0,0.0,16.99,0.00,19
1789540175159093206,1671.0,0.0,16.79,28.50,47
1789540176189792712,1670.2,0.0,17.86,0.00,0
1789540177218033171,2273.1,0.0,16.13,0.00,9
1789540178249386502,1572.8,0.0,17.65,0.00,5
1789540179279591509,1435.5,0.0,16.28,0.00,0
1789540180306595338,65.7,2.2,11.93,0.14,39
1789540181334403052,1089.9,0.0,16.84,0.00,78
1789540182362069175,1131.3,0.0,16.83,0.00,0
1789540183391767286,429.1,0.0,13.68,0.00,0
1789540184418696211,319.1,0.0,19.09,0.00,63
1789540185445120986,1111.1,0.1,16.30,1.50,0
1789540186473184769,1142.9,0.0,17.48,0.00,0
1789540187504014187,1433.4,0.0,16.88,0.00,82
1789540188535022238,1630.9,0.0,17.67,0.00,31
1789540189563823080,2247.1,0.0,16.29,0.00,63
1789540190595387259,1610.1,0.7,17.94,0.62,25
1789540191626184752,1672.1,0.0,17.08,0.00,56
1789540192655221248,2222.1,0.0,16.34,0.00,26
1789540193686543997,1546.6,0.0,19.07,0.00,26
1789540194717800252,1716.1,0.0,16.54,0.00,20
1789540195748874175,2219.4,0.4,16.50,0.70,60
1789540196779981546,1603.1,0.0,17.90,0.00,27
1789540197810751420,1212.5,0.0,16.12,0.00,0
1789540198838990852,1794.8,0.0,17.54,0.00,23
1789540199870035131,917.0,0.0,15.89,0.00,0
1789540200897435907,0.0,0.4,0.00,0.16,0
1789540201925054577,895.4,0.0,17.97,0.00,61
1789540202949955625,966.3,0.0,17.32,0.00,27
1789540203976950708,858.9,0.0,17.02,0.00,0
1789540205005326672,1786.0,0.1,19.13,16.50,30
1789540206036849226,1706.9,0.5,17.13,0.31,29
1789540207067591694,1929.4,0.0,16.90,0.00,0
1789540208095333917,1961.7,0.0,16.50,0.00,26
1789540209126622145,1643.1,0.0,17.18,0.00,52
1789540210157108694,1819.9,0.1,15.95,1.50,0
1789540211185471662,2022.6,0.4,18.07,0.72,61
1789540212216652714,1543.0,0.0,19.20,0.00,0
1789540213247095410,1857.4,0.0,17.52,0.00,0
1789540214275360778,1934.3,0.0,16.64,0.00,27
1789540215305060126,780.1,0.1,16.66,1.50,0
1789540216332606050,1369.2,0.4,18.04,2.60,23
1789540217362207517,1345.7,0.0,17.39,0.00,0
1789540218389896385,0.0,0.0,0.00,0.00,0
1789540219417026377,856.9,0.0,17.32,0.00,0
1789540220447019455,1087.6,0.1,17.13,1.50,18
1789540221476083878,856.4,0.0,16.63,0.00,24
1789540222504263598,2072.7,0.4,18.35,2.31,69
1789540223535499531,1665.0,0.0,17.37,0.00,26
1789540224566283162,1651.6,0.0,16.91,0.00,46
1789540225594708965,2132.0,0.1,17.15,19.00,45
1789540226626116710,1535.0,0.0,19.17,0.00,76
1789540227657077335,1702.2,0.4,17.40,0.51,0
1789540228684738383,2093.0,0.0,16.99,0.00,27
1789540229715604047,1678.1,0.0,17.05,0.00,39
1789540230744564938,1660.5,0.1,18.62,8.50,0
1789540231769406949,2087.1,0.0,17.04,0.00,22
1789540232799533183,627.2,0.4,18.47,0.33,0
1789540233826616138,429.0,0.0,19.00,0.00,0
1789540234855633491,1142.1,0.0,15.06,0.00,0
1789540235885395081,1076.5,0.1,16.97,15.50,25
1789540236914172727,282.5,0.0,19.68,0.00,26
1789540237942855634,1412.7,0.4,18.32,2.33,48
1789540238971648176,1170.8,0.0,17.15,0.00,23
1789540239998991573,2067.5,0.1,18.15,28.00,79
1789540241030100824,1531.8,0.0,19.26,0.00,27
1789540242060514412,1741.8,0.0,17.25,0.00,0
1789540243088757280,2065.2,0.4,17.06,1.16,31
1789540244120509773,1640.3,0.0,18.45,0.00,3
1789540245150149603,1722.8,0.1,17.64,20.50,0
1789540246175623409,2045.4,0.0,17.01,0.00,52
1789540247206289405,1629.1,0.0,17.74,0.00,24
1789540248237104308,1750.5,0.4,17.38,0.31,0
1789540249264938369,2056.1,0.0,16.88,0.00,41
1789540250295136748,656.7,0.1,17.05,8.00,0
1789540251322427647,428.7,0.0,17.51,0.00,0
1789540252351539289,1107.9,0.0,17.60,0.00,30
1789540253379845190,1086.8,0.5,16.49,0.05,44
