wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789536007580607129,0.0,1.9,0.00,0.50,0
1789536008608177825,0.0,0.0,0.00,0.00,0
1789536009635568311,0.0,0.1,0.00,8.50,0
1789536010663675085,0.0,0.0,0.00,0.00,0
1789536011694431933,0.0,0.0,0.00,0.00,0
1789536012723204953,0.0,0.4,0.00,1.51,0
1789536013754247115,0.0,0.0,0.00,0.00,0
1789536014783450304,0.0,0.1,0.00,9.50,0
1789536015811532779,0.0,0.0,0.00,0.00,0
1789536016854633013,0.0,0.0,0.00,0.00,0
1789536017961414279,0.0,0.4,0.00,1.49,0
1789536018988259903,0.0,0.1,0.00,10.00,0
1789536020015524203,0.0,0.0,0.00,0.00,0
1789536021043592146,0.0,0.0,0.00,0.00,0
1789536022072969939,0.0,0.0,0.00,13.00,0
1789536023089402792,0.0,64.7,0.00,7.40,0
1789536024119229385,0.0,0.5,0.00,4.50,0
1789536025147689756,0.0,127.9,0.00,27.27,31
1789536026178372004,0.0,401.6,0.00,35.97,0
1789536027207734598,0.0,1386.6,0.00,3.23,19
1789536028236286356,143.0,800.9,13.08,7.80,0
1789536029264550276,1535.0,0.0,14.69,0.00,31
1789536030294949818,1178.7,0.0,13.83,0.00,0
1789536031321752770,0.0,0.0,0.00,0.00,0
1789536032349910882,1897.4,0.0,16.80,0.00,48
1789536033380681869,815.0,0.1,16.78,1.50,0
1789536034408112025,0.0,0.0,0.00,0.00,0
1789536035434815671,0.0,0.0,0.00,0.00,0
1789536036462099654,572.3,0.0,22.78,0.00,0
1789536037489405283,858.3,0.0,17.87,0.00,0
1789536038517171037,715.4,0.1,21.97,1.50,0
1789536039544241957,572.4,181.5,16.12,3.61,3
1789536040572031566,1124.2,94.1,17.71,3.87,18
1789536041603218417,1588.8,28.4,17.25,1.52,0
1789536042631440728,1642.8,0.0,19.58,0.00,28
1789536043661876989,1725.6,1.5,17.52,9.20,16
1789536044690554900,2059.8,0.0,19.04,0.00,0
1789536045719036661,1696.4,0.0,19.06,0.00,15
1789536046750353171,1810.3,0.1,16.21,4.33,22
1789536047780627060,1917.9,0.0,17.89,0.00,0
1789536048808050158,1896.5,0.0,19.23,0.00,59
1789536049839138634,1703.5,0.0,18.10,0.00,64
1789536050869275401,1825.4,0.0,18.87,2.00,0
1789536051897580499,1701.6,0.0,21.76,0.00,10
1789536052928067887,1011.8,0.0,17.58,0.00,0
1789536053954559576,286.0,0.5,24.68,0.15,0
1789536054983283818,1064.7,0.0,18.49,0.00,33
