wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789536007580607129,125199848,216,0,1280,0
1789536008608177825,125147732,288,0,1280,0
1789536009635568311,125085244,312,0,1280,0
1789536010663675085,125071660,436,0,1280,0
1789536011694431933,125065708,456,0,1280,0
1789536012723204953,125036772,472,0,1280,0
1789536013754247115,124903508,208,0,1280,0
1789536014783450304,124732924,356,0,1280,0
1789536015811532779,124674740,388,0,1280,0
1789536016854633013,124214176,452,0,1284,0
1789536017961414279,123884208,52,0,11520,0
1789536018988259903,124427268,316,0,48384,0
1789536020015524203,121708232,360,0,48396,0
1789536021043592146,121721824,404,0,48384,0
1789536022072969939,121761388,708652,0,48388,0
1789536023089402792,121758656,2792512,0,48388,0
1789536024119229385,121756160,2860728,0,48388,0
1789536025147689756,121753852,2710244,19688,48388,0
1789536026178372004,121749472,2302948,0,48388,0
1789536027207734598,121750856,841208,20248,48388,0
1789536028236286356,121466460,1180,0,48388,0
1789536029264550276,121463252,1208,0,48388,0
1789536030294949818,121413896,1292,0,48388,0
1789536031321752770,121379000,1304,0,48388,0
1789536032349910882,121376772,1328,0,48388,0
1789536033380681869,121354436,1388,0,48388,0
1789536034408112025,121308904,1420,0,48388,0
1789536035434815671,121308252,1488,0,48388,0
1789536036462099654,121306192,1520,0,48388,0
1789536037489405283,121304220,1552,0,48388,0
1789536038517171037,121303804,1616,0,48388,0
1789536039544241957,121297612,1656,0,48388,0
1789536040572031566,121294980,1716,0,48388,0
1789536041603218417,121226240,1752,0,48388,0
1789536042631440728,121224040,1768,0,48388,0
1789536043661876989,121222352,3196,0,48388,0
1789536044690554900,121221224,3244,0,48388,0
1789536045719036661,121221484,3268,0,48388,0
1789536046750353171,121220280,3356,0,48388,0
1789536047780627060,121219316,3420,0,48388,0
1789536048808050158,121218892,3448,0,48388,0
1789536049839138634,121218244,3488,0,48388,0
1789536050869275401,121169620,3512,0,48388,0
1789536051897580499,121166696,3548,0,48388,0
1789536052928067887,121164524,3584,0,48388,0
1789536053954559576,121163028,3096,0,48388,0
1789536054983283818,121160628,3152,0,48388,0
1789536056012572028,121158432,3212,0,48388,0
1789536057041072790,121157204,3228,0,48388,0
1789536058068619383,121156452,3280,0,48388,0
1789536059097578425,121156640,156,0,48388,0
1789536060126528256,121157044,296,0,48388,0
1789536061155774787,121156676,1908,0,48388,0
1789536062186624057,121155220,1980,0,48388,0
1789536063215354962,121155260,2052,0,48388,0
1789536064246879833,121154600,136,0,48388,0
1789536065277674306,121157156,212,0,48388,0
1789536066305881261,121157812,400,0,48388,0
1789536067337271339,121156332,412,0,48388,0
1789536068368151558,121156116,508,0,48388,0
1789536069395770419,121154440,20,0,48388,0
1789536070427466883,121150672,192,0,48388,0
1789536071457948781,121149960,304,0,48388,0
1789536072488280271,121150600,400,0,48388,0
