wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789535764241564249,0.0,0.1,0.00,8.50,0
1789535765269314351,0.0,0.0,0.00,0.00,0
1789535766296621066,0.0,0.0,0.00,0.00,0
1789535767324751048,0.0,0.0,0.00,0.00,0
1789535768355441364,0.0,0.0,0.00,0.00,0
1789535769386561689,0.0,0.0,0.00,8.50,0
1789535770415288549,0.0,0.0,0.00,0.00,0
1789535771443369945,0.0,0.0,0.00,0.00,0
1789535772470698270,0.0,0.0,0.00,0.00,0
1789535773498778479,0.0,0.0,0.00,0.00,0
1789535774526819173,0.0,0.1,0.00,8.00,0
1789535775555142464,0.0,0.0,0.00,0.00,0
1789535776583015544,0.0,0.0,0.00,0.00,0
1789535777612316220,0.0,0.0,0.00,14.00,0
1789535778640911476,0.0,0.0,0.00,0.00,0
1789535779657939083,0.0,0.2,0.00,8.50,0
1789535780687952338,0.0,231.2,0.00,0.94,0
1789535781715639999,0.0,199.7,0.00,14.48,46
1789535782744567215,0.0,473.9,0.00,33.39,1
1789535783773065224,0.0,1328.7,0.00,2.80,1
1789535784800591287,143.2,716.9,13.17,3.47,0
1789535785828546427,1472.3,0.0,16.08,0.00,54
1789535786858830733,1241.2,0.0,14.07,0.00,0
1789535787886275699,0.0,0.0,0.00,0.00,0
1789535788914830088,1741.4,0.0,18.22,0.00,56
1789535789946547726,968.4,0.1,18.19,1.50,0
1789535790974747777,0.0,0.0,0.00,0.00,0
1789535792002265030,0.0,0.0,0.00,0.00,0
1789535793030005153,571.9,0.0,17.81,0.00,0
1789535794058344510,784.2,0.0,18.07,0.00,35
1789535795085822957,789.1,0.1,18.85,1.50,0
1789535796113305078,572.5,258.0,15.83,3.05,5
1789535797141358802,1141.5,18.0,18.72,3.14,0
1789535798172264594,1570.2,27.2,18.59,1.18,1
1789535799201728461,1559.4,1.2,19.34,1.50,8
1789535800233041418,1626.5,1.5,18.25,3.40,51
1789535801264362859,2106.9,0.0,18.35,0.00,66
1789535802295742258,1611.4,0.0,18.93,0.00,38
1789535803327619160,1652.8,0.0,18.47,0.00,81
1789535804359152548,2158.9,0.0,17.27,0.00,59
1789535805390648656,1643.7,0.0,18.87,1.50,22
1789535806422399686,1637.3,0.0,18.46,0.00,57
1789535807453736065,2162.4,0.0,17.44,0.00,46
1789535808484758289,1546.4,0.0,19.75,0.00,55
1789535809515304864,1254.0,0.1,19.07,3.50,0
1789535810542906342,143.0,0.0,20.88,0.00,0
1789535811571379375,1018.1,1.2,19.89,0.04,67
1789535812600321851,1124.4,0.0,19.09,0.00,0
1789535813629859963,429.0,133.5,20.73,3.85,0
1789535814657261674,286.0,0.7,15.62,2.67,0
1789535815685981232,999.6,0.0,19.44,0.00,0
1789535816715137740,1143.2,2.6,17.63,0.11,0
1789535817744330633,989.0,148.4,25.10,7.26,10
1789535818775326950,2008.8,0.0,18.59,0.00,0
1789535819804350362,1730.2,0.8,17.69,7.00,67
1789535820835769746,1677.0,0.0,18.12,0.00,15
1789535821867334844,2011.0,1.3,19.18,1.68,0
1789535822897156160,1597.5,0.0,18.80,0.00,58
1789535823928414621,1591.4,0.0,19.03,0.00,48
