timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/16 21:49:10.780, 1 %, 0 %, 15 MiB, 16384 MiB, 7.83 W, 55
2026/09/16 21:49:11.792, 0 %, 0 %, 15 MiB, 16384 MiB, 7.46 W, 55
2026/09/16 21:49:12.798, 0 %, 0 %, 15 MiB, 16384 MiB, 7.56 W, 54
2026/09/16 21:49:13.804, 0 %, 0 %, 15 MiB, 16384 MiB, 9.37 W, 54
2026/09/16 21:49:14.810, 0 %, 0 %, 15 MiB, 16384 MiB, 9.38 W, 54
2026/09/16 21:49:15.816, 0 %, 0 %, 15 MiB, 16384 MiB, 7.65 W, 54
2026/09/16 21:49:16.822, 0 %, 0 %, 15 MiB, 16384 MiB, 7.72 W, 54
2026/09/16 21:49:17.828, 1 %, 0 %, 15 MiB, 16384 MiB, 7.61 W, 53
2026/09/16 21:49:18.834, 0 %, 0 %, 15 MiB, 16384 MiB, 7.37 W, 53
2026/09/16 21:49:19.840, 0 %, 0 %, 15 MiB, 16384 MiB, 7.51 W, 53
2026/09/16 21:49:20.846, 0 %, 0 %, 15 MiB, 16384 MiB, 7.50 W, 53
2026/09/16 21:49:21.852, 0 %, 0 %, 134 MiB, 16384 MiB, 34.87 W, 54
2026/09/16 21:49:22.862, 1 %, 0 %, 216 MiB, 16384 MiB, 45.00 W, 55
2026/09/16 21:49:23.875, 26 %, 1 %, 998 MiB, 16384 MiB, 45.48 W, 55
2026/09/16 21:49:24.878, 0 %, 0 %, 1000 MiB, 16384 MiB, 44.92 W, 55
2026/09/16 21:49:25.881, 0 %, 0 %, 1000 MiB, 16384 MiB, 44.92 W, 55
2026/09/16 21:49:26.884, 0 %, 0 %, 1000 MiB, 16384 MiB, 45.44 W, 55
2026/09/16 21:49:27.886, 98 %, 4 %, 1000 MiB, 16384 MiB, 59.97 W, 56
2026/09/16 21:49:28.888, 0 %, 0 %, 1000 MiB, 16384 MiB, 56.91 W, 56
2026/09/16 21:49:29.891, 0 %, 0 %, 964 MiB, 16384 MiB, 56.97 W, 56
2026/09/16 21:49:30.893, 0 %, 0 %, 964 MiB, 16384 MiB, 45.01 W, 55
2026/09/16 21:49:31.895, 0 %, 0 %, 964 MiB, 16384 MiB, 45.41 W, 55
2026/09/16 21:49:32.898, 7 %, 1 %, 1100 MiB, 16384 MiB, 46.29 W, 55
2026/09/16 21:49:33.900, 26 %, 16 %, 1680 MiB, 16384 MiB, 97.30 W, 58
2026/09/16 21:49:34.905, 28 %, 15 %, 1682 MiB, 16384 MiB, 104.57 W, 57
2026/09/16 21:49:35.907, 26 %, 22 %, 1842 MiB, 16384 MiB, 61.18 W, 56
2026/09/16 21:49:36.909, 43 %, 5 %, 1846 MiB, 16384 MiB, 59.16 W, 57
2026/09/16 21:49:37.912, 1 %, 2 %, 1846 MiB, 16384 MiB, 59.31 W, 57
2026/09/16 21:49:38.914, 0 %, 0 %, 2490 MiB, 16384 MiB, 45.81 W, 56
2026/09/16 21:49:39.917, 100 %, 7 %, 2490 MiB, 16384 MiB, 140.37 W, 59
2026/09/16 21:49:40.919, 100 %, 12 %, 2490 MiB, 16384 MiB, 144.11 W, 59
2026/09/16 21:49:41.922, 58 %, 6 %, 2490 MiB, 16384 MiB, 118.82 W, 59
2026/09/16 21:49:42.925, 69 %, 6 %, 2490 MiB, 16384 MiB, 104.65 W, 60
2026/09/16 21:49:43.927, 59 %, 6 %, 2490 MiB, 16384 MiB, 123.56 W, 59
2026/09/16 21:49:44.932, 98 %, 10 %, 2494 MiB, 16384 MiB, 110.29 W, 60
2026/09/16 21:49:45.934, 30 %, 2 %, 2494 MiB, 16384 MiB, 74.63 W, 59
2026/09/16 21:49:46.936, 24 %, 2 %, 2494 MiB, 16384 MiB, 77.22 W, 59
2026/09/16 21:49:47.939, 1 %, 2 %, 2494 MiB, 16384 MiB, 60.94 W, 58
2026/09/16 21:49:48.942, 68 %, 6 %, 2494 MiB, 16384 MiB, 60.38 W, 58
2026/09/16 21:49:49.945, 1 %, 1 %, 2494 MiB, 16384 MiB, 58.81 W, 58
2026/09/16 21:49:50.948, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.46 W, 58
2026/09/16 21:49:51.951, 1 %, 1 %, 2494 MiB, 16384 MiB, 64.63 W, 59
2026/09/16 21:49:52.955, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.96 W, 58
2026/09/16 21:49:53.958, 24 %, 3 %, 2494 MiB, 16384 MiB, 60.95 W, 58
2026/09/16 21:49:54.962, 1 %, 1 %, 2494 MiB, 16384 MiB, 62.28 W, 59
2026/09/16 21:49:55.966, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.43 W, 58
2026/09/16 21:49:56.970, 97 %, 7 %, 2494 MiB, 16384 MiB, 59.50 W, 59
2026/09/16 21:49:57.973, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.79 W, 58
2026/09/16 21:49:58.976, 100 %, 10 %, 2494 MiB, 16384 MiB, 127.99 W, 61
2026/09/16 21:49:59.983, 64 %, 6 %, 2494 MiB, 16384 MiB, 117.97 W, 60
2026/09/16 21:50:00.985, 46 %, 4 %, 2494 MiB, 16384 MiB, 85.18 W, 61
2026/09/16 21:50:01.987, 65 %, 8 %, 2494 MiB, 16384 MiB, 132.38 W, 61
2026/09/16 21:50:02.991, 100 %, 7 %, 2494 MiB, 16384 MiB, 133.77 W, 62
2026/09/16 21:50:03.994, 39 %, 4 %, 2494 MiB, 16384 MiB, 103.91 W, 61
2026/09/16 21:50:04.998, 59 %, 4 %, 2494 MiB, 16384 MiB, 89.53 W, 62
2026/09/16 21:50:06.001, 67 %, 9 %, 2494 MiB, 16384 MiB, 122.45 W, 62
2026/09/16 21:50:07.005, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.67 W, 60
2026/09/16 21:50:08.009, 16 %, 2 %, 2494 MiB, 16384 MiB, 60.55 W, 60
2026/09/16 21:50:09.013, 1 %, 1 %, 2494 MiB, 16384 MiB, 61.16 W, 60
2026/09/16 21:50:10.016, 1 %, 1 %, 2494 MiB, 16384 MiB, 60.78 W, 60
2026/09/16 21:50:11.020, 92 %, 7 %, 2494 MiB, 16384 MiB, 65.30 W, 60
2026/09/16 21:50:12.023, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.63 W, 60
2026/09/16 21:50:13.027, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.70 W, 60
2026/09/16 21:50:14.031, 59 %, 6 %, 2494 MiB, 16384 MiB, 66.63 W, 60
2026/09/16 21:50:15.034, 2 %, 2 %, 2494 MiB, 16384 MiB, 61.39 W, 60
2026/09/16 21:50:16.036, 1 %, 1 %, 2494 MiB, 16384 MiB, 60.46 W, 60
2026/09/16 21:50:17.039, 1 %, 1 %, 2494 MiB, 16384 MiB, 59.58 W, 60
