wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789563442647830752,0.0,0.1,0.00,8.50,0
1789563443673501864,0.0,0.0,0.00,0.00,0
1789563444700286942,0.0,0.4,0.00,2.17,0
1789563445727597080,0.0,0.0,0.00,0.00,0
1789563446757760275,0.0,0.0,0.00,0.00,0
1789563447786812084,0.0,0.1,0.00,9.50,0
1789563448817222122,0.0,0.0,0.00,0.00,0
1789563449847701317,0.0,0.3,0.00,2.85,0
1789563450875237661,0.0,0.0,0.00,0.00,0
1789563451902835976,0.0,0.0,0.00,0.00,0
1789563452930742004,0.0,0.1,0.00,8.50,0
1789563453955013295,0.0,0.0,0.00,0.00,0
1789563454983052832,0.0,0.4,0.50,1.71,0
1789563456012031745,0.0,0.0,0.00,0.00,0
1789563457042234792,0.0,0.0,0.00,14.00,0
1789563458063840853,0.0,0.4,0.00,10.50,0
1789563459080304362,0.0,0.0,0.00,0.00,0
1789563460108251363,0.0,75.2,0.00,5.79,47
1789563461135721529,0.0,337.4,0.00,45.51,20
1789563462164775980,0.0,1120.5,0.00,6.88,0
1789563463192209163,143.0,1187.2,12.45,1.88,0
1789563464220325622,767.9,0.0,14.18,0.00,45
1789563465250625691,1946.3,0.6,13.65,9.47,0
1789563466278535645,0.0,0.0,0.00,0.00,0
1789563467305959769,232.3,0.0,16.41,0.00,22
1789563468334497073,2213.9,0.1,16.29,27.00,68
1789563469364740079,266.4,0.0,18.33,0.00,0
1789563470391724544,0.0,0.0,0.00,0.00,0
1789563471418223516,0.0,0.0,0.00,0.00,0
1789563472444948177,748.7,0.0,15.00,0.00,62
1789563473471925618,825.6,0.1,19.71,1.50,0
1789563474499152122,732.1,0.0,17.13,0.00,70
1789563475523827480,413.9,276.8,20.17,3.91,0
1789563476550992280,1375.4,0.0,16.21,0.00,25
1789563477581463058,1338.9,28.4,16.03,0.73,0
1789563478609281712,1937.9,1.6,16.59,14.40,19
1789563479639824194,1689.0,0.0,16.30,0.00,41
1789563480670024965,1798.9,0.0,18.10,0.00,0
1789563481698048719,1898.1,0.0,16.16,0.00,47
1789563482729150743,1646.4,0.0,17.69,0.00,22
1789563483758363613,1882.5,0.0,16.17,40.00,0
1789563484786060126,1851.0,0.0,18.23,0.00,5
1789563485817093902,1697.7,0.0,16.34,0.00,18
1789563486846876501,1876.7,0.0,16.77,0.00,0
1789563487874782230,1855.7,0.0,16.48,0.00,0
1789563488905384209,857.7,0.0,16.03,2.50,0
1789563489932197303,333.9,0.0,16.91,0.00,48
1789563490959679206,1108.4,0.8,16.41,17.83,74
1789563491987660375,1160.1,0.0,15.61,0.00,67
1789563493015175827,115.4,133.6,26.88,1.73,0
1789563494042331899,571.8,0.8,17.87,3.33,0
1789563495071254117,1141.8,0.0,16.72,0.00,0
1789563496101639894,1000.0,17.7,17.55,3.55,10
1789563497129931686,1504.0,131.2,19.50,5.55,24
1789563498160313236,1579.5,0.0,17.97,0.00,21
1789563499189217317,2076.7,1.0,17.23,6.50,68
1789563500220237623,1627.3,0.0,16.92,0.00,21
