wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789563198260564467,124943632,276,0,1156,0
1789563199287838669,124895400,44,0,1156,0
1789563200314532438,124838556,92,0,1156,0
1789563201342179660,124827836,140,0,1156,0
1789563202372366716,124833820,228,0,1156,0
1789563203402833510,124807892,276,0,1156,0
1789563204432582952,124677188,40,0,1156,0
1789563205460370940,124608492,104,0,1156,0
1789563206487534617,124469984,132,0,1156,0
1789563207515182960,124325700,212,0,1156,0
1789563208543566034,123755668,248,0,11236,0
1789563209571163654,124188604,64,0,48420,0
1789563210597950043,122317504,112,0,48260,0
1789563211627511539,121479880,520,0,48260,0
1789563212663608131,121510356,544,0,48264,0
1789563213707389219,121508980,2277524,0,48264,0
1789563214723830131,121494344,2860380,0,48264,0
1789563215751315070,121484556,2860520,0,48264,0
1789563216778278209,121478712,2470164,49640,48264,0
1789563217806645965,121476712,1700580,160,48264,0
1789563218834592655,121478476,301668,408,48264,0
1789563219862625129,121191560,252,0,48264,0
1789563220890752177,121197248,276,0,48264,0
1789563221921914826,121210220,324,0,48264,0
1789563222952075062,121156664,352,0,48264,0
1789563223977034995,120051516,384,0,1096840,0
1789563224994838978,120046260,488,0,1096840,0
1789563226025528394,120027692,524,0,1096840,0
1789563227052881825,119975900,564,0,1096840,0
1789563228078495471,119973464,600,0,1096840,0
1789563229104898565,119972788,632,0,1096840,0
1789563230131544491,119978076,692,0,1096840,0
1789563231156637921,119985476,728,0,1096840,0
1789563232183505622,119978032,768,0,1096840,0
1789563233211561540,119966260,796,0,1096840,0
1789563234241932832,119973220,2308,0,1096840,0
1789563235272166054,119902760,2340,0,1096840,0
1789563236302365502,119899372,2364,0,1096840,0
1789563237329754619,119901548,2404,0,1096840,0
1789563238360873160,119897912,2444,0,1096840,0
1789563239390674988,119895228,2620,0,1096840,0
1789563240418085042,119897344,2452,0,1096840,0
1789563241448663426,119898684,2476,0,1096840,0
1789563242478548876,119897000,2508,0,1096840,0
1789563243505934415,119897452,2548,0,1096840,0
1789563244536813405,119854480,2592,0,1096840,0
1789563245566711536,119860632,1892,0,1096840,0
1789563246593594856,119856988,1936,0,1096840,0
1789563247621256392,119854880,1968,0,1096840,0
1789563248651098492,119856496,1988,0,1096840,0
1789563249679531404,119854616,2080,0,1096840,0
1789563250706299695,119844220,2076,0,1096840,0
1789563251733906000,119849924,2112,0,1096840,0
1789563252762032255,119851864,2152,0,1096840,0
1789563253792019552,119860780,2180,0,1096840,0
1789563254822714809,119867008,3672,0,1096840,0
1789563255851197946,119858028,684,0,1096840,0
1789563256881428150,119849856,488,0,1096840,0
1789563257912430497,119853520,520,0,1096840,0
1789563258943111062,119851176,556,0,1096840,0
1789563259973892685,119855096,600,0,1096840,0
1789563261004535872,119851168,68,0,1096840,0
1789563262035094487,119854880,332,0,1096840,0
1789563263065704600,119860524,360,0,1096840,0
1789563264093862738,119855592,388,0,1096840,0
1789563265123914067,119852584,428,0,1096840,0
1789563266153985215,119854192,72,0,1096840,0
1789563267184167084,119849044,264,0,1096840,0
1789563268211000836,119846888,296,0,1096840,0
1789563269238551659,119852916,332,0,1096840,0
1789563270268132411,119854088,360,0,1096840,0
1789563271298414466,119855472,60,0,1096840,0
1789563272326933482,119854204,1268,0,1096840,0
1789563273357779889,119850072,1280,0,1096840,0
1789563274387872509,119850804,1328,0,1096840,0
1789563275417985907,119852668,1348,0,1096840,0
1789563276447554106,119852044,696,0,1096840,0
