timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/16 21:53:17.325, 0 %, 0 %, 15 MiB, 16384 MiB, 10.81 W, 55
2026/09/16 21:53:18.336, 0 %, 0 %, 15 MiB, 16384 MiB, 7.68 W, 55
2026/09/16 21:53:19.342, 0 %, 0 %, 15 MiB, 16384 MiB, 7.73 W, 55
2026/09/16 21:53:20.347, 0 %, 0 %, 15 MiB, 16384 MiB, 7.61 W, 55
2026/09/16 21:53:21.353, 0 %, 0 %, 15 MiB, 16384 MiB, 8.11 W, 54
2026/09/16 21:53:22.360, 0 %, 0 %, 15 MiB, 16384 MiB, 7.87 W, 54
2026/09/16 21:53:23.366, 0 %, 0 %, 15 MiB, 16384 MiB, 7.75 W, 54
2026/09/16 21:53:24.372, 0 %, 0 %, 15 MiB, 16384 MiB, 7.67 W, 54
2026/09/16 21:53:25.378, 0 %, 0 %, 15 MiB, 16384 MiB, 7.58 W, 53
2026/09/16 21:53:26.384, 0 %, 0 %, 15 MiB, 16384 MiB, 7.61 W, 53
2026/09/16 21:53:27.390, 0 %, 0 %, 15 MiB, 16384 MiB, 7.59 W, 53
2026/09/16 21:53:28.395, 0 %, 0 %, 134 MiB, 16384 MiB, 38.08 W, 54
2026/09/16 21:53:29.403, 0 %, 0 %, 216 MiB, 16384 MiB, 45.13 W, 55
2026/09/16 21:53:30.408, 19 %, 1 %, 998 MiB, 16384 MiB, 45.60 W, 55
2026/09/16 21:53:31.411, 0 %, 0 %, 1000 MiB, 16384 MiB, 45.33 W, 55
2026/09/16 21:53:32.413, 0 %, 0 %, 1000 MiB, 16384 MiB, 45.64 W, 55
2026/09/16 21:53:33.415, 0 %, 0 %, 1000 MiB, 16384 MiB, 46.40 W, 55
2026/09/16 21:53:34.417, 97 %, 4 %, 1000 MiB, 16384 MiB, 62.03 W, 56
2026/09/16 21:53:35.420, 22 %, 1 %, 1000 MiB, 16384 MiB, 57.54 W, 56
2026/09/16 21:53:36.422, 0 %, 0 %, 964 MiB, 16384 MiB, 57.67 W, 56
2026/09/16 21:53:37.424, 0 %, 0 %, 964 MiB, 16384 MiB, 45.53 W, 55
2026/09/16 21:53:38.427, 0 %, 0 %, 964 MiB, 16384 MiB, 45.57 W, 55
2026/09/16 21:53:39.429, 12 %, 3 %, 1680 MiB, 16384 MiB, 119.06 W, 57
2026/09/16 21:53:40.432, 9 %, 6 %, 1680 MiB, 16384 MiB, 94.52 W, 57
2026/09/16 21:53:41.435, 19 %, 12 %, 1680 MiB, 16384 MiB, 99.15 W, 57
2026/09/16 21:53:42.437, 30 %, 15 %, 1682 MiB, 16384 MiB, 46.28 W, 56
2026/09/16 21:53:43.439, 26 %, 22 %, 1842 MiB, 16384 MiB, 46.28 W, 56
2026/09/16 21:53:44.442, 75 %, 7 %, 1846 MiB, 16384 MiB, 59.62 W, 57
2026/09/16 21:53:45.444, 1 %, 2 %, 1846 MiB, 16384 MiB, 59.81 W, 57
2026/09/16 21:53:46.447, 0 %, 0 %, 2490 MiB, 16384 MiB, 58.43 W, 57
2026/09/16 21:53:47.449, 100 %, 11 %, 2490 MiB, 16384 MiB, 149.44 W, 60
2026/09/16 21:53:48.452, 100 %, 6 %, 2490 MiB, 16384 MiB, 122.53 W, 60
2026/09/16 21:53:49.454, 63 %, 6 %, 2490 MiB, 16384 MiB, 113.64 W, 59
2026/09/16 21:53:50.456, 62 %, 8 %, 2490 MiB, 16384 MiB, 133.66 W, 60
2026/09/16 21:53:51.459, 68 %, 6 %, 2490 MiB, 16384 MiB, 116.30 W, 59
2026/09/16 21:53:52.463, 98 %, 7 %, 2494 MiB, 16384 MiB, 116.60 W, 60
2026/09/16 21:53:53.465, 30 %, 3 %, 2494 MiB, 16384 MiB, 79.24 W, 59
