wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789541365983751423,0.0,0.4,0.00,1.49,0
1789541367011663370,0.0,0.1,0.00,9.00,0
1789541368038755046,0.0,0.0,0.00,0.00,0
1789541369066579393,0.0,0.0,0.00,0.00,0
1789541370097438721,0.0,0.0,0.00,0.00,0
1789541371125734227,0.0,0.6,0.00,1.34,0
1789541372156692635,0.0,0.0,0.00,0.00,0
1789541373186021209,0.0,0.0,0.00,0.00,0
1789541374214191468,0.0,0.0,0.00,0.00,0
1789541375240557577,0.0,0.0,0.00,0.00,0
1789541376258611618,0.0,0.5,0.00,1.44,0
1789541377286640420,0.0,0.0,0.00,0.00,0
1789541378314780159,0.0,0.0,0.00,0.00,0
1789541379342945607,0.0,0.0,0.00,0.00,0
1789541380379237032,0.0,0.5,0.00,7.75,0
1789541381419389047,0.0,82.1,0.00,3.37,0
1789541382448952942,0.0,0.0,0.00,0.00,0
1789541383477007921,0.0,446.5,0.00,2.24,1
1789541384506666486,0.0,1359.8,0.00,1.85,10
1789541385535196240,143.4,913.3,12.99,2.49,0
1789541386557510599,1198.1,0.0,14.93,0.00,46
1789541387588408879,1519.2,0.0,14.73,0.00,0
1789541388615554920,0.0,0.0,0.00,0.00,0
1789541389642688745,0.0,0.0,0.00,0.00,0
1789541390671002776,0.0,0.1,0.00,4.50,0
1789541391756643636,599.8,0.0,16.13,0.00,56
1789541392788872444,2026.5,0.0,19.07,0.00,26
1789541393819431499,68.9,0.0,22.00,0.00,0
1789541394846545770,0.0,0.0,0.00,0.00,0
1789541395873610091,0.0,0.0,0.00,4.50,0
1789541396900746132,858.5,0.0,17.33,0.00,0
1789541397927942907,858.3,0.0,16.15,0.00,0
1789541398955624038,715.4,0.0,18.54,0.00,0
1789541399982834250,323.0,0.0,16.90,0.00,62
1789541401007302521,1535.4,0.0,19.59,14.00,0
1789541402037244157,1323.1,0.0,15.69,0.00,51
1789541403065764776,2061.3,0.0,18.54,0.00,20
1789541404097016342,1640.9,0.0,17.33,0.00,65
1789541405127255488,1683.7,0.0,17.36,0.00,0
1789541406155759399,2102.0,0.0,18.00,35.00,27
1789541407187012748,1540.8,0.0,19.19,0.00,23
1789541408217344305,1728.4,0.0,16.82,0.00,25
1789541409245824740,2094.3,0.0,18.04,0.00,55
1789541410277140470,1600.9,0.0,18.42,0.00,23
1789541411307950004,1636.9,1.4,18.06,0.28,0
1789541412335920716,2076.8,0.0,17.60,0.00,22
1789541413366248975,636.9,0.0,19.86,0.00,0
1789541414394004807,428.5,0.0,18.52,0.00,0
1789541415423712655,1070.7,0.0,17.77,0.00,34
1789541416452930005,1085.8,1.1,17.58,5.97,78
1789541417478160491,132.5,0.0,15.77,0.00,0
1789541418504702722,614.2,0.0,17.40,0.00,52
1789541419532802253,1125.4,0.0,16.29,0.00,64
1789541420560647045,978.4,0.0,18.46,0.00,0
1789541421588663979,1764.2,0.5,18.74,4.16,46
1789541422620616279,1655.6,0.0,18.22,0.00,3
1789541423651582643,2002.6,0.0,17.79,0.00,0
1789541424679344397,1754.8,0.0,17.88,0.00,56
1789541425709879828,1606.0,0.0,18.29,0.00,21
1789541426740057313,2064.9,0.5,18.22,11.56,0
1789541427768486670,1651.5,0.0,18.37,0.00,23
1789541428799070488,1697.7,0.0,17.18,0.00,33
1789541429829274357,2050.9,0.0,18.50,0.00,23
1789541430858690351,1689.1,0.0,17.46,0.00,25
1789541431888860128,1074.6,0.5,17.73,0.73,71
1789541432914347704,1831.2,0.0,17.57,0.00,0
1789541433943332153,858.8,0.0,18.78,0.00,0
1789541434969818369,0.0,0.0,0.00,0.00,0
1789541435997108699,879.5,0.1,17.52,1.50,66
1789541437024655356,1001.0,0.4,17.54,0.05,68
1789541438049967407,839.9,0.0,17.81,0.00,0
1789541439077909245,1855.6,0.0,19.71,0.00,0
1789541440108909214,1512.2,0.0,19.31,0.00,24
1789541441139308072,2056.8,0.1,18.01,28.50,0
1789541442167978673,1738.7,0.4,17.41,0.14,59
1789541443199594725,1454.9,0.0,20.80,0.00,43
1789541444230678666,2025.0,0.0,18.82,0.00,20
1789541445261979874,1548.7,0.0,18.93,0.00,33
1789541446292682035,1627.4,0.1,18.64,1.50,19
1789541447321786131,2049.9,0.4,18.41,0.28,65
1789541448353075281,1605.5,0.0,18.51,0.00,30
1789541449383044598,1501.9,0.0,17.42,0.00,0
1789541450411268910,856.4,0.0,19.18,0.00,0
1789541451441998861,1536.7,0.1,17.39,2.00,31
1789541452472370418,318.0,0.4,19.64,1.58,0
1789541453499898434,428.7,0.0,17.72,0.00,0
1789541454529262269,1032.3,0.0,16.46,0.00,57
1789541455557785850,1110.5,0.0,17.40,0.00,0
1789541456587614786,1336.8,0.1,18.46,2.00,46
1789541457618272767,1602.3,0.4,19.10,1.99,18
1789541458646835423,2066.9,0.0,18.19,0.00,78
1789541459678240851,1638.9,0.0,17.86,0.00,23
1789541460709212537,1631.9,0.0,19.26,0.00,0
1789541461737661874,1818.4,0.1,20.46,42.50,25
1789541462768880758,1562.5,0.4,19.10,0.15,20
1789541463799549463,2045.4,0.0,17.07,0.00,0
1789541464826659312,1699.7,0.0,18.72,0.00,12
1789541465858679424,1622.8,0.0,18.11,0.00,53
1789541466890565942,2036.1,0.1,19.14,18.50,25
1789541467921257131,57.7,0.3,16.96,1.72,0
1789541468948032713,759.2,0.0,17.32,0.00,51
1789541469976061069,1172.6,0.0,16.21,0.00,31
1789541471004943747,784.6,0.1,17.03,8.50,0
1789541472032794686,790.3,0.0,17.66,0.00,28
1789541473063501673,1593.0,0.4,16.33,1.82,20
1789541474094823650,1504.9,0.0,16.58,0.00,59
1789541475125371880,1689.1,0.0,17.98,0.00,73
1789541476153532832,1943.6,0.1,20.20,17.50,20
1789541477184480110,1685.2,0.0,16.84,0.00,25
1789541478215134610,1639.3,0.4,18.72,0.36,0
1789541479243343323,2059.4,0.0,17.67,0.00,38
1789541480273769550,1590.4,0.0,18.94,0.00,23
1789541481304726365,1775.2,0.1,19.21,7.50,0
1789541482332894588,1899.0,0.0,17.07,0.00,45
1789541483363869264,1585.0,0.4,18.48,0.14,39
1789541484394648032,1939.5,0.0,18.44,0.00,0
1789541485422193465,0.0,0.0,0.00,0.00,0
1789541486449364212,857.4,0.1,17.52,1.50,0
1789541487479520018,1140.9,0.0,15.78,0.00,0
1789541488509675352,969.9,0.4,16.81,0.05,28
1789541489538555496,2080.3,0.0,17.91,0.00,48
1789541490569858676,1517.4,0.0,19.78,0.00,52
1789541491600747793,1616.1,0.1,18.64,12.50,57
1789541492625784072,2004.3,0.0,18.93,0.00,50
1789541493657526803,1585.3,0.4,19.19,0.16,31
1789541494688821683,1789.4,0.0,18.66,0.00,0
1789541495717462645,1847.9,0.0,18.48,0.00,7
1789541496749408255,1510.9,0.1,19.30,35.00,21
1789541497780475355,1987.6,0.0,19.08,0.00,29
1789541498811640837,1575.2,0.4,18.93,3.36,24
1789541499841836397,1206.0,0.0,19.69,0.00,0
1789541500872768187,0.0,0.0,0.00,0.00,0
1789541501903575195,0.0,0.1,0.00,8.50,0
1789541502934728981,401.8,0.0,21.06,0.00,26
1789541503965272766,2075.3,0.4,17.82,3.01,46
1789541504996700546,1682.8,0.0,17.75,0.00,62
1789541506026700150,1472.5,0.1,19.85,12.50,30
1789541507055640909,1980.8,0.0,18.86,0.00,48
1789541508086880234,1601.2,0.0,18.72,0.00,24
1789541509117869284,1627.8,0.4,18.82,2.57,0
1789541510146203835,2008.7,0.0,18.19,0.00,72
1789541511178265966,1525.3,0.1,19.89,38.00,28
1789541512209264349,1887.0,0.0,18.91,0.00,0
1789541513237828049,1753.8,0.0,17.99,0.00,56
1789541514268847075,1583.0,0.4,19.20,2.42,43
1789541515299512330,2041.6,0.0,18.73,0.00,25
1789541516331069943,1649.9,0.1,17.16,23.00,56
1789541517363196888,1606.0,0.0,17.95,0.00,19
1789541518395029143,2114.3,0.0,17.64,0.00,42
1789541519426704042,1556.3,0.5,19.56,0.04,54
1789541520457200745,1239.4,0.0,19.86,0.00,0
1789541521484934641,268.7,0.1,23.48,8.50,17
1789541522513412379,1160.6,0.0,16.53,0.00,0
1789541523541855942,1200.9,0.0,17.71,0.00,48
1789541524570645119,1512.9,0.5,18.04,0.13,0
1789541525600882574,1606.4,0.0,18.00,0.00,62
1789541526630135308,1961.5,0.1,19.87,1.50,0
1789541527661391820,1527.2,0.0,19.26,0.00,22
1789541528691867590,1651.5,0.0,17.50,0.00,54
1789541529719536129,2139.7,0.4,17.45,2.77,61
1789541530750972481,1461.0,0.0,20.61,0.00,27
1789541531781966160,1784.1,0.1,19.03,12.00,0
1789541532810486815,1784.7,0.0,19.48,0.00,27
1789541533842058051,1539.1,0.0,18.93,0.00,54
1789541534873653477,2047.4,0.4,19.14,1.12,24
1789541535905448658,1473.8,0.0,17.89,0.00,70
1789541536936480453,1567.0,0.1,19.01,8.00,0
1789541537965991665,1990.9,0.0,19.66,0.00,6
1789541538996649519,434.4,0.0,20.35,0.00,0
1789541540024473254,1084.4,0.4,18.02,2.47,25
1789541541055465348,1301.4,0.1,19.23,1.50,28
1789541542086425298,1457.4,0.0,17.20,0.00,6
1789541543117928116,1578.0,0.0,19.12,0.00,0
1789541544146280225,2076.8,0.0,17.97,0.00,21
1789541545177788906,1620.4,0.4,18.45,0.16,11
1789541546208364917,1725.6,0.1,19.92,21.00,0
1789541547236677805,1753.1,0.0,18.93,0.00,57
1789541548267824733,1637.6,0.0,18.59,0.00,20
1789541549299400238,2028.2,0.0,19.07,0.00,0
1789541550329494599,1543.8,0.4,19.62,1.90,24
1789541551361307673,1607.4,0.1,18.35,1.50,71
1789541552392599525,2123.1,0.0,18.19,0.00,0
1789541553423896260,1200.6,0.0,19.27,0.00,38
1789541554454887428,1653.5,0.0,18.55,0.00,0
1789541555483603159,1780.5,0.4,19.89,2.94,30
1789541556514642342,931.0,0.1,19.24,1.50,0
1789541557542901776,1204.4,0.0,18.42,0.00,37
1789541558573680719,1508.6,0.0,16.30,0.00,0
1789541559602006735,1612.6,0.0,19.27,0.00,55
1789541560633257465,1576.6,0.4,18.87,0.04,48
1789541561664695112,1989.9,0.1,19.17,13.50,52
1789541562696104071,1550.1,0.0,19.39,0.00,60
1789541563726763145,1572.7,0.0,19.32,0.00,58
1789541564755080875,2113.8,0.0,17.63,0.00,69
1789541565786455257,1541.5,0.5,19.44,1.51,22
1789541566816951044,1596.5,0.1,19.10,16.00,0
1789541567843874906,2028.1,0.0,18.54,0.00,57
1789541568874334613,685.6,0.0,19.26,0.00,0
1789541569902269318,1508.1,0.0,18.07,0.00,20
1789541570932629509,1262.1,0.4,16.70,0.03,45
1789541571960846483,2111.4,0.1,18.18,27.00,60
1789541572992077997,1580.3,0.0,18.45,0.00,47
1789541574022731985,1674.7,0.0,18.62,0.00,0
1789541575051183305,2079.8,0.0,17.54,0.00,23
1789541576081902358,632.2,0.5,19.90,1.81,0
1789541577109649757,1493.3,0.0,17.51,0.00,35
1789541578139878384,1220.8,0.0,17.94,0.00,0
1789541579168234736,2002.9,0.0,18.52,0.00,82
1789541580199395751,1707.9,0.0,17.39,0.00,0
1789541581228208563,1718.5,0.5,20.12,2.70,0
1789541582254240729,1850.0,0.0,18.16,0.00,6
1789541583285461371,1612.7,0.0,18.31,0.00,50
1789541584316375123,1960.4,0.0,18.60,0.00,0
1789541585344869808,1743.0,0.0,17.76,0.00,56
1789541586375971945,1606.2,0.4,19.07,1.47,30
1789541587407435590,2021.2,0.0,19.08,0.00,26
1789541588438753808,458.2,0.0,19.08,0.00,18
1789541589470066576,1443.0,0.0,18.17,0.00,0
1789541590500870801,1186.7,0.0,18.11,0.00,54
1789541591531123430,2022.0,0.4,18.86,4.76,29
1789541592563068795,1608.6,0.0,18.81,0.00,28
1789541593594094696,1669.6,0.0,17.66,0.00,30
1789541594623022300,2068.3,0.0,18.05,0.00,3
1789541595654426932,1513.8,0.0,19.72,0.00,19
1789541596684973699,1627.9,0.5,18.65,0.67,0
1789541597713370055,1898.9,0.0,19.67,0.00,54
1789541598744788698,1574.3,0.0,19.03,0.00,50
1789541599775203683,1949.9,0.0,19.56,0.00,0
1789541600803501947,1695.8,0.0,18.23,0.00,17
1789541601834576052,1015.5,0.1,18.07,21.50,0
1789541602865108352,0.0,0.5,0.00,1.26,0
1789541603895259676,0.0,0.0,0.00,0.00,0
