wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789541118837482572,125186248,260,0,1272,0
1789541119867692791,125129600,304,0,1272,0
1789541120898051508,125076044,320,0,1272,0
1789541121926111866,125064036,484,0,1272,0
1789541122956857684,125050720,228,0,1272,0
1789541123984852019,125030828,268,0,1272,0
1789541125014985346,124902680,308,0,1272,0
1789541126043768400,124813012,352,0,1272,0
1789541127072108394,124700468,440,0,1272,0
1789541128100237867,124346028,232,0,1276,0
1789541129127701361,123956012,276,0,11512,0
1789541130154967394,124416736,292,0,48376,0
1789541131182013403,122044396,352,0,48388,0
1789541132214524635,121717648,484,0,48376,0
1789541133243399706,121745968,274812,0,48380,0
1789541134258408568,121751540,2728116,0,48380,0
1789541135275550872,121759700,2860304,0,48380,0
1789541136303658592,121757136,2806592,11268,48380,0
1789541137333355591,121755320,2453724,13968,48380,0
1789541138364714602,121754660,1260540,19480,48380,0
1789541139393867792,121593384,1228,0,48380,0
1789541140422004483,121471988,1280,0,48380,0
1789541141452996517,121466724,1304,0,48380,0
1789541142481400135,121389736,1352,0,48380,0
1789541143509704578,117988484,1368,0,3427196,0
1789541144538371119,113030060,1376,0,8375152,0
1789541145565992500,112846404,1452,0,8436988,0
1789541146589843722,112846680,1492,0,8436988,0
1789541147619868972,112822288,1524,0,8436988,0
1789541148647324663,112775672,1556,0,8436988,0
1789541149674611509,112772948,1628,0,8436988,0
1789541150701784745,112772520,1672,0,8436988,0
1789541151728638462,112771016,1708,0,8436988,0
1789541152756465694,112770048,1736,0,8436988,0
1789541153784330845,112768096,1788,0,8436988,0
1789541154812502922,112767112,1812,0,8436988,0
1789541155843117983,112765004,1864,0,8436988,0
1789541156874376092,112695128,1908,0,8436988,0
1789541157905267043,112692944,1936,0,8436988,0
1789541158934969609,112690676,2000,0,8436988,0
1789541159966029511,112691432,2000,0,8436988,0
1789541160996516968,112691288,2080,0,8436988,0
1789541162024506685,112693436,2108,0,8436988,0
1789541163055364920,112693008,2176,0,8436988,0
1789541164085824289,112691848,960,0,8436988,0
1789541165113815555,112692668,1064,0,8436988,0
1789541166145313838,112649080,1124,0,8436988,0
1789541167176174215,112646904,1200,0,8436988,0
1789541168203437134,112644460,1232,0,8436988,0
1789541169230940812,112641956,464,0,8436988,0
1789541170260993282,112641280,520,0,8436988,0
1789541171289711862,112640052,580,0,8436988,0
1789541172316966629,112639556,624,0,8436988,0
1789541173344871027,112640664,676,0,8436988,0
1789541174375390238,112638456,40,0,8436988,0
1789541175404785020,112635988,288,0,8436988,0
1789541176434774192,112633576,416,0,8436988,0
1789541177465234549,112631624,428,0,8436988,0
1789541178496556741,112628648,452,0,8436988,0
1789541179527499813,112628504,180,0,8436988,0
1789541180558859976,112627792,324,0,8436988,0
1789541181590100296,112626368,408,0,8436988,0
1789541182619323700,112626156,424,0,8436988,0
1789541183650834617,112624960,456,0,8436988,0
1789541184681601053,112625836,40,0,8436988,0
1789541185710386409,112621760,128,0,8436988,0
1789541186742115826,112620256,364,0,8436988,0
1789541187773870813,112618260,428,0,8436988,0
1789541188804462771,112615800,456,0,8436992,0
1789541189831868304,112607824,180,0,8436996,0
1789541190858282313,112606628,288,0,8436996,0
1789541191886225311,112606984,300,0,8436996,0
1789541192915686332,112613760,312,0,8436996,0
1789541193945684575,112611860,584,0,8436996,0
1789541194977792758,112610804,28,0,8436996,0
1789541196007676745,112610972,268,0,8436996,0
1789541197033820736,112609840,336,0,8436996,0
1789541198065392281,112611888,376,0,8436996,0
1789541199095983471,112609000,476,0,8436996,0
1789541200124512477,112608776,212,0,8436996,0
1789541201155389070,112606752,280,0,8436996,0
1789541202185034061,112605784,316,0,8436996,0
1789541203213637741,112605888,384,0,8436996,0
1789541204244058171,112607156,508,0,8436996,0
1789541205272104885,112606180,176,0,8436996,0
1789541206303357721,112606756,204,0,8436996,0
1789541207333545849,112609336,260,0,8436996,0
1789541208361493407,112608876,284,0,8436996,0
1789541209391361937,112606696,476,0,8436996,0
1789541210419439519,112604740,44,0,8436996,0
1789541211448474900,112606700,440,0,8437004,0
1789541212479397285,112607812,472,0,8437004,0
1789541213508751953,112608624,596,0,8437004,0
1789541214538925515,112609140,632,0,8437004,0
1789541215566635311,112607960,196,0,8437004,0
1789541216596016804,112610040,332,0,8437004,0
1789541217625412957,112610160,368,0,8437004,0
1789541218655822985,112611096,400,0,8437004,0
1789541219687421664,112611796,512,0,8437004,0
1789541220716434354,112611844,140,0,8437004,0
1789541221747624316,112609964,296,0,8437004,0
1789541222778468647,112608800,360,0,8437004,0
1789541223804310678,112607632,420,0,8437004,0
1789541224835573376,112607488,504,0,8437004,0
1789541225866333048,112608096,252,0,8437004,0
1789541226897695080,112606136,304,0,8437004,0
1789541227928386658,112607468,400,0,8437004,0
1789541228956922906,112607056,448,0,8437004,0
1789541229988603550,112610428,768,0,8436996,0
1789541231019746410,112611272,188,0,8436996,0
1789541232048741528,112612564,232,0,8436996,0
1789541233079695088,112614684,296,0,8436996,0
1789541234110626468,112613520,312,0,8436996,0
1789541235141939124,112614348,296,84,8436996,0
1789541236173461125,112615228,172,0,8436996,0
1789541237204512854,112616752,284,0,8436996,0
1789541238233711750,112615812,304,0,8436996,0
1789541239265734581,112614384,340,0,8436996,0
1789541240296761444,112614196,0,12,8436996,0
1789541241323543744,112611764,204,0,8436996,0
1789541242350940975,112613844,276,0,8436996,0
1789541243380065450,112614124,292,0,8436996,0
1789541244409834526,112613928,332,0,8436996,0
1789541245437873160,112615728,0,40,8436996,0
1789541246467457916,112616028,200,0,8436996,0
1789541247494171889,112616036,288,0,8436996,0
1789541248522446050,112613360,300,0,8436996,0
1789541249553374107,112613388,348,0,8436996,0
1789541250584455228,112612684,440,0,8436996,0
1789541251614049085,112611440,280,0,8436996,0
1789541252645614473,112609960,304,0,8436996,0
1789541253676915800,112610584,344,0,8436996,0
1789541254708199880,112612476,372,0,8436996,0
1789541255739222496,112611764,484,0,8436996,0
1789541256769972077,112611044,180,0,8436996,0
1789541257800290880,112609560,236,0,8436996,0
1789541258829032519,112607064,296,0,8436996,0
1789541259858429424,112607976,336,0,8436996,0
1789541260889987446,112607008,488,0,8436996,0
1789541261921165683,112607332,228,0,8436996,0
1789541262949761226,112607648,272,0,8436996,0
1789541263980965398,112606936,312,0,8436996,0
1789541265011856426,112607520,424,0,8436996,0
1789541266040207140,112606560,492,0,8436996,0
1789541267071340216,112605852,160,0,8436996,0
1789541268101859641,112604448,264,0,8436996,0
1789541269133292844,112602768,272,0,8436996,0
1789541270164171692,112602100,384,0,8436996,0
1789541271194462920,112602820,472,0,8436996,0
1789541272225608623,112602156,188,0,8436996,0
1789541273257014437,112602176,292,0,8436996,0
1789541274286499737,112601804,316,0,8436996,0
1789541275317073347,112600896,460,0,8436996,0
1789541276345377919,112598924,484,0,8436996,0
1789541277376745304,112598984,24,0,8436996,0
1789541278407744294,112600332,236,0,8436996,0
1789541279439604750,112602384,244,0,8436996,0
1789541280470087626,112600736,388,0,8436996,0
1789541281498790501,112599540,400,0,8436996,0
1789541282530129563,112600876,128,0,8436996,0
1789541283560805025,112603732,240,0,8436996,0
1789541284585991979,112604320,328,0,8436996,0
1789541285616856834,112604368,432,0,8436996,0
1789541286647482158,112603224,492,0,8436996,0
1789541287676140879,112602104,148,0,8436996,0
1789541288706835243,112602388,244,0,8436996,0
1789541289735289585,112604224,308,0,8436996,0
1789541290767002888,112604028,412,0,8436996,0
1789541291798509195,112604080,440,0,8436996,0
1789541292829895529,112603420,192,0,8436996,0
1789541293861188052,112602472,276,0,8436996,0
1789541294889488899,112601984,300,0,8436996,0
1789541295921223324,112600528,444,0,8436996,0
1789541296952327569,112600492,476,0,8436996,0
1789541297980802767,112600512,140,0,8436996,0
1789541299012016179,112599296,236,0,8436996,0
1789541300043292336,112598824,364,0,8436996,0
1789541301073544664,112597904,400,0,8436996,0
1789541302104698600,112596992,440,0,8436996,0
1789541303134793989,112597312,28,0,8436996,0
1789541304165939755,112597404,244,0,8436996,0
1789541305197260257,112597968,324,0,8436996,0
1789541306228704805,112596060,364,0,8436996,0
1789541307260349076,112598176,412,0,8436996,0
1789541308289356730,112597976,16,0,8436996,0
