wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789561895001605553,0.0,0.2,0.00,10.33,0
1789561896252374536,0.0,0.0,0.00,0.00,0
1789561897500839949,0.0,0.0,0.00,0.00,0
1789561898763821158,0.0,0.0,0.00,0.00,0
1789561900030926412,0.0,0.1,0.00,8.50,0
1789561901300799033,0.0,0.0,0.00,0.00,0
1789561902561849533,0.0,0.0,0.00,0.00,0
1789561903805362853,0.0,0.0,0.00,0.00,0
1789561905063506301,0.0,0.1,0.00,9.50,0
1789561906319914272,0.0,0.0,0.00,0.00,0
1789561907552524300,0.0,0.0,0.00,0.00,0
1789561908818923979,0.0,0.0,0.00,0.00,0
1789561910089645238,0.0,0.3,0.00,11.00,0
1789561911338295061,0.0,0.0,0.00,0.00,0
1789561912598236132,0.0,0.0,0.00,0.00,0
1789561913857197819,0.0,554.7,0.00,9.95,1
1789561915104775923,0.0,1336.3,0.00,2.65,3
1789561916351843833,436.4,336.5,15.46,2.68,21
1789561917610582662,1903.9,0.0,13.47,0.00,0
1789561918865077888,0.1,0.0,4.00,0.00,0
1789561920124801734,564.6,0.6,16.79,0.20,20
1789561921389639337,1654.1,0.2,15.92,25.50,0
1789561922643097011,0.0,0.0,0.00,0.00,0
1789561923894905431,0.0,0.0,0.00,0.00,0
1789561925148272505,627.6,0.8,17.46,0.10,39
1789561926404812119,813.9,0.1,16.34,1.50,50
1789561927656550627,791.3,0.0,16.97,0.00,0
1789561928908332223,766.2,225.0,18.20,1.79,19
1789561930173478241,1456.3,23.4,17.63,1.18,0
1789561931415637617,1802.6,1.3,17.31,27.80,35
1789561932684718078,1689.5,0.0,17.48,0.00,83
1789561933956132219,1775.3,0.0,16.85,0.00,48
1789561935225655102,1700.2,0.1,18.11,15.00,88
1789561936489174512,1869.8,0.1,16.66,39.00,0
1789561937743290901,2009.9,0.0,16.79,0.00,56
1789561939011060755,1707.1,0.0,17.67,0.00,86
1789561940285041360,1733.2,0.1,16.46,0.50,2
1789561941545457527,1177.0,0.1,17.50,4.00,0
1789561942793296505,385.0,0.0,17.95,0.00,48
1789561944052866030,1130.3,0.0,17.72,0.00,9
1789561945305941191,713.5,109.9,16.07,0.72,0
1789561946552441151,236.0,0.7,22.44,2.33,0
1789561947804390168,1112.1,0.0,16.24,0.00,29
1789561949060845995,880.3,91.0,15.74,4.11,102
1789561950315318114,1930.4,34.3,19.97,9.43,27
1789561951578979492,1755.8,0.8,17.13,2.00,20
1789561952844002189,1729.5,0.0,17.10,0.00,18
1789561954116842909,1680.2,0.0,17.80,0.00,72
1789561955377836783,1746.8,1.0,16.74,0.52,81
1789561956658831492,2074.7,0.1,17.34,21.50,52
1789561957929083492,1761.2,0.0,17.01,0.00,33
1789561959196793877,1630.9,0.0,18.37,0.00,25
1789561960461400782,1260.9,0.3,17.39,0.17,54
1789561961718929658,1722.3,0.1,17.52,16.00,63
1789561962984672959,331.2,50.2,18.01,4.38,0
1789561964232768777,469.4,0.0,20.58,0.00,0
1789561965489162949,976.2,0.3,16.41,0.12,38
1789561966755540790,782.3,98.0,16.99,5.23,88
1789561968007924024,1709.9,61.9,23.42,21.73,31
1789561969279344190,1692.8,0.0,17.22,0.00,41
1789561970547122635,1688.5,1.5,17.79,5.22,53
1789561971818857388,1750.4,0.0,17.08,0.00,0
1789561973080043945,1972.8,0.0,17.10,0.00,0
1789561974342680281,1829.2,0.0,17.46,0.00,28
1789561975616340385,1711.8,1.2,17.66,0.80,19
1789561976894149450,1902.4,0.0,15.64,0.00,64
1789561978165414576,1150.9,0.0,17.44,0.00,0
1789561979417363780,1231.1,0.0,18.04,0.00,40
1789561980667725392,1001.2,92.3,17.56,5.24,0
1789561981914825255,237.2,0.0,16.43,0.00,0
1789561983154079930,1064.1,0.0,17.26,0.00,0
1789561984409444533,931.1,53.4,16.72,3.78,7
1789561985667201960,1547.6,84.1,22.94,10.65,43
1789561986935468894,1655.2,0.0,18.10,0.00,36
1789561988193589286,1748.9,0.0,17.05,0.00,21
1789561989457001426,1773.2,0.0,16.46,0.00,27
1789561990707561701,2022.6,0.2,17.82,6.00,3
1789561991966178898,1595.4,0.3,19.27,15.44,20
1789561993239282572,1690.8,0.0,17.47,0.00,50
1789561994497568768,1707.6,0.0,17.23,0.00,6
1789561995769574364,1746.5,0.1,19.25,1.50,0
1789561997019928493,0.0,0.3,0.00,0.45,0
1789561998268935996,1163.0,0.0,16.57,0.00,0
1789561999533087555,1049.5,23.0,14.99,4.10,9
1789562000789380598,627.6,80.9,17.95,4.99,41
1789562002055918366,1480.3,0.8,17.39,8.50,0
