wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789561895001605553,124870472,528,0,1160,0
1789561896252374536,124797672,712,0,1160,0
1789561897500839949,124751644,788,0,1160,0
1789561898763821158,124755400,840,0,1160,0
1789561900030926412,124720896,928,0,1160,0
1789561901300799033,124576624,984,0,1160,0
1789561902561849533,124396804,1056,0,1160,0
1789561903805362853,124333956,1124,0,1160,0
1789561905063506301,123296964,1212,0,1160,0
1789561906319914272,123537172,1288,0,56328,0
1789561907552524300,121581368,1368,0,48276,0
1789561908818923979,120830552,1444,0,48264,0
1789561910089645238,120863048,710248,0,48268,0
1789561911338295061,120843552,2861892,0,48268,0
1789561912598236132,120831444,2861960,0,48268,0
1789561913857197819,120828652,2235476,6480,48268,0
1789561915104775923,120830440,453672,19808,48268,0
1789561916351843833,120515836,2160,0,48268,0
1789561917610582662,120491668,2220,0,48268,0
1789561918865077888,120409536,2300,0,48268,0
1789561920124801734,119343700,1684,0,1096844,0
1789561921389639337,119334892,1796,0,1096844,0
1789561922643097011,119271900,1880,0,1096844,0
1789561923894905431,119260392,1952,0,1096844,0
1789561925148272505,119257596,860,0,1096844,0
1789561926404812119,119256636,1104,0,1096844,0
1789561927656550627,119257656,1168,0,1096844,0
1789561928908332223,119259348,1244,0,1096844,0
1789561930173478241,119173880,1200,0,1096844,0
1789561931415637617,119171380,2876,0,1096844,0
1789561932684718078,119164072,2936,0,1096844,0
1789561933956132219,119163288,3004,0,1096844,0
1789561935225655102,119166076,2960,0,1096844,0
1789561936489174512,119169800,3040,0,1096844,0
1789561937743290901,119169572,3092,0,1096844,0
1789561939011060755,119174880,3168,0,1096844,0
1789561940285041360,119109944,3076,0,1096844,0
1789561941545457527,119096656,3180,0,1096844,0
1789561942793296505,119100468,3248,0,1096844,0
1789561944052866030,119104360,3316,0,1096844,0
1789561945305941191,119103912,3276,0,1096844,0
1789561946552441151,119101368,4008,0,1096844,0
1789561947804390168,119109964,4064,0,1096844,0
1789561949060845995,119115264,4132,0,1096844,0
1789561950315318114,119109064,48,0,1096844,0
1789561951578979492,119106660,1184,0,1096844,0
