wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789563942923217199,124943104,2856,0,1160,0
1789563943950265118,124884520,2896,0,1160,0
1789563944977330845,124819200,2928,0,1160,0
1789563946004884858,124815104,2956,0,1160,0
1789563947035169813,124822324,3008,0,1160,0
1789563948065185526,124795440,3044,0,1160,0
1789563949094581936,124666812,3096,0,1160,0
1789563950122027974,124603656,3148,0,1160,0
1789563951149434892,124462160,3176,0,1160,0
1789563952177125365,124378424,3208,0,1160,0
1789563953204605491,123753816,3244,0,11400,0
1789563954232074439,124168140,3284,0,48264,0
1789563955259182012,122429508,3304,0,48276,0
1789563956288416702,121477936,3348,0,48264,0
1789563957319519843,121508744,3584,0,48268,0
1789563958350651960,121509592,1870456,0,48268,0
1789563959367263669,121491184,2863692,0,48268,0
1789563960394754458,121476172,2863776,0,48268,0
1789563961421592636,121468288,1794556,5336,48268,0
1789563962449515740,121464220,349388,0,48268,0
1789563963477466402,121180200,3172,0,48268,0
1789563964504312395,121184116,3232,0,48268,0
1789563965534591428,121129316,3260,0,48268,0
1789563966559834200,120026148,3296,0,1096588,0
1789563967577218923,120026752,3328,0,1096844,0
1789563968607354669,120007500,552,0,1096844,0
1789563969634454920,119961472,600,0,1096844,0
1789563970661348892,119958840,640,0,1096844,0
1789563971688404521,119960784,732,0,1096844,0
1789563972715824529,119967244,792,0,1096844,0
1789563973743428432,119965876,600,0,1096844,0
1789563974770000671,119960812,668,0,1096844,0
1789563975797814126,119955928,708,0,1096844,0
1789563976828404028,119964652,740,0,1096844,0
1789563977858958398,119895740,2408,0,1096844,0
1789563978888150288,119892876,2448,0,1096844,0
1789563979915369072,119888008,2484,0,1096844,0
1789563980945786587,119891664,2548,0,1096844,0
1789563981975873240,119892324,2572,0,1096844,0
1789563983003761557,119902196,2608,0,1096844,0
1789563984034864007,119895520,2652,0,1096844,0
1789563985065429027,119895648,2692,0,1096844,0
1789563986093001412,119897796,2724,0,1096844,0
1789563987123595020,119850516,2760,0,1096844,0
1789563988153809665,119843088,2788,0,1096844,0
1789563989180450997,119836212,2836,0,1096844,0
1789563990206968984,119838936,2860,0,1096844,0
1789563991232860081,119837980,2888,0,1096844,0
1789563992260151603,119839092,2952,0,1096844,0
1789563993287091878,119830924,3692,0,1096844,0
1789563994314629084,119832168,3236,0,1096844,0
1789563995344079471,119838056,3296,0,1096844,0
1789563996372246932,119840996,3320,0,1096844,0
1789563997402460125,119841228,3360,0,1096844,0
1789563998432328715,119844868,4172,0,1096844,0
1789563999462827913,119851020,48,0,1096844,0
1789564000492670630,119855004,100,0,1096844,0
1789564001522822600,119854868,144,0,1096844,0
1789564002553052209,119857960,304,0,1096844,0
1789564003583020016,119852020,428,0,1096844,0
1789564004613465325,119852100,160,0,1096844,0
1789564005643522163,119844344,232,0,1096844,0
1789564006671251727,119849296,268,0,1096844,0
1789564007701831875,119847516,308,0,1096844,0
1789564008731705353,119843864,408,0,1096844,0
1789564009761420819,119833712,76,0,1096844,0
1789564010787819272,119832676,112,0,1096844,0
1789564011815111750,119837004,156,0,1096844,0
1789564012842800357,119835352,316,0,1096844,0
1789564013896866055,119834952,844,0,1096844,0
1789564014927187625,119842484,40,0,1096844,0
1789564015957247300,119841592,104,0,1096844,0
1789564016987112151,119848776,252,0,1096844,0
1789564018015021482,119851684,1516,0,1096844,0
1789564019045384461,119847244,1552,0,1096844,0
1789564020075449100,119840244,24,0,1096844,0
1789564021105840864,119840152,92,0,1096844,0
1789564022135830664,119834748,128,0,1096844,0
1789564023165462184,119832912,156,0,1096844,0
1789564024193982359,119838060,240,0,1096844,0
1789564025223332208,119836708,44,0,1096844,0
1789564026249518042,119838064,252,0,1096844,0
1789564027279816247,119846744,308,0,1096844,0
1789564028307612783,119834288,1080,0,1096844,0
1789564029334088228,119836956,1132,0,1096844,0
1789564030361733525,119837368,16,0,1096844,0
1789564031390778764,119838064,240,0,1096844,0
1789564032420204960,119840688,276,0,1096844,0
1789564033448997680,119840292,320,0,1096844,0
1789564034475973999,119843656,348,0,1096844,0
1789564035505518794,119843452,1160,136,1096844,0
1789564036532250653,119846316,1284,0,1096844,0
1789564037559617162,119845284,1344,0,1096844,0
1789564038589015994,119845140,1364,0,1096844,0
1789564039618101759,119845500,1416,0,1096844,0
1789564040645339668,119845104,144,168,1096844,0
1789564041674948206,119850056,200,0,1096844,0
1789564042703420202,119852948,236,0,1096844,0
1789564043729890728,119845456,260,0,1096844,0
1789564044755321025,119843336,308,0,1096844,0
1789564045784210286,119841484,92,0,1096844,0
1789564046813373664,119838156,292,0,1096844,0
1789564047840464318,119838252,380,0,1096844,0
1789564048870725982,119837668,416,0,1096844,0
1789564049901232060,119832796,464,0,1096844,0
1789564050930394952,119832508,1492,0,1096844,0
1789564051957856111,119839684,1688,0,1096844,0
1789564052988006513,119840280,1716,0,1096844,0
1789564054017675670,119848160,1752,0,1096844,0
1789564055044001056,119847548,1776,0,1096844,0
1789564056074958071,119848720,56,0,1096844,0
1789564057105121330,119845380,232,0,1096844,0
1789564058132990888,119844980,336,0,1096844,0
1789564059163223661,119848836,372,0,1096844,0
1789564060193017407,119845920,412,0,1096844,0
1789564061220307712,119839772,40,0,1096844,0
1789564062247510120,119842432,108,0,1096844,0
1789564063276688469,119846592,124,0,1096844,0
1789564064305369653,119844932,180,0,1096844,0
1789564065332938520,119840056,212,0,1096844,0
1789564066363229032,119846224,36,0,1096844,0
1789564067392520722,119838848,100,0,1096844,0
1789564068420087278,119840264,128,0,1096844,0
1789564069450746108,119837504,340,0,1096844,0
1789564070480881648,119836432,444,0,1096844,0
1789564071508761155,119844604,180,0,1096844,0
1789564072538858675,119846940,220,0,1096844,0
1789564073568777423,119853404,276,0,1096844,0
1789564074596533667,119848168,300,0,1096844,0
1789564075627028262,119852040,336,0,1096844,0
1789564076655230888,119845104,36,0,1096844,0
1789564077685062301,119849712,92,0,1096844,0
1789564078714636060,119847600,132,0,1096844,0
1789564079744389313,119848952,184,0,1096844,0
