wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789541620362918985,0.0,0.0,0.00,0.00,0
1789541621392945233,0.0,0.1,0.00,8.50,0
1789541622428886860,0.0,0.0,0.00,0.00,0
1789541623456867141,0.0,0.4,0.00,1.48,0
1789541624486173988,0.0,0.0,0.00,0.00,0
1789541625513308573,0.0,0.0,0.00,0.00,0
1789541626543297405,0.0,0.1,0.00,8.50,0
1789541627571772492,0.0,0.0,0.00,0.00,0
1789541628599873805,0.0,0.4,0.00,1.39,0
1789541629635551171,0.0,0.0,0.00,0.00,0
1789541630699157659,0.0,0.0,0.00,0.00,0
1789541631727203894,0.0,0.1,0.00,8.50,0
1789541632755480143,0.0,0.0,0.00,0.00,0
1789541633784084520,0.0,0.5,0.00,1.16,0
1789541634813246097,0.0,0.0,0.00,14.00,0
1789541635830127416,0.0,0.0,0.00,0.00,0
1789541636858524932,0.0,0.5,0.00,8.50,0
1789541637886685334,0.0,582.1,0.00,1.23,1
1789541638915162666,0.0,1378.9,0.00,2.08,0
1789541639943004665,143.5,759.9,13.31,2.48,0
1789541640968298517,1427.1,0.0,15.55,0.00,0
1789541641998659167,1287.1,0.0,14.01,0.00,0
1789541643025832156,0.0,0.0,0.00,0.00,0
1789541644054481609,0.0,0.0,0.00,0.00,0
1789541645121191348,0.0,0.1,0.00,3.50,0
1789541646399186321,1240.7,0.5,18.96,0.18,32
1789541647429959069,1360.8,0.0,19.23,0.00,0
1789541648457287438,0.0,0.0,0.00,0.00,0
1789541649483597844,0.0,0.0,0.00,0.00,0
1789541650510377929,286.1,0.0,27.46,0.00,0
1789541651538310413,794.3,0.0,18.55,1.50,22
1789541652565933765,779.2,0.0,19.10,0.00,0
1789541653593354560,858.5,0.0,18.15,0.00,0
1789541654621620176,474.1,0.0,16.53,0.00,43
1789541655652856224,1577.3,0.0,18.31,25.00,43
1789541656684015665,1429.4,0.0,17.50,0.00,41
1789541657714434889,1943.1,0.0,17.93,0.00,0
1789541658741658479,1789.5,0.0,18.85,0.00,23
1789541659773098109,1633.8,0.0,18.34,0.00,3
1789541660803812720,1997.5,0.2,19.22,15.60,0
1789541661834299697,1640.4,0.0,18.46,0.00,28
1789541662865160517,1638.4,0.0,18.75,0.00,0
1789541663896961396,1926.9,0.0,20.23,0.00,27
1789541664926989593,1594.1,0.7,18.71,0.05,23
1789541665957291247,1564.5,0.1,18.31,22.00,25
1789541667004548093,2067.3,0.0,17.82,16.00,54
1789541668034560728,383.4,0.0,19.22,0.00,0
1789541669062163461,571.4,0.0,19.39,0.00,0
1789541670092255802,1141.6,1.3,16.79,1.21,0
1789541671121898406,1001.2,0.1,18.48,1.50,0
1789541672148753211,0.0,0.0,0.00,0.00,0
1789541673176099031,824.7,0.0,17.65,0.00,32
1789541674204659545,1159.6,0.0,16.48,0.00,17
1789541675232949665,841.8,0.7,18.39,0.05,32
1789541676261541090,2009.1,0.1,19.18,22.00,20
1789541677292842813,1627.2,0.0,17.82,0.00,60
1789541678323444435,1676.5,0.0,19.68,0.00,0
1789541679351699830,1914.8,0.0,18.80,0.00,38
1789541680383122102,1541.9,0.4,19.97,2.62,55
1789541681413718660,1900.5,0.1,21.02,29.50,21
1789541682443736658,1469.2,0.0,20.72,0.00,19
1789541683474281702,1483.9,0.0,20.03,0.00,65
1789541684502907921,2038.7,0.0,19.16,0.00,28
1789541685534483844,1608.3,0.4,18.83,3.42,26
1789541686565022026,1598.9,0.1,20.19,24.50,0
1789541687592361642,1221.9,0.0,18.33,0.00,26
1789541688622795333,1492.2,0.0,17.34,0.00,0
1789541689650130791,0.0,0.0,0.00,0.00,0
1789541690677846413,585.4,0.3,16.72,0.06,76
1789541691704835742,1070.8,0.1,16.03,1.50,23
1789541692733262314,1060.8,0.0,16.25,0.00,0
1789541693762108823,1554.7,0.0,17.56,0.00,14
1789541694792961332,1538.6,0.0,19.45,0.00,23
1789541695824101860,2044.6,0.4,18.73,0.31,82
1789541696855965162,1579.4,0.1,19.06,24.50,70
1789541697886872362,1592.4,0.0,18.77,0.00,52
