wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789537381491945290,125159392,5120,0,1288,0
1789537382520207087,125107024,644,0,1288,0
1789537383547862732,125040668,3028,0,1288,0
1789537384575978173,125024836,3172,0,1288,0
1789537385607173751,125023420,3204,0,1288,0
1789537386638161133,124989736,3300,0,1288,0
1789537387668337654,124861840,2608,0,1288,0
1789537388696883913,124710732,3408,0,1288,0
1789537389725482717,124629956,3452,0,1288,0
1789537390753689824,124230812,3532,0,1288,0
1789537391782638587,123891080,1516,0,11368,0
1789537392808971926,124374540,180,0,48392,0
1789537393837698100,121659204,2032,0,48392,0
1789537394866483377,121670856,2116,0,48392,0
1789537395899012436,121718476,708964,0,48396,0
1789537396947740240,121717376,2748272,9552,48396,0
1789537397977323699,121713572,2860744,0,48396,0
1789537399005709586,121709924,2754544,30624,48396,0
1789537400036989350,121707188,1724568,15184,48396,0
1789537401065546740,121704272,255500,17712,48396,0
1789537402093043900,121422084,1396,0,48396,0
1789537403121903111,121421396,1448,0,48396,0
1789537404152464744,121374352,1472,0,48396,0
1789537405180395818,121337500,1572,0,48396,0
1789537406209671244,121335556,1600,0,48396,0
1789537407240512100,121269756,1656,0,48396,0
1789537408267790954,121265496,1696,0,48396,0
1789537409294927552,121262112,1728,0,48396,0
1789537410322501895,121257936,1820,0,48396,0
1789537411350098902,121258520,1876,0,48396,0
1789537412398372900,121257328,1948,0,48396,0
1789537413426048658,121247896,2192,0,48396,0
1789537414454486240,121244644,2212,0,48396,0
1789537415486184110,121177256,2296,0,48396,0
1789537416515123192,121178824,3856,0,48396,0
1789537417546757568,121179200,4068,0,48396,0
1789537418578073588,121175588,4080,0,48396,0
1789537419606743787,121170956,4140,0,48396,0
1789537420638431257,121166752,4172,0,48396,0
1789537421669165709,121159576,4220,0,48396,0
1789537422698395045,121163516,4252,0,48396,0
1789537423729742288,121161740,4344,0,48396,0
1789537424760458294,121109560,4476,0,48396,0
1789537425789069001,121106128,4504,0,48396,0
1789537426819761963,121103648,4664,0,48396,0
1789537427846495944,121100920,4684,0,48396,0
1789537428873739589,121099052,400,0,48396,0
1789537429902119008,121094416,692,0,48396,0
1789537430929043139,121091240,756,0,48396,0
1789537431956715178,121114468,1864,0,48396,0
1789537432984325964,121113276,1920,0,48396,0
1789537434011045028,121113384,1948,0,48396,0
1789537435040822255,121110680,1976,0,48396,0
1789537436072449206,121108740,2012,0,48396,0
1789537437102824655,121107564,2904,0,48396,0
1789537438131567439,121104656,464,96,48396,0
1789537439162358657,121104924,188,0,48396,0
1789537440192445009,121106988,268,0,48396,0
