timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/16 14:51:26.282, 0 %, 0 %, 15 MiB, 16384 MiB, 7.40 W, 58
2026/09/16 14:51:27.321, 0 %, 0 %, 15 MiB, 16384 MiB, 8.44 W, 57
2026/09/16 14:51:28.327, 0 %, 0 %, 15 MiB, 16384 MiB, 7.95 W, 57
2026/09/16 14:51:29.333, 0 %, 0 %, 15 MiB, 16384 MiB, 8.21 W, 57
2026/09/16 14:51:30.339, 0 %, 0 %, 15 MiB, 16384 MiB, 8.06 W, 57
2026/09/16 14:51:31.345, 1 %, 0 %, 15 MiB, 16384 MiB, 7.70 W, 56
2026/09/16 14:51:32.351, 0 %, 0 %, 15 MiB, 16384 MiB, 7.66 W, 56
2026/09/16 14:51:33.357, 0 %, 0 %, 15 MiB, 16384 MiB, 7.61 W, 56
2026/09/16 14:51:34.363, 0 %, 0 %, 15 MiB, 16384 MiB, 7.57 W, 56
2026/09/16 14:51:35.369, 0 %, 0 %, 15 MiB, 16384 MiB, 7.51 W, 55
2026/09/16 14:51:36.375, 0 %, 0 %, 15 MiB, 16384 MiB, 7.57 W, 55
2026/09/16 14:51:37.381, 2 %, 0 %, 134 MiB, 16384 MiB, 45.72 W, 56
2026/09/16 14:51:38.383, 4 %, 0 %, 206 MiB, 16384 MiB, 49.88 W, 57
2026/09/16 14:51:39.386, 22 %, 1 %, 998 MiB, 16384 MiB, 47.00 W, 57
2026/09/16 14:51:40.388, 0 %, 0 %, 1000 MiB, 16384 MiB, 46.19 W, 57
2026/09/16 14:51:41.391, 26 %, 1 %, 1000 MiB, 16384 MiB, 46.88 W, 57
2026/09/16 14:51:42.396, 0 %, 0 %, 1000 MiB, 16384 MiB, 46.07 W, 57
2026/09/16 14:51:43.398, 71 %, 3 %, 1000 MiB, 16384 MiB, 59.48 W, 58
2026/09/16 14:51:44.401, 0 %, 0 %, 824 MiB, 16384 MiB, 57.20 W, 58
2026/09/16 14:51:45.403, 0 %, 0 %, 964 MiB, 16384 MiB, 57.18 W, 58
2026/09/16 14:51:46.405, 0 %, 0 %, 964 MiB, 16384 MiB, 45.87 W, 57
2026/09/16 14:51:47.407, 100 %, 39 %, 1680 MiB, 16384 MiB, 185.33 W, 61
2026/09/16 14:51:48.410, 22 %, 14 %, 1680 MiB, 16384 MiB, 134.47 W, 61
2026/09/16 14:51:49.412, 0 %, 0 %, 1682 MiB, 16384 MiB, 46.47 W, 58
2026/09/16 14:51:50.415, 92 %, 8 %, 1844 MiB, 16384 MiB, 55.05 W, 58
2026/09/16 14:51:51.417, 1 %, 1 %, 1844 MiB, 16384 MiB, 59.47 W, 58
2026/09/16 14:51:52.419, 0 %, 0 %, 1994 MiB, 16384 MiB, 46.32 W, 58
2026/09/16 14:51:53.422, 100 %, 12 %, 2166 MiB, 16384 MiB, 138.84 W, 61
2026/09/16 14:51:54.424, 100 %, 12 %, 2166 MiB, 16384 MiB, 128.77 W, 62
2026/09/16 14:51:55.427, 63 %, 9 %, 2166 MiB, 16384 MiB, 110.11 W, 61
2026/09/16 14:51:56.430, 56 %, 6 %, 2166 MiB, 16384 MiB, 132.85 W, 61
2026/09/16 14:51:57.434, 67 %, 12 %, 2166 MiB, 16384 MiB, 104.43 W, 62
2026/09/16 14:51:58.462, 100 %, 6 %, 2166 MiB, 16384 MiB, 117.19 W, 62
2026/09/16 14:51:59.465, 24 %, 2 %, 2166 MiB, 16384 MiB, 94.05 W, 61
2026/09/16 14:52:00.468, 24 %, 2 %, 2166 MiB, 16384 MiB, 87.83 W, 61
2026/09/16 14:52:01.477, 1 %, 1 %, 2166 MiB, 16384 MiB, 61.95 W, 60
2026/09/16 14:52:02.479, 34 %, 3 %, 2166 MiB, 16384 MiB, 62.69 W, 60
2026/09/16 14:52:03.482, 1 %, 1 %, 2166 MiB, 16384 MiB, 60.81 W, 60
2026/09/16 14:52:04.484, 1 %, 1 %, 2166 MiB, 16384 MiB, 60.68 W, 60
2026/09/16 14:52:05.487, 55 %, 5 %, 2166 MiB, 16384 MiB, 64.51 W, 60
2026/09/16 14:52:06.490, 1 %, 1 %, 2166 MiB, 16384 MiB, 60.94 W, 60
2026/09/16 14:52:07.494, 1 %, 1 %, 2166 MiB, 16384 MiB, 61.07 W, 60
2026/09/16 14:52:08.497, 58 %, 5 %, 2166 MiB, 16384 MiB, 64.90 W, 60
2026/09/16 14:52:09.500, 1 %, 1 %, 2166 MiB, 16384 MiB, 60.94 W, 60
2026/09/16 14:52:10.504, 1 %, 1 %, 2166 MiB, 16384 MiB, 61.24 W, 60
2026/09/16 14:52:11.507, 100 %, 7 %, 2166 MiB, 16384 MiB, 141.96 W, 62
2026/09/16 14:52:12.511, 100 %, 10 %, 2166 MiB, 16384 MiB, 134.94 W, 63
2026/09/16 14:52:13.514, 46 %, 6 %, 2166 MiB, 16384 MiB, 117.53 W, 62
2026/09/16 14:52:14.518, 51 %, 6 %, 2166 MiB, 16384 MiB, 91.28 W, 62
2026/09/16 14:52:15.522, 100 %, 8 %, 2166 MiB, 16384 MiB, 137.50 W, 63
2026/09/16 14:52:16.526, 58 %, 3 %, 2166 MiB, 16384 MiB, 95.73 W, 63
2026/09/16 14:52:17.530, 52 %, 6 %, 2166 MiB, 16384 MiB, 98.63 W, 63
2026/09/16 14:52:18.533, 49 %, 4 %, 2166 MiB, 16384 MiB, 120.94 W, 64
2026/09/16 14:52:19.537, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.86 W, 62
2026/09/16 14:52:20.540, 31 %, 4 %, 2166 MiB, 16384 MiB, 64.90 W, 62
2026/09/16 14:52:21.544, 1 %, 1 %, 2166 MiB, 16384 MiB, 63.03 W, 62
2026/09/16 14:52:22.548, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.00 W, 62
2026/09/16 14:52:23.550, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.37 W, 62
2026/09/16 14:52:24.552, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.72 W, 61
2026/09/16 14:52:25.555, 1 %, 1 %, 2166 MiB, 16384 MiB, 61.96 W, 61
2026/09/16 14:52:26.557, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.43 W, 62
2026/09/16 14:52:27.560, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.34 W, 61
2026/09/16 14:52:28.562, 4 %, 1 %, 2166 MiB, 16384 MiB, 62.50 W, 61
2026/09/16 14:52:29.565, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.38 W, 61
2026/09/16 14:52:30.567, 24 %, 5 %, 2166 MiB, 16384 MiB, 81.54 W, 62
2026/09/16 14:52:31.570, 16 %, 3 %, 2166 MiB, 16384 MiB, 89.96 W, 62
2026/09/16 14:52:32.572, 100 %, 9 %, 2166 MiB, 16384 MiB, 143.94 W, 64
2026/09/16 14:52:33.574, 78 %, 8 %, 2166 MiB, 16384 MiB, 143.02 W, 63
2026/09/16 14:52:34.577, 65 %, 8 %, 2166 MiB, 16384 MiB, 98.35 W, 64
2026/09/16 14:52:35.580, 72 %, 8 %, 2166 MiB, 16384 MiB, 101.81 W, 64
2026/09/16 14:52:36.583, 80 %, 6 %, 2166 MiB, 16384 MiB, 72.13 W, 63
2026/09/16 14:52:37.585, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.96 W, 63
2026/09/16 14:52:38.587, 1 %, 1 %, 2166 MiB, 16384 MiB, 63.49 W, 63
2026/09/16 14:52:39.593, 58 %, 6 %, 2166 MiB, 16384 MiB, 69.16 W, 63
2026/09/16 14:52:40.595, 1 %, 1 %, 2166 MiB, 16384 MiB, 63.58 W, 62
2026/09/16 14:52:41.598, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.74 W, 62
2026/09/16 14:52:42.600, 1 %, 1 %, 2166 MiB, 16384 MiB, 63.28 W, 62
2026/09/16 14:52:43.603, 1 %, 1 %, 2166 MiB, 16384 MiB, 63.15 W, 62
2026/09/16 14:52:44.605, 8 %, 2 %, 2166 MiB, 16384 MiB, 62.56 W, 62
2026/09/16 14:52:45.607, 1 %, 1 %, 2166 MiB, 16384 MiB, 62.69 W, 62
2026/09/16 14:52:46.610, 1 %, 2 %, 2166 MiB, 16384 MiB, 63.41 W, 62
