wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789542633484742004,125210036,316,0,1180,0
1789542634512499791,125158444,8,0,1180,0
1789542635540525731,125094472,72,0,1180,0
1789542636567879500,125083908,216,0,1180,0
1789542637598010068,125078184,236,0,1180,0
1789542638626911554,125049984,356,0,1180,0
1789542639656753234,124922524,12,116,1180,0
1789542640684307711,124866848,52,0,1180,0
1789542641712377588,124724992,80,0,1180,0
1789542642740550247,124537032,220,0,1184,0
1789542643770304996,123990528,312,0,11420,0
1789542644798387579,124429992,4,0,48284,0
1789542645826439966,122489424,44,0,48296,0
1789542646856224323,121724908,228,0,48284,0
1789542647890201523,121772648,240,0,48288,0
1789542648931824889,121772580,2320932,0,48288,0
1789542649948823696,121773640,2760216,0,48288,0
1789542650975694553,121771424,2760280,0,48288,0
1789542652002752237,121768220,1550572,0,48288,0
1789542653031523174,121767820,125116,8096,48288,0
1789542654060503335,121487120,1168,0,48288,0
1789542655091504642,121485180,1244,0,48288,0
1789542656121561989,121420556,344,0,48288,0
1789542657148017468,121398476,384,0,48288,0
1789542658178532521,121385448,416,0,48288,0
1789542659205380147,121327600,488,0,48288,0
1789542660232611802,121324344,540,0,48288,0
1789542661259490180,121322092,556,0,48288,0
1789542662286784591,121320088,584,0,48288,0
1789542663314375422,121322128,612,0,48288,0
1789542664342344112,121320672,648,0,48288,0
1789542665370225100,121317436,700,0,48288,0
1789542666401588341,121315980,724,0,48288,0
1789542667432811850,121246948,740,0,48288,0
1789542668464100911,121244464,776,0,48288,0
1789542669494629232,121243276,792,0,48288,0
1789542670525318227,121240352,812,0,48288,0
1789542671555872047,121238124,852,0,48288,0
1789542672587311019,121236700,896,0,48288,0
1789542673617107224,121236224,908,0,48288,0
1789542674646698649,121234260,944,0,48288,0
1789542675677884469,121232264,960,0,48288,0
1789542676708817499,121186048,1012,0,48288,0
1789542677737709450,121186352,1028,0,48288,0
1789542678767983336,121185104,1040,0,48288,0
1789542679795361962,121183620,1072,0,48288,0
1789542680824955283,121185192,596,484,48288,0
1789542681854532575,121186976,652,0,48288,0
1789542682882077202,121184752,704,0,48288,0
1789542683909925441,121183244,724,0,48288,0
1789542684940609230,121181560,832,0,48288,0
1789542685969927052,121178580,116,0,48288,0
1789542686998383565,121178080,216,0,48288,0
1789542688028928571,121178368,284,0,48288,0
1789542689058364954,121177948,376,0,48288,0
1789542690086499147,121178992,400,0,48288,0
1789542691117386948,121176804,156,0,48288,0
1789542692146402682,121177604,208,0,48288,0
1789542693174538556,121176144,280,0,48288,0
1789542694205647784,121174900,360,0,48288,0
1789542695236958079,121173912,392,0,48288,0
1789542696265076768,121171716,412,0,48288,0
1789542697295285144,121171756,44,0,48288,0
1789542698323347740,121170804,320,0,48288,0
1789542699353102748,121170092,336,0,48288,0
1789542700380388149,121169356,364,0,48288,0
1789542701407510993,121169636,388,0,48288,0
1789542702435812639,121170000,36,0,48288,0
1789542703463982251,121171564,260,0,48288,0
1789542704491985498,121169324,316,0,48288,0
1789542705523065340,121169604,368,0,48288,0
1789542706554579725,121167192,380,0,48288,0
1789542707586153295,121167708,148,0,48288,0
1789542708617160815,121166784,320,0,48288,0
1789542709648507838,121167052,332,0,48288,0
1789542710679715473,121165844,348,0,48288,0
1789542711710997431,121163976,388,0,48288,0
1789542712742254970,121162396,16,0,48288,0
1789542713773664404,121163656,228,0,48288,0
1789542714804423689,121162552,360,0,48288,0
1789542715831857236,121160660,376,0,48288,0
1789542716862867001,121160812,412,0,48288,0
1789542717892443525,121159056,444,0,48288,0
1789542718919950674,121159848,272,0,48288,0
1789542719948579499,121159164,304,0,48288,0
1789542720975867354,121159240,316,0,48288,0
1789542722004450611,121157328,380,0,48288,0
1789542723035562750,121162492,8,0,48288,0
1789542724066716801,121162560,236,0,48288,0
1789542725095445347,121161376,252,0,48288,0
1789542726126955860,121163648,296,0,48288,0
1789542727158137008,121165184,320,0,48288,0
1789542728188012490,121165080,0,0,48288,0
1789542729219338110,121165152,196,0,48288,0
1789542730250720799,121167252,332,0,48288,0
1789542731282236256,121168624,352,0,48288,0
1789542732312620369,121168396,392,0,48288,0
1789542733339147042,121166972,280,0,48288,0
1789542734367192520,121165996,268,0,48288,0
1789542735397055852,121165248,364,0,48288,0
1789542736426532235,121166520,388,0,48288,0
1789542737454422073,121166304,416,0,48288,0
1789542738483710727,121167408,372,0,48288,0
1789542739513916619,121167472,64,0,48288,0
1789542740544848754,121165004,264,0,48288,0
1789542741576167182,121165104,272,0,48288,0
1789542742607197979,121164912,292,0,48288,0
1789542743638461813,121166628,420,0,48288,0
1789542744669539664,121167000,212,0,48288,0
1789542745700910433,121168284,276,0,48288,0
1789542746731542802,121169436,296,0,48288,0
1789542747761777755,121171064,320,0,48288,0
1789542748792861670,121171080,324,0,48288,0
1789542749823399179,121171464,180,0,48288,0
1789542750850430718,121170548,208,0,48288,0
1789542751877859669,121171348,284,0,48288,0
1789542752906372431,121172000,316,0,48288,0
1789542753935986587,121172304,16,0,48288,0
1789542754967043500,121173152,196,0,48288,0
1789542755995773280,121172928,256,0,48288,0
1789542757027914947,121173800,316,0,48288,0
1789542758059255239,121172592,348,0,48288,0
1789542759090807271,121173104,12,0,48288,0
1789542760122034950,121171864,64,0,48288,0
1789542761153470414,121172192,200,0,48288,0
1789542762184769736,121170276,216,0,48288,0
1789542763214992048,121170836,300,0,48288,0
1789542764246705119,121170640,8,0,48288,0
1789542765278116575,121171680,188,0,48288,0
1789542766308957328,121170764,220,0,48288,0
1789542767339058894,121169588,236,0,48288,0
1789542768368837302,121170156,368,0,48288,0
1789542769399591850,121170732,12,0,48288,0
1789542770430048341,121169776,184,0,48288,0
1789542771461121808,121167604,204,0,48288,0
1789542772491407816,121169932,300,0,48288,0
1789542773519356930,121170240,328,0,48288,0
1789542774550363918,121170312,440,0,48288,0
1789542775580549863,121169856,80,0,48288,0
1789542776608844420,121168496,252,0,48288,0
1789542777639392764,121169012,268,0,48288,0
1789542778669635586,121166812,372,0,48288,0
1789542779696897484,121167348,24,0,48288,0
1789542780726221857,121165592,56,0,48288,0
1789542781752733833,121167384,96,0,48288,0
1789542782779420471,121167688,236,0,48288,0
1789542783806972851,121169624,332,0,48288,0
1789542784834671983,121169416,412,0,48288,0
1789542785862336898,121168232,180,0,48288,0
1789542786890821933,121167308,204,0,48288,0
1789542787921895291,121168740,236,0,48288,0
1789542788950084480,121168560,252,0,48288,0
1789542789981580478,121168100,8,0,48288,0
1789542791012292497,121166880,192,0,48288,0
1789542792041049123,121168400,216,0,48288,0
1789542793072019988,121168524,236,0,48288,0
1789542794103754945,121167836,336,0,48288,0
1789542795135664513,121166332,24,0,48288,0
1789542796167262334,121164340,60,0,48288,0
1789542797198589776,121163680,200,0,48288,0
1789542798228735953,121161748,236,0,48288,0
1789542799255167414,121161552,348,0,48288,0
1789542800282701156,121161588,8,0,48288,0
1789542801310220048,121160136,72,0,48288,0
1789542802337842580,121160188,208,0,48288,0
1789542803365711946,121160520,284,0,48288,0
1789542804396741014,121160092,300,0,48288,0
1789542805427494846,121160676,148,0,48288,0
1789542806458542065,121160004,196,0,48288,0
1789542807490326369,121158512,236,0,48288,0
1789542808521386805,121162348,256,0,48288,0
1789542809551804168,121160716,380,0,48288,0
1789542810579836098,121161004,172,0,48288,0
1789542811610653388,121160828,208,0,48288,0
1789542812640164997,121159160,256,0,48288,0
1789542813668324413,121159220,356,0,48288,0
1789542814699608106,121160572,368,0,48288,0
1789542815729897368,121158600,172,84,48288,0
1789542816757529380,121157940,244,0,48288,0
1789542817788137576,121156596,284,0,48288,0
1789542818815504303,121157148,368,0,48288,0
1789542819842915495,121158496,400,0,48288,0
1789542820871961532,121159076,24,0,48288,0
1789542821899840381,121158156,240,0,48288,0
1789542822927724691,121156716,256,0,48288,0
1789542823958538830,121157084,380,0,48288,0
1789542824987971810,121157244,396,0,48288,0
1789542826014837707,121153820,24,0,48288,0
1789542827046348488,121152848,228,0,48288,0
1789542828077211872,121154184,248,0,48288,0
1789542829103662885,121152760,360,0,48288,0
1789542830135181737,121152084,372,0,48288,0
1789542831165859781,121152548,24,0,48288,0
1789542832194241234,121152168,248,0,48288,0
1789542833224870841,121152224,264,0,48288,0
1789542834252259167,121155064,384,0,48288,0
1789542835280796897,121153388,416,0,48288,0
1789542836306785221,121152508,24,0,48288,0
1789542837334541786,121153368,80,0,48288,0
1789542838361718604,121153176,224,0,48288,0
1789542839390359215,121151720,316,0,48288,0
1789542840418475767,121151584,336,0,48288,0
1789542841446497290,121152720,16,0,48288,0
1789542842478137980,121153240,68,0,48288,0
1789542843509200386,121154148,292,0,48288,0
1789542844537860298,121153944,312,0,48288,0
1789542845569462178,121153476,348,0,48288,0
1789542846600145141,121153492,32,0,48288,0
1789542847628837707,121155124,64,0,48288,0
1789542848660819444,121153584,96,4,48288,0
1789542849692127632,121153468,168,0,48288,0
1789542850723541891,121153256,300,0,48288,0
1789542851754647280,121157948,144,80,48288,0
1789542852781743384,121160292,180,0,48288,0
1789542853809273514,121161968,296,0,48288,0
1789542854837828581,121161992,308,0,48288,0
1789542855867211873,121162288,336,0,48288,0
1789542856898187228,121163604,440,0,48288,0
1789542857929614995,121162436,184,0,48288,0
1789542858960820026,121164512,232,0,48288,0
1789542859991511718,121165064,296,0,48288,0
1789542861023142590,121163360,376,0,48288,0
1789542862054232136,121164980,408,0,48288,0
