rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.951,2.23,4.1575,16,0,0
r2,1,2,legal_contract_qa,0,1964,3.182,1.1516,6.4898,24,16,0
r5,1,5,narrative_qa,0,1935,7.482,2.1897,4.7093,16,16,0
r6,1,6,natural_question,0,1940,9.676,1.2029,2.6706,16,16,0
r4,1,4,multidoc_qa,0,1952,7.479,2.1932,5.86,34,16,0
r1,1,1,financial_qa,0,1963,2.062,1.1453,11.679,66,16,0
r3,1,3,meeting_summ,0,1938,5.388,2.0887,9.1173,70,16,0
r7,1,7,paper_assistant,0,1934,21.605,1.0925,4.5026,114,16,0
r8,1,8,quality,0,1988,35.431,1.1616,1.6182,16,16,0
r9,1,9,review_summ,0,1940,37.199,2.6917,6.0048,108,16,0
r10,1,10,sci_fi,0,1961,43.956,1.0971,1.5455,16,16,0
r11,1,11,scientific_qa,0,1934,50.989,1.1035,2.9024,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,52.094,1.1133,1.9252,16,16,0
r13,1,13,tpo,0,1994,56.516,1.157,1.7641,16,16,0
r14,1,14,coursera,0,1986,60.596,1.1522,4.1398,16,16,0
r16,1,16,legal_contract_qa,0,1961,62.894,1.1656,2.3999,24,16,0
r15,1,15,financial_qa,0,1969,61.75,1.1415,6.5154,79,16,0
r17,1,17,meeting_summ,0,1939,66.3,1.1219,2.898,50,16,0
r19,1,19,narrative_qa,0,1939,75.158,1.1148,4.2732,16,16,0
r20,1,20,natural_question,0,1939,76.275,2.1713,3.2782,16,16,0
r18,1,18,multidoc_qa,0,1936,74.054,1.1015,5.9112,29,16,0
r22,1,22,quality,0,2032,81.96,1.1987,3.1613,16,16,0
r21,1,21,paper_assistant,0,1934,76.277,2.1696,9.1749,114,16,0
r23,1,23,review_summ,0,1942,83.161,1.148,4.8724,106,16,0
r24,1,24,sci_fi,0,1968,94.733,1.1396,2.8295,16,16,0
r25,1,25,scientific_qa,0,1933,95.874,1.0889,1.9253,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,101.62,1.1176,1.5689,16,16,0
r27,1,27,tpo,0,1980,107.731,1.1429,2.8912,16,16,0
r28,1,28,coursera,0,1980,108.876,1.1431,1.871,16,16,0
r30,1,30,legal_contract_qa,0,1961,114.787,1.1261,1.8192,16,16,0
r29,1,29,financial_qa,0,1974,113.638,1.1475,3.8855,48,16,0
r31,1,31,meeting_summ,0,1933,126.698,1.0858,2.7285,54,16,0
r32,1,32,multidoc_qa,0,1938,131.327,1.1077,1.5633,16,16,0
r33,1,33,narrative_qa,0,1942,133.846,1.0877,2.6426,16,16,0
r34,1,34,natural_question,0,1940,135.26,1.0934,1.5861,16,16,0
r36,1,36,quality,0,2001,142.576,1.1749,9.2927,16,16,0
r38,1,38,sci_fi,0,1954,143.755,2.1938,8.3627,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,145.953,3.3043,6.3689,16,16,0
r41,1,41,tpo,0,1980,145.955,3.3027,6.3673,16,16,0
r42,1,42,coursera,0,1964,149.26,1.305,3.2158,16,16,0
r39,1,39,scientific_qa,0,1931,145.952,3.3061,7.5681,35,16,0
r35,1,35,paper_assistant,0,1934,141.135,1.0896,15.2576,114,16,0
r37,1,37,review_summ,0,1943,143.753,2.1955,15.1666,105,16,0
r43,1,43,financial_qa,0,1970,156.346,1.1661,5.2684,38,16,0
r44,1,44,legal_contract_qa,0,1964,157.514,1.1573,5.3644,63,16,0
r45,1,45,meeting_summ,0,1942,159.662,1.149,5.2027,71,16,0
r46,1,46,multidoc_qa,0,1935,163.677,1.0974,1.5766,16,16,0
r47,1,47,narrative_qa,0,1932,170.627,1.0881,1.5947,16,16,0
r48,1,48,natural_question,0,1941,173.456,1.4758,2.018,16,16,0
r50,1,50,quality,0,2032,178.574,1.1993,1.9041,16,16,0
r52,1,52,sci_fi,0,1956,182.328,2.1666,6.8188,16,16,0
r49,1,49,paper_assistant,0,1934,176.157,1.0574,13.0937,114,16,0
r53,1,53,scientific_qa,0,1935,184.497,1.1748,4.8314,16,16,0
r54,1,54,topic_retrieval_longchat,0,1945,185.674,1.2178,3.7792,16,16,0
r55,1,55,tpo,0,2009,186.894,1.3178,2.6541,16,16,0
r51,1,51,review_summ,0,1942,181.552,1.8244,23.1712,106,16,0
r56,1,56,coursera,0,2011,191.754,5.7308,13.715,16,16,0
r58,1,58,legal_contract_qa,0,1961,196.341,3.3437,9.6432,20,16,0
r61,1,61,narrative_qa,0,1937,202.152,1.2733,6.2132,16,16,0
r62,1,62,natural_question,0,1934,203.428,1.2953,11.5334,16,16,0
r60,1,60,multidoc_qa,0,1935,200.906,1.2442,17.8532,30,16,0
r64,2,14,coursera,1,1984,209.469,9.1905,10.3841,16,1920,0
r57,1,57,financial_qa,0,1971,196.341,3.3443,25.5447,77,16,0
r65,2,8,quality,1,1952,214.962,6.4487,7.9425,16,1920,0
r67,2,48,natural_question,1,1941,219.228,2.6577,4.0667,16,1920,0
r59,1,59,meeting_summ,0,1942,199.687,1.2168,23.7322,92,16,0
r66,2,3,meeting_summ,1,1937,214.963,6.7925,10.1469,55,1920,0
r63,1,63,paper_assistant,0,1934,206.088,3.3783,19.2063,114,16,0
r68,2,18,multidoc_qa,1,1952,228.522,0.3455,1.3102,33,1920,0
r71,2,63,paper_assistant,1,2032,231.075,0.1437,0.9058,16,1920,0
r69,2,26,topic_retrieval_longchat,1,1945,230.472,0.873,1.6756,16,1920,0
r70,2,41,tpo,1,1987,230.946,1.1099,1.7749,16,1920,0
r72,2,56,coursera,1,2007,231.219,1.3638,1.8689,16,1920,0
r73,2,17,meeting_summ,1,1934,233.028,0.4734,1.604,39,1920,0
r74,2,0,coursera,1,1974,235.549,0.8262,1.5815,16,1920,0
r75,2,16,legal_contract_qa,1,1981,235.895,1.0047,3.0968,67,1920,0
r76,2,55,tpo,1,1989,251.59,0.7027,1.1672,16,1920,0
r77,2,51,review_summ,1,1948,256.234,0.7331,3.0525,78,1920,0
r78,2,11,scientific_qa,2,1944,259.195,0.4621,0.907,16,1920,0
r79,2,31,meeting_summ,1,1932,266.016,0.4398,2.9053,83,1920,0
r80,2,27,tpo,1,1990,271.129,0.4813,0.9446,16,1920,0
r83,2,13,tpo,1,2008,272.298,1.1928,2.4382,16,1920,0
r84,2,50,quality,1,2032,272.54,1.2523,2.4214,16,1920,0
r81,2,59,meeting_summ,1,1942,271.926,0.4596,4.1463,58,1920,0
r85,2,7,paper_assistant,1,2032,274.5,0.6347,1.5718,16,1920,0
r82,2,9,review_summ,1,1945,272.298,0.8604,5.7892,82,1920,0
r86,2,58,legal_contract_qa,1,1976,276.073,0.4716,3.1937,60,1920,0
r87,2,21,paper_assistant,1,2032,277.854,0.7499,1.4439,16,1920,0
r88,2,61,narrative_qa,1,1938,279.792,0.6882,1.132,16,1920,0
r89,2,20,natural_question,1,1934,281.377,0.6497,1.2062,16,1920,0
r91,2,25,scientific_qa,1,1935,283.525,0.7321,1.538,16,1920,0
r90,2,15,financial_qa,1,1983,282.085,0.6835,3.3564,65,1920,0
r92,2,43,financial_qa,1,1964,283.753,1.1247,3.2355,59,1920,0
r93,2,32,multidoc_qa,1,1942,286.506,0.606,1.0901,17,1920,0
r94,2,38,sci_fi,1,1964,287.89,0.5116,1.3292,16,1920,0
r95,2,24,sci_fi,1,1969,288.404,0.7257,1.2065,16,1920,0
r96,2,40,topic_retrieval_longchat,1,1945,298.312,0.3695,0.8143,16,1920,0
r97,2,2,legal_contract_qa,1,1976,306.666,0.5064,1.8386,45,1920,0
r99,2,6,natural_question,1,1936,315.028,0.3716,1.0616,16,1920,0
r98,2,4,multidoc_qa,1,1953,314.269,0.3822,2.3904,49,1920,0
r100,2,33,narrative_qa,1,1941,315.672,0.4826,1.1069,16,1920,0
r101,2,10,sci_fi,1,1966,318.45,0.47,0.9247,16,1920,0
r103,2,46,multidoc_qa,1,1940,320.562,0.6647,1.8375,22,1920,0
r104,2,12,topic_retrieval_longchat,1,1945,321.229,0.4995,1.3558,16,1920,0
r102,2,37,review_summ,1,1945,319.783,0.4261,3.226,72,1920,0
r105,2,54,topic_retrieval_longchat,1,1945,325.154,0.696,1.1548,16,1920,0
r106,2,19,narrative_qa,1,1939,336.055,0.7438,1.4829,16,1920,0
r108,2,49,paper_assistant,1,2032,337.452,0.8605,1.5681,16,1920,0
