t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,2,1893,317663035392
2.0,0,2,1893,317663035392
3.0,0,2,83887973,317410979840
4.0,0,2,361760613,317132673024
5.0,0,2,1913653093,315746443264
6.1,0,2,1913653093,315746443264
7.1,0,2,2118125413,315384139776
8.1,0,2,2542798693,315116351488
9.2,0,2,3177187173,314481041408
10.3,0,2,3177187173,314481041408
11.3,0,2,3192915813,314302533632
12.3,0,2,3801089893,313856258048
13.4,0,2,4430235493,313226223616
14.4,0,2,4508878693,312979447808
15.5,0,2,4975495013,312601411584
16.5,0,2,5699012453,311955656704
17.6,0,2,5735712613,311756148736
18.6,0,2,5945427813,311551414272
19.7,0,2,6260000613,311325650944
20.8,0,2,6328158053,311325650944
21.9,0,2,6328158053,311325650944
23.0,0,2,6396315493,311089410048
24.0,0,2,6637487973,310847922176
25.1,0,2,6899631973,310601162752
26.1,0,2,7109347173,310380658688
27.2,0,2,7450134373,310154915840
29.3,0,2,7790921573,309708681216
30.4,0,2,7974422373,309519699968
31.4,0,2,8173651813,309314977792
32.5,0,2,8409581413,309110218752
33.6,0,2,8687454053,308963213312
34.9,0,2,8897169253,308595716096
36.1,0,2,9101641573,308385722368
37.2,0,2,9583986533,308280725504
43.2,0,2,10428090213,307062755328
44.3,0,2,10653534053,306999779328
45.5,0,2,10831791973,306653392896
46.5,0,2,11020535653,306469675008
47.6,0,2,11214522213,306275450880
48.7,0,2,11691624293,306112634880
56.3,0,2,12745443173,304732135424
57.3,0,2,12976129893,304516911104
58.5,0,2,13185845093,304306917376
59.6,0,2,13374588773,304102191104
60.7,0,2,13610518373,303871234048
61.8,0,2,13804504933,303687536640
62.9,0,2,13988005733,303509053440
63.9,0,2,14181992293,303299063808
65.0,0,2,14428407653,303136337920
67.0,0,2,14779680613,302705942528
68.1,0,2,14973667173,302506504192
69.1,0,2,15162410853,302312296448
70.2,0,2,15351154533,302133805056
71.3,0,2,15697184613,302007808000
72.8,0,2,15896414053,301608906752
74.0,0,2,16085157733,301388464128
75.1,0,2,16279144293,301199499264
76.1,0,2,16625174373,301000024064
78.3,0,2,16876832613,300601073664
79.4,0,2,17076062053,300406870016
80.6,0,2,17568892773,300217901056
84.0,0,2,17914922853,299567099904
85.1,0,2,18140366693,299378151424
86.4,0,2,18586011493,299152441344
89.2,0,2,18911070053,298569805824
90.3,0,2,19115542373,298354601984
91.4,0,2,19660801893,298155114496
94.9,0,2,19991103333,297509568512
96.2,0,2,20478691173,297283891200
100.4,0,2,20961036133,296533360640
101.5,0,2,21233665893,296391643136
103.2,0,2,21763196773,296029507584
106.1,0,2,21957183333,295509954560
107.2,0,2,22203598693,295289528320
108.4,0,2,22413313893,295069102080
109.6,0,2,22722643813,294922166272
111.2,0,2,22921873253,294549491712
112.4,0,2,23524804453,294449721344
116.1,0,2,23860348773,293604823040
117.2,0,2,24059578213,293421121536
118.4,0,2,24285022053,293195456512
119.5,0,2,24515708773,292959301632
120.6,0,2,24741152613,292728389632
121.7,0,2,25139611493,292534206464
126.7,0,2,25926043493,291547537408
127.8,0,2,26513246053,291358576640
132.1,0,2,26958890853,290524151808
133.2,0,2,27184334693,290324721664
134.5,0,2,27682408293,290083287040
137.4,0,2,27991738213,289490268160
138.5,0,2,28715255653,289359015936
143.2,0,2,29066528613,288414412800
144.3,0,2,29265758053,288204488704
145.5,0,2,29485959013,287994576896
146.6,0,2,29873932133,287768915968
148.7,0,2,30372005733,287401558016
153.2,0,2,31420581733,286540828672
159.0,0,2,32594986853,285465026560
163.8,0,2,33072088933,284530925568
165.4,0,2,33292289893,284289560576
166.8,0,2,33737934693,284095397888
172.8,0,2,34817967973,283145527296
177.0,0,2,35939944293,282463326208
185.7,0,2,36684433253,281046405120
188.8,0,2,36978034533,280631844864
190.5,0,2,37413193573,280364216320
193.8,0,2,38252054373,279912902656
201.1,0,2,39305873253,278789910528
207.2,0,2,39447431013,278170681344
208.7,0,2,39447431013,278170681344
210.4,0,2,39468402533,278149689344
211.7,0,2,39473645413,278144438272
213.1,0,2,39478888293,278139191296
214.6,0,2,39505102693,278112948224
216.1,0,2,39562774373,278039482368
217.9,0,2,39625688933,277992247296
219.2,0,2,39646660453,277992247296
220.6,0,2,40202405733,277630164992
223.5,0,2,40265320293,277352050688
224.9,0,2,40265320293,277352050688
226.4,0,2,40275806053,277341548544
228.2,0,2,40302020453,277315313664
230.1,0,2,40328234853,277289074688
231.5,0,2,40333477733,277283827712
233.6,0,2,40354449253,277262839808
235.1,0,2,40359692133,277257592832
236.8,0,2,40370177893,277252345856
239.0,0,2,40412120933,277205118976
240.3,0,2,40417363813,277205118976
241.6,0,2,40427849573,277199872000
243.0,0,2,40427849573,277189378048
244.5,0,2,40454063973,277168377856
246.2,0,2,40475035493,277142142976
247.7,0,2,41062238053,276680368128
249.3,0,2,41140881253,276496687104
250.7,0,2,41161852773,276459950080
252.1,0,2,41161852773,276454703104
253.9,0,2,41188067173,276428468224
255.6,0,2,41203795813,276412727296
257.2,0,2,41209038693,276407480320
258.9,0,2,41214281573,276402233344
260.7,0,2,41214281573,276402233344
262.6,0,1,41250981733,276365500416
