rid,round,doc,subtask,q,prompt_tokens,submit_rel_s,ttft_s,e2e_s,out_tokens,cached,backlog
r0,1,0,coursera,0,1971,0.952,1.2314,4.3008,16,0,0
r2,1,2,legal_contract_qa,0,1964,2.093,2.3835,4.7222,24,16,0
r5,1,5,narrative_qa,0,1935,6.861,2.2494,4.7494,16,16,0
r6,1,6,natural_question,0,1940,9.113,1.2857,2.7309,16,16,0
r4,1,4,multidoc_qa,0,1952,6.817,1.1934,5.8958,34,16,0
r1,1,1,financial_qa,0,1963,2.092,2.3841,10.9024,66,16,0
r3,1,3,meeting_summ,0,1938,5.391,1.2393,8.3301,70,16,0
r7,1,7,paper_assistant,0,1934,21.605,1.1006,4.5178,114,16,0
r8,1,8,quality,0,1988,35.431,1.1748,1.6366,16,16,0
r9,1,9,review_summ,0,1940,37.199,1.0867,4.3248,108,16,0
r10,1,10,sci_fi,0,1961,43.956,1.1521,1.6034,16,16,0
r11,1,11,scientific_qa,0,1934,50.989,1.1167,2.8118,16,16,0
r12,1,12,topic_retrieval_longchat,0,1945,52.107,1.1564,1.7828,16,16,0
r13,1,13,tpo,0,1994,56.516,1.3211,1.7782,16,16,0
r14,1,14,coursera,0,1986,60.596,1.1749,4.1229,16,16,0
r16,1,16,legal_contract_qa,0,1961,62.96,1.2054,2.4077,24,16,0
r15,1,15,financial_qa,0,1969,61.773,1.185,6.5792,79,16,0
r17,1,17,meeting_summ,0,1939,66.31,1.1481,2.9423,50,16,0
r19,1,19,narrative_qa,0,1939,75.164,1.1525,4.2729,16,16,0
r20,1,20,natural_question,0,1939,76.319,2.2098,3.3019,16,16,0
r18,1,18,multidoc_qa,0,1936,74.055,1.1075,5.8922,29,16,0
r22,1,22,quality,0,2032,81.965,1.2244,3.1746,16,16,0
r21,1,21,paper_assistant,0,1934,76.32,2.208,9.1021,114,16,0
r23,1,23,review_summ,0,1942,83.191,1.2029,4.8739,106,16,0
r24,1,24,sci_fi,0,1968,94.733,1.1539,2.8304,16,16,0
r25,1,25,scientific_qa,0,1933,95.888,1.133,1.9415,22,16,0
r26,1,26,topic_retrieval_longchat,0,1945,101.62,1.121,1.5734,16,32,0
r27,1,27,tpo,0,1980,107.731,1.1704,2.9098,16,16,0
r28,1,28,coursera,0,1980,108.903,1.1886,1.8277,16,16,0
r30,1,30,legal_contract_qa,0,1961,114.796,1.1722,1.8575,16,16,0
r29,1,29,financial_qa,0,1974,113.638,1.1564,3.8979,48,16,0
r31,1,31,meeting_summ,0,1933,126.698,1.0938,2.6781,54,16,0
r32,1,32,multidoc_qa,0,1938,131.327,1.1321,1.5886,16,16,0
r33,1,33,narrative_qa,0,1942,133.846,1.1082,2.6442,16,16,0
r34,1,34,natural_question,0,1940,135.253,1.1487,1.6244,16,16,0
r36,1,36,quality,0,2001,142.577,1.1878,1.886,16,16,0
r38,1,38,sci_fi,0,1954,143.769,5.2244,10.1418,16,16,0
r41,1,41,tpo,0,1980,145.699,4.5382,8.4172,16,16,0
r42,1,42,coursera,0,1964,148.995,2.4035,5.2236,16,16,0
r40,1,40,topic_retrieval_longchat,0,1945,145.585,6.9636,8.7117,16,32,0
r39,1,39,scientific_qa,0,1931,144.416,4.5766,10.8171,35,16,0
r35,1,35,paper_assistant,0,1934,141.135,1.0927,14.2878,114,16,0
r37,1,37,review_summ,0,1943,143.767,5.2262,13.6697,105,16,0
r43,1,43,financial_qa,0,1970,156.338,3.7507,6.5325,38,16,0
r44,1,44,legal_contract_qa,0,1964,157.49,3.7044,6.1744,63,16,0
r45,1,45,meeting_summ,0,1942,160.091,5.3504,7.4782,71,16,0
r46,1,46,multidoc_qa,0,1935,163.675,5.5999,6.0443,16,16,0
r47,1,47,narrative_qa,0,1932,170.627,5.4169,9.5325,16,16,0
r48,1,48,natural_question,0,1941,173.456,3.6787,6.765,16,16,0
r50,1,50,quality,0,2032,178.61,1.3164,2.1322,16,16,0
r49,1,49,paper_assistant,0,1934,177.137,1.1702,10.1191,114,16,0
r52,1,52,sci_fi,0,1956,182.253,2.9773,5.125,16,16,0
r53,1,53,scientific_qa,0,1935,184.113,2.2867,3.3569,16,16,0
r51,1,51,review_summ,0,1942,181.533,2.5783,8.5846,106,16,0
r55,1,55,tpo,0,2009,186.403,5.2514,9.3823,16,16,0
