t_s,backlog,inflight,kvroot_b,disk_free_b
1.0,0,1,1893,317662269440
2.0,1,3,1893,317662269440
3.0,1,3,1893,317662269440
4.0,6,6,1893,317662269440
5.0,6,6,1893,317662269440
6.0,6,6,1893,317662269440
7.0,6,6,1893,317662269440
8.0,7,7,1893,317662269440
9.0,7,7,1893,317662269440
10.0,7,5,1893,317662269440
11.0,7,3,1893,317662269440
12.0,2,3,37357413,317614948352
13.0,2,3,241174373,317410410496
14.0,2,3,449087333,317202464768
15.0,2,3,648808293,317003071488
16.0,2,3,2811496293,314849554432
17.0,3,3,3145729893,314514706432
18.0,3,3,3145729893,314514706432
19.1,3,1,3145729893,314514706432
20.1,1,2,4156950373,313506082816
21.1,2,2,4404021093,313255682048
22.1,3,3,4404021093,313255682048
23.1,3,3,4404021093,313255682048
24.1,2,3,4438099813,313213616128
25.1,2,3,4694345573,312956485632
26.1,2,3,4928145253,312723169280
27.2,3,3,5054138213,312605204480
28.2,4,4,5054138213,312605204480
29.2,5,5,5054138213,312605204480
30.2,5,5,5054138213,312605204480
31.2,6,6,5054138213,312605204480
32.2,6,6,5054138213,312605204480
33.3,3,4,5077567333,312579948544
34.3,3,4,5576460133,312142786560
35.3,3,4,6660425573,310996619264
36.3,3,4,6884722533,310774505472
37.4,4,7,6941575013,310716669952
38.4,7,7,6941575013,310716669952
39.4,7,7,6941575013,310716669952
40.4,7,7,6941575013,310716669952
41.4,6,8,7005964133,310644228096
42.4,6,8,7186843493,310463344640
43.5,6,8,7370180453,310280331264
44.5,6,8,7565477733,310087155712
45.5,7,9,7570720613,310087155712
46.5,7,9,7570720613,310087155712
47.5,7,9,7734888293,309921644544
48.6,7,9,8144815973,309513510912
49.6,9,11,8220837733,309436669952
50.6,9,11,8220837733,309436669952
51.6,9,11,8220837733,309436669952
52.6,9,13,8220837733,309436669952
53.7,8,12,8382220133,309274279936
54.7,8,12,8577681253,309080453120
55.7,8,12,8790017893,308866625536
56.7,6,13,8870954853,308786180096
57.8,6,13,8971224933,308686213120
58.8,6,13,9181103973,308475666432
59.8,6,13,9377056613,308279037952
60.8,6,13,9567438693,308087631872
61.9,6,13,9756346213,307893006336
62.9,6,13,9944270693,307705257984
63.9,6,13,10130065253,307518746624
64.9,6,13,10328967013,307319709696
66.0,6,13,10517710693,307133636608
67.0,6,13,10730702693,306921414656
68.0,8,16,10779363173,306876686336
69.0,8,16,10779363173,306876686336
70.1,8,16,10779363173,306876686336
71.1,8,16,10971875173,306677436416
72.1,8,16,11169793893,306479353856
73.1,8,16,11365091173,306284052480
74.2,7,19,11408508773,306247188480
75.2,7,19,11591681893,306063986688
76.2,7,19,11767809893,305888694272
77.3,7,19,11965728613,305690267648
78.3,7,21,12037654373,305617686528
79.4,6,21,12172330853,305476423680
80.4,6,21,12383684453,305266442240
81.4,6,21,12567512933,305080426496
82.5,7,25,12666799973,304988184576
83.5,7,24,12666799973,304988184576
84.5,6,24,12852266853,304804171776
85.6,6,24,13046581093,304609050624
86.6,6,24,13233686373,304421445632
87.6,5,26,13295945573,304358694912
88.7,5,26,13479118693,304168628224
89.7,5,26,13691619173,303955308544
90.7,5,26,13885114213,303759519744
91.8,6,27,13925091173,303729209344
92.8,6,27,13925091173,303729209344
93.8,5,26,14055180133,303600402432
94.9,5,26,14261127013,303394775040
95.9,5,26,14468220773,303187521536
96.9,6,29,14554236773,303099703296
98.0,5,29,14612072293,303034687488
99.0,5,29,14795409253,302851629056
100.0,5,29,14980876133,302666833920
101.0,5,29,15154710373,302491185152
102.1,5,31,15183382373,302470213632
103.1,5,31,15317731173,302337314816
104.1,5,31,15512209253,302144638976
105.2,5,31,15730116453,301924265984
106.2,8,34,15812527973,301840707584
107.3,8,34,15812527973,301840707584
108.3,8,34,15812527973,301840707584
109.3,3,36,15885928293,301768925184
110.4,3,36,16122677093,301532663808
111.4,3,36,16436266853,301215883264
112.4,3,36,16640411493,301012819968
113.5,3,36,16857171813,300789481472
114.5,3,36,17043130213,300610871296
115.6,3,36,17245636453,300408524800
116.6,3,36,17426843493,300226482176
117.6,3,36,17614440293,300039049216
118.7,3,36,17799087973,299846369280
119.7,3,36,17985210216,299658248192
120.7,3,36,18171332453,299473297408
121.8,3,36,18343528293,299310108672
122.8,3,36,18532108133,299120529408
123.8,3,36,18721671013,298932932608
124.9,3,36,18930403173,298724036608
125.9,8,45,18958255973,298693234688
126.9,8,45,18958255973,298693230592
128.0,8,45,18958255973,298693230592
129.0,8,45,18958255973,298693230592
130.1,9,52,18958255973,298693230592
131.1,8,51,19027232613,298618019840
132.1,8,51,19238913893,298406330368
133.2,8,51,19440109413,298206285824
134.2,8,51,19587401573,298063745024
135.4,3,51,19587729253,298063745024
136.5,3,51,19852003173,297806012416
137.5,3,51,20094977893,297558614016
138.5,3,51,20334184293,297312047104
139.6,3,51,20542097253,297102610432
140.6,3,51,20740999013,296903725056
141.7,3,51,20921550693,296728752128
142.7,3,51,21150271333,296502611968
143.7,3,51,21375551333,296277512192
144.8,3,51,21605910375,296044294144
145.8,3,51,21813331813,295831023616
146.9,3,51,22028617573,295617908736
147.9,2,54,22143469413,295511732224
148.9,2,54,22323529573,295325483008
150.0,2,54,22539143013,295109099520
151.0,2,54,22749513573,294904541184
152.1,1,61,22780807013,294873169920
153.1,1,61,23003465573,294653038592
154.2,1,61,23204169573,294449782784
155.2,1,61,23382427493,294270799872
156.5,1,65,23383246693,294265884672
157.5,2,63,23383246693,294265884672
158.6,3,65,23383246693,294265884672
159.6,4,64,23383246693,294265884672
160.6,4,64,23383246693,294265884672
161.7,1,64,23521527653,294128898048
162.7,1,64,23702570853,293948809216
163.8,1,64,23910975333,293741228032
164.8,1,64,24123967333,293527744512
165.9,1,64,24356947813,293295218688
166.9,1,64,24544544613,293116641280
168.0,1,64,24758028134,292894437376
169.0,1,64,24974952293,292677046272
170.0,1,64,25175164773,292478210048
171.1,3,66,25270683493,292377448448
172.1,3,66,25270683493,292377448448
173.2,3,69,25270683493,292377448448
174.2,3,70,25270683493,292377448448
175.3,1,70,25290508133,292352098304
176.3,1,70,25489573733,292152803328
177.4,1,70,25672419173,291971928064
178.4,1,70,25885902693,291758690304
179.5,1,70,26083821413,291560218624
180.5,1,70,26284033893,291357564928
181.5,1,70,26515375973,291135025152
182.6,2,71,26528974693,291118477312
183.6,1,71,26580092773,291070296064
184.7,1,71,26796853093,290853863424
185.7,1,71,27034421093,290616778752
186.8,0,74,27158120293,290488983552
187.8,0,74,27211532133,290431639552
188.9,0,74,27416659817,290225602560
189.9,0,74,27613923173,290028462080
191.0,0,74,27813807973,289830412288
192.0,0,74,28007630693,289636139008
193.1,0,74,28191459177,289450328064
194.1,0,74,28397078373,289251500032
195.2,2,84,28416411493,289230036992
196.2,2,84,28416411493,289230036992
197.3,2,87,28416411493,289230036992
198.5,3,85,28416411493,289230036992
199.5,4,86,28416411493,289230036992
200.6,4,88,28416411493,289230036992
201.6,3,87,28609578853,289045372928
202.7,4,87,29045557093,288600551424
203.7,4,87,29045557093,288600551424
204.8,4,86,29045557093,288600551424
205.8,3,85,29232334693,288412454912
206.9,3,84,29674702693,287971090432
207.9,3,84,29732702053,287912087552
209.0,3,84,29943236457,287699021824
210.0,3,84,30196041573,287450587136
211.1,4,84,30303848293,287341596672
212.1,4,84,30303848293,287341596672
213.2,4,84,30303848293,287341596672
214.2,5,83,30303848293,287341596672
215.3,4,82,30414767973,287236562944
216.3,4,82,30646110053,287004528640
217.4,4,82,30953965413,286691143680
218.5,5,82,30953965413,286691143680
219.5,5,82,30953965413,286691143680
220.6,4,81,31010490213,286639034368
221.7,4,81,31254775653,286394421248
222.7,5,81,31583111013,286061670400
223.7,4,80,31674861413,285969088512
224.8,4,80,31923406693,285718470656
225.8,5,79,32212256613,285432184832
226.9,5,79,32212256613,285432184832
227.9,6,79,32212256613,285432184832
229.0,7,78,32212256613,285432184832
230.0,7,78,32212256613,285432184832
231.1,6,77,32424920933,285226225664
232.1,6,77,32673138533,284979490816
233.2,7,77,32841402213,284802703360
234.2,7,77,32841402213,284802703360
235.3,7,75,32841402213,284802703360
236.3,7,75,33010157413,284632625152
237.4,8,75,33470547813,284173221888
238.5,8,75,33470547813,284173221888
239.5,7,74,33688291173,283954470912
240.6,7,74,33927989093,283716300800
241.6,7,74,34120664933,283522744320
242.7,8,73,34120664933,283522744320
243.8,8,73,34120664933,283522744320
244.8,8,73,34324809573,283324006400
245.9,8,73,34628405093,283071361024
247.0,9,73,34770782053,282872295424
248.0,9,73,34770782053,282872295424
249.1,8,72,34833696613,282818551808
250.2,6,70,35433842533,282242826240
251.3,6,70,35896362853,281751445504
252.3,6,70,36162766693,281484062720
253.4,6,70,36377069413,281268412416
254.4,6,70,36588095333,281059573760
255.5,7,70,36658218853,280983879680
256.5,1,70,36835166053,280804790272
257.6,1,70,37056186213,280582967296
258.7,1,70,37284415333,280361943040
259.7,1,70,37502650213,280142880768
260.8,1,70,37714986853,279930875904
261.8,1,70,37917329253,279724720128
262.9,1,70,38133106533,279505186816
263.9,1,70,38359533413,279281901568
265.0,1,70,38569740133,279075004416
266.1,1,70,38773393253,278873956352
267.1,1,70,38974588773,278669324288
268.2,1,70,39178733413,278463442944
269.3,1,70,39425476453,278215442432
270.3,1,70,39643711333,277995937792
271.4,1,70,39824918373,277815533568
273.0,1,69,39824918373,277815533568
274.3,0,68,40008255334,277635362816
275.4,0,68,40199128933,277444374528
276.4,0,68,40395736933,277246369792
277.5,0,68,40454063973,277186072576
279.1,0,67,40454063973,277186072576
280.3,0,65,40454063973,277186072576
281.8,0,64,40454063973,277186072576
283.0,0,64,40454063973,277186072576
284.1,3,63,40454063973,277186072576
285.2,3,63,40454063973,277186068480
286.3,0,57,40516978533,277123125248
287.8,1,55,40516978533,277123125248
289.0,1,54,40516978533,277123125248
290.2,1,53,40537950053,277102145536
291.5,2,50,40549582693,277100171264
292.6,3,50,40558921573,277081161728
293.7,2,48,40583169893,277060177920
295.0,1,47,40616101733,277031985152
296.1,1,47,40621836133,277018222592
297.1,0,45,40642807653,276997242880
298.5,0,43,40642807653,276997242880
299.8,0,41,40642807653,276997242880
300.9,0,39,40642807653,276997242880
302.0,0,37,40642807653,276997242880
303.2,0,33,40642807653,276997242880
304.7,0,33,40642807653,276997242880
305.9,0,31,40642807653,276997242880
307.1,0,28,40642807653,276997242880
308.6,1,26,40642807653,276997242880
310.2,1,21,40656570213,276997242880
311.2,2,21,40663779173,276976267264
312.3,1,20,40684750693,276955287552
313.4,0,19,40705722213,276934311936
314.5,1,19,40705722213,276934311936
315.6,1,17,40705722213,276934311936
316.7,0,14,40726693733,276913332224
318.3,1,10,40726693733,276913332224
319.7,1,8,40726693733,276913332224
321.0,1,7,40747665253,276892356608
322.1,1,6,40747665253,276892356608
323.2,1,4,40747665253,276892356608
324.4,1,2,40747665253,276892356608
325.6,1,1,40747665253,276892356608
