round,doc,subtask,q,prompt_tokens,ttft_s,cached,matched,ssd_read_ios,ssd_read_b,write_ios,write_b,out_tokens,backlog
1,0,coursera,0,1971,1.1055,0,0,0,0,13,272629760,1,0
1,1,financial_qa,0,1963,1.3659,16,0,0,0,33,692060160,1,0
1,2,legal_contract_qa,0,1964,3.2359,16,0,0,0,29,608174080,1,0
1,3,meeting_summ,0,1938,1.3217,16,0,0,0,25,524288000,1,0
1,4,multidoc_qa,0,1952,3.1344,16,0,0,0,35,734003200,1,0
1,5,narrative_qa,0,1935,1.3013,16,0,0,0,27,566231040,1,0
1,6,natural_question,0,1940,2.6279,16,0,0,0,25,524288000,1,0
1,7,paper_assistant,0,1934,2.6043,16,0,0,0,38,796917760,1,0
2,1,financial_qa,1,1966,1.7445,1936,0,0,0,15,314572800,1,0
2,3,meeting_summ,1,1937,0.0654,1920,0,0,0,0,0,1,0
2,6,natural_question,1,1936,0.1183,1920,0,0,0,0,0,1,0
2,0,coursera,1,1974,0.1,1920,0,0,0,0,0,1,0
2,2,legal_contract_qa,1,1976,0.0778,1936,0,0,0,0,0,1,0
2,5,narrative_qa,1,1937,0.064,1920,0,0,0,0,0,1,0
2,7,paper_assistant,1,2032,0.145,1920,0,0,0,0,0,1,0
2,4,multidoc_qa,1,1953,0.0786,1920,0,0,0,1,20971520,1,0
