wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789376222110826370,16.8,0.2,0.11,1.00,0
1789376222154421467,18.2,0.2,0.11,1.67,0
1789376223137498090,22.4,0.0,0.10,0.00,0
1789376223180373957,21.3,0.0,0.09,0.00,0
1789376224164407961,30.8,0.0,0.10,0.00,0
1789376224206743040,32.6,0.0,0.11,0.00,0
1789376225189018721,7.7,0.0,0.13,0.00,0
1789376225233604110,5.3,0.0,0.13,0.00,0
1789376226215730420,0.6,0.0,1.13,0.00,0
1789376226261140131,0.5,0.0,1.19,0.00,0
1789376227245342475,17.6,0.0,0.28,8.50,0
1789376227290610198,19.8,0.0,0.24,8.50,0
1789376228273638754,10.4,0.0,0.11,0.00,0
1789376228319054526,8.2,0.0,0.11,0.00,0
1789376229303293874,1.6,0.0,0.77,0.00,0
1789376229348624181,1.6,0.0,0.77,0.00,0
1789376230331624498,11.3,0.0,0.10,0.00,0
1789376230377465955,11.3,0.0,0.10,0.00,0
1789376231359398054,28.8,0.0,0.17,0.00,0
1789376231406083690,29.4,0.0,0.16,0.00,0
1789376232386748410,49.5,1.1,0.12,0.29,0
1789376232434482039,48.9,1.1,0.12,0.29,0
1789376233414149064,1.5,0.0,0.47,0.00,0
1789376233461458985,1.5,0.0,0.47,0.00,0
1789376234443402734,0.0,0.0,7.00,0.00,0
1789376234489694208,0.0,0.0,7.00,0.00,0
1789376235472674551,0.0,0.0,0.00,0.00,0
1789376235517744223,0.0,0.0,0.00,0.00,0
1789376236502342552,0.0,0.0,0.00,0.00,0
1789376236546308214,0.0,0.0,0.00,0.00,0
1789376237531573310,0.0,0.8,1.00,2.98,0
1789376237575452386,0.0,0.8,1.00,2.98,0
1789376238560811032,0.0,0.0,0.00,0.00,0
1789376238605144957,0.0,0.0,0.00,0.00,0
1789376239589736298,0.0,0.0,0.00,0.00,0
1789376239634122475,0.0,0.0,0.00,0.00,0
1789376240618364583,0.1,0.0,14.00,0.00,0
