timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/14 17:57:01.224, 0 %, 0 %, 15 MiB, 16384 MiB, 8.98 W, 40
2026/09/14 17:57:02.235, 0 %, 0 %, 15 MiB, 16384 MiB, 6.55 W, 39
2026/09/14 17:57:03.241, 0 %, 0 %, 15 MiB, 16384 MiB, 6.56 W, 40
2026/09/14 17:57:04.247, 1 %, 0 %, 15 MiB, 16384 MiB, 6.61 W, 39
2026/09/14 17:57:05.254, 0 %, 0 %, 15 MiB, 16384 MiB, 6.54 W, 39
2026/09/14 17:57:06.260, 0 %, 0 %, 15 MiB, 16384 MiB, 6.79 W, 39
2026/09/14 17:57:07.266, 0 %, 0 %, 15 MiB, 16384 MiB, 13.05 W, 39
2026/09/14 17:57:08.272, 0 %, 0 %, 15 MiB, 16384 MiB, 6.78 W, 39
2026/09/14 17:57:09.307, 0 %, 0 %, 15 MiB, 16384 MiB, 6.78 W, 39
2026/09/14 17:57:10.313, 0 %, 0 %, 18 MiB, 16384 MiB, 7.43 W, 39
2026/09/14 17:57:11.319, 0 %, 0 %, 134 MiB, 16384 MiB, 39.52 W, 41
2026/09/14 17:57:12.322, 1 %, 0 %, 406 MiB, 16384 MiB, 42.12 W, 42
2026/09/14 17:57:13.326, 27 %, 1 %, 3188 MiB, 16384 MiB, 40.65 W, 42
2026/09/14 17:57:14.337, 26 %, 1 %, 3196 MiB, 16384 MiB, 42.40 W, 42
2026/09/14 17:57:15.339, 26 %, 1 %, 3204 MiB, 16384 MiB, 51.58 W, 43
2026/09/14 17:57:16.342, 26 %, 1 %, 3212 MiB, 16384 MiB, 54.03 W, 43
2026/09/14 17:57:17.344, 26 %, 1 %, 3218 MiB, 16384 MiB, 53.88 W, 44
2026/09/14 17:57:18.346, 26 %, 1 %, 3226 MiB, 16384 MiB, 57.64 W, 44
2026/09/14 17:57:19.348, 26 %, 1 %, 3234 MiB, 16384 MiB, 55.56 W, 44
2026/09/14 17:57:20.350, 40 %, 2 %, 3242 MiB, 16384 MiB, 42.21 W, 44
