wall_ns,read_MBps,write_MBps,read_lat_ms,write_lat_ms,inflight
1789378649085286569,16.9,0.0,0.10,0.00,0
1789378650110149283,18.8,0.0,0.09,0.00,0
1789378651136552077,39.1,1.1,0.11,0.08,0
1789378652164181187,3.5,0.0,0.13,0.00,0
1789378653191685383,0.3,0.0,0.05,0.00,0
1789378654221490495,24.6,0.0,0.20,0.00,1
1789378655249910482,10.3,0.0,0.13,0.00,0
1789378656279854581,2.4,0.6,0.46,0.12,0
1789378657307259147,9.8,0.0,0.09,0.00,0
1789378658331275316,70.5,0.0,0.15,0.00,0
1789378659360278365,62.5,0.0,0.13,0.00,0
1789378660388314076,1.9,0.0,0.47,0.00,0
1789378661417965176,0.0,0.6,0.00,0.98,0
1789378662447227352,0.0,0.0,14.00,0.00,0
1789378663475645536,0.0,0.0,0.00,0.00,0
1789378664504220779,0.0,0.0,0.00,0.00,0
1789378665535983086,0.1,0.0,14.00,0.00,0
1789378666566208929,0.0,0.7,0.00,2.81,0
1789378667595767942,0.1,0.0,14.00,0.00,0
1789378668624978496,0.0,0.0,0.00,0.00,0
1789378669653368956,0.0,0.0,0.00,0.00,0
1789378670685014958,0.0,0.0,0.00,0.00,0
1789378671714758965,0.0,0.5,0.00,5.24,0
1789378672744214461,0.0,0.0,0.00,0.00,0
1789378673773406100,0.0,0.0,0.00,0.00,0
1789378674802405987,0.2,0.0,6.14,0.00,0
1789378675833238586,0.0,0.2,14.00,8.50,0
1789378676862480204,0.3,0.5,1.00,0.42,0
1789378677892434545,1367.5,0.0,0.43,14.00,1
1789378678921937747,1914.1,0.0,0.43,0.00,1
1789378679951346157,1922.2,0.0,0.45,0.00,1
1789378680979553942,1924.9,0.3,0.44,4.00,0
1789378682008831891,1955.6,0.6,0.44,0.12,1
1789378683036250477,47.6,0.0,0.43,0.00,0
1789378684051764480,0.0,468.4,0.00,2.15,0
1789378685069093363,0.0,959.8,0.00,2.47,1
1789378686096732179,144.2,2086.7,6.29,14.77,15
1789378687124954110,1625.6,237.1,0.66,6.43,0
1789378688154380396,1926.7,0.0,0.43,0.00,1
1789378689183616294,1968.8,0.0,0.44,0.00,0
1789378690213353907,2029.4,0.0,0.43,0.00,0
1789378691241379417,1129.7,266.3,0.45,2.99,0
1789378692256936661,0.0,664.2,0.00,8.13,0
1789378693274049510,0.0,619.5,0.00,38.88,676
1789378694303301460,0.0,650.4,0.00,717.51,685
1789378695333189435,0.0,626.3,0.00,958.42,735
1789378696360932776,0.1,589.1,111.67,953.79,204
1789378697390735807,0.0,613.3,0.00,567.28,105
1789378698421415153,14.6,596.6,30.22,93.65,7
1789378699452112897,165.8,525.7,11.38,2.20,3
1789378700482500406,158.5,487.2,12.20,1.67,3
1789378701513355545,178.3,425.6,11.66,2.63,3
1789378702544064920,172.1,449.7,12.18,2.52,2
1789378703575201807,178.4,468.0,11.77,2.43,2
1789378704605088944,165.6,441.4,12.01,2.56,3
1789378705636020274,162.5,429.7,13.15,2.62,2
1789378706667117827,172.2,396.1,12.15,2.82,1
1789378707697963159,168.7,442.5,12.45,2.55,3
1789378708728854548,665.2,285.6,2.56,2.69,0
1789378709758499127,1981.6,0.0,0.46,0.00,0
1789378710787872468,1980.9,0.2,0.45,5.50,1
1789378711815676619,2002.1,0.0,0.44,0.00,1
1789378712847820413,939.9,3.6,0.43,3.38,0
1789378713909111376,0.0,268.6,0.00,19.92,21
1789378714938579494,149.9,468.9,12.07,7.47,5
1789378715970212464,164.8,502.8,12.37,2.00,3
1789378717001950349,174.4,418.4,11.92,2.71,1
1789378718034062438,175.7,392.3,10.96,2.89,3
1789378719065430221,163.2,418.4,12.21,2.71,4
1789378720096753062,157.3,415.0,12.89,2.72,2
1789378721127602954,169.2,418.0,12.32,2.66,2
1789378722158704375,168.1,419.9,12.39,2.68,3
1789378723190764943,161.1,417.5,13.25,2.70,3
1789378724222383252,162.3,418.9,13.10,2.69,2
1789378725254472649,168.4,431.1,12.51,2.62,3
1789378726285153549,812.9,237.8,1.95,2.81,1
1789378727314842887,2019.2,0.0,0.44,0.00,0
1789378728343887499,1869.4,1.7,0.45,0.23,1
1789378729373708377,1919.6,0.0,0.44,0.00,1
1789378730401151486,377.4,0.0,0.43,0.00,0
1789378731416948489,0.0,20.1,2.25,2.09,3
1789378732432330214,0.0,466.1,0.00,81.54,171
1789378733449723701,0.1,400.1,148.38,187.81,57
1789378734479270703,138.9,382.7,12.67,39.48,2
1789378735511120616,176.9,396.4,11.36,2.81,3
1789378736542741067,164.7,430.3,12.89,2.55,3
1789378737575082883,174.3,474.4,11.82,2.13,2
1789378738606271329,162.4,421.5,12.52,2.59,2
1789378739637882904,167.2,377.1,12.49,2.94,1
1789378740668892189,917.4,183.0,1.60,3.11,1
1789378741698209117,1915.5,0.2,0.45,5.00,1
1789378742727748544,1166.0,0.1,0.46,0.08,1
1789378743756951683,912.9,203.2,0.43,34.79,71
1789378744778351114,0.0,433.6,0.00,310.20,693
1789378745808166558,0.2,432.0,159.78,918.47,293
1789378746833423276,86.5,505.3,21.71,903.87,3
1789378747862345036,166.4,433.4,12.53,2.02,3
1789378748894704544,153.4,441.1,13.30,2.49,3
1789378749926623155,159.6,449.5,12.90,2.48,3
1789378750957741758,160.8,513.7,12.46,2.19,2
1789378751989281597,163.7,483.3,12.76,2.34,2
1789378753020143113,198.8,537.6,9.55,2.21,3
1789378754051887468,171.6,520.6,11.75,2.33,3
1789378755082706996,615.6,311.7,2.79,2.48,1
1789378756111492389,1814.3,0.2,0.45,3.50,1
1789378757140728216,1871.0,0.0,0.43,0.00,1
1789378758170435800,1866.1,0.0,0.44,0.00,1
1789378759201739299,1386.7,82.8,0.42,16.65,23
1789378760225023187,0.0,449.9,137.50,199.02,40
1789378761250197039,0.0,453.5,0.00,416.94,533
1789378762272401301,0.0,598.0,0.00,990.66,668
1789378763302017207,0.0,559.3,0.00,782.33,307
1789378764330802412,0.0,529.1,236.00,424.01,169
1789378765362188668,0.0,546.8,788.00,488.37,0
1789378766385637677,0.4,594.4,19.70,29.92,16
1789378767413507560,0.1,654.0,105.00,104.66,387
1789378768443016380,5.0,637.0,55.16,415.74,6
1789378769472119254,212.1,470.3,8.71,2.41,7
1789378770503141859,208.6,455.5,9.56,3.28,5
1789378771533983592,205.9,453.1,9.34,3.45,3
1789378772565151823,184.3,535.2,10.96,2.48,3
1789378773596035555,202.5,457.9,9.69,2.13,3
1789378774627390028,173.4,406.5,11.89,2.22,2
1789378775658634986,160.2,397.1,11.17,2.74,2
1789378776690271190,180.1,364.8,11.15,2.87,2
1789378777721053120,1908.6,0.0,0.45,0.00,0
1789378778750282323,1927.4,0.0,0.44,0.00,1
1789378779779768044,1788.4,0.0,0.42,0.14,1
1789378780809215604,1720.5,0.1,0.44,5.50,1
1789378781863275249,229.2,4.3,0.39,7.40,0
1789378782973990459,0.2,473.5,71.43,173.03,3
1789378784002979983,159.6,492.4,11.90,2.12,5
1789378785033867415,157.0,451.2,12.80,2.31,1
1789378786065698050,159.6,444.4,11.86,2.19,3
1789378787097069068,198.3,475.4,9.28,2.61,1
1789378788128478294,184.7,379.2,10.30,1.39,2
1789378789160132498,179.3,401.3,11.42,2.51,3
1789378790191297015,173.8,415.6,11.59,2.17,1
1789378791223002562,175.4,374.4,11.66,2.76,3
1789378792254880583,181.6,353.8,11.40,2.92,3
1789378793287141650,183.1,368.5,10.74,2.42,2
1789378794318515410,183.6,366.1,11.09,2.77,3
1789378795350194129,904.8,202.2,1.71,2.63,1
1789378796379964153,1924.8,0.5,0.44,4.67,1
1789378797410335185,1481.5,0.0,0.42,0.00,1
1789378798439698918,1951.7,0.0,0.44,0.00,1
1789378799491530771,550.3,0.0,0.42,0.00,0
1789378800648047139,638.6,0.0,0.41,0.00,1
1789378801676989503,1898.9,0.0,0.47,5.00,0
1789378802705116000,1994.2,0.0,0.44,0.00,0
1789378803792546589,1470.9,1.8,0.44,0.28,0
1789378804911089042,1742.1,0.1,0.43,0.06,0
1789378805961087722,1040.8,0.2,0.42,5.50,0
1789378807131753059,64.3,0.0,0.43,0.00,0
1789378808161460659,1712.6,0.0,0.43,0.00,1
1789378809191219912,1920.7,0.0,0.45,0.00,1
1789378810220420656,1852.6,0.1,0.44,0.10,1
1789378811248595843,1685.9,0.1,0.44,0.77,1
1789378812278151115,1842.8,0.0,0.43,0.00,0
1789378813305774706,0.9,0.0,0.71,0.00,0
1789378814330123167,838.1,0.0,0.39,0.00,0
1789378815359444866,1921.3,0.0,0.46,0.00,1
1789378816388219607,1937.2,0.1,0.47,2.20,1
1789378817418168838,1869.8,0.0,0.42,0.00,1
1789378818447271162,1843.1,0.0,0.42,0.00,1
1789378819494216906,651.5,0.0,0.40,0.00,0
1789378820671360182,422.2,0.0,0.41,0.00,0
1789378821700818417,1834.5,0.0,0.46,5.00,0
1789378822729929009,1964.5,0.0,0.43,0.00,1
1789378823759096984,1794.2,0.0,0.42,0.00,0
1789378824788629832,1770.7,0.0,0.41,0.00,0
1789378825838179633,963.5,0.0,0.42,0.17,0
1789378826910433207,87.2,0.0,0.42,5.00,2
1789378827940716817,1753.8,0.0,0.40,0.00,1
1789378828970357646,1937.3,1.2,0.45,0.17,0
1789378829999884550,1876.9,0.0,0.42,0.00,1
1789378831029625436,1793.2,0.2,0.42,2.50,0
1789378832057488960,1374.1,0.0,0.43,0.00,0
1789378833072864871,1.1,0.0,0.39,0.14,0
1789378834088518290,0.0,438.8,1.00,2.33,2
1789378835104841157,0.3,920.5,1.60,3.39,5
1789378836130320036,70.2,480.2,14.53,13.80,7
1789378837160114105,194.2,422.4,8.71,2.20,5
1789378838192031776,164.7,405.0,10.92,2.27,6
1789378839224349739,191.6,345.4,10.29,2.59,3
1789378840257692081,183.9,348.1,10.80,2.60,3
1789378841290234120,629.2,253.3,2.69,2.59,0
1789378842317911344,1988.6,0.0,0.42,0.00,1
1789378843346545702,1939.0,0.0,0.47,0.00,1
1789378844375374473,228.5,359.3,7.71,5.25,2
1789378845405720689,207.1,358.6,8.83,2.05,4
1789378846434968177,194.8,334.2,10.04,2.81,3
1789378847464994580,189.4,366.1,10.21,2.61,2
1789378848495491709,188.7,360.6,10.19,1.41,6
1789378849524528906,186.5,360.1,10.44,2.45,3
1789378850555352083,181.0,364.2,10.95,2.55,2
1789378851586409842,194.1,343.0,9.67,2.45,3
1789378852616963945,186.9,348.3,10.27,2.29,1
1789378853645645774,174.4,343.4,11.13,2.78,3
1789378854677060293,182.6,333.6,10.58,2.74,2
1789378855707702697,172.0,353.5,11.54,2.54,3
1789378856737065949,185.8,351.8,10.16,2.44,3
1789378857768087112,221.3,315.5,8.98,2.68,3
1789378858798691738,230.7,319.1,8.04,2.70,1
1789378859827324446,856.8,0.0,0.40,0.00,0
1789378860842782029,0.0,28.6,9.00,0.50,0
1789378861860143528,0.2,241.6,6.00,4.42,1
1789378862890113501,0.0,364.2,12.33,14.29,25
1789378863915477754,0.8,354.1,10.54,18.89,2
1789378864945598614,0.0,348.9,13.75,20.66,11
1789378865973198556,0.0,347.1,20.20,17.01,1
1789378867001580440,0.1,343.2,14.86,22.38,3
1789378868027750654,0.8,369.8,17.47,45.41,0
1789378869055235741,0.0,388.1,9.82,6.26,6
1789378870083719822,0.2,375.4,8.54,4.99,1
1789378871110547237,0.2,346.7,14.43,11.79,9
1789378872138608248,0.1,319.4,9.87,8.71,0
1789378873165556769,0.0,0.0,2.00,0.00,0
1789378874192857227,0.0,0.0,0.00,0.00,0
1789378875220806109,485.5,251.4,0.47,10.06,62
1789378876249823498,76.3,726.2,6.29,11.65,3
1789378877280524297,48.5,442.7,9.60,2.58,3
1789378878311044598,38.0,434.2,10.26,1.93,1
1789378879341478821,40.2,418.0,11.45,2.20,3
1789378880371969843,42.0,438.8,10.88,2.12,3
1789378881402737245,52.7,390.1,8.65,1.93,3
1789378882433662145,62.4,366.4,7.59,3.20,3
1789378883464385234,40.6,372.2,11.35,6.88,3
1789378884494907054,49.3,384.9,9.59,2.70,3
1789378885525217173,52.5,358.4,9.34,5.70,4
1789378886556199799,44.1,366.2,10.88,4.28,3
1789378887587135041,66.9,360.6,6.99,2.53,0
1789378888618373100,1125.0,0.0,0.11,0.00,2
1789378889648263653,1156.1,0.0,0.11,0.00,1
1789378890675071791,1168.1,0.0,0.12,0.00,1
1789378891703800393,1122.1,60.4,0.12,3.25,4
1789378892730776884,466.3,295.3,0.91,2.09,1
1789378893760214269,47.5,348.1,7.96,5.22,3
1789378894790506109,615.3,222.8,0.60,6.06,1
1789378895820409958,159.9,330.5,2.12,9.67,4
1789378896851179516,43.9,366.5,10.94,5.42,2
1789378897881583775,574.3,258.0,0.52,4.55,3
1789378898912180510,45.9,372.0,10.50,4.31,3
1789378899942300351,45.9,403.0,10.49,2.46,3
1789378900973074579,51.7,385.0,9.26,3.07,2
1789378902004005173,58.0,378.0,8.25,4.11,3
1789378903034919149,66.3,376.4,7.16,4.33,4
1789378904066166028,55.0,367.9,8.63,4.63,3
1789378905096990300,48.5,384.8,9.89,6.45,4
1789378906127155561,23.1,644.0,21.15,1.81,3
1789378907157630167,81.9,472.0,4.37,1.76,1
1789378908185223274,1393.8,0.0,0.12,0.00,0
1789378909213960468,1260.2,0.0,0.11,0.00,0
