wall_ns,MemAvailable_kB,Dirty_kB,Writeback_kB,Shmem_kB,Mlocked_kB
1789378649085286569,126314800,876,0,1164,0
1789378650110149283,126273040,956,0,1164,0
1789378651136552077,126218380,240,0,1164,0
1789378652164181187,126192372,340,0,1164,0
1789378653191685383,126185612,504,0,1164,0
1789378654221490495,126170060,544,0,1164,0
1789378655249910482,126151092,572,0,1164,0
1789378656279854581,126047060,72,0,1164,0
1789378657307259147,125549428,168,0,1164,0
1789378658331275316,125266264,196,0,11404,0
1789378659360278365,125526496,256,0,277644,0
1789378660388314076,122724036,272,0,277656,0
1789378661417965176,118567652,72,0,277644,0
1789378662447227352,114283420,148,0,277644,0
1789378663475645536,109998916,332,0,277644,0
1789378664504220779,105932904,368,0,277644,0
1789378665535983086,101880968,420,0,277644,0
1789378666566208929,97598720,20,0,277644,0
1789378667595767942,93281092,256,0,277644,0
1789378668624978496,89045004,308,0,277644,0
1789378669653368956,84991840,332,0,277644,0
1789378670685014958,80936660,380,0,277644,0
1789378671714758965,76797168,272,124,277644,0
1789378672744214461,72511448,136,0,277644,0
1789378673773406100,68263752,180,0,277644,0
1789378674802405987,64210572,344,0,277644,0
1789378675833238586,59987580,540,0,277644,0
1789378676862480204,58611192,108,0,277644,0
1789378677892434545,57183508,148,0,277648,0
1789378678921937747,55160892,304,0,277648,0
1789378679951346157,53131372,344,0,277648,0
1789378680979553942,51099564,720,0,277648,0
1789378682008831891,49031520,16,0,277648,0
1789378683036250477,48998704,3336936,0,277648,0
1789378684051764480,48998168,6213800,11008,277648,0
1789378685069093363,50199972,8134368,16396,277648,0
1789378686096732179,58479940,5931852,18648,277648,0
1789378687124954110,56777288,5684328,0,277648,0
1789378688154380396,54738036,5684364,0,277648,0
1789378689183616294,52655616,5684416,0,277648,0
1789378690213353907,50507312,5684448,0,277648,0
1789378691241379417,49319936,6758724,9736,277648,0
1789378692256936661,49302240,9258056,10324,277648,0
1789378693274049510,49298036,10301444,804864,277648,0
1789378694303301460,49293536,10202228,817152,277648,0
1789378695333189435,49298492,10056044,866304,277648,0
1789378696360932776,49296168,10572968,243840,277648,0
1789378697390735807,49315712,10523584,133632,277648,0
1789378698421415153,58603424,10114296,10840,277648,0
1789378699452112897,58423544,9557708,8192,277648,0
1789378700482500406,58252468,9044592,8352,277648,0
1789378701513355545,58065956,8595648,12904,277648,0
1789378702544064920,57876764,8121176,7928,277648,0
1789378703575201807,57687524,7627636,8192,277648,0
1789378704605088944,57509600,7156892,8384,277648,0
1789378705636020274,57334176,6708188,8112,277648,0
1789378706667117827,57148648,6290928,7808,277648,0
1789378707697963159,56970936,5820004,7756,277648,0
1789378708728854548,56275724,5522632,0,277648,0
1789378709758499127,54182360,5522648,0,277648,0
1789378710787872468,52090028,5522804,0,277648,0
1789378711815676619,49977348,5522852,0,277648,0
1789378712847820413,48946620,5522888,0,277648,0
1789378713909111376,58580252,5211432,32428,277648,0
1789378714938579494,58424364,4742172,8192,277648,0
1789378715970212464,58246540,4214264,9704,277648,0
1789378717001950349,58063340,3769364,8192,277648,0
1789378718034062438,57874088,3353796,8320,277648,0
1789378719065430221,57700740,2917604,8192,277648,0
1789378720096753062,57534920,2475436,8192,277648,0
1789378721127602954,57353924,2033072,8192,277648,0
1789378722158704375,57177192,1588736,10208,277648,0
1789378723190764943,57006888,1148416,8192,277648,0
1789378724222383252,56835548,710184,8192,277648,0
1789378725254472649,56658096,251500,10208,277648,0
1789378726285153549,55811080,1708,0,277648,0
1789378727314842887,53677332,1752,0,277648,0
1789378728343887499,51759408,280,0,277648,0
1789378729373708377,49760224,276,0,277648,0
1789378730401151486,49385964,1578992,0,277648,0
1789378731416948489,49313664,5008656,16128,277648,0
1789378732432330214,49282692,7695268,181088,277648,0
1789378733449723701,58638776,8299260,71468,277648,0
1789378734479270703,58493672,7961344,8260,277648,0
1789378735511120616,58300552,7538300,6888,277648,0
1789378736542741067,58121876,7087640,7448,277648,0
1789378737575082883,57934416,6584256,6932,277648,0
1789378738606271329,57757848,6144620,8216,277648,0
1789378739637882904,57575976,5743376,8192,277648,0
1789378740668892189,56613520,5550892,0,277648,0
1789378741698209117,54584304,5551096,0,277648,0
1789378742727748544,53420184,5551136,0,277648,0
1789378743756951683,52421560,6931572,88936,277648,0
1789378744778351114,52403828,8294308,740052,277648,0
1789378745808166558,54211280,9458008,287116,277648,0
1789378746833423276,57600052,9200476,16744,277648,0
1789378747862345036,57423516,8746452,10184,277648,0
1789378748894704544,57257472,8281444,7560,277648,0
1789378749926623155,57084532,7804168,8880,277648,0
1789378750957741758,56908672,7267068,8192,277648,0
1789378751989281597,56729832,6758752,12728,277648,0
1789378753020143113,56518696,6185832,12856,277648,0
1789378754051887468,56334404,5634948,14368,277648,0
1789378755082706996,55691264,5309380,0,277648,0
1789378756111492389,53785228,5309520,0,277648,0
1789378757140728216,51822624,5309572,0,277648,0
1789378758170435800,49872532,5309596,0,277648,0
1789378759201739299,49305896,5788580,30616,277648,0
1789378760225023187,49304352,8022132,53688,277648,0
1789378761250197039,49302980,8519028,618804,277648,0
1789378762272401301,49292916,9014320,612948,277648,0
1789378763302017207,49310604,9623612,314756,277648,0
1789378764330802412,49306152,9863492,258176,277648,0
1789378765362188668,49301572,9750620,9072,277648,0
1789378766385637677,49300360,9963132,13256,277648,0
1789378767413507560,49297240,9387788,450096,277648,0
1789378768443016380,58585348,9231644,8916,277648,0
1789378769472119254,58363112,8729588,14260,277648,0
1789378770503141859,58136680,8246204,16384,277648,0
1789378771533983592,57915024,7775828,8192,277648,0
1789378772565151823,57714584,7208536,9764,277648,0
1789378773596035555,57494112,6729416,7680,277648,0
1789378774627390028,57305680,6296964,8228,277648,0
1789378775658634986,57137168,5879056,6796,277648,0
1789378776690271190,56947444,5497036,384,277648,0
1789378777721053120,54930864,5496672,0,277648,0
