timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/09/14 18:37:28.159, 0 %, 0 %, 15 MiB, 16384 MiB, 13.16 W, 44
2026/09/14 18:37:29.197, 0 %, 0 %, 15 MiB, 16384 MiB, 10.63 W, 44
2026/09/14 18:37:30.207, 0 %, 0 %, 15 MiB, 16384 MiB, 7.56 W, 44
2026/09/14 18:37:31.213, 0 %, 0 %, 15 MiB, 16384 MiB, 8.44 W, 44
2026/09/14 18:37:32.218, 0 %, 0 %, 15 MiB, 16384 MiB, 6.82 W, 44
2026/09/14 18:37:33.225, 0 %, 0 %, 15 MiB, 16384 MiB, 7.07 W, 44
2026/09/14 18:37:34.231, 0 %, 0 %, 15 MiB, 16384 MiB, 7.10 W, 44
2026/09/14 18:37:35.237, 0 %, 0 %, 15 MiB, 16384 MiB, 7.07 W, 44
2026/09/14 18:37:36.243, 0 %, 0 %, 15 MiB, 16384 MiB, 11.15 W, 44
2026/09/14 18:37:37.249, 0 %, 0 %, 18 MiB, 16384 MiB, 13.34 W, 44
2026/09/14 18:37:38.279, 0 %, 0 %, 134 MiB, 16384 MiB, 40.74 W, 45
2026/09/14 18:37:39.281, 4 %, 0 %, 318 MiB, 16384 MiB, 40.57 W, 46
2026/09/14 18:37:40.283, 26 %, 1 %, 3190 MiB, 16384 MiB, 41.53 W, 46
2026/09/14 18:37:41.286, 26 %, 1 %, 3198 MiB, 16384 MiB, 50.78 W, 47
2026/09/14 18:37:42.293, 30 %, 1 %, 3204 MiB, 16384 MiB, 56.03 W, 47
2026/09/14 18:37:43.295, 26 %, 1 %, 3212 MiB, 16384 MiB, 55.96 W, 47
2026/09/14 18:37:44.300, 26 %, 1 %, 3222 MiB, 16384 MiB, 55.94 W, 47
2026/09/14 18:37:45.302, 26 %, 1 %, 3228 MiB, 16384 MiB, 55.98 W, 48
2026/09/14 18:37:46.305, 26 %, 1 %, 3236 MiB, 16384 MiB, 55.94 W, 48
2026/09/14 18:37:47.307, 26 %, 1 %, 3244 MiB, 16384 MiB, 56.24 W, 48
2026/09/14 18:37:48.309, 26 %, 1 %, 3252 MiB, 16384 MiB, 56.69 W, 48
2026/09/14 18:37:49.312, 27 %, 1 %, 3260 MiB, 16384 MiB, 60.74 W, 48
2026/09/14 18:37:50.316, 26 %, 1 %, 3266 MiB, 16384 MiB, 56.42 W, 48
2026/09/14 18:37:51.320, 29 %, 1 %, 3274 MiB, 16384 MiB, 57.31 W, 48
2026/09/14 18:37:52.325, 26 %, 1 %, 3282 MiB, 16384 MiB, 56.75 W, 48
2026/09/14 18:37:53.328, 28 %, 1 %, 3290 MiB, 16384 MiB, 56.73 W, 49
2026/09/14 18:37:54.332, 33 %, 1 %, 3298 MiB, 16384 MiB, 56.32 W, 49
2026/09/14 18:37:55.335, 39 %, 2 %, 3304 MiB, 16384 MiB, 56.59 W, 49
2026/09/14 18:37:56.338, 27 %, 1 %, 3312 MiB, 16384 MiB, 56.97 W, 49
2026/09/14 18:37:57.340, 0 %, 0 %, 3312 MiB, 16384 MiB, 40.95 W, 48
2026/09/14 18:37:58.342, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.06 W, 48
2026/09/14 18:37:59.344, 0 %, 0 %, 3312 MiB, 16384 MiB, 40.99 W, 48
2026/09/14 18:38:00.347, 0 %, 0 %, 3312 MiB, 16384 MiB, 40.90 W, 48
2026/09/14 18:38:01.349, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.06 W, 48
2026/09/14 18:38:02.351, 0 %, 0 %, 3312 MiB, 16384 MiB, 42.00 W, 48
2026/09/14 18:38:03.354, 0 %, 0 %, 3312 MiB, 16384 MiB, 44.13 W, 48
2026/09/14 18:38:04.356, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.76 W, 48
2026/09/14 18:38:05.358, 0 %, 0 %, 3312 MiB, 16384 MiB, 40.81 W, 48
2026/09/14 18:38:06.360, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.10 W, 48
2026/09/14 18:38:07.363, 0 %, 0 %, 3312 MiB, 16384 MiB, 40.64 W, 48
2026/09/14 18:38:08.367, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.05 W, 48
2026/09/14 18:38:09.371, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.38 W, 48
2026/09/14 18:38:10.375, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.63 W, 48
2026/09/14 18:38:11.378, 0 %, 0 %, 3312 MiB, 16384 MiB, 42.01 W, 48
2026/09/14 18:38:12.382, 0 %, 0 %, 3312 MiB, 16384 MiB, 41.86 W, 48
2026/09/14 18:38:13.386, 0 %, 0 %, 3312 MiB, 16384 MiB, 10.61 W, 47
2026/09/14 18:38:14.390, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.80 W, 47
2026/09/14 18:38:15.394, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.53 W, 47
2026/09/14 18:38:16.399, 0 %, 0 %, 3312 MiB, 16384 MiB, 11.10 W, 47
2026/09/14 18:38:17.403, 0 %, 0 %, 3312 MiB, 16384 MiB, 10.32 W, 46
2026/09/14 18:38:18.434, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.65 W, 46
2026/09/14 18:38:19.438, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.56 W, 46
2026/09/14 18:38:20.442, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.39 W, 46
2026/09/14 18:38:21.446, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.46 W, 46
2026/09/14 18:38:22.451, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.32 W, 46
2026/09/14 18:38:23.455, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.41 W, 45
2026/09/14 18:38:24.459, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.21 W, 45
2026/09/14 18:38:25.464, 0 %, 0 %, 3312 MiB, 16384 MiB, 7.27 W, 45
